mc1,ac1,rec1,imc1,mc2,ac2,rec2,imc2
9.999775e+01,9.999799e+01,9.999895e+01,9.999891e+01,2.820741e+01,2.820741e+01,3.715303e+01,3.712419e+01
3.583965e+01,3.603416e+01,3.430703e+01,3.360647e+01,2.955315e+01,2.245214e+01,1.464485e+01,1.448847e+01
1.423935e+01,1.425555e+01,1.011017e+01,1.010298e+01,1.007049e+01,1.007004e+01,6.885173e+00,6.885173e+00
6.875079e+00,6.875079e+00,6.888578e+00,6.888578e+00,4.152717e+00,4.152717e+00,4.443743e+00,4.411153e+00
2.740008e+00,2.740008e+00,3.425510e+00,3.425510e+00,2.553061e+00,2.553061e+00,2.137877e+00,2.137877e+00
2.106652e+00,2.106652e+00,2.756562e+00,2.743026e+00,1.638809e+00,1.638809e+00,2.000685e+00,2.003125e+00
1.833397e+00,1.591330e+00,1.055600e+00,1.055600e+00,6.914470e-01,6.914470e-01,6.187735e-01,6.187735e-01
6.089236e-01,6.089236e-01,5.458052e-01,5.458052e-01,5.536904e-01,8.199083e-06,9.395564e-02,9.395564e-02
1.906162e-01,1.986184e-01,1.985539e-01,2.000000e+01,2.000000e+01,2.000000e+01,2.000000e+01,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.690502e+02,-1.690502e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,9.432132e+01,-9.432132e+01,9.406800e+01
-9.406800e+01,9.409869e+01,-9.409869e+01,1.037393e+02,-1.037393e+02,1.800000e+02,1.800000e+02,9.460226e+01
-9.460226e+01,1.795540e+02,-1.795540e+02,1.332656e+02,-1.332656e+02,1.087304e+02,-1.087304e+02,1.256404e+02
-1.256404e+02,1.800000e+02,1.800000e+02,1.004212e+02,-1.004212e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.715587e+02,-1.715587e+02,1.111230e+02,-1.111230e+02,1.287683e+02,-1.287683e+02,1.332486e+02
-1.332486e+02,1.575271e+02,-1.575271e+02,1.800000e+02,0.000000e+00,1.682512e+02,-1.682512e+02,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,-9.999775e+01,-9.999799e+01
-9.999895e+01,-9.999891e+01,-2.769386e+01,-2.769386e+01,-3.715303e+01,-3.712419e+01,-3.583965e+01,-3.603416e+01
-3.430703e+01,-3.360647e+01,-2.955315e+01,-2.245214e+01,-1.464485e+01,-1.448847e+01,-1.423935e+01,-1.425555e+01
-1.011017e+01,-1.010298e+01,-1.007049e+01,-1.007004e+01,-5.187965e-01,-5.187965e-01,-4.877209e-01,-4.877209e-01
-4.923588e-01,-4.923588e-01,-9.862856e-01,-9.862856e-01,-4.443743e+00,-4.411153e+00,-2.198534e-01,-2.198534e-01
-3.425406e+00,-3.425406e+00,-1.749820e+00,-1.749820e+00,-6.865065e-01,-6.865065e-01,-1.227538e+00,-1.227538e+00
-2.756562e+00,-2.743026e+00,-2.964324e-01,-2.964324e-01,-2.000685e+00,-2.003125e+00,-1.833397e+00,-1.591330e+00
-1.044165e+00,-1.044165e+00,-2.491779e-01,-2.491779e-01,-3.874588e-01,-3.874588e-01,-4.172130e-01,-4.172130e-01
-5.043571e-01,-5.043571e-01,-5.536904e-01,8.199083e-06,-9.198725e-02,-9.198725e-02,-1.906162e-01,-1.986184e-01
-1.985539e-01,-2.000000e+01,-2.000000e+01,-2.000000e+01,-2.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,5.357970e+00,-5.357970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,6.865599e+00,-6.865599e+00,6.857758e+00,-6.857758e+00,6.870960e+00
-6.870960e+00,4.033894e+00,-4.033894e+00,0.000000e+00,0.000000e+00,2.731173e+00,-2.731173e+00,2.666725e-02
-2.666725e-02,1.859100e+00,-1.859100e+00,2.024654e+00,-2.024654e+00,1.712055e+00,-1.712055e+00,0.000000e+00
0.000000e+00,1.611777e+00,-1.611777e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.549578e-01
-1.549578e-01,6.449878e-01,-6.449878e-01,4.824483e-01,-4.824483e-01,4.435328e-01,-4.435328e-01,2.086318e-01
-2.086318e-01,0.000000e+00,0.000000e+00,1.913132e-02,-1.913132e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.999775e+01,9.999799e+01,9.999895e+01,9.999891e+01
2.820908e+01,2.820908e+01,3.712423e+01,3.715306e+01,3.583974e+01,3.603403e+01,3.430748e+01,3.360712e+01
2.954914e+01,2.243766e+01,1.464538e+01,1.449028e+01,1.423946e+01,1.425559e+01,1.011017e+01,1.010278e+01
1.007049e+01,1.007004e+01,6.885459e+00,6.885459e+00,6.875192e+00,6.875192e+00,6.888498e+00,6.888498e+00
4.469280e+00,4.469280e+00,3.753977e+00,3.753977e+00,4.306983e+00,4.306983e+00,4.389615e+00,4.389615e+00
2.598126e+00,2.598126e+00,2.383998e+00,2.383998e+00,2.101909e+00,2.101909e+00,1.681455e+00,1.681455e+00
3.357409e+00,2.825426e+00,2.825426e+00,2.803007e+00,2.718373e+00,1.197031e+00,1.197031e+00,1.886014e+00
1.886014e+00,2.004015e+00,1.998081e+00,1.591331e+00,1.400956e+00,1.400956e+00,6.914604e-01,6.914604e-01
5.936065e-01,5.936065e-01,6.059610e-01,6.059610e-01,5.602620e-01,5.602620e-01,5.615633e-01,8.198556e-06
1.923445e-01,1.986164e-01,1.985505e-01,2.000000e+01,2.000000e+01,2.000000e+01,2.000000e+01,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.690489e+02,-1.690489e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,9.431550e+01,-9.431550e+01,9.406013e+01
