t,y1c1,y2c1,y1c2,y2c2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-2.340522e-02,-2.864466e-02,-2.340561e-02,-2.864478e-02
6.666667e-02,-3.482889e-02,-4.508779e-02,-3.483373e-02,-4.508931e-02
1.000000e-01,-4.035868e-02,-5.455569e-02,-4.037763e-02,-5.456181e-02
1.333333e-01,-4.311384e-02,-6.021169e-02,-4.316041e-02,-6.022702e-02
1.666667e-01,-4.456511e-02,-6.379882e-02,-4.465404e-02,-6.382863e-02
2.000000e-01,-4.536411e-02,-6.622620e-02,-4.550915e-02,-6.627565e-02
2.333333e-01,-4.578429e-02,-6.795161e-02,-4.599687e-02,-6.802522e-02
2.666667e-01,-4.593356e-02,-6.919874e-02,-4.622208e-02,-6.930014e-02
3.000000e-01,-4.585080e-02,-7.007281e-02,-4.622047e-02,-7.020455e-02
3.333333e-01,-4.554827e-02,-7.062094e-02,-4.600132e-02,-7.078454e-02
3.666667e-01,-4.502994e-02,-7.086324e-02,-4.556599e-02,-7.105921e-02
4.000000e-01,-4.429871e-02,-7.080814e-02,-4.491536e-02,-7.103619e-02
4.333333e-01,-4.335964e-02,-7.046046e-02,-4.405298e-02,-7.071963e-02
4.666667e-01,-4.222133e-02,-6.982585e-02,-4.298658e-02,-7.011471e-02
5.000000e-01,-4.089623e-02,-6.891264e-02,-4.172827e-02,-6.922946e-02
5.333333e-01,-3.940074e-02,-6.773296e-02,-4.029457e-02,-6.807589e-02
5.666667e-01,-3.775517e-02,-6.630335e-02,-3.870640e-02,-6.667061e-02
6.000000e-01,-3.598324e-02,-6.464453e-02,-3.698840e-02,-6.503452e-02
6.333333e-01,-3.411163e-02,-6.278116e-02,-3.516847e-02,-6.319260e-02
6.666667e-01,-3.216941e-02,-6.074146e-02,-3.327710e-02,-6.117347e-02
7.000000e-01,-3.018721e-02,-5.855630e-02,-3.134646e-02,-5.900850e-02
7.333333e-01,-2.819653e-02,-5.625847e-02,-2.940966e-02,-5.673101e-02
7.666667e-01,-2.622882e-02,-5.388183e-02,-2.749977e-02,-5.437543e-02
8.000000e-01,-2.431473e-02,-5.146027e-02,-2.564897e-02,-5.197618e-02
8.333333e-01,-2.248325e-02,-4.902679e-02,-2.388770e-02,-4.956685e-02
8.666667e-01,-2.076098e-02,-4.661269e-02,-2.224388e-02,-4.717923e-02
9.000000e-01,-1.917151e-02,-4.424668e-02,-2.074220e-02,-4.484251e-02
9.333333e-01,-1.773489e-02,-4.195432e-02,-1.940368e-02,-4.258265e-02
9.666667e-01,-1.646719e-02,-3.975735e-02,-1.824511e-02,-4.042175e-02
1.000000e+00,-1.538029e-02,-3.767348e-02,-1.727887e-02,-3.837776e-02
1.033333e+00,-1.448182e-02,-3.571616e-02,-1.651291e-02,-3.646432e-02
1.066667e+00,-1.377508e-02,-3.389449e-02,-1.595057e-02,-3.469064e-02
1.100000e+00,-1.325934e-02,-3.221350e-02,-1.559098e-02,-3.306175e-02
1.133333e+00,-1.293018e-02,-3.067444e-02,-1.542938e-02,-3.157883e-02
1.166667e+00,-1.277970e-02,-2.927511e-02,-1.545735e-02,-3.023952e-02
1.200000e+00,-1.279722e-02,-2.801052e-02,-1.566347e-02,-2.903861e-02
1.233333e+00,-1.296979e-02,-2.687352e-02,-1.603394e-02,-2.796863e-02
1.266667e+00,-1.328262e-02,-2.585527e-02,-1.655295e-02,-2.702036e-02
