f_sv,SV_m1,SV_m1,SV_f1,SV_f2
1.591549e-03,2.975041e-02,2.957842e-02,1.816021e-01,1.814232e-01
1.662021e-03,2.976555e-02,2.957827e-02,1.816407e-01,1.814460e-01
1.735613e-03,2.978200e-02,2.957811e-02,1.816826e-01,1.814710e-01
1.812464e-03,2.979986e-02,2.957795e-02,1.817283e-01,1.814982e-01
1.892717e-03,2.981925e-02,2.957778e-02,1.817780e-01,1.815279e-01
1.976524e-03,2.984029e-02,2.957760e-02,1.818321e-01,1.815602e-01
2.064042e-03,2.986310e-02,2.957742e-02,1.818910e-01,1.815955e-01
2.155435e-03,2.988781e-02,2.957722e-02,1.819551e-01,1.816340e-01
2.250874e-03,2.991459e-02,2.957701e-02,1.820249e-01,1.816759e-01
2.350540e-03,2.994356e-02,2.957679e-02,1.821007e-01,1.817216e-01
2.454619e-03,2.997490e-02,2.957656e-02,1.821832e-01,1.817715e-01
2.563306e-03,3.000878e-02,2.957630e-02,1.822729e-01,1.818259e-01
2.676806e-03,3.004536e-02,2.957603e-02,1.823705e-01,1.818851e-01
2.795331e-03,3.008483e-02,2.957574e-02,1.824764e-01,1.819498e-01
2.919104e-03,3.012738e-02,2.957542e-02,1.825916e-01,1.820202e-01
3.048358e-03,3.017321e-02,2.957508e-02,1.827166e-01,1.820970e-01
3.183335e-03,3.022251e-02,2.957471e-02,1.828524e-01,1.821808e-01
3.324289e-03,3.027549e-02,2.957431e-02,1.829998e-01,1.822721e-01
3.471484e-03,3.033234e-02,2.957388e-02,1.831597e-01,1.823716e-01
3.625197e-03,3.039328e-02,2.957341e-02,1.833332e-01,1.824801e-01
3.785715e-03,3.045851e-02,2.957290e-02,1.835212e-01,1.825984e-01
3.953342e-03,3.052821e-02,2.957235e-02,1.837251e-01,1.827273e-01
4.128390e-03,3.060257e-02,2.957175e-02,1.839458e-01,1.828678e-01
4.311190e-03,3.068177e-02,2.957110e-02,1.841849e-01,1.830210e-01
4.502083e-03,3.076597e-02,2.957040e-02,1.844436e-01,1.831879e-01
4.701429e-03,3.085529e-02,2.956964e-02,1.847234e-01,1.833699e-01
4.909602e-03,3.094985e-02,2.956881e-02,1.850259e-01,1.835682e-01
5.126993e-03,3.104974e-02,2.956791e-02,1.853528e-01,1.837843e-01
5.354009e-03,3.115499e-02,2.956693e-02,1.857059e-01,1.840197e-01
5.591077e-03,3.126561e-02,2.956587e-02,1.860870e-01,1.842763e-01
5.838642e-03,3.138156e-02,2.956472e-02,1.864980e-01,1.845558e-01
6.097170e-03,3.150275e-02,2.956348e-02,1.869413e-01,1.848604e-01
6.367144e-03,3.162904e-02,2.956213e-02,1.874189e-01,1.851921e-01
6.649072e-03,3.176022e-02,2.956066e-02,1.879332e-01,1.855535e-01
6.943484e-03,3.189604e-02,2.955908e-02,1.884869e-01,1.859471e-01
7.250932e-03,3.203616e-02,2.955737e-02,1.890826e-01,1.863757e-01
7.571993e-03,3.218019e-02,2.955551e-02,1.897233e-01,1.868425e-01
7.907271e-03,3.232769e-02,2.955351e-02,1.904119e-01,1.873506e-01
8.257394e-03,3.247813e-02,2.955135e-02,1.911519e-01,1.879038e-01
8.623020e-03,3.263095e-02,2.954902e-02,1.919467e-01,1.885060e-01
9.004836e-03,3.278552e-02,2.954650e-02,1.928002e-01,1.891614e-01
9.403558e-03,3.294118e-02,2.954379e-02,1.937166e-01,1.898745e-01
9.819934e-03,3.309722e-02,2.954088e-02,1.947003e-01,1.906503e-01
1.025475e-02,3.325292e-02,2.953776e-02,1.957562e-01,1.914942e-01
1.070881e-02,3.340753e-02,2.953440e-02,1.968896e-01,1.924119e-01
1.118299e-02,3.356030e-02,2.953081e-02,1.981060e-01,1.934098e-01
1.167815e-02,3.371051e-02,2.952698e-02,1.994120e-01,1.944946e-01
1.219525e-02,3.385743e-02,2.952288e-02,2.008141e-01,1.956735e-01
1.273523e-02,3.400039e-02,2.951853e-02,2.023198e-01,1.969544e-01
1.329913e-02,3.413874e-02,2.951390e-02,2.039373e-01,1.983458e-01
1.388800e-02,3.427192e-02,2.950900e-02,2.056752e-01,1.998568e-01
1.450294e-02,3.439938e-02,2.950383e-02,2.075432e-01,2.014973e-01
1.514511e-02,3.452070e-02,2.949840e-02,2.095517e-01,2.032777e-01
1.581572e-02,3.463548e-02,2.949270e-02,2.117119e-01,2.052094e-01
