t,a1,a2,a3,a4
0.000000e+00,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
3.333333e-02,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
6.666667e-02,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
1.000000e-01,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
1.333333e-01,1.137098e+00,9.883832e-01,4.577575e-01,2.804314e-01
1.666667e-01,1.171871e+00,1.026624e+00,4.636018e-01,2.851924e-01
2.000000e-01,1.217010e+00,1.074944e+00,4.732036e-01,2.934302e-01
2.333333e-01,1.268303e+00,1.128429e+00,4.851357e-01,3.036755e-01
2.666667e-01,1.323195e+00,1.184187e+00,4.979993e-01,3.146648e-01
3.000000e-01,1.381157e+00,1.241874e+00,5.116416e-01,3.264932e-01
3.333333e-01,1.441882e+00,1.301315e+00,5.260788e-01,3.393915e-01
3.666667e-01,1.505120e+00,1.362421e+00,5.413996e-01,3.536251e-01
4.000000e-01,1.570695e+00,1.425183e+00,5.577521e-01,3.694806e-01
4.333333e-01,1.638486e+00,1.489657e+00,5.753370e-01,3.872603e-01
4.666667e-01,1.708371e+00,1.555915e+00,5.943732e-01,4.072274e-01
5.000000e-01,1.780268e+00,1.624066e+00,6.151180e-01,4.296417e-01
5.333333e-01,1.854013e+00,1.694101e+00,6.378670e-01,4.547665e-01
5.666667e-01,1.929409e+00,1.765977e+00,6.629018e-01,4.827997e-01
6.000000e-01,2.006390e+00,1.839786e+00,6.905331e-01,5.139344e-01
6.333333e-01,2.084941e+00,1.915657e+00,7.211046e-01,5.483699e-01
6.666667e-01,2.165057e+00,1.993687e+00,7.549172e-01,5.862372e-01
7.000000e-01,2.246771e+00,2.073985e+00,7.922846e-01,6.276747e-01
7.333333e-01,2.330151e+00,2.156665e+00,8.335393e-01,6.728364e-01
7.666667e-01,2.415262e+00,2.241794e+00,8.789362e-01,7.218099e-01
8.000000e-01,2.502198e+00,2.329439e+00,9.287329e-01,7.747020e-01
8.333333e-01,2.591079e+00,2.419664e+00,9.831947e-01,8.316455e-01
8.666667e-01,2.682002e+00,2.512475e+00,1.042485e+00,8.927088e-01
9.000000e-01,2.775083e+00,2.607878e+00,1.106766e+00,9.579873e-01
9.333333e-01,2.870451e+00,2.705875e+00,1.176202e+00,1.027607e+00
9.666667e-01,2.968196e+00,2.806410e+00,1.250844e+00,1.101628e+00
1.000000e+00,3.068409e+00,2.909429e+00,1.330745e+00,1.180135e+00
1.033333e+00,3.171185e+00,3.014878e+00,1.415962e+00,1.263247e+00
1.066667e+00,3.276560e+00,3.122652e+00,1.506437e+00,1.351002e+00
1.100000e+00,3.384561e+00,3.232653e+00,1.602123e+00,1.443465e+00
1.133333e+00,3.495209e+00,3.344785e+00,1.702978e+00,1.540723e+00
1.166667e+00,3.608449e+00,3.458910e+00,1.808861e+00,1.642774e+00
1.200000e+00,3.724215e+00,3.574900e+00,1.919642e+00,1.749633e+00
1.233333e+00,3.842422e+00,3.692627e+00,2.035209e+00,1.861330e+00
1.266667e+00,3.962910e+00,3.811932e+00,2.155356e+00,1.977793e+00
1.300000e+00,4.085503e+00,3.932656e+00,2.279903e+00,2.098961e+00
1.333333e+00,4.209999e+00,4.054642e+00,2.408682e+00,2.224776e+00
1.366667e+00,4.336133e+00,4.177700e+00,2.541452e+00,2.355074e+00
1.400000e+00,4.463621e+00,4.301636e+00,2.677995e+00,2.489695e+00
1.433333e+00,4.592151e+00,4.426245e+00,2.818105e+00,2.628470e+00
1.466667e+00,4.721367e+00,4.551289e+00,2.961514e+00,2.771130e+00
1.500000e+00,4.850894e+00,4.676517e+00,3.107971e+00,2.917400e+00
1.533333e+00,4.980330e+00,4.801652e+00,3.257233e+00,3.066993e+00
1.566667e+00,5.109257e+00,4.926395e+00,3.408999e+00,3.219528e+00
1.600000e+00,5.237337e+00,5.050541e+00,3.562968e+00,3.374605e+00
1.633333e+00,5.364347e+00,5.174010e+00,3.718826e+00,3.531783e+00
1.666667e+00,5.490040e+00,5.296643e+00,3.876218e+00,3.690575e+00
1.700000e+00,5.614109e+00,5.418189e+00,4.034789e+00,3.850497e+00
1.733333e+00,5.736208e+00,5.538329e+00,4.194163e+00,4.011046e+00
1.766667e+00,5.856018e+00,5.656738e+00,4.353928e+00,4.171692e+00
1.800000e+00,5.973213e+00,5.773068e+00,4.513648e+00,4.331899e+00
1.833333e+00,6.087456e+00,5.886938e+00,4.672852e+00,4.491107e+00
1.866667e+00,6.198470e+00,5.998006e+00,4.831046e+00,4.648763e+00
1.900000e+00,6.305975e+00,6.105917e+00,4.987704e+00,4.804306e+00
1.933333e+00,6.409684e+00,6.210302e+00,5.142250e+00,4.957147e+00
1.966667e+00,6.509386e+00,6.310860e+00,5.294114e+00,5.106742e+00
2.000000e+00,6.604870e+00,6.407293e+00,5.442693e+00,5.252530e+00
2.033333e+00,6.695911e+00,6.499296e+00,5.587330e+00,5.393922e+00
2.066667e+00,6.782379e+00,6.586667e+00,5.727415e+00,5.530399e+00
2.100000e+00,6.864134e+00,6.669210e+00,5.862311e+00,5.661427e+00
2.133333e+00,6.941029e+00,6.746730e+00,5.991335e+00,5.786435e+00
2.166667e+00,7.013009e+00,6.819148e+00,6.113904e+00,5.904959e+00
2.200000e+00,7.080014e+00,6.886391e+00,6.229419e+00,6.016512e+00
2.233333e+00,7.141966e+00,6.948380e+00,6.337250e+00,6.120575e+00
2.266667e+00,7.198886e+00,7.005153e+00,6.436924e+00,6.216765e+00
2.300000e+00,7.250770e+00,7.056722e+00,6.527962e+00,6.304682e+00
2.333333e+00,7.297552e+00,7.103038e+00,6.609868e+00,6.383888e+00
2.366667e+00,7.339251e+00,7.144140e+00,6.682339e+00,6.454114e+00
2.400000e+00,7.375866e+00,7.180053e+00,6.745077e+00,6.515071e+00
2.433333e+00,7.407376e+00,7.210778e+00,6.797777e+00,6.566449e+00
2.466667e+00,7.433856e+00,7.236407e+00,6.840360e+00,6.608135e+00
2.500000e+00,7.455357e+00,7.257005e+00,6.872750e+00,6.640006e+00
2.533333e+00,7.471912e+00,7.272608e+00,6.894871e+00,6.661930e+00
2.566667e+00,7.483646e+00,7.283333e+00,6.906879e+00,6.673992e+00
2.600000e+00,7.490659e+00,7.289269e+00,6.908926e+00,6.676274e+00
2.633333e+00,7.493035e+00,7.290479e+00,6.901167e+00,6.668862e+00
2.666667e+00,7.490944e+00,7.287108e+00,6.883975e+00,6.652063e+00
2.700000e+00,7.484536e+00,7.279283e+00,6.857712e+00,6.626185e+00
2.733333e+00,7.473949e+00,7.267119e+00,6.822744e+00,6.591548e+00
2.766667e+00,7.459403e+00,7.250821e+00,6.779623e+00,6.548677e+00
2.800000e+00,7.441103e+00,7.230589e+00,6.728887e+00,6.498094e+00
2.833333e+00,7.419243e+00,7.206612e+00,6.671072e+00,6.440336e+00
2.866667e+00,7.394058e+00,7.179131e+00,6.606859e+00,6.376101e+00
2.900000e+00,7.365756e+00,7.148368e+00,6.536904e+00,6.306072e+00
2.933333e+00,7.334535e+00,7.114539e+00,6.461861e+00,6.230934e+00
2.966667e+00,7.300647e+00,7.077937e+00,6.382480e+00,6.151478e+00
3.000000e+00,7.264341e+00,7.038851e+00,6.299490e+00,6.068464e+00
3.033333e+00,7.225867e+00,6.997585e+00,6.213612e+00,5.982646e+00
3.066667e+00,7.185524e+00,6.954493e+00,6.125617e+00,5.894818e+00
3.100000e+00,7.143612e+00,6.909934e+00,6.036249e+00,5.805736e+00
3.133333e+00,7.100434e+00,6.864269e+00,5.946244e+00,5.716141e+00
3.166667e+00,7.056327e+00,6.817887e+00,5.856335e+00,5.626757e+00
3.200000e+00,7.011623e+00,6.771168e+00,5.767225e+00,5.538270e+00
3.233333e+00,6.966660e+00,6.724491e+00,5.679610e+00,5.451354e+00
3.266667e+00,6.921782e+00,6.678225e+00,5.594134e+00,5.366619e+00
3.300000e+00,6.877241e+00,6.632619e+00,5.511412e+00,5.284653e+00
3.333333e+00,6.833156e+00,6.587756e+00,5.432055e+00,5.206042e+00
3.366667e+00,6.789630e+00,6.543710e+00,5.356577e+00,5.131275e+00
3.400000e+00,6.746885e+00,6.500706e+00,5.285469e+00,5.060812e+00
3.433333e+00,6.705238e+00,6.459074e+00,5.219220e+00,4.995103e+00
3.466667e+00,6.664982e+00,6.419098e+00,5.158200e+00,4.934491e+00
3.500000e+00,6.626395e+00,6.381031e+00,5.102770e+00,4.879313e+00
3.533333e+00,6.589742e+00,6.345105e+00,5.053288e+00,4.829912e+00
3.566667e+00,6.555229e+00,6.311480e+00,5.009979e+00,4.786506e+00
3.600000e+00,6.523038e+00,6.280288e+00,4.973064e+00,4.749319e+00
3.633333e+00,6.493338e+00,6.251639e+00,4.942765e+00,4.718581e+00
3.666667e+00,6.466217e+00,6.225565e+00,4.919161e+00,4.694391e+00
3.700000e+00,6.441742e+00,6.202075e+00,4.902331e+00,4.676852e+00
3.733333e+00,6.419956e+00,6.181159e+00,4.892361e+00,4.666077e+00
3.766667e+00,6.400819e+00,6.162728e+00,4.889185e+00,4.662034e+00
3.800000e+00,6.384265e+00,6.146678e+00,4.892743e+00,4.664699e+00
3.833333e+00,6.370202e+00,6.132883e+00,4.902975e+00,4.674046e+00
3.866667e+00,6.358455e+00,6.121150e+00,4.919673e+00,4.689901e+00
3.900000e+00,6.348825e+00,6.111276e+00,4.942631e+00,4.712088e+00
3.933333e+00,6.341085e+00,6.103039e+00,4.971635e+00,4.740418e+00
3.966667e+00,6.335053e+00,6.096315e+00,5.006330e+00,4.774546e+00
4.000000e+00,6.330652e+00,6.091110e+00,5.046360e+00,4.814117e+00
4.033333e+00,6.327750e+00,6.087360e+00,5.091363e+00,4.858765e+00
4.066667e+00,6.326126e+00,6.084910e+00,5.140850e+00,4.907990e+00
4.100000e+00,6.325546e+00,6.083589e+00,5.194324e+00,4.961280e+00
4.133333e+00,6.325763e+00,6.083226e+00,5.251265e+00,5.018088e+00
4.166667e+00,6.326523e+00,6.083639e+00,5.311054e+00,5.077766e+00
4.200000e+00,6.327590e+00,6.084668e+00,5.373062e+00,5.139647e+00
4.233333e+00,6.328748e+00,6.086171e+00,5.436630e+00,5.203032e+00
4.266667e+00,6.329805e+00,6.088016e+00,5.501046e+00,5.267168e+00
4.300000e+00,6.330606e+00,6.090099e+00,5.565592e+00,5.331295e+00
4.333333e+00,6.331028e+00,6.092338e+00,5.629522e+00,5.394631e+00
4.366667e+00,6.330998e+00,6.094669e+00,5.692093e+00,5.456408e+00
4.400000e+00,6.330480e+00,6.097047e+00,5.752561e+00,5.515867e+00
4.433333e+00,6.329478e+00,6.099446e+00,5.810168e+00,5.572246e+00
4.466667e+00,6.328042e+00,6.101847e+00,5.864216e+00,5.624863e+00
4.500000e+00,6.326253e+00,6.104242e+00,5.914020e+00,5.673068e+00
4.533333e+00,6.324215e+00,6.106623e+00,5.958892e+00,5.716221e+00
4.566667e+00,6.322053e+00,6.108974e+00,5.998261e+00,5.753820e+00
4.600000e+00,6.319858e+00,6.111227e+00,6.031568e+00,5.785389e+00
4.633333e+00,6.317711e+00,6.113293e+00,6.058260e+00,5.810469e+00
4.666667e+00,6.315682e+00,6.115082e+00,6.077945e+00,5.828768e+00
4.700000e+00,6.313828e+00,6.116502e+00,6.090257e+00,5.840021e+00
4.733333e+00,6.312186e+00,6.117456e+00,6.094848e+00,5.843983e+00
4.766667e+00,6.310766e+00,6.117851e+00,6.091567e+00,5.840590e+00
4.800000e+00,6.309547e+00,6.117597e+00,6.080291e+00,5.829796e+00
4.833333e+00,6.308482e+00,6.116597e+00,6.060925e+00,5.811570e+00
4.866667e+00,6.307494e+00,6.114778e+00,6.033587e+00,5.786061e+00
4.900000e+00,6.306482e+00,6.112070e+00,5.998426e+00,5.753430e+00
4.933333e+00,6.305329e+00,6.108414e+00,5.955628e+00,5.713856e+00
4.966667e+00,6.303911e+00,6.103785e+00,5.905587e+00,5.667685e+00
5.000000e+00,6.302106e+00,6.098182e+00,5.848725e+00,5.615277e+00
5.033333e+00,6.299801e+00,6.091625e+00,5.785508e+00,5.557011e+00
5.066667e+00,6.296890e+00,6.084158e+00,5.716571e+00,5.493413e+00
5.100000e+00,6.293256e+00,6.075806e+00,5.642564e+00,5.425013e+00
5.133333e+00,6.288797e+00,6.066614e+00,5.564168e+00,5.352361e+00
5.166667e+00,6.283468e+00,6.056678e+00,5.482181e+00,5.276120e+00
5.200000e+00,6.277274e+00,6.046140e+00,5.397400e+00,5.196957e+00
5.233333e+00,6.270285e+00,6.035197e+00,5.310645e+00,5.115565e+00
5.266667e+00,6.262656e+00,6.024112e+00,5.222781e+00,5.032696e+00
5.300000e+00,6.254604e+00,6.013192e+00,5.134657e+00,4.949100e+00
5.333333e+00,6.246402e+00,6.002779e+00,5.047123e+00,4.865547e+00
5.366667e+00,6.238367e+00,5.993230e+00,4.961003e+00,4.782804e+00
5.400000e+00,6.230856e+00,5.984919e+00,4.877093e+00,4.701631e+00
5.433333e+00,6.224120e+00,5.978065e+00,4.796185e+00,4.622807e+00
5.466667e+00,6.218244e+00,5.972671e+00,4.718982e+00,4.547063e+00
5.500000e+00,6.213573e+00,5.969070e+00,4.646155e+00,4.475093e+00
5.533333e+00,6.210658e+00,5.967818e+00,4.578371e+00,4.407586e+00
5.566667e+00,6.210052e+00,5.969440e+00,4.516168e+00,4.345124e+00
5.600000e+00,6.212320e+00,5.974454e+00,4.460069e+00,4.288280e+00
5.633333e+00,6.218047e+00,5.983386e+00,4.410599e+00,4.237635e+00
5.666667e+00,6.227752e+00,5.996677e+00,4.368134e+00,4.193638e+00
5.700000e+00,6.241952e+00,6.014758e+00,4.333049e+00,4.156735e+00
5.733333e+00,6.261178e+00,6.038070e+00,4.305732e+00,4.127395e+00
5.766667e+00,6.285854e+00,6.066944e+00,4.286418e+00,4.105930e+00
5.800000e+00,6.316404e+00,6.101712e+00,4.275354e+00,4.092665e+00
5.833333e+00,6.353265e+00,6.142725e+00,4.272820e+00,4.087955e+00
5.866667e+00,6.396743e+00,6.190207e+00,4.278931e+00,4.091985e+00
5.900000e+00,6.447150e+00,6.244402e+00,4.293834e+00,4.104964e+00
5.933333e+00,6.504815e+00,6.305577e+00,4.317716e+00,4.127137e+00
5.966667e+00,6.569921e+00,6.373873e+00,4.350600e+00,4.158572e+00
6.000000e+00,6.642663e+00,6.449455e+00,4.392552e+00,4.199371e+00
6.033333e+00,6.723261e+00,6.532524e+00,4.443681e+00,4.249674e+00
6.066667e+00,6.811781e+00,6.623149e+00,4.503936e+00,4.309446e+00
6.100000e+00,6.908315e+00,6.721433e+00,4.573316e+00,4.378693e+00
6.133333e+00,7.012981e+00,6.827520e+00,4.651864e+00,4.457459e+00
6.166667e+00,7.125748e+00,6.941417e+00,4.739469e+00,4.545621e+00
6.200000e+00,7.246617e+00,7.063173e+00,4.836071e+00,4.643097e+00
6.233333e+00,7.375624e+00,7.192879e+00,4.941659e+00,4.749851e+00
6.266667e+00,7.512665e+00,7.330488e+00,5.056068e+00,4.865685e+00
6.300000e+00,7.657674e+00,7.475997e+00,5.179189e+00,4.990446e+00
6.333333e+00,7.810632e+00,7.629442e+00,5.310956e+00,5.124028e+00
6.366667e+00,7.971386e+00,7.790725e+00,5.451161e+00,5.266175e+00
6.400000e+00,8.139835e+00,7.959789e+00,5.599647e+00,5.416678e+00
6.433333e+00,8.315923e+00,8.136620e+00,5.756299e+00,5.575375e+00
6.466667e+00,8.499480e+00,8.321071e+00,5.920868e+00,5.741968e+00
6.500000e+00,8.690385e+00,8.513039e+00,6.093152e+00,5.916206e+00
6.533333e+00,8.888575e+00,8.712466e+00,6.272988e+00,6.097885e+00
6.566667e+00,9.093873e+00,8.919171e+00,6.460088e+00,6.286676e+00
6.600000e+00,9.306162e+00,9.133022e+00,6.654206e+00,6.482303e+00
6.633333e+00,9.525378e+00,9.353932e+00,6.855134e+00,6.684526e+00
6.666667e+00,9.751356e+00,9.581709e+00,7.062546e+00,6.893001e+00
6.700000e+00,9.983990e+00,9.816210e+00,7.276157e+00,7.107428e+00
6.733333e+00,1.022323e+01,1.005735e+01,7.495709e+00,7.327543e+00
6.766667e+00,1.046892e+01,1.030494e+01,7.720846e+00,7.552989e+00
6.800000e+00,1.072097e+01,1.055886e+01,7.951243e+00,7.783449e+00
6.833333e+00,1.097936e+01,1.081904e+01,8.186600e+00,8.018629e+00
6.866667e+00,1.124395e+01,1.108534e+01,8.426530e+00,8.258159e+00
6.900000e+00,1.151468e+01,1.135767e+01,8.670676e+00,8.501697e+00
6.933333e+00,1.179154e+01,1.163602e+01,8.918694e+00,8.748915e+00
6.966667e+00,1.207444e+01,1.192028e+01,9.170172e+00,8.999414e+00
7.000000e+00,1.236335e+01,1.221045e+01,9.424714e+00,9.252813e+00
7.033333e+00,1.265829e+01,1.250656e+01,9.681930e+00,9.508726e+00
7.066667e+00,1.295921e+01,1.280860e+01,9.941370e+00,9.766706e+00
7.100000e+00,1.326613e+01,1.311660e+01,1.020259e+01,1.002630e+01
7.133333e+00,1.357912e+01,1.343069e+01,1.046512e+01,1.028703e+01
7.166667e+00,1.389818e+01,1.375092e+01,1.072844e+01,1.054834e+01
7.200000e+00,1.422351e+01,1.407753e+01,1.099197e+01,1.080963e+01
7.233333e+00,1.455538e+01,1.441092e+01,1.125508e+01,1.107017e+01
7.266667e+00,1.489396e+01,1.475128e+01,1.151704e+01,1.132921e+01
7.300000e+00,1.523946e+01,1.509884e+01,1.177710e+01,1.158590e+01
