t,cm1,sd1,cm2,sd2
0.000000e+00,2.119586e+00,7.828428e-17,2.119586e+00,0.000000e+00
3.333333e-02,2.119586e+00,8.149352e-17,2.119586e+00,-7.179291e-19
6.666667e-02,2.119586e+00,8.472082e-17,2.119586e+00,-2.719859e-18
1.000000e-01,2.515103e+00,8.807462e-17,2.515103e+00,-5.853790e-18
1.333333e-01,2.436490e+00,-2.105930e-04,2.436490e+00,-1.830900e-05
1.666667e-01,3.585449e+00,-8.497812e-04,3.585449e+00,-1.216376e-04
2.000000e-01,3.826908e+00,-2.633503e-03,3.826908e+00,-4.808138e-04
2.333333e-01,3.942847e+00,-5.764464e-03,3.942836e+00,-1.358498e-03
2.666667e-01,4.053865e+00,-1.029004e-02,4.053852e+00,-2.999694e-03
3.000000e-01,4.164047e+00,-1.619527e-02,4.164047e+00,-5.614939e-03
3.333333e-01,4.274393e+00,-2.345091e-02,4.274487e+00,-9.378450e-03
3.666667e-01,4.384593e+00,-3.198674e-02,4.384890e+00,-1.439716e-02
4.000000e-01,4.493901e+00,-4.172491e-02,4.494474e+00,-2.073505e-02
4.333333e-01,4.601452e+00,-5.257912e-02,4.602205e+00,-2.841655e-02
4.666667e-01,4.706459e+00,-6.443245e-02,4.707210e+00,-3.739830e-02
5.000000e-01,4.810788e+00,-7.716573e-02,4.808753e+00,-4.760360e-02
5.333333e-01,4.913508e+00,-9.065751e-02,4.908605e+00,-5.892418e-02
5.666667e-01,5.009023e+00,-1.000000e-01,5.003389e+00,-7.120120e-02
6.000000e-01,5.099887e+00,-1.000000e-01,5.093120e+00,-8.425784e-02
6.333333e-01,5.185833e+00,-1.000000e-01,5.177987e+00,-9.789847e-02
6.666667e-01,5.266794e+00,-1.000000e-01,5.257930e+00,-1.000000e-01
7.000000e-01,5.342763e+00,-1.000000e-01,5.332946e+00,-1.000000e-01
7.333333e-01,5.413775e+00,-1.000000e-01,5.403070e+00,-1.000000e-01
7.666667e-01,5.479999e+00,-1.000000e-01,5.468466e+00,-1.000000e-01
8.000000e-01,5.541614e+00,-1.000000e-01,5.529306e+00,-1.000000e-01
8.333333e-01,5.598798e+00,-1.000000e-01,5.585761e+00,-1.000000e-01
8.666667e-01,5.651812e+00,-1.000000e-01,5.638082e+00,-1.000000e-01
9.000000e-01,5.700894e+00,-1.000000e-01,5.686495e+00,-1.000000e-01
9.333333e-01,5.746253e+00,-1.000000e-01,5.731198e+00,-1.000000e-01
9.666667e-01,5.788146e+00,-1.000000e-01,5.772437e+00,-1.000000e-01
1.000000e+00,5.826787e+00,-1.000000e-01,5.810414e+00,-1.000000e-01
1.033333e+00,5.862349e+00,-1.000000e-01,5.845290e+00,-1.000000e-01
1.066667e+00,5.895030e+00,-1.000000e-01,5.877250e+00,-1.000000e-01
1.100000e+00,5.924975e+00,-1.000000e-01,5.906429e+00,-1.000000e-01
1.133333e+00,5.952281e+00,-1.000000e-01,5.932911e+00,-1.000000e-01
1.166667e+00,5.977053e+00,-1.000000e-01,5.956788e+00,-1.000000e-01
1.200000e+00,5.999337e+00,-1.000000e-01,5.978096e+00,-1.000000e-01
1.233333e+00,6.019124e+00,-1.000000e-01,5.996811e+00,-1.000000e-01
1.266667e+00,6.036398e+00,-1.000000e-01,6.012906e+00,-1.000000e-01
1.300000e+00,6.051082e+00,-1.000000e-01,6.026290e+00,-1.000000e-01
1.333333e+00,6.063028e+00,-1.000000e-01,6.036800e+00,-1.000000e-01
1.366667e+00,6.072079e+00,-1.000000e-01,6.044267e+00,-1.000000e-01
1.400000e+00,6.078007e+00,-1.000000e-01,6.048449e+00,-1.000000e-01
1.433333e+00,6.080504e+00,-1.000000e-01,6.049021e+00,-1.000000e-01
1.466667e+00,6.079254e+00,-1.000000e-01,6.045656e+00,-1.000000e-01
1.500000e+00,6.073864e+00,-1.000000e-01,6.037946e+00,-1.000000e-01
1.533333e+00,6.063847e+00,-1.000000e-01,6.025389e+00,-1.000000e-01
1.566667e+00,6.043909e+00,-1.000000e-01,5.997227e+00,-1.000000e-01
1.600000e+00,6.010944e+00,-1.000000e-01,5.963601e+00,-1.000000e-01
1.633333e+00,5.977791e+00,-1.000000e-01,5.929538e+00,-1.000000e-01
1.666667e+00,5.942195e+00,-1.000000e-01,5.892242e+00,-9.580501e-02
1.700000e+00,5.902146e+00,-1.000000e-01,5.851765e+00,-8.408721e-02
1.733333e+00,5.856599e+00,-1.000000e-01,5.806284e+00,-7.256787e-02
1.766667e+00,5.805072e+00,-1.000000e-01,5.754417e+00,-6.128503e-02
1.800000e+00,5.747296e+00,-1.000000e-01,5.695354e+00,-5.026583e-02
1.833333e+00,5.683103e+00,-1.000000e-01,5.628523e+00,-3.952796e-02
1.866667e+00,5.612554e+00,-1.000000e-01,5.553661e+00,-2.907360e-02
1.900000e+00,5.535791e+00,-1.000000e-01,5.470622e+00,-1.889650e-02
1.933333e+00,5.453073e+00,-1.000000e-01,5.379379e+00,-8.982569e-03
1.966667e+00,5.364908e+00,-1.000000e-01,5.280212e+00,6.949358e-04
2.000000e+00,5.271917e+00,-1.000000e-01,5.173552e+00,1.016803e-02
2.033333e+00,5.174854e+00,-1.000000e-01,5.060014e+00,1.947382e-02
2.066667e+00,5.074698e+00,-1.000000e-01,4.940539e+00,2.865649e-02
2.100000e+00,4.972545e+00,-1.000000e-01,4.816228e+00,3.776139e-02
2.133333e+00,4.869644e+00,-1.000000e-01,4.688364e+00,4.683501e-02
2.166667e+00,4.767374e+00,-1.000000e-01,4.558472e+00,5.592330e-02
2.200000e+00,4.667174e+00,-1.000000e-01,4.428193e+00,6.506865e-02
2.233333e+00,4.570566e+00,-1.000000e-01,4.299301e+00,7.430948e-02
2.266667e+00,4.478996e+00,-1.000000e-01,4.173616e+00,8.367573e-02
2.300000e+00,4.393262e+00,-1.000000e-01,4.052958e+00,9.318892e-02
2.333333e+00,4.314859e+00,-1.000000e-01,3.939233e+00,1.000000e-01
2.366667e+00,4.244988e+00,-1.000000e-01,3.835045e+00,1.000000e-01
2.400000e+00,4.184725e+00,-1.000000e-01,3.742181e+00,1.000000e-01
2.433333e+00,4.135048e+00,-1.000000e-01,3.661984e+00,1.000000e-01
2.466667e+00,4.096577e+00,-1.000000e-01,3.595429e+00,1.000000e-01
2.500000e+00,4.069793e+00,-1.000000e-01,3.543361e+00,1.000000e-01
2.533333e+00,4.055041e+00,-1.000000e-01,3.506489e+00,1.000000e-01
2.566667e+00,4.052258e+00,-1.000000e-01,3.485013e+00,1.000000e-01
2.600000e+00,4.061241e+00,-1.000000e-01,3.478964e+00,1.000000e-01
2.633333e+00,4.081637e+00,-1.000000e-01,3.488196e+00,1.000000e-01
2.666667e+00,4.112706e+00,-1.000000e-01,3.512048e+00,1.000000e-01
2.700000e+00,4.153596e+00,-1.000000e-01,3.549697e+00,1.000000e-01
2.733333e+00,4.203337e+00,-1.000000e-01,3.600129e+00,1.000000e-01
2.766667e+00,4.260673e+00,-1.000000e-01,3.661877e+00,1.000000e-01
2.800000e+00,4.324229e+00,-1.000000e-01,3.733342e+00,1.000000e-01
2.833333e+00,4.392500e+00,-1.000000e-01,3.812774e+00,1.000000e-01
2.866667e+00,4.464245e+00,-1.000000e-01,3.898163e+00,1.000000e-01
2.900000e+00,4.538166e+00,-1.000000e-01,3.987504e+00,1.000000e-01
2.933333e+00,4.612930e+00,-1.000000e-01,4.078793e+00,1.000000e-01
2.966667e+00,4.687239e+00,-1.000000e-01,4.170082e+00,1.000000e-01
3.000000e+00,4.759915e+00,-1.000000e-01,4.259609e+00,1.000000e-01
3.033333e+00,4.829897e+00,-1.000000e-01,4.345777e+00,1.000000e-01
3.066667e+00,4.896334e+00,-1.000000e-01,4.427274e+00,1.000000e-01
3.100000e+00,4.958539e+00,-1.000000e-01,4.503029e+00,1.000000e-01
3.133333e+00,5.015972e+00,-1.000000e-01,4.572167e+00,1.000000e-01
3.166667e+00,5.068343e+00,-1.000000e-01,4.633807e+00,1.000000e-01
3.200000e+00,5.115494e+00,-1.000000e-01,4.686724e+00,1.000000e-01
3.233333e+00,5.157352e+00,-1.000000e-01,4.731755e+00,1.000000e-01
3.266667e+00,5.197497e+00,-1.000000e-01,4.769324e+00,1.000000e-01
3.300000e+00,5.235151e+00,-1.000000e-01,4.799933e+00,1.000000e-01
3.333333e+00,5.270398e+00,-1.000000e-01,4.824080e+00,1.000000e-01
3.366667e+00,5.293139e+00,-1.000000e-01,4.842360e+00,1.000000e-01
3.400000e+00,5.306750e+00,-1.000000e-01,4.855135e+00,8.787198e-02
3.433333e+00,5.315174e+00,-1.000000e-01,4.862989e+00,7.146118e-02
3.466667e+00,5.318992e+00,-1.000000e-01,4.866550e+00,5.529204e-02
3.500000e+00,5.318654e+00,-1.000000e-01,4.866325e+00,3.957112e-02
3.533333e+00,5.314501e+00,-1.000000e-01,4.862769e+00,2.450048e-02
3.566667e+00,5.306850e+00,-1.000000e-01,4.856349e+00,1.025782e-02
3.600000e+00,5.295903e+00,-1.000000e-01,4.847513e+00,-2.993515e-03
3.633333e+00,5.281752e+00,-1.000000e-01,4.836711e+00,-1.510097e-02
3.666667e+00,5.264443e+00,-1.000000e-01,4.824089e+00,-2.595188e-02
3.700000e+00,5.243900e+00,-1.000000e-01,4.809903e+00,-3.545016e-02
3.733333e+00,5.219911e+00,-1.000000e-01,4.794357e+00,-4.351346e-02
3.766667e+00,5.192210e+00,-1.000000e-01,4.777641e+00,-5.010651e-02
3.800000e+00,5.160398e+00,-1.000000e-01,4.759894e+00,-5.520879e-02
3.833333e+00,5.123944e+00,-1.000000e-01,4.741220e+00,-5.881296e-02
3.866667e+00,5.082294e+00,-1.000000e-01,4.721701e+00,-6.095728e-02
3.900000e+00,5.034785e+00,-1.000000e-01,4.701385e+00,-6.168999e-02
3.933333e+00,4.976325e+00,-1.000000e-01,4.680285e+00,-6.106897e-02
3.966667e+00,4.906523e+00,-1.000000e-01,4.658402e+00,-5.918941e-02
4.000000e+00,4.833946e+00,-1.000000e-01,4.635708e+00,-5.615004e-02
4.033333e+00,4.756268e+00,-1.000000e-01,4.612149e+00,-5.205416e-02
4.066667e+00,4.672161e+00,-1.000000e-01,4.587665e+00,-4.702975e-02
4.100000e+00,4.581076e+00,-1.000000e-01,4.562177e+00,-4.120196e-02
4.133333e+00,4.482863e+00,-1.000000e-01,4.535582e+00,-3.469513e-02
4.166667e+00,4.377811e+00,-1.000000e-01,4.507790e+00,-2.764439e-02
4.200000e+00,4.266443e+00,-1.000000e-01,4.478695e+00,-2.017697e-02
4.233333e+00,4.149538e+00,-1.000000e-01,4.448180e+00,-1.241480e-02
4.266667e+00,4.028254e+00,-1.000000e-01,4.416153e+00,-4.478100e-03
4.300000e+00,3.903985e+00,-1.000000e-01,4.382552e+00,3.523831e-03
4.333333e+00,3.778391e+00,-1.000000e-01,4.347244e+00,1.148983e-02
4.366667e+00,3.653383e+00,-1.000000e-01,4.310045e+00,1.932971e-02
4.400000e+00,3.531015e+00,-1.000000e-01,4.270802e+00,2.696487e-02
4.433333e+00,3.413504e+00,-1.000000e-01,4.229365e+00,3.432585e-02
4.466667e+00,3.303025e+00,-1.000000e-01,4.185663e+00,4.135931e-02
4.500000e+00,3.201705e+00,-1.000000e-01,4.139673e+00,4.802227e-02
4.533333e+00,3.111632e+00,-1.000000e-01,4.091439e+00,5.428011e-02
4.566667e+00,3.032656e+00,-1.000000e-01,4.041130e+00,6.011553e-02
4.600000e+00,2.967377e+00,-1.000000e-01,3.988994e+00,6.551874e-02
4.633333e+00,2.917617e+00,-1.000000e-01,3.935373e+00,7.048614e-02
4.666667e+00,2.884375e+00,-1.000000e-01,3.880732e+00,7.502901e-02
