f,gc1,pc1
1.000000e-02,1.593822e+01,8.334590e+01
1.036779e-02,1.625004e+01,8.310163e+01
1.074911e-02,1.656173e+01,8.284842e+01
1.114445e-02,1.687326e+01,8.258596e+01
1.155434e-02,1.718463e+01,8.231391e+01
1.197930e-02,1.749583e+01,8.203192e+01
1.241989e-02,1.780683e+01,8.173965e+01
1.287668e-02,1.811763e+01,8.143671e+01
1.335027e-02,1.842822e+01,8.112274e+01
1.384129e-02,1.873857e+01,8.079732e+01
1.435036e-02,1.904867e+01,8.046006e+01
1.487815e-02,1.935850e+01,8.011054e+01
1.542536e-02,1.966804e+01,7.974831e+01
1.599269e-02,1.997727e+01,7.937293e+01
1.658089e-02,2.028616e+01,7.898393e+01
1.719072e-02,2.059469e+01,7.858084e+01
1.782298e-02,2.090284e+01,7.816316e+01
1.847850e-02,2.121058e+01,7.773037e+01
1.915812e-02,2.151787e+01,7.728196e+01
1.986274e-02,2.182469e+01,7.681738e+01
2.059328e-02,2.213099e+01,7.633608e+01
2.135068e-02,2.243675e+01,7.583747e+01
2.213594e-02,2.274191e+01,7.532097e+01
2.295009e-02,2.304645e+01,7.478597e+01
2.379417e-02,2.335031e+01,7.423184e+01
2.466930e-02,2.365344e+01,7.365794e+01
2.557662e-02,2.395579e+01,7.306362e+01
2.651731e-02,2.425731e+01,7.244819e+01
2.749259e-02,2.455793e+01,7.181097e+01
2.850375e-02,2.485759e+01,7.115124e+01
2.955209e-02,2.515623e+01,7.046828e+01
3.063899e-02,2.545376e+01,6.976136e+01
3.176587e-02,2.575011e+01,6.902971e+01
3.293420e-02,2.604521e+01,6.827256e+01
3.414549e-02,2.633895e+01,6.748913e+01
3.540133e-02,2.663124e+01,6.667864e+01
3.670336e-02,2.692199e+01,6.584025e+01
3.805329e-02,2.721109e+01,6.497317e+01
3.945285e-02,2.749842e+01,6.407657e+01
4.090390e-02,2.778386e+01,6.314960e+01
4.240831e-02,2.806729e+01,6.219144e+01
4.396806e-02,2.834857e+01,6.120124e+01
4.558516e-02,2.862754e+01,6.017815e+01
4.726175e-02,2.890407e+01,5.912135e+01
4.900000e-02,2.917799e+01,5.803000e+01
