f,gc1,pc1,gc2,pc2
1.000000e-02,-2.557983e+01,-9.648277e+01,-2.769892e+01,7.657438e+01
2.566929e-02,-1.753493e+01,-1.065280e+02,-2.035169e+01,5.733681e+01
4.133858e-02,-1.365908e+01,-1.163276e+02,-1.747203e+01,4.150481e+01
5.700787e-02,-1.123936e+01,-1.257466e+02,-1.607013e+01,2.900447e+01
7.267717e-02,-9.596907e+00,-1.346749e+02,-1.532019e+01,1.913185e+01
8.834646e-02,-8.446978e+00,-1.430252e+02,-1.488337e+01,1.118834e+01
1.040157e-01,-7.636941e+00,-1.507295e+02,-1.459919e+01,4.633740e+00
1.196850e-01,-7.071089e+00,-1.577342e+02,-1.438493e+01,-9.267671e-01
1.353543e-01,-6.681770e+00,-1.639952e+02,-1.419571e+01,-5.779967e+00
1.510236e-01,-6.415640e+00,-1.694758e+02,-1.400627e+01,-1.013421e+01
1.666929e-01,-6.225770e+00,-1.741501e+02,-1.380162e+01,-1.414100e+01
1.823622e-01,-6.066548e+00,-1.780153e+02,-1.357159e+01,-1.791362e+01
1.980315e-01,-5.890801e+00,1.788847e+02,-1.330778e+01,-2.154646e+01
2.137008e-01,-5.650139e+00,1.764234e+02,-1.300285e+01,-2.513574e+01
2.293701e-01,-5.300291e+00,1.743560e+02,-1.265239e+01,-2.879554e+01
2.450394e-01,-4.811943e+00,1.723094e+02,-1.225913e+01,-3.265517e+01
2.607087e-01,-4.183463e+00,1.698322e+02,-1.183648e+01,-3.682517e+01
2.763780e-01,-3.447395e+00,1.665078e+02,-1.140683e+01,-4.134038e+01
2.920472e-01,-2.663786e+00,1.620873e+02,-1.099242e+01,-4.611687e+01
3.077165e-01,-1.901112e+00,1.565709e+02,-1.060199e+01,-5.096191e+01
3.233858e-01,-1.213164e+00,1.501957e+02,-1.022081e+01,-5.564649e+01
3.390551e-01,-6.222811e-01,1.433370e+02,-9.810309e+00,-6.000883e+01
3.547244e-01,-1.151921e-01,1.363759e+02,-9.318373e+00,-6.402894e+01
3.703937e-01,3.502803e-01,1.295994e+02,-8.692659e+00,-6.782858e+01
3.860630e-01,8.356515e-01,1.231618e+02,-7.886582e+00,-7.161062e+01
4.017323e-01,1.417524e+00,1.170926e+02,-6.853153e+00,-7.559470e+01
4.174016e-01,2.194121e+00,1.113159e+02,-5.527659e+00,-7.999533e+01
4.330709e-01,3.309780e+00,1.056394e+02,-3.796271e+00,-8.506132e+01
4.487402e-01,5.021624e+00,9.963696e+01,-1.426840e+00,-9.122831e+01
4.644094e-01,7.914817e+00,9.204517e+01,2.145995e+00,-9.974977e+01
4.800787e-01,1.393791e+01,7.551942e+01,8.854510e+00,-1.179570e+02
4.957480e-01,1.815430e+01,-4.091870e+01,1.374740e+01,1.231814e+02
5.114173e-01,6.861764e+00,-7.655471e+01,3.107517e+00,8.438722e+01
5.270866e-01,8.049875e-01,-8.550191e+01,-2.336953e+00,7.155785e+01
5.427559e-01,-3.597202e+00,-9.122438e+01,-6.185903e+00,6.125458e+01
5.584252e-01,-7.263054e+00,-9.608260e+01,-9.378163e+00,5.117039e+01
5.740945e-01,-1.055275e+01,-1.007844e+02,-1.229466e+01,4.069170e+01
5.897638e-01,-1.365584e+01,-1.057428e+02,-1.514281e+01,2.954660e+01
6.054331e-01,-1.669565e+01,-1.113742e+02,-1.805741e+01,1.750026e+01
6.211024e-01,-1.976466e+01,-1.182703e+02,-2.113315e+01,4.162470e+00
6.367717e-01,-2.292631e+01,-1.274244e+02,-2.442574e+01,-1.126760e+01
6.524409e-01,-2.616059e+01,-1.405733e+02,-2.789935e+01,-3.037004e+01
6.681102e-01,-2.916163e+01,-1.602026e+02,-3.122766e+01,-5.552416e+01
6.837795e-01,-3.105758e+01,1.733908e+02,-3.351735e+01,-8.697235e+01
6.994488e-01,-3.119269e+01,1.472791e+02,-3.409289e+01,-1.176302e+02
7.151181e-01,-3.029109e+01,1.282385e+02,-3.366176e+01,-1.407393e+02
7.307874e-01,-2.922313e+01,1.157400e+02,-3.308124e+01,-1.568633e+02
7.464567e-01,-2.829922e+01,1.073195e+02,-3.265193e+01,-1.685094e+02
7.621260e-01,-2.756413e+01,1.013022e+02,-3.241154e+01,-1.773969e+02
