k,re,im
1.000000e+00,-2.000000e+01,0.000000e+00
2.000000e+00,-2.000000e+00,0.000000e+00
3.000000e+00,-2.000000e+00,0.000000e+00
4.000000e+00,-1.000000e+00,0.000000e+00
5.000000e+00,-7.265900e+01,0.000000e+00
6.000000e+00,-1.999847e+01,0.000000e+00
7.000000e+00,-1.036827e+01,0.000000e+00
8.000000e+00,-8.279893e-01,3.782540e+00
9.000000e+00,-8.279893e-01,-3.782540e+00
1.000000e+01,-3.195693e+00,1.741871e+00
1.100000e+01,-3.195693e+00,-1.741871e+00
1.200000e+01,-7.075225e-01,1.618166e+00
1.300000e+01,-7.075225e-01,-1.618166e+00
1.400000e+01,-3.230749e-01,0.000000e+00
1.500000e+01,-9.999776e+01,0.000000e+00
1.600000e+01,-9.999811e+01,0.000000e+00
1.700000e+01,-9.999891e+01,0.000000e+00
1.800000e+01,-9.999893e+01,0.000000e+00
1.900000e+01,-3.719050e+01,0.000000e+00
2.000000e+01,-3.713361e+01,0.000000e+00
2.100000e+01,-3.613631e+01,0.000000e+00
2.200000e+01,-3.598896e+01,0.000000e+00
2.300000e+01,-3.472663e+01,0.000000e+00
2.400000e+01,-3.375811e+01,0.000000e+00
2.500000e+01,-2.901163e+01,0.000000e+00
2.600000e+01,-3.001548e+01,0.000000e+00
2.700000e+01,-1.468203e+01,0.000000e+00
2.800000e+01,-1.454156e+01,0.000000e+00
2.900000e+01,-1.425179e+01,0.000000e+00
3.000000e+01,-1.425688e+01,0.000000e+00
3.100000e+01,-5.114133e-01,6.840436e+00
3.200000e+01,-5.114133e-01,-6.840436e+00
3.300000e+01,-5.186248e-01,6.882125e+00
3.400000e+01,-5.186248e-01,-6.882125e+00
3.500000e+01,-1.010015e+01,0.000000e+00
3.600000e+01,-1.007029e+01,0.000000e+00
3.700000e+01,-1.006987e+01,0.000000e+00
3.800000e+01,-1.011017e+01,0.000000e+00
3.900000e+01,-2.861839e-02,3.086027e+00
4.000000e+01,-2.861839e-02,-3.086027e+00
4.100000e+01,-4.411411e+00,0.000000e+00
4.200000e+01,-4.387674e+00,0.000000e+00
4.300000e+01,-6.109402e-01,2.036829e+00
4.400000e+01,-6.109402e-01,-2.036829e+00
4.500000e+01,-9.741464e-01,2.028200e+00
4.600000e+01,-9.741464e-01,-2.028200e+00
4.700000e+01,-3.489400e+00,0.000000e+00
4.800000e+01,-3.392995e+00,0.000000e+00
4.900000e+01,-2.714478e+00,0.000000e+00
5.000000e+01,-2.743157e+00,0.000000e+00
5.100000e+01,-1.895198e+00,0.000000e+00
5.200000e+01,-2.004001e+00,0.000000e+00
5.300000e+01,-2.002678e+00,0.000000e+00
5.400000e+01,-1.591329e+00,0.000000e+00
5.500000e+01,-2.491745e-01,6.450010e-01
5.600000e+01,-2.491745e-01,-6.450010e-01
5.700000e+01,8.807712e-06,0.000000e+00
5.800000e+01,-4.201759e-01,4.539101e-01
5.900000e+01,-4.201759e-01,-4.539101e-01
6.000000e+01,-4.026638e-01,4.500527e-01
6.100000e+01,-4.026638e-01,-4.500527e-01
6.200000e+01,-6.797858e-01,0.000000e+00
6.300000e+01,-5.513786e-01,0.000000e+00
6.400000e+01,-1.951269e-01,0.000000e+00
6.500000e+01,-1.985469e-01,0.000000e+00
6.600000e+01,-1.985667e-01,0.000000e+00
6.700000e+01,-2.000000e+01,0.000000e+00
6.800000e+01,-2.000000e+01,0.000000e+00
6.900000e+01,-2.000000e+01,0.000000e+00
7.000000e+01,-2.000000e+01,0.000000e+00
7.100000e+01,-2.000000e+01,0.000000e+00
7.200000e+01,-7.265900e+01,0.000000e+00
7.300000e+01,-9.999776e+01,0.000000e+00
7.400000e+01,-9.999811e+01,0.000000e+00
7.500000e+01,-9.999893e+01,0.000000e+00
7.600000e+01,-9.999891e+01,0.000000e+00
7.700000e+01,-3.719050e+01,0.000000e+00
7.800000e+01,-3.713361e+01,0.000000e+00
7.900000e+01,-3.613631e+01,0.000000e+00
8.000000e+01,-3.598896e+01,0.000000e+00
8.100000e+01,-3.472664e+01,0.000000e+00
8.200000e+01,-3.375811e+01,0.000000e+00
8.300000e+01,-3.001548e+01,0.000000e+00
8.400000e+01,-2.901163e+01,0.000000e+00
8.500000e+01,-2.000021e+01,3.717524e-02
8.600000e+01,-2.000021e+01,-3.717524e-02
8.700000e+01,-1.999766e+01,0.000000e+00
8.800000e+01,-1.468203e+01,0.000000e+00
8.900000e+01,-1.454157e+01,0.000000e+00
9.000000e+01,-1.425179e+01,0.000000e+00
9.100000e+01,-1.425688e+01,0.000000e+00
9.200000e+01,-5.184120e-01,6.882169e+00
9.300000e+01,-5.184120e-01,-6.882169e+00
9.400000e+01,-5.115276e-01,6.840431e+00
9.500000e+01,-5.115276e-01,-6.840431e+00
9.600000e+01,-1.036827e+01,0.000000e+00
9.700000e+01,-1.011017e+01,0.000000e+00
9.800000e+01,-1.010015e+01,0.000000e+00
9.900000e+01,-1.006987e+01,0.000000e+00
1.000000e+02,-1.007029e+01,0.000000e+00
1.010000e+02,-8.275610e-01,3.764591e+00
1.020000e+02,-8.275610e-01,-3.764591e+00
1.030000e+02,-4.935670e-02,3.090272e+00
1.040000e+02,-4.935670e-02,-3.090272e+00
1.050000e+02,-4.411426e+00,0.000000e+00
1.060000e+02,-4.387655e+00,0.000000e+00
1.070000e+02,-3.172468e+00,1.728410e+00
1.080000e+02,-3.172468e+00,-1.728410e+00
1.090000e+02,-6.094316e-01,2.033425e+00
1.100000e+02,-6.094316e-01,-2.033425e+00
1.110000e+02,-9.748736e-01,2.034448e+00
1.120000e+02,-9.748736e-01,-2.034448e+00
1.130000e+02,-3.489369e+00,0.000000e+00
1.140000e+02,-3.392786e+00,0.000000e+00
1.150000e+02,-7.056744e-01,1.614225e+00
1.160000e+02,-7.056744e-01,-1.614225e+00
1.170000e+02,-2.743117e+00,0.000000e+00
1.180000e+02,-2.714465e+00,0.000000e+00
1.190000e+02,-2.011835e+00,1.636811e-01
1.200000e+02,-2.011835e+00,-1.636811e-01
1.210000e+02,-1.591330e+00,0.000000e+00
1.220000e+02,-1.894739e+00,0.000000e+00
1.230000e+02,-2.004067e+00,0.000000e+00
1.240000e+02,-2.002695e+00,0.000000e+00
1.250000e+02,-2.491742e-01,6.450011e-01
1.260000e+02,-2.491742e-01,-6.450011e-01
1.270000e+02,-9.827007e-01,0.000000e+00
1.280000e+02,8.807717e-06,0.000000e+00
1.290000e+02,-4.202600e-01,4.539976e-01
1.300000e+02,-4.202600e-01,-4.539976e-01
1.310000e+02,-4.027670e-01,4.501025e-01
1.320000e+02,-4.027670e-01,-4.501025e-01
1.330000e+02,-5.469156e-01,0.000000e+00
1.340000e+02,-6.797552e-01,0.000000e+00
1.350000e+02,-3.331112e-01,0.000000e+00
1.360000e+02,-1.951904e-01,0.000000e+00
1.370000e+02,-1.985674e-01,0.000000e+00
1.380000e+02,-1.985461e-01,0.000000e+00
1.390000e+02,-2.000000e+01,0.000000e+00
1.400000e+02,-2.000000e+01,0.000000e+00
1.410000e+02,-2.000000e+01,0.000000e+00
1.420000e+02,-2.000000e+01,0.000000e+00
1.430000e+02,-7.265900e+01,0.000000e+00
1.440000e+02,-9.999776e+01,0.000000e+00
1.450000e+02,-9.999811e+01,0.000000e+00
1.460000e+02,-9.999893e+01,0.000000e+00
1.470000e+02,-9.999891e+01,0.000000e+00
1.480000e+02,-3.719050e+01,0.000000e+00
1.490000e+02,-3.713361e+01,0.000000e+00
1.500000e+02,-3.613631e+01,0.000000e+00
1.510000e+02,-3.598895e+01,0.000000e+00
1.520000e+02,-3.472666e+01,0.000000e+00
1.530000e+02,-3.375810e+01,0.000000e+00
1.540000e+02,-3.001548e+01,0.000000e+00
1.550000e+02,-2.901162e+01,0.000000e+00
1.560000e+02,-2.000002e+01,5.255690e-02
1.570000e+02,-2.000002e+01,-5.255690e-02
1.580000e+02,-1.999766e+01,0.000000e+00
1.590000e+02,-1.468203e+01,0.000000e+00
1.600000e+02,-1.454157e+01,0.000000e+00
1.610000e+02,-1.425179e+01,0.000000e+00
1.620000e+02,-1.425688e+01,0.000000e+00
1.630000e+02,-5.181996e-01,6.882215e+00
1.640000e+02,-5.181996e-01,-6.882215e+00
1.650000e+02,-5.116417e-01,6.840425e+00
1.660000e+02,-5.116417e-01,-6.840425e+00
1.670000e+02,-1.036827e+01,0.000000e+00
1.680000e+02,-1.011017e+01,0.000000e+00
1.690000e+02,-1.010015e+01,0.000000e+00
1.700000e+02,-1.006987e+01,0.000000e+00
1.710000e+02,-1.007029e+01,0.000000e+00
1.720000e+02,-8.269416e-01,3.745646e+00
1.730000e+02,-8.269416e-01,-3.745646e+00
1.740000e+02,-7.086075e-02,3.095389e+00
1.750000e+02,-7.086075e-02,-3.095389e+00
1.760000e+02,-4.411440e+00,0.000000e+00
1.770000e+02,-4.387636e+00,0.000000e+00
1.780000e+02,-3.148367e+00,1.714180e+00
1.790000e+02,-3.148367e+00,-1.714180e+00
1.800000e+02,-6.079044e-01,2.029858e+00
1.810000e+02,-6.079044e-01,-2.029858e+00
1.820000e+02,-9.756124e-01,2.040993e+00
1.830000e+02,-9.756124e-01,-2.040993e+00
1.840000e+02,-3.392568e+00,0.000000e+00
1.850000e+02,-3.489338e+00,0.000000e+00
1.860000e+02,-7.037263e-01,1.610101e+00
1.870000e+02,-7.037263e-01,-1.610101e+00
1.880000e+02,-2.743077e+00,0.000000e+00
1.890000e+02,-2.714451e+00,0.000000e+00
1.900000e+02,-2.023620e+00,2.335046e-01
1.910000e+02,-2.023620e+00,-2.335046e-01
1.920000e+02,-1.591330e+00,0.000000e+00
1.930000e+02,-1.894665e+00,0.000000e+00
1.940000e+02,-2.004067e+00,0.000000e+00
1.950000e+02,-2.002695e+00,0.000000e+00
1.960000e+02,-2.491739e-01,6.450012e-01
1.970000e+02,-2.491739e-01,-6.450012e-01
1.980000e+02,-9.657573e-01,0.000000e+00
1.990000e+02,8.807721e-06,0.000000e+00
2.000000e+02,-4.203513e-01,4.540917e-01
2.010000e+02,-4.203513e-01,-4.540917e-01
2.020000e+02,-4.028765e-01,4.501531e-01
2.030000e+02,-4.028765e-01,-4.501531e-01
2.040000e+02,-5.415746e-01,0.000000e+00
2.050000e+02,-6.797216e-01,0.000000e+00
2.060000e+02,-3.442735e-01,0.000000e+00
2.070000e+02,-1.952494e-01,0.000000e+00
2.080000e+02,-1.985681e-01,0.000000e+00
2.090000e+02,-1.985453e-01,0.000000e+00
2.100000e+02,-2.000000e+01,0.000000e+00
2.110000e+02,-2.000000e+01,0.000000e+00
2.120000e+02,-2.000000e+01,0.000000e+00
2.130000e+02,-2.000000e+01,0.000000e+00
2.140000e+02,-7.265900e+01,0.000000e+00
2.150000e+02,-9.999776e+01,0.000000e+00
2.160000e+02,-9.999811e+01,0.000000e+00
2.170000e+02,-9.999893e+01,0.000000e+00
2.180000e+02,-9.999891e+01,0.000000e+00
2.190000e+02,-3.719050e+01,0.000000e+00
2.200000e+02,-3.713361e+01,0.000000e+00
2.210000e+02,-3.613631e+01,0.000000e+00
2.220000e+02,-3.598895e+01,0.000000e+00
2.230000e+02,-3.472667e+01,0.000000e+00
2.240000e+02,-3.375810e+01,0.000000e+00
2.250000e+02,-3.001547e+01,0.000000e+00
2.260000e+02,-2.901161e+01,0.000000e+00
2.270000e+02,-1.999983e+01,6.436165e-02
2.280000e+02,-1.999983e+01,-6.436165e-02
2.290000e+02,-1.999766e+01,0.000000e+00
2.300000e+02,-1.468203e+01,0.000000e+00
2.310000e+02,-1.454157e+01,0.000000e+00
2.320000e+02,-1.425179e+01,0.000000e+00
2.330000e+02,-1.425688e+01,0.000000e+00
2.340000e+02,-5.179877e-01,6.882262e+00
2.350000e+02,-5.179877e-01,-6.882262e+00
2.360000e+02,-5.117554e-01,6.840418e+00
2.370000e+02,-5.117554e-01,-6.840418e+00
2.380000e+02,-1.036827e+01,0.000000e+00
2.390000e+02,-1.011017e+01,0.000000e+00
2.400000e+02,-1.010015e+01,0.000000e+00
2.410000e+02,-1.006987e+01,0.000000e+00
2.420000e+02,-1.007029e+01,0.000000e+00
2.430000e+02,-8.261135e-01,3.725564e+00
2.440000e+02,-8.261135e-01,-3.725564e+00
2.450000e+02,-9.318369e-02,3.101516e+00
2.460000e+02,-9.318369e-02,-3.101516e+00
2.470000e+02,-4.411455e+00,0.000000e+00
2.480000e+02,-4.387617e+00,0.000000e+00
2.490000e+02,-3.123313e+00,1.699087e+00
2.500000e+02,-3.123313e+00,-1.699087e+00
2.510000e+02,-6.063665e-01,2.026123e+00
2.520000e+02,-6.063665e-01,-2.026123e+00
2.530000e+02,-9.763523e-01,2.047858e+00
2.540000e+02,-9.763523e-01,-2.047858e+00
2.550000e+02,-3.489305e+00,0.000000e+00
2.560000e+02,-3.392341e+00,0.000000e+00
2.570000e+02,-7.016728e-01,1.605779e+00
2.580000e+02,-7.016728e-01,-1.605779e+00
2.590000e+02,-2.743036e+00,0.000000e+00
2.600000e+02,-2.714438e+00,0.000000e+00
2.610000e+02,-2.035582e+00,2.888913e-01
2.620000e+02,-2.035582e+00,-2.888913e-01
2.630000e+02,-1.591330e+00,0.000000e+00
2.640000e+02,-1.894634e+00,0.000000e+00
2.650000e+02,-2.004067e+00,0.000000e+00
2.660000e+02,-2.002695e+00,0.000000e+00
2.670000e+02,-2.491737e-01,6.450014e-01
2.680000e+02,-2.491737e-01,-6.450014e-01
2.690000e+02,-9.490627e-01,0.000000e+00
2.700000e+02,8.807726e-06,0.000000e+00
2.710000e+02,-4.204505e-01,4.541931e-01
2.720000e+02,-4.204505e-01,-4.541931e-01
2.730000e+02,-4.029928e-01,4.502044e-01
2.740000e+02,-4.029928e-01,-4.502044e-01
2.750000e+02,-5.350226e-01,0.000000e+00
2.760000e+02,-6.796843e-01,0.000000e+00
2.770000e+02,-3.569055e-01,0.000000e+00
2.780000e+02,-1.953045e-01,0.000000e+00
2.790000e+02,-1.985687e-01,0.000000e+00
2.800000e+02,-1.985446e-01,0.000000e+00
2.810000e+02,-2.000000e+01,0.000000e+00
2.820000e+02,-2.000000e+01,0.000000e+00
2.830000e+02,-2.000000e+01,0.000000e+00
2.840000e+02,-2.000000e+01,0.000000e+00
2.850000e+02,-7.265900e+01,0.000000e+00
2.860000e+02,-9.999776e+01,0.000000e+00
2.870000e+02,-9.999811e+01,0.000000e+00
2.880000e+02,-9.999893e+01,0.000000e+00
2.890000e+02,-9.999891e+01,0.000000e+00
2.900000e+02,-3.719050e+01,0.000000e+00
2.910000e+02,-3.713361e+01,0.000000e+00
2.920000e+02,-3.613631e+01,0.000000e+00
2.930000e+02,-3.598895e+01,0.000000e+00
2.940000e+02,-3.472669e+01,0.000000e+00
2.950000e+02,-3.375809e+01,0.000000e+00
2.960000e+02,-3.001547e+01,0.000000e+00
2.970000e+02,-2.901160e+01,0.000000e+00
2.980000e+02,-1.999964e+01,7.431408e-02
2.990000e+02,-1.999964e+01,-7.431408e-02
3.000000e+02,-1.999766e+01,0.000000e+00
3.010000e+02,-1.468202e+01,0.000000e+00
3.020000e+02,-1.454157e+01,0.000000e+00
3.030000e+02,-1.425179e+01,0.000000e+00
3.040000e+02,-1.425688e+01,0.000000e+00
3.050000e+02,-5.177764e-01,6.882311e+00
3.060000e+02,-5.177764e-01,-6.882311e+00
3.070000e+02,-5.118688e-01,6.840409e+00
3.080000e+02,-5.118688e-01,-6.840409e+00
3.090000e+02,-1.036827e+01,0.000000e+00
3.100000e+02,-1.011017e+01,0.000000e+00
3.110000e+02,-1.010015e+01,0.000000e+00
3.120000e+02,-1.006987e+01,0.000000e+00
3.130000e+02,-1.007029e+01,0.000000e+00
3.140000e+02,-8.250600e-01,3.704173e+00
3.150000e+02,-8.250600e-01,-3.704173e+00
3.160000e+02,-1.163824e-01,3.108827e+00
3.170000e+02,-1.163824e-01,-3.108827e+00
3.180000e+02,-4.411469e+00,0.000000e+00
3.190000e+02,-4.387597e+00,0.000000e+00
3.200000e+02,-3.097215e+00,1.683022e+00
3.210000e+02,-3.097215e+00,-1.683022e+00
3.220000e+02,-6.048274e-01,2.022214e+00
3.230000e+02,-6.048274e-01,-2.022214e+00
3.240000e+02,-9.770795e-01,2.055070e+00
3.250000e+02,-9.770795e-01,-2.055070e+00
3.260000e+02,-3.489271e+00,0.000000e+00
3.270000e+02,-3.392104e+00,0.000000e+00
3.280000e+02,-6.995085e-01,1.601243e+00
3.290000e+02,-6.995085e-01,-1.601243e+00
3.300000e+02,-2.742994e+00,0.000000e+00
3.310000e+02,-2.714424e+00,0.000000e+00
3.320000e+02,-2.047834e+00,3.374063e-01
3.330000e+02,-2.047834e+00,-3.374063e-01
3.340000e+02,-1.591330e+00,0.000000e+00
3.350000e+02,-1.894618e+00,0.000000e+00
3.360000e+02,-2.004067e+00,0.000000e+00
3.370000e+02,-2.002695e+00,0.000000e+00
3.380000e+02,-2.491733e-01,6.450015e-01
3.390000e+02,-2.491733e-01,-6.450015e-01
3.400000e+02,-9.325302e-01,0.000000e+00
3.410000e+02,8.807731e-06,0.000000e+00
3.420000e+02,-4.205590e-01,4.543028e-01
3.430000e+02,-4.205590e-01,-4.543028e-01
3.440000e+02,-4.031165e-01,4.502562e-01
3.450000e+02,-4.031165e-01,-4.502562e-01
3.460000e+02,-5.266865e-01,0.000000e+00
3.470000e+02,-6.796430e-01,0.000000e+00
3.480000e+02,-3.715898e-01,0.000000e+00
3.490000e+02,-1.953559e-01,0.000000e+00
3.500000e+02,-1.985693e-01,0.000000e+00
3.510000e+02,-1.985439e-01,0.000000e+00
3.520000e+02,-2.000000e+01,0.000000e+00
3.530000e+02,-2.000000e+01,0.000000e+00
3.540000e+02,-2.000000e+01,0.000000e+00
3.550000e+02,-2.000000e+01,0.000000e+00
3.560000e+02,-7.265900e+01,0.000000e+00
3.570000e+02,-9.999776e+01,0.000000e+00
3.580000e+02,-9.999811e+01,0.000000e+00
