f_sv,SV_m,SV_f
1.591549e-03,2.419082e-01,5.114313e-02
1.662021e-03,2.407367e-01,5.314821e-02
1.735613e-03,2.394787e-01,5.521054e-02
1.812464e-03,2.381294e-01,5.732924e-02
1.892717e-03,2.366841e-01,5.950307e-02
1.976524e-03,2.351382e-01,6.173046e-02
2.064042e-03,2.334871e-01,6.400945e-02
2.155435e-03,2.317265e-01,6.633768e-02
2.250874e-03,2.298521e-01,6.871240e-02
2.350540e-03,2.278602e-01,7.113044e-02
2.454619e-03,2.257474e-01,7.358821e-02
2.563306e-03,2.235108e-01,7.608170e-02
2.676806e-03,2.211479e-01,7.860651e-02
2.795331e-03,2.186571e-01,8.115786e-02
2.919104e-03,2.160373e-01,8.373059e-02
3.048358e-03,2.132884e-01,8.631927e-02
3.183335e-03,2.104111e-01,8.891817e-02
3.324289e-03,2.074071e-01,9.152138e-02
3.471484e-03,2.042789e-01,9.412283e-02
3.625197e-03,2.010302e-01,9.671642e-02
3.785715e-03,1.976657e-01,9.929602e-02
3.953342e-03,1.941910e-01,1.018557e-01
4.128390e-03,1.906130e-01,1.043895e-01
4.311190e-03,1.869393e-01,1.068920e-01
4.502083e-03,1.831784e-01,1.093581e-01
4.701429e-03,1.793397e-01,1.117830e-01
4.909602e-03,1.754333e-01,1.141625e-01
5.126993e-03,1.714699e-01,1.164931e-01
5.354009e-03,1.674606e-01,1.187719e-01
5.591077e-03,1.634169e-01,1.209965e-01
5.838642e-03,1.593503e-01,1.231655e-01
6.097170e-03,1.552726e-01,1.252781e-01
6.367144e-03,1.511953e-01,1.273344e-01
6.649072e-03,1.471298e-01,1.293352e-01
6.943484e-03,1.430870e-01,1.312820e-01
7.250932e-03,1.390776e-01,1.331770e-01
7.571993e-03,1.351114e-01,1.350233e-01
7.907271e-03,1.311980e-01,1.368245e-01
8.257394e-03,1.273461e-01,1.385850e-01
8.623020e-03,1.235635e-01,1.403096e-01
9.004836e-03,1.198575e-01,1.420038e-01
9.403558e-03,1.162347e-01,1.436738e-01
9.819934e-03,1.127007e-01,1.453259e-01
1.025475e-02,1.092605e-01,1.469673e-01
1.070881e-02,1.059182e-01,1.486055e-01
1.118299e-02,1.026775e-01,1.502483e-01
1.167815e-02,9.954101e-02,1.519040e-01
1.219525e-02,9.651108e-02,1.535816e-01
1.273523e-02,9.358927e-02,1.552901e-01
1.329913e-02,9.077664e-02,1.570391e-01
1.388800e-02,8.807372e-02,1.588388e-01
1.450294e-02,8.548060e-02,1.606996e-01
1.514511e-02,8.299694e-02,1.626325e-01
1.581572e-02,8.062203e-02,1.646489e-01
1.651602e-02,7.835481e-02,1.667607e-01
1.724732e-02,7.619393e-02,1.689806e-01
1.801101e-02,7.413776e-02,1.713215e-01
1.880851e-02,7.218447e-02,1.737974e-01
1.964133e-02,7.033200e-02,1.764224e-01
2.051102e-02,6.857814e-02,1.792119e-01
2.141922e-02,6.692053e-02,1.821817e-01
2.236763e-02,6.535671e-02,1.853487e-01
2.335804e-02,6.388412e-02,1.887304e-01
2.439230e-02,6.250013e-02,1.923457e-01
