k,rep,imp,rez,imz
1.000000e+00,-9.914511e+01,6.091568e+00,3.172349e+11,0.000000e+00
2.000000e+00,-9.914511e+01,-6.091568e+00,-9.802401e+01,0.000000e+00
3.000000e+00,-9.999419e+01,0.000000e+00,-9.999793e+01,0.000000e+00
4.000000e+00,-9.999826e+01,0.000000e+00,-9.999879e+01,0.000000e+00
5.000000e+00,-9.999895e+01,0.000000e+00,-9.999895e+01,0.000000e+00
6.000000e+00,-3.713998e+01,0.000000e+00,-3.714992e+01,0.000000e+00
7.000000e+00,-3.668929e+01,0.000000e+00,-3.660295e+01,0.000000e+00
8.000000e+00,-3.563869e+01,0.000000e+00,-3.536613e+01,0.000000e+00
9.000000e+00,-3.605242e+01,0.000000e+00,-3.603539e+01,0.000000e+00
1.000000e+01,-3.417445e+01,0.000000e+00,-3.429175e+01,0.000000e+00
1.100000e+01,-3.156218e+01,0.000000e+00,-2.947837e+01,7.862497e-01
1.200000e+01,-2.951350e+01,0.000000e+00,-2.947837e+01,-7.862497e-01
1.300000e+01,-1.899885e+01,6.305285e+00,-2.856541e+01,0.000000e+00
1.400000e+01,-1.899885e+01,-6.305285e+00,-1.461369e+01,0.000000e+00
1.500000e+01,-1.457857e+01,0.000000e+00,-1.422382e+01,0.000000e+00
1.600000e+01,-1.413244e+01,0.000000e+00,-1.424807e+01,0.000000e+00
1.700000e+01,-1.425131e+01,0.000000e+00,-1.185829e+01,1.782227e+00
1.800000e+01,-6.931706e-01,6.874067e+00,-1.185829e+01,-1.782227e+00
1.900000e+01,-6.931706e-01,-6.874067e+00,1.315602e+00,7.001630e+00
2.000000e+01,-5.244491e-01,6.918898e+00,1.315602e+00,-7.001630e+00
2.100000e+01,-5.244491e-01,-6.918898e+00,7.957895e-01,6.268758e+00
2.200000e+01,-1.006151e+01,0.000000e+00,7.957895e-01,-6.268758e+00
2.300000e+01,-1.007027e+01,0.000000e+00,-4.961450e-01,6.897734e+00
2.400000e+01,-1.009779e+01,0.000000e+00,-4.961450e-01,-6.897734e+00
2.500000e+01,-1.011007e+01,0.000000e+00,-1.005114e+01,0.000000e+00
2.600000e+01,2.217500e-01,3.466885e+00,-1.007924e+01,0.000000e+00
2.700000e+01,2.217500e-01,-3.466885e+00,-1.010282e+01,0.000000e+00
2.800000e+01,-4.448952e+00,0.000000e+00,-1.007014e+01,0.000000e+00
2.900000e+01,-3.702783e+00,3.207542e-01,2.774551e-02,2.965186e+00
3.000000e+01,-3.702783e+00,-3.207542e-01,2.774551e-02,-2.965186e+00
3.100000e+01,-3.495974e+00,0.000000e+00,-4.448505e+00,0.000000e+00
3.200000e+01,-7.709427e-01,1.831651e+00,-7.799675e-01,1.827457e+00
3.300000e+01,-7.709427e-01,-1.831651e+00,-7.799675e-01,-1.827457e+00
3.400000e+01,-2.762300e+00,0.000000e+00,-3.654577e+00,3.916280e-01
3.500000e+01,-2.099941e+00,8.407105e-02,-3.654577e+00,-3.916280e-01
3.600000e+01,-2.099941e+00,-8.407105e-02,-3.512971e+00,0.000000e+00
3.700000e+01,-2.001684e+00,0.000000e+00,-2.762507e+00,0.000000e+00
3.800000e+01,-1.792379e+00,8.833317e-02,-2.070437e+00,1.876343e-01
3.900000e+01,-1.792379e+00,-8.833317e-02,-2.070437e+00,-1.876343e-01
4.000000e+01,-1.382342e+00,0.000000e+00,-2.010726e+00,0.000000e+00
4.100000e+01,-3.044713e-01,7.009048e-01,-2.000931e+00,0.000000e+00
4.200000e+01,-3.044713e-01,-7.009048e-01,-1.836702e+00,0.000000e+00
4.300000e+01,-7.088467e-01,6.048788e-01,-7.466071e-01,5.611200e-01
4.400000e+01,-7.088467e-01,-6.048788e-01,-7.466071e-01,-5.611200e-01
4.500000e+01,-3.840420e-01,4.520638e-01,-3.834856e-01,4.512277e-01
4.600000e+01,-3.840420e-01,-4.520638e-01,-3.834856e-01,-4.512277e-01
4.700000e+01,-6.017096e-01,0.000000e+00,-6.689153e-01,0.000000e+00
4.800000e+01,-2.938626e-02,0.000000e+00,4.108681e-15,0.000000e+00
4.900000e+01,-3.399864e-02,0.000000e+00,-3.537381e-02,0.000000e+00
5.000000e+01,-1.949760e-01,0.000000e+00,-1.921722e-01,0.000000e+00
5.100000e+01,-1.984306e-01,0.000000e+00,-1.996585e-01,0.000000e+00
5.200000e+01,-1.985948e-01,0.000000e+00,-1.984995e-01,0.000000e+00
5.300000e+01,-1.000000e+02,0.000000e+00,-1.985972e-01,0.000000e+00
