f,g,p,gr,pr
1.000000e-02,4.231065e+00,-4.660544e+00,4.257169e+00,-1.868857e+00
1.036779e-02,4.233934e+00,-4.836519e+00,4.259621e+00,-1.941598e+00
1.074911e-02,4.237006e+00,-5.019487e+00,4.262248e+00,-2.017473e+00
1.114445e-02,4.240297e+00,-5.209765e+00,4.265061e+00,-2.096648e+00
1.155434e-02,4.243819e+00,-5.407686e+00,4.268074e+00,-2.179303e+00
1.197930e-02,4.247588e+00,-5.613605e+00,4.271298e+00,-2.265631e+00
1.241989e-02,4.251621e+00,-5.827899e+00,4.274749e+00,-2.355840e+00
1.287668e-02,4.255933e+00,-6.050965e+00,4.278439e+00,-2.450151e+00
1.335027e-02,4.260541e+00,-6.283227e+00,4.282385e+00,-2.548806e+00
1.384129e-02,4.265465e+00,-6.525136e+00,4.286601e+00,-2.652064e+00
1.435036e-02,4.270722e+00,-6.777171e+00,4.291106e+00,-2.760205e+00
1.487815e-02,4.276333e+00,-7.039843e+00,4.295914e+00,-2.873531e+00
1.542536e-02,4.282317e+00,-7.313698e+00,4.301044e+00,-2.992371e+00
1.599269e-02,4.288694e+00,-7.599317e+00,4.306515e+00,-3.117079e+00
1.658089e-02,4.295486e+00,-7.897324e+00,4.312343e+00,-3.248041e+00
1.719072e-02,4.302713e+00,-8.208385e+00,4.318548e+00,-3.385675e+00
1.782298e-02,4.310396e+00,-8.533214e+00,4.325148e+00,-3.530436e+00
1.847850e-02,4.318555e+00,-8.872575e+00,4.332162e+00,-3.682819e+00
1.915812e-02,4.327211e+00,-9.227292e+00,4.339607e+00,-3.843362e+00
1.986274e-02,4.336381e+00,-9.598245e+00,4.347500e+00,-4.012651e+00
2.059328e-02,4.346084e+00,-9.986384e+00,4.355858e+00,-4.191325e+00
2.135068e-02,4.356333e+00,-1.039273e+01,4.364693e+00,-4.380082e+00
2.213594e-02,4.367140e+00,-1.081838e+01,4.374018e+00,-4.579680e+00
2.295009e-02,4.378514e+00,-1.126451e+01,4.383842e+00,-4.790949e+00
2.379417e-02,4.390456e+00,-1.173240e+01,4.394167e+00,-5.014792e+00
2.466930e-02,4.402964e+00,-1.222342e+01,4.404994e+00,-5.252197e+00
2.557662e-02,4.416027e+00,-1.273905e+01,4.416315e+00,-5.504238e+00
2.651731e-02,4.429623e+00,-1.328086e+01,4.428115e+00,-5.772087e+00
2.749259e-02,4.443720e+00,-1.385057e+01,4.440367e+00,-6.057019e+00
2.850375e-02,4.458271e+00,-1.445002e+01,4.453035e+00,-6.360420e+00
2.955209e-02,4.473211e+00,-1.508116e+01,4.466065e+00,-6.683795e+00
3.063899e-02,4.488456e+00,-1.574610e+01,4.479387e+00,-7.028774e+00
3.176587e-02,4.503896e+00,-1.644709e+01,4.492909e+00,-7.397119e+00
3.293420e-02,4.519392e+00,-1.718652e+01,4.506512e+00,-7.790726e+00
3.414549e-02,4.534770e+00,-1.796692e+01,4.520048e+00,-8.211630e+00
3.540133e-02,4.549815e+00,-1.879096e+01,4.533332e+00,-8.661999e+00
3.670336e-02,4.564266e+00,-1.966144e+01,4.546135e+00,-9.144134e+00
3.805329e-02,4.577806e+00,-2.058125e+01,4.558179e+00,-9.660455e+00
3.945285e-02,4.590054e+00,-2.155338e+01,4.569126e+00,-1.021348e+01
4.090390e-02,4.600558e+00,-2.258085e+01,4.578571e+00,-1.080580e+01
4.240831e-02,4.608784e+00,-2.366666e+01,4.586032e+00,-1.144003e+01
4.396806e-02,4.614106e+00,-2.481373e+01,4.590937e+00,-1.211876e+01
4.558516e-02,4.615799e+00,-2.602482e+01,4.592617e+00,-1.284447e+01
4.726175e-02,4.613032e+00,-2.730237e+01,4.590293e+00,-1.361943e+01
4.900000e-02,4.604855e+00,-2.864842e+01,4.583067e+00,-1.444557e+01
5.080218e-02,4.590204e+00,-3.006441e+01,4.569915e+00,-1.532434e+01
5.267064e-02,4.567900e+00,-3.155098e+01,4.549685e+00,-1.625649e+01
5.460783e-02,4.536652e+00,-3.310779e+01,4.521093e+00,-1.724188e+01
5.661626e-02,4.495078e+00,-3.473327e+01,4.482740e+00,-1.827922e+01
5.869856e-02,4.441727e+00,-3.642437e+01,4.433120e+00,-1.936579e+01
6.085745e-02,4.375114e+00,-3.817637e+01,4.370658e+00,-2.049718e+01
6.309573e-02,4.293767e+00,-3.998266e+01,4.293747e+00,-2.166702e+01
6.541634e-02,4.196288e+00,-4.183465e+01,4.200804e+00,-2.286678e+01
6.782231e-02,4.081415e+00,-4.372164e+01,4.090347e+00,-2.408559e+01
7.031676e-02,3.948100e+00,-4.563100e+01,3.961067e+00,-2.531022e+01
7.290295e-02,3.795585e+00,-4.754827e+01,3.811928e+00,-2.652518e+01
7.558426e-02,3.623470e+00,-4.945753e+01,3.642250e+00,-2.771300e+01
7.836419e-02,3.431774e+00,-5.134188e+01,3.451796e+00,-2.885466e+01
8.124636e-02,3.220975e+00,-5.318399e+01,3.240838e+00,-2.993019e+01
8.423454e-02,2.992028e+00,-5.496679e+01,3.010200e+00,-3.091944e+01
8.733262e-02,2.746360e+00,-5.667407e+01,2.761275e+00,-3.180286e+01
9.054464e-02,2.485833e+00,-5.829121e+01,2.495999e+00,-3.256238e+01
9.387480e-02,2.212688e+00,-5.980569e+01,2.216800e+00,-3.318216e+01
9.732744e-02,1.929470e+00,-6.120755e+01,1.926513e+00,-3.364926e+01
1.009071e-01,1.638940e+00,-6.248968e+01,1.628281e+00,-3.395416e+01
