k,re1,im1,re2,im2,re3,im3
1.000000e+00,-9.999780e+01,0.000000e+00,-9.999777e+01,0.000000e+00,-9.999777e+01,0.000000e+00
2.000000e+00,-9.999812e+01,0.000000e+00,-9.999809e+01,0.000000e+00,-9.999801e+01,0.000000e+00
3.000000e+00,-9.999895e+01,0.000000e+00,-9.999892e+01,0.000000e+00,-9.999891e+01,0.000000e+00
4.000000e+00,-9.999897e+01,0.000000e+00,-9.999896e+01,0.000000e+00,-9.999895e+01,0.000000e+00
5.000000e+00,-3.712700e+01,0.000000e+00,-3.713250e+01,0.000000e+00,-3.713202e+01,0.000000e+00
6.000000e+00,-3.717537e+01,0.000000e+00,-3.717710e+01,0.000000e+00,-3.716078e+01,0.000000e+00
7.000000e+00,-3.596555e+01,0.000000e+00,-3.597422e+01,0.000000e+00,-3.597785e+01,0.000000e+00
8.000000e+00,-3.608950e+01,0.000000e+00,-3.610036e+01,0.000000e+00,-3.605854e+01,0.000000e+00
9.000000e+00,-3.370725e+01,0.000000e+00,-3.374703e+01,0.000000e+00,-3.374596e+01,0.000000e+00
1.000000e+01,-3.459986e+01,0.000000e+00,-3.460152e+01,0.000000e+00,-3.435051e+01,0.000000e+00
1.100000e+01,-2.876063e+01,0.000000e+00,-2.881593e+01,0.000000e+00,-2.886458e+01,0.000000e+00
1.200000e+01,-2.962603e+01,0.000000e+00,-2.977714e+01,0.000000e+00,-2.941645e+01,0.000000e+00
1.300000e+01,-1.468524e+01,0.000000e+00,-1.468324e+01,0.000000e+00,-1.468277e+01,0.000000e+00
1.400000e+01,-1.455242e+01,0.000000e+00,-1.455593e+01,0.000000e+00,-1.459130e+01,0.000000e+00
1.500000e+01,-1.425118e+01,0.000000e+00,-1.425571e+01,0.000000e+00,-1.425584e+01,0.000000e+00
1.600000e+01,-1.424631e+01,0.000000e+00,-1.424894e+01,0.000000e+00,-1.424970e+01,0.000000e+00
1.700000e+01,-4.893915e-01,6.872077e+00,-4.947171e-01,6.869694e+00,-4.841353e-01,6.863141e+00
1.800000e+01,-4.893915e-01,-6.872077e+00,-4.947171e-01,-6.869694e+00,-4.841353e-01,-6.863141e+00
1.900000e+01,-4.925762e-01,6.902509e+00,-5.157389e-01,6.871529e+00,-5.217932e-01,6.864352e+00
2.000000e+01,-4.925762e-01,-6.902509e+00,-5.157389e-01,-6.871529e+00,-5.217932e-01,-6.864352e+00
2.100000e+01,-1.011017e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.011017e+01,0.000000e+00
2.200000e+01,-1.010137e+01,0.000000e+00,-1.010150e+01,0.000000e+00,-1.010427e+01,0.000000e+00
2.300000e+01,-1.007043e+01,0.000000e+00,-1.007038e+01,0.000000e+00,-1.007045e+01,0.000000e+00
2.400000e+01,-1.007014e+01,0.000000e+00,-1.006997e+01,0.000000e+00,-1.007007e+01,0.000000e+00
2.500000e+01,-2.054639e-03,2.781563e+00,-1.997274e-04,2.618632e+00,-4.417396e+00,1.213197e-02
2.600000e+01,-2.054639e-03,-2.781563e+00,-1.997274e-04,-2.618632e+00,-4.417396e+00,-1.213197e-02
2.700000e+01,-4.469484e+00,0.000000e+00,-4.415917e+00,9.308194e-03,2.629489e-01,2.112594e+00
2.800000e+01,-4.429882e+00,0.000000e+00,-4.415917e+00,-9.308194e-03,2.629489e-01,-2.112594e+00
2.900000e+01,-1.031965e+00,2.231703e+00,-5.697759e-01,2.247958e+00,-1.121358e+00,2.309984e+00
3.000000e+01,-1.031965e+00,-2.231703e+00,-5.697759e-01,-2.247958e+00,-1.121358e+00,-2.309984e+00
3.100000e+01,-4.297752e-01,2.064428e+00,-9.540634e-01,2.160994e+00,-5.861704e-01,2.243380e+00
3.200000e+01,-4.297752e-01,-2.064428e+00,-9.540634e-01,-2.160994e+00,-5.861704e-01,-2.243380e+00
3.300000e+01,-3.455661e+00,0.000000e+00,-3.460036e+00,0.000000e+00,-3.402029e+00,2.554389e-02
3.400000e+01,-3.364458e+00,0.000000e+00,-3.366229e+00,0.000000e+00,-3.402029e+00,-2.554389e-02
3.500000e+01,-2.769454e+00,0.000000e+00,-2.742414e+00,1.023262e-02,-2.738158e+00,1.533486e-02
3.600000e+01,-2.749039e+00,0.000000e+00,-2.742414e+00,-1.023262e-02,-2.738158e+00,-1.533486e-02
3.700000e+01,9.079165e-06,0.000000e+00,-1.591329e+00,0.000000e+00,-1.591329e+00,0.000000e+00
3.800000e+01,-2.491708e-01,6.450075e-01,-1.893721e+00,0.000000e+00,-1.870265e+00,0.000000e+00
3.900000e+01,-2.491708e-01,-6.450075e-01,-2.002519e+00,6.941475e-04,-2.002560e+00,9.429824e-04
4.000000e+01,-3.757965e-01,4.532588e-01,-2.002519e+00,-6.941475e-04,-2.002560e+00,-9.429824e-04
4.100000e+01,-3.757965e-01,-4.532588e-01,-2.491745e-01,6.450036e-01,-2.491717e-01,6.450040e-01
4.200000e+01,-3.920868e-01,4.559146e-01,-2.491745e-01,-6.450036e-01,-2.491717e-01,-6.450040e-01
4.300000e+01,-3.920868e-01,-4.559146e-01,9.609113e-06,0.000000e+00,1.223499e-05,0.000000e+00
4.400000e+01,-5.455611e-01,0.000000e+00,-3.932573e-01,4.607364e-01,-3.960064e-01,4.666403e-01
4.500000e+01,-6.557991e-01,0.000000e+00,-3.932573e-01,-4.607364e-01,-3.960064e-01,-4.666403e-01
4.600000e+01,-1.591330e+00,0.000000e+00,-4.063308e-01,4.462428e-01,-4.079314e-01,4.432346e-01
4.700000e+01,-1.894728e+00,0.000000e+00,-4.063308e-01,-4.462428e-01,-4.079314e-01,-4.432346e-01
4.800000e+01,-2.000663e+00,0.000000e+00,-6.555864e-01,0.000000e+00,-6.291679e-01,0.000000e+00
4.900000e+01,-2.002101e+00,0.000000e+00,-5.464905e-01,0.000000e+00,-5.415570e-01,0.000000e+00
5.000000e+01,-1.946364e-01,0.000000e+00,-1.945595e-01,0.000000e+00,-1.921646e-01,0.000000e+00
5.100000e+01,-1.985931e-01,0.000000e+00,-1.985508e-01,0.000000e+00,-1.985500e-01,0.000000e+00
