f_sv,SVmp,SV
1.000000e-02,1.000912e+00,1.838422e+00
1.009262e-02,1.000932e+00,1.838368e+00
1.018610e-02,1.000951e+00,1.838318e+00
1.028045e-02,1.000971e+00,1.838275e+00
1.037567e-02,1.000992e+00,1.838237e+00
1.047177e-02,1.001012e+00,1.838205e+00
1.056876e-02,1.001033e+00,1.838179e+00
1.066665e-02,1.001055e+00,1.838158e+00
1.076545e-02,1.001077e+00,1.838143e+00
1.086516e-02,1.001100e+00,1.838134e+00
1.096579e-02,1.001122e+00,1.838131e+00
1.106736e-02,1.001146e+00,1.838134e+00
1.116987e-02,1.001169e+00,1.838143e+00
1.127333e-02,1.001194e+00,1.838158e+00
1.137774e-02,1.001218e+00,1.838179e+00
1.148312e-02,1.001244e+00,1.838206e+00
1.158948e-02,1.001269e+00,1.838239e+00
1.169683e-02,1.001295e+00,1.838279e+00
1.180517e-02,1.001322e+00,1.838324e+00
1.191451e-02,1.001349e+00,1.838376e+00
1.202486e-02,1.001377e+00,1.838434e+00
1.213624e-02,1.001405e+00,1.838499e+00
1.224865e-02,1.001434e+00,1.838570e+00
1.236210e-02,1.001463e+00,1.838647e+00
1.247660e-02,1.001493e+00,1.838731e+00
1.259216e-02,1.001524e+00,1.838821e+00
1.270879e-02,1.001555e+00,1.838918e+00
1.282650e-02,1.001586e+00,1.839022e+00
1.294530e-02,1.001618e+00,1.839132e+00
1.306520e-02,1.001651e+00,1.839249e+00
1.318621e-02,1.001685e+00,1.839373e+00
1.330835e-02,1.001719e+00,1.839504e+00
1.343161e-02,1.001754e+00,1.839642e+00
1.355602e-02,1.001789e+00,1.839787e+00
1.368158e-02,1.001825e+00,1.839938e+00
1.380830e-02,1.001862e+00,1.840097e+00
1.393619e-02,1.001900e+00,1.840263e+00
1.406527e-02,1.001938e+00,1.840437e+00
1.419555e-02,1.001977e+00,1.840617e+00
1.432703e-02,1.002017e+00,1.840805e+00
1.445973e-02,1.002057e+00,1.841001e+00
1.459366e-02,1.002099e+00,1.841204e+00
1.472883e-02,1.002141e+00,1.841414e+00
1.486525e-02,1.002184e+00,1.841632e+00
1.500293e-02,1.002227e+00,1.841858e+00
1.514189e-02,1.002272e+00,1.842092e+00
1.528214e-02,1.002317e+00,1.842334e+00
1.542369e-02,1.002363e+00,1.842583e+00
1.556654e-02,1.002411e+00,1.842841e+00
1.571072e-02,1.002459e+00,1.843107e+00
1.585624e-02,1.002508e+00,1.843381e+00
1.600310e-02,1.002558e+00,1.843663e+00
1.615133e-02,1.002608e+00,1.843954e+00
1.630092e-02,1.002660e+00,1.844253e+00
1.645191e-02,1.002713e+00,1.844560e+00
1.660429e-02,1.002767e+00,1.844877e+00
1.675808e-02,1.002822e+00,1.845202e+00
1.691330e-02,1.002878e+00,1.845536e+00
1.706995e-02,1.002935e+00,1.845879e+00
1.722805e-02,1.002993e+00,1.846230e+00
1.738762e-02,1.003052e+00,1.846592e+00
1.754867e-02,1.003113e+00,1.846962e+00
1.771121e-02,1.003174e+00,1.847341e+00
1.787526e-02,1.003237e+00,1.847731e+00
1.804082e-02,1.003301e+00,1.848129e+00
1.820792e-02,1.003366e+00,1.848538e+00
1.837656e-02,1.003433e+00,1.848956e+00
1.854677e-02,1.003501e+00,1.849384e+00
1.871855e-02,1.003570e+00,1.849822e+00
1.889193e-02,1.003640e+00,1.850270e+00
1.906691e-02,1.003712e+00,1.850728e+00
1.924351e-02,1.003785e+00,1.851197e+00
1.942175e-02,1.003859e+00,1.851676e+00
1.960163e-02,1.003935e+00,1.852166e+00
1.978319e-02,1.004013e+00,1.852667e+00
1.996642e-02,1.004092e+00,1.853178e+00
2.015136e-02,1.004172e+00,1.853701e+00
2.033800e-02,1.004254e+00,1.854234e+00
2.052638e-02,1.004338e+00,1.854779e+00
2.071650e-02,1.004423e+00,1.855335e+00
2.090838e-02,1.004510e+00,1.855903e+00
2.110203e-02,1.004599e+00,1.856482e+00
2.129749e-02,1.004689e+00,1.857073e+00
2.149475e-02,1.004781e+00,1.857676e+00
2.169384e-02,1.004875e+00,1.858291e+00
2.189477e-02,1.004971e+00,1.858918e+00
2.209756e-02,1.005068e+00,1.859557e+00
2.230223e-02,1.005168e+00,1.860209e+00
2.250880e-02,1.005269e+00,1.860874e+00
2.271728e-02,1.005372e+00,1.861551e+00
2.292769e-02,1.005478e+00,1.862241e+00
2.314005e-02,1.005585e+00,1.862945e+00
2.335438e-02,1.005695e+00,1.863661e+00
2.357069e-02,1.005806e+00,1.864391e+00
2.378901e-02,1.005920e+00,1.865134e+00
2.400935e-02,1.006036e+00,1.865890e+00
2.423173e-02,1.006154e+00,1.866661e+00
2.445617e-02,1.006275e+00,1.867445e+00
2.468268e-02,1.006398e+00,1.868244e+00
2.491130e-02,1.006523e+00,1.869056e+00
2.514203e-02,1.006651e+00,1.869883e+00
2.537490e-02,1.006782e+00,1.870724e+00
2.560993e-02,1.006915e+00,1.871580e+00
2.584714e-02,1.007050e+00,1.872450e+00
2.608654e-02,1.007188e+00,1.873336e+00
2.632815e-02,1.007329e+00,1.874236e+00
2.657201e-02,1.007473e+00,1.875152e+00
2.681813e-02,1.007619e+00,1.876082e+00
2.706652e-02,1.007769e+00,1.877028e+00
2.731722e-02,1.007921e+00,1.877990e+00
2.757023e-02,1.008076e+00,1.878967e+00
2.782559e-02,1.008235e+00,1.879960e+00
2.808332e-02,1.008396e+00,1.880968e+00
2.834343e-02,1.008561e+00,1.881993e+00
2.860596e-02,1.008729e+00,1.883033e+00
2.887091e-02,1.008900e+00,1.884090e+00
2.913832e-02,1.009075e+00,1.885163e+00
2.940820e-02,1.009253e+00,1.886252e+00
2.968059e-02,1.009434e+00,1.887357e+00
2.995549e-02,1.009619e+00,1.888479e+00
3.023295e-02,1.009808e+00,1.889617e+00
3.051297e-02,1.010000e+00,1.890772e+00
3.079559e-02,1.010197e+00,1.891943e+00
3.108082e-02,1.010397e+00,1.893131e+00
3.136870e-02,1.010601e+00,1.894335e+00
3.165924e-02,1.010809e+00,1.895556e+00
3.195248e-02,1.011021e+00,1.896794e+00
3.224842e-02,1.011238e+00,1.898048e+00
3.254712e-02,1.011458e+00,1.899318e+00
3.284857e-02,1.011683e+00,1.900605e+00
3.315282e-02,1.011913e+00,1.901909e+00
3.345989e-02,1.012147e+00,1.903228e+00
3.376980e-02,1.012385e+00,1.904564e+00
3.408259e-02,1.012628e+00,1.905916e+00
3.439826e-02,1.012876e+00,1.907284e+00
3.471687e-02,1.013129e+00,1.908668e+00
3.503842e-02,1.013387e+00,1.910067e+00
3.536296e-02,1.013650e+00,1.911481e+00
3.569049e-02,1.013918e+00,1.912911e+00
3.602107e-02,1.014191e+00,1.914355e+00
3.635470e-02,1.014469e+00,1.915814e+00
3.669142e-02,1.014753e+00,1.917288e+00
3.703127e-02,1.015043e+00,1.918775e+00
3.737426e-02,1.015338e+00,1.920275e+00
3.772042e-02,1.015638e+00,1.921789e+00
3.806980e-02,1.015945e+00,1.923315e+00
3.842241e-02,1.016257e+00,1.924853e+00
3.877828e-02,1.016576e+00,1.926403e+00
3.913746e-02,1.016901e+00,1.927964e+00
3.949995e-02,1.017231e+00,1.929535e+00
3.986581e-02,1.017569e+00,1.931116e+00
4.023506e-02,1.017912e+00,1.932706e+00
4.060772e-02,1.018262e+00,1.934304e+00
4.098384e-02,1.018619e+00,1.935909e+00
4.136344e-02,1.018982e+00,1.937521e+00
4.174655e-02,1.019353e+00,1.939139e+00
4.213322e-02,1.019730e+00,1.940761e+00
4.252346e-02,1.020114e+00,1.942387e+00
4.291732e-02,1.020505e+00,1.944015e+00
4.331483e-02,1.020904e+00,1.945645e+00
4.371602e-02,1.021310e+00,1.947274e+00
4.412093e-02,1.021723e+00,1.948903e+00
4.452959e-02,1.022144e+00,1.950528e+00
4.494203e-02,1.022573e+00,1.952150e+00
4.535829e-02,1.023009e+00,1.953766e+00
4.577841e-02,1.023453e+00,1.955375e+00
4.620241e-02,1.023905e+00,1.956975e+00
4.663035e-02,1.024364e+00,1.958564e+00
4.706225e-02,1.024832e+00,1.960141e+00
4.749815e-02,1.025308e+00,1.961704e+00
4.793808e-02,1.025792e+00,1.963250e+00
4.838210e-02,1.026285e+00,1.964778e+00
4.883022e-02,1.026786e+00,1.966285e+00
4.928250e-02,1.027295e+00,1.967769e+00
4.973896e-02,1.027812e+00,1.969228e+00
5.019965e-02,1.028339e+00,1.970659e+00
5.066461e-02,1.028873e+00,1.972060e+00
5.113388e-02,1.029417e+00,1.973428e+00
5.160749e-02,1.029969e+00,1.974761e+00
5.208549e-02,1.030530e+00,1.976056e+00
5.256791e-02,1.031099e+00,1.977309e+00
5.305481e-02,1.031678e+00,1.978518e+00
5.354621e-02,1.032265e+00,1.979681e+00
5.404216e-02,1.032860e+00,1.980793e+00
5.454271e-02,1.033465e+00,1.981853e+00
5.504790e-02,1.034079e+00,1.982856e+00
5.555776e-02,1.034701e+00,1.983799e+00
5.607235e-02,1.035332e+00,1.984680e+00
5.659170e-02,1.035972e+00,1.985494e+00
5.711586e-02,1.036621e+00,1.986239e+00
5.764488e-02,1.037279e+00,1.986912e+00
5.817880e-02,1.037945e+00,1.987508e+00
5.871766e-02,1.038620e+00,1.988026e+00
5.926152e-02,1.039304e+00,1.988460e+00
5.981041e-02,1.039996e+00,1.988809e+00
6.036439e-02,1.040697e+00,1.989069e+00
6.092349e-02,1.041407e+00,1.989237e+00
6.148778e-02,1.042126e+00,1.989309e+00
6.205729e-02,1.042853e+00,1.989284e+00
6.263207e-02,1.043588e+00,1.989158e+00
6.321218e-02,1.044332e+00,1.988928e+00
6.379767e-02,1.045085e+00,1.988593e+00
6.438857e-02,1.045846e+00,1.988150e+00
6.498495e-02,1.046616e+00,1.987596e+00
6.558686e-02,1.047394e+00,1.986931e+00
6.619433e-02,1.048181e+00,1.986153e+00
6.680744e-02,1.048977e+00,1.985261e+00
6.742622e-02,1.049781e+00,1.984253e+00
6.805074e-02,1.050594e+00,1.983129e+00
6.868104e-02,1.051417e+00,1.981890e+00
6.931717e-02,1.052248e+00,1.980535e+00
6.995920e-02,1.053088e+00,1.979066e+00
7.060718e-02,1.053938e+00,1.977483e+00
7.126115e-02,1.054798e+00,1.975788e+00
7.192119e-02,1.055668e+00,1.973984e+00
7.258734e-02,1.056547e+00,1.972074e+00
7.325965e-02,1.057438e+00,1.970060e+00
7.393820e-02,1.058339e+00,1.967946e+00
7.462303e-02,1.059252e+00,1.965738e+00
7.531420e-02,1.060177e+00,1.963440e+00
7.601178e-02,1.061114e+00,1.961058e+00
7.671581e-02,1.062064e+00,1.958599e+00
7.742637e-02,1.063028e+00,1.956070e+00
7.814351e-02,1.064006e+00,1.953478e+00
7.886729e-02,1.065000e+00,1.950833e+00
7.959777e-02,1.066009e+00,1.948143e+00
8.033502e-02,1.067034e+00,1.945418e+00
8.107910e-02,1.068077e+00,1.942668e+00
8.183007e-02,1.069139e+00,1.939906e+00
8.258799e-02,1.070220e+00,1.937142e+00
8.335294e-02,1.071322e+00,1.934390e+00
8.412497e-02,1.072445e+00,1.931662e+00
8.490415e-02,1.073591e+00,1.928973e+00
8.569055e-02,1.074760e+00,1.926335e+00
8.648423e-02,1.075954e+00,1.923765e+00
8.728527e-02,1.077175e+00,1.921277e+00
8.809372e-02,1.078422e+00,1.918888e+00
8.890966e-02,1.079699e+00,1.916612e+00
8.973316e-02,1.081004e+00,1.914467e+00
9.056428e-02,1.082341e+00,1.912470e+00
9.140311e-02,1.083709e+00,1.910636e+00
9.224970e-02,1.085110e+00,1.908983e+00
9.310413e-02,1.086544e+00,1.907528e+00
9.396648e-02,1.088014e+00,1.906288e+00
9.483682e-02,1.089519e+00,1.905279e+00
9.571522e-02,1.091061e+00,1.904518e+00
9.660175e-02,1.092639e+00,1.904020e+00
9.749649e-02,1.094254e+00,1.903801e+00
9.839952e-02,1.095907e+00,1.903877e+00
9.931092e-02,1.097598e+00,1.904259e+00
1.002308e-01,1.099326e+00,1.904963e+00
1.011591e-01,1.101092e+00,1.905998e+00
1.020961e-01,1.102894e+00,1.907377e+00
1.030417e-01,1.104731e+00,1.909107e+00
1.039961e-01,1.106604e+00,1.911196e+00
1.049593e-01,1.108510e+00,1.913649e+00
1.059315e-01,1.110448e+00,1.916470e+00
1.069126e-01,1.112416e+00,1.919661e+00
1.079029e-01,1.114412e+00,1.923220e+00
1.089023e-01,1.116434e+00,1.927144e+00
1.099110e-01,1.118479e+00,1.931427e+00
