k,rep,imp,rez3,imz3,rez13,imz13,rez101,imz101
1.000000e+00,-9.999780e+01,0.000000e+00,-9.999846e+01,0.000000e+00,-9.999803e+01,0.000000e+00,-9.999804e+01,0.000000e+00
2.000000e+00,-9.999823e+01,0.000000e+00,-9.999804e+01,0.000000e+00,-9.999849e+01,0.000000e+00,-9.999824e+01,0.000000e+00
3.000000e+00,-9.999895e+01,0.000000e+00,-9.999904e+01,0.000000e+00,-9.999896e+01,0.000000e+00,-9.999896e+01,0.000000e+00
4.000000e+00,-9.999898e+01,0.000000e+00,-9.999897e+01,0.000000e+00,-9.999905e+01,0.000000e+00,-9.999898e+01,0.000000e+00
5.000000e+00,-3.720153e+01,0.000000e+00,-3.742125e+01,0.000000e+00,-3.741412e+01,0.000000e+00,-3.720262e+01,0.000000e+00
6.000000e+00,-3.712786e+01,0.000000e+00,-3.679177e+01,0.000000e+00,-3.717404e+01,0.000000e+00,-3.715293e+01,0.000000e+00
7.000000e+00,-3.615928e+01,0.000000e+00,-3.715781e+01,0.000000e+00,-3.606914e+01,0.000000e+00,-3.616493e+01,0.000000e+00
8.000000e+00,-3.596250e+01,0.000000e+00,-3.606982e+01,0.000000e+00,-3.679752e+01,0.000000e+00,-3.615117e+01,0.000000e+00
9.000000e+00,-3.492091e+01,0.000000e+00,-3.500909e+01,0.000000e+00,-3.506582e+01,0.000000e+00,-3.495982e+01,0.000000e+00
1.000000e+01,-3.371044e+01,0.000000e+00,-3.428612e+01,0.000000e+00,-3.418748e+01,0.000000e+00,-3.395588e+01,0.000000e+00
1.100000e+01,-2.869913e+01,0.000000e+00,-3.216705e+01,0.000000e+00,-3.201017e+01,0.000000e+00,-3.018574e+01,2.831297e-02
1.200000e+01,-3.019962e+01,0.000000e+00,-2.969736e+01,0.000000e+00,-2.936547e+01,0.000000e+00,-3.018574e+01,-2.831297e-02
1.300000e+01,-1.468476e+01,0.000000e+00,-1.458044e+01,0.000000e+00,-1.458568e+01,0.000000e+00,-1.456517e+01,0.000000e+00
1.400000e+01,-1.450611e+01,0.000000e+00,-1.439680e+01,0.000000e+00,-1.438994e+01,0.000000e+00,-1.450343e+01,0.000000e+00
1.500000e+01,-1.425147e+01,0.000000e+00,-1.422006e+01,0.000000e+00,-1.424903e+01,0.000000e+00,-1.424593e+01,0.000000e+00
1.600000e+01,-1.424372e+01,0.000000e+00,-1.424615e+01,0.000000e+00,-1.421715e+01,0.000000e+00,-1.424255e+01,0.000000e+00
1.700000e+01,-4.984548e-01,6.923193e+00,-4.985689e-01,6.929757e+00,-4.973260e-01,6.912378e+00,-4.982512e-01,6.929259e+00
1.800000e+01,-4.984548e-01,-6.923193e+00,-4.985689e-01,-6.929757e+00,-4.973260e-01,-6.912378e+00,-4.982512e-01,-6.929259e+00
1.900000e+01,-4.900214e-01,6.872614e+00,-4.858987e-01,6.850067e+00,-4.838324e-01,6.838419e+00,-4.893997e-01,6.852248e+00
