k,rpb,ipb,rzb,izb,rp1,ip1,rz1,iz1,rp2,ip2,rz2,iz2,rp3,ip3,rz3,iz3
1.000000e+00,-9.999777e+01,0.000000e+00,-9.999588e+01,0.000000e+00,-9.999777e+01,0.000000e+00,-6.567279e+01,0.000000e+00,-9.999775e+01,0.000000e+00,-9.999395e+01,0.000000e+00,-9.999775e+01,0.000000e+00,-1.000139e+02,0.000000e+00
2.000000e+00,-9.999822e+01,0.000000e+00,-9.999803e+01,0.000000e+00,-9.999810e+01,0.000000e+00,-9.995025e+01,0.000000e+00,-9.999808e+01,0.000000e+00,-9.999798e+01,0.000000e+00,-9.999799e+01,0.000000e+00,-9.999789e+01,0.000000e+00
3.000000e+00,-9.999895e+01,0.000000e+00,-9.999892e+01,0.000000e+00,-9.999895e+01,0.000000e+00,-9.999793e+01,0.000000e+00,-9.999895e+01,0.000000e+00,-9.999890e+01,0.000000e+00,-9.999895e+01,0.000000e+00,-9.999889e+01,0.000000e+00
4.000000e+00,-9.999898e+01,0.000000e+00,-9.999897e+01,0.000000e+00,-9.999897e+01,0.000000e+00,-9.999890e+01,0.000000e+00,-9.999892e+01,0.000000e+00,-9.999894e+01,0.000000e+00,-9.999891e+01,0.000000e+00,-9.999893e+01,0.000000e+00
5.000000e+00,-3.719404e+01,0.000000e+00,-3.730850e+01,9.413757e-01,-2.761131e+01,5.027711e+00,-9.999897e+01,0.000000e+00,-2.762364e+01,5.039600e+00,-3.731806e+01,1.354536e+00,-2.769504e+01,5.358777e+00,3.886450e+01,0.000000e+00
6.000000e+00,-3.712062e+01,0.000000e+00,-3.730850e+01,-9.413757e-01,-2.761131e+01,-5.027711e+00,-3.819605e+01,0.000000e+00,-2.762364e+01,-5.039600e+00,-3.731806e+01,-1.354536e+00,-2.769504e+01,-5.358777e+00,-3.807493e+01,0.000000e+00
7.000000e+00,-3.612060e+01,0.000000e+00,-3.541673e+01,1.409143e+00,-3.716669e+01,0.000000e+00,-3.713090e+01,0.000000e+00,-2.970946e+01,0.000000e+00,-3.596010e+01,1.583714e+00,-3.715306e+01,0.000000e+00,-3.713883e+01,0.000000e+00
8.000000e+00,-3.585726e+01,0.000000e+00,-3.541673e+01,-1.409143e+00,-3.712041e+01,0.000000e+00,-3.606473e+01,6.335222e-01,-3.716978e+01,0.000000e+00,-3.596010e+01,-1.583714e+00,-3.712422e+01,0.000000e+00,-3.610018e+01,5.546331e-01
9.000000e+00,-3.490183e+01,0.000000e+00,-3.713414e+01,0.000000e+00,-3.584841e+01,0.000000e+00,-3.606473e+01,-6.335222e-01,-3.712454e+01,0.000000e+00,-3.714447e+01,0.000000e+00,-3.603405e+01,0.000000e+00,-3.610018e+01,-5.546331e-01
1.000000e+01,-3.356173e+01,0.000000e+00,-3.581960e+01,0.000000e+00,-3.605201e+01,0.000000e+00,-3.568597e+01,0.000000e+00,-3.607025e+01,0.000000e+00,-3.579778e+01,0.000000e+00,-3.583973e+01,0.000000e+00,-3.563188e+01,0.000000e+00
