t,y_piq,y_cmp,q_inj,q_ref
0.000000e+00,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
3.333333e-02,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
6.666667e-02,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
1.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
1.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
1.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
2.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
2.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
2.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
3.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
3.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
3.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
4.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
4.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
4.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
5.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
5.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
5.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
6.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
6.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
6.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
7.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
7.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
7.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
8.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
8.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
8.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
9.000000e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
9.333333e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
9.666667e-01,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
1.000000e+00,9.995049e-01,9.995049e-01,-2.895339e-03,-2.895339e-03
1.033333e+00,9.995067e-01,1.000334e+00,-2.931421e-03,-2.895339e-03
1.066667e+00,9.995703e-01,1.004298e+00,-4.189850e-03,-2.895339e-03
1.100000e+00,9.998565e-01,1.009951e+00,-9.793378e-03,-2.895339e-03
1.133333e+00,1.000492e+00,1.015747e+00,-2.207914e-02,-2.895339e-03
1.166667e+00,1.001501e+00,1.020907e+00,-4.131877e-02,-2.895339e-03
1.200000e+00,1.002847e+00,1.024858e+00,-6.655060e-02,-2.895339e-03
1.233333e+00,1.004435e+00,1.026894e+00,-9.571064e-02,-2.895339e-03
1.266667e+00,1.006123e+00,1.026671e+00,-1.258796e-01,-2.895339e-03
1.300000e+00,1.007751e+00,1.024483e+00,-1.538558e-01,-2.895339e-03
1.333333e+00,1.009181e+00,1.021133e+00,-1.770319e-01,-2.895339e-03
1.366667e+00,1.010337e+00,1.017621e+00,-1.940479e-01,-2.895339e-03
1.400000e+00,1.011211e+00,1.014811e+00,-2.049521e-01,-2.895339e-03
1.433333e+00,1.011852e+00,1.013210e+00,-2.109174e-01,-2.895339e-03
1.466667e+00,1.012341e+00,1.012893e+00,-2.137137e-01,-2.895339e-03
1.500000e+00,1.012765e+00,1.013575e+00,-2.151453e-01,-2.895339e-03
1.533333e+00,1.013172e+00,1.013523e+00,-2.161830e-01,-2.895339e-03
1.566667e+00,1.013475e+00,1.009047e+00,-2.151458e-01,-2.895339e-03
1.600000e+00,1.013464e+00,1.000566e+00,-2.079443e-01,-2.895339e-03
1.633333e+00,1.012946e+00,9.911791e-01,-1.910137e-01,-2.895339e-03
1.666667e+00,1.011886e+00,9.842096e-01,-1.639624e-01,-2.895339e-03
1.700000e+00,1.010418e+00,9.817321e-01,-1.297827e-01,-2.895339e-03
1.733333e+00,1.008790e+00,9.840384e-01,-9.360588e-02,-2.895339e-03
1.766667e+00,1.007285e+00,9.898504e-01,-6.103278e-02,-2.895339e-03
1.800000e+00,1.006133e+00,9.970032e-01,-3.650040e-02,-2.895339e-03
1.833333e+00,1.005452e+00,1.003288e+00,-2.202687e-02,-2.895339e-03
1.866667e+00,1.005215e+00,1.007162e+00,-1.677054e-02,-2.895339e-03
1.900000e+00,1.005282e+00,1.008118e+00,-1.763119e-02,-2.895339e-03
1.933333e+00,1.005458e+00,1.006650e+00,-2.061177e-02,-2.895339e-03
1.966667e+00,1.005572e+00,1.003896e+00,-2.227903e-02,-2.895339e-03
2.000000e+00,1.005526e+00,1.001141e+00,-2.071749e-02,-2.895339e-03
2.033333e+00,1.005303e+00,9.993637e-01,-1.574468e-02,-2.895339e-03
2.066667e+00,1.004957e+00,9.989828e-01,-8.516409e-03,-2.895339e-03
2.100000e+00,1.004575e+00,9.998325e-01,-8.116585e-04,-2.895339e-03
2.133333e+00,1.004240e+00,1.001342e+00,5.716041e-03,-2.895339e-03
2.166667e+00,1.004002e+00,1.002817e+00,1.009569e-02,-2.895339e-03
2.200000e+00,1.003870e+00,1.003706e+00,1.226232e-02,-2.895339e-03
2.233333e+00,1.003811e+00,1.003769e+00,1.292014e-02,-2.895339e-03
2.266667e+00,1.003773e+00,1.003107e+00,1.314857e-02,-2.895339e-03
2.300000e+00,1.003706e+00,1.002067e+00,1.393990e-02,-2.895339e-03
2.333333e+00,1.003581e+00,1.001077e+00,1.585279e-02,-2.895339e-03
2.366667e+00,1.003396e+00,1.000480e+00,1.888496e-02,-2.895339e-03
2.400000e+00,1.003173e+00,1.000427e+00,2.256649e-02,-2.895339e-03
2.433333e+00,1.002946e+00,1.000855e+00,2.619992e-02,-2.895339e-03
2.466667e+00,1.002747e+00,1.001538e+00,2.914127e-02,-2.895339e-03
2.500000e+00,1.002598e+00,1.002197e+00,3.102122e-02,-2.895339e-03
2.533333e+00,1.002500e+00,1.002601e+00,3.183890e-02,-2.895339e-03
2.566667e+00,1.002438e+00,1.002645e+00,3.191217e-02,-2.895339e-03
2.600000e+00,1.002390e+00,1.002363e+00,3.172160e-02,-2.895339e-03
2.633333e+00,1.002332e+00,1.001897e+00,3.171983e-02,-2.895339e-03
2.666667e+00,1.002251e+00,1.001433e+00,3.218060e-02,-2.895339e-03
2.700000e+00,1.002145e+00,1.001123e+00,3.313469e-02,-2.895339e-03
2.733333e+00,1.002020e+00,1.001040e+00,3.440115e-02,-2.895339e-03
2.766667e+00,1.001893e+00,1.001167e+00,3.568722e-02,-2.895339e-03
2.800000e+00,1.001776e+00,1.001412e+00,3.671170e-02,-2.895339e-03
2.833333e+00,1.001680e+00,1.001655e+00,3.730521e-02,-2.895339e-03
2.866667e+00,1.001605e+00,1.001796e+00,3.745531e-02,-2.895339e-03
2.900000e+00,1.001546e+00,1.001788e+00,3.728797e-02,-2.895339e-03
2.933333e+00,1.001494e+00,1.001649e+00,3.700058e-02,-2.895339e-03
2.966667e+00,1.001439e+00,1.001445e+00,3.677782e-02,-2.895339e-03
3.000000e+00,1.001376e+00,1.001259e+00,3.672328e-02,-2.895339e-03
3.033333e+00,1.001304e+00,1.001164e+00,3.682967e-02,-2.895339e-03
3.066667e+00,1.001230e+00,1.001191e+00,3.699312e-02,-2.895339e-03
3.100000e+00,1.001160e+00,1.001329e+00,3.706067e-02,-2.895339e-03
3.133333e+00,1.001102e+00,1.001530e+00,3.688998e-02,-2.895339e-03
3.166667e+00,1.001060e+00,1.001732e+00,3.639849e-02,-2.895339e-03
3.200000e+00,1.001036e+00,1.001880e+00,3.558600e-02,-2.895339e-03
3.233333e+00,1.001026e+00,1.001950e+00,3.452565e-02,-2.895339e-03
3.266667e+00,1.001024e+00,1.001946e+00,3.333022e-02,-2.895339e-03
3.300000e+00,1.001026e+00,1.001900e+00,3.210886e-02,-2.895339e-03
3.333333e+00,1.001028e+00,1.001856e+00,3.093083e-02,-2.895339e-03
3.366667e+00,1.001028e+00,1.001851e+00,2.980825e-02,-2.895339e-03
3.400000e+00,1.001030e+00,1.001904e+00,2.870176e-02,-2.895339e-03
3.433333e+00,1.001036e+00,1.002009e+00,2.754418e-02,-2.895339e-03
3.466667e+00,1.001050e+00,1.002142e+00,2.627169e-02,-2.895339e-03
3.500000e+00,1.001074e+00,1.002269e+00,2.485080e-02,-2.895339e-03
3.533333e+00,1.001107e+00,1.002359e+00,2.329178e-02,-2.895339e-03
3.566667e+00,1.001147e+00,1.002394e+00,2.164560e-02,-2.895339e-03
3.600000e+00,1.001190e+00,1.002377e+00,1.998690e-02,-2.895339e-03
3.633333e+00,1.001233e+00,1.002320e+00,1.839076e-02,-2.895339e-03
3.666667e+00,1.001273e+00,1.002250e+00,1.691177e-02,-2.895339e-03
3.700000e+00,1.001308e+00,1.002188e+00,1.557253e-02,-2.895339e-03
3.733333e+00,1.001339e+00,1.002148e+00,1.436416e-02,-2.895339e-03
3.766667e+00,1.001366e+00,1.002131e+00,1.325728e-02,-2.895339e-03
3.800000e+00,1.001392e+00,1.002128e+00,1.221825e-02,-2.895339e-03
3.833333e+00,1.001417e+00,1.002123e+00,1.122441e-02,-2.895339e-03
3.866667e+00,1.001442e+00,1.002100e+00,1.027326e-02,-2.895339e-03
3.900000e+00,1.001465e+00,1.002049e+00,9.382938e-03,-2.895339e-03
3.933333e+00,1.001486e+00,1.001968e+00,8.585093e-03,-2.895339e-03
3.966667e+00,1.001501e+00,1.001865e+00,7.913337e-03,-2.895339e-03
4.000000e+00,1.001509e+00,1.001753e+00,7.391949e-03,-2.895339e-03
4.033333e+00,1.001510e+00,1.001645e+00,7.028631e-03,-2.895339e-03
4.066667e+00,1.001505e+00,1.001549e+00,6.813355e-03,-2.895339e-03
4.100000e+00,1.001493e+00,1.001470e+00,6.722963e-03,-2.895339e-03
4.133333e+00,1.001477e+00,1.001405e+00,6.729269e-03,-2.895339e-03
4.166667e+00,1.001457e+00,1.001346e+00,6.807499e-03,-2.895339e-03
4.200000e+00,1.001434e+00,1.001285e+00,6.942180e-03,-2.895339e-03
4.233333e+00,1.001408e+00,1.001217e+00,7.128830e-03,-2.895339e-03
4.266667e+00,1.001379e+00,1.001139e+00,7.371432e-03,-2.895339e-03
