re0,im0,re1,im1,re2,im2
-5.542691e-01,4.005693e-01,-6.451332e-01,2.951585e-01,-1.137977e+00,1.072012e-01
-1.898054e+00,3.813333e-03,-5.810448e-01,3.891415e+00,-8.605931e-01,4.346773e+00
-3.059977e+00,5.974106e-02,-2.317481e+00,6.200494e+00,-5.707636e+00,1.399514e+01
-3.912177e-01,3.308554e+00,-4.724891e+00,1.261251e+01,-6.143632e+00,1.542521e+01
-2.266844e+00,6.174942e+00,-5.871352e+00,1.425824e+01,-9.006234e+00,3.223182e+01
-2.363733e+00,6.277872e+00,-2.645534e+00,1.782272e+01,-4.313132e+00,3.879613e+01
-4.715156e+00,1.250406e+01,-7.118557e+00,3.395573e+01,-4.790601e+01,1.952617e+00
-4.723996e+00,1.266218e+01,-4.749348e+01,6.432080e+00,-4.796352e+01,1.816920e+00
-3.459318e+00,1.619661e+01,-4.790728e+01,1.903694e+00,-4.808716e+01,7.108170e+00
-1.966387e+00,1.821605e+01,-4.819128e+01,7.239772e+00,-4.866822e+01,7.824834e+00
-4.747461e+01,6.387514e+00,-4.848370e+01,8.493639e+00,-9.999434e+01,2.729255e+00
-4.750046e+01,6.452358e+00,-1.000000e+02,-1.000000e+02,-2.003976e+02,2.335261e-02
-4.822625e+01,7.942843e+00,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
-4.851971e+01,8.653212e+00,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
-9.630536e+01,2.859544e-01,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
-1.037946e+02,3.038429e-01,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
