re0,im0,re1,im1,re2,im2,re3,im3
-5.542691e-01,4.005693e-01,-1.480921e+00,6.695678e-01,-2.082446e+00,9.393101e-01,-2.428828e+00,3.198961e+00
-1.898054e+00,3.813333e-03,-7.954937e-01,3.741845e+00,-1.115985e+00,4.164420e+00,-4.331438e+00,1.560534e+01
-3.059977e+00,5.974106e-02,-2.317565e+00,6.199650e+00,-4.964372e+00,1.445082e+01,-2.438520e+01,1.988748e+01
-3.912177e-01,3.308554e+00,-4.722978e+00,1.261220e+01,-4.222631e+00,1.619465e+01,-1.307215e+01,3.210960e+01
-2.266844e+00,6.174942e+00,-4.963877e+00,1.481217e+01,-2.634596e+01,1.771181e+01,-1.436558e+01,3.483409e+01
-2.363733e+00,6.277872e+00,-2.359637e+00,1.785469e+01,-2.405503e+01,2.078065e+01,-1.349753e+01,3.884329e+01
-4.715156e+00,1.250406e+01,-2.538223e+01,1.894018e+01,-1.455639e+01,3.435584e+01,-2.312557e+01,3.503001e+01
-4.723996e+00,1.266218e+01,-1.439143e+01,3.477553e+01,-1.405429e+01,3.546919e+01,-4.806510e+01,7.524790e+00
-3.459318e+00,1.619661e+01,-4.749359e+01,6.431600e+00,-4.791671e+01,7.122010e+00,-2.087869e+02,4.020636e+01
-1.966387e+00,1.821605e+01,-4.799119e+01,7.239408e+00,-4.819834e+01,7.726841e+00,-2.101374e+02,4.321826e+01
-4.747461e+01,6.387514e+00,-4.843932e+01,8.488534e+00,-9.558795e+01,2.123126e-01,-2.113731e+02,4.579581e+01
-4.750046e+01,6.452358e+00,-2.101199e+02,4.319333e+01,-1.045669e+02,2.242570e-01,-1.000000e+02,-1.000000e+02
-4.822625e+01,7.942843e+00,-1.000000e+02,-1.000000e+02,-2.100014e+02,4.293105e+01,-1.000000e+02,-1.000000e+02
-4.851971e+01,8.653212e+00,-1.000000e+02,-1.000000e+02,-2.103227e+02,4.361766e+01,-1.000000e+02,-1.000000e+02
-9.630536e+01,2.859544e-01,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
-1.037946e+02,3.038429e-01,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02,-1.000000e+02
