t,f0,f1,f2
0.000000e+00,6.000000e+01,6.000000e+01,6.000000e+01
3.333333e-02,6.000000e+01,6.000000e+01,6.000000e+01
6.666667e-02,6.000000e+01,6.000000e+01,6.000000e+01
1.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
1.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
1.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
2.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
2.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
2.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
3.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
3.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
3.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
4.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
4.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
4.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
5.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
5.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
5.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
6.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
6.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
6.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
7.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
7.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
7.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
8.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
8.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
8.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
9.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01
9.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01
9.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01
1.000000e+00,6.000000e+01,6.000000e+01,6.000000e+01
1.033333e+00,5.999938e+01,5.999903e+01,5.999833e+01
1.066667e+00,5.999794e+01,5.999694e+01,5.999515e+01
1.100000e+00,5.999607e+01,5.999436e+01,5.999136e+01
