t,f0,f1,f2,f3
0.000000e+00,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
3.333333e-02,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
6.666667e-02,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
1.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
1.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
1.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
2.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
2.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
2.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
3.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
3.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
3.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
4.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
4.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
4.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
5.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
5.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
5.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
6.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
6.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
6.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
7.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
7.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
7.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
8.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
8.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
8.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
9.000000e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
9.333333e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
9.666667e-01,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
1.000000e+00,6.000000e+01,6.000000e+01,6.000000e+01,6.000000e+01
1.033333e+00,5.999938e+01,5.999800e+01,5.999539e+01,5.999226e+01
1.066667e+00,5.999794e+01,5.999515e+01,5.998969e+01,5.998175e+01
1.100000e+00,5.999607e+01,5.999291e+01,5.998662e+01,5.997503e+01
1.133333e+00,5.999382e+01,5.999095e+01,5.998531e+01,5.997112e+01
1.166667e+00,5.999119e+01,5.998872e+01,5.998420e+01,5.996914e+01
1.200000e+00,5.998821e+01,5.998589e+01,5.998217e+01,5.996740e+01
1.233333e+00,5.998502e+01,5.998248e+01,5.997892e+01,5.996524e+01
1.266667e+00,5.998177e+01,5.997877e+01,5.997477e+01,5.996263e+01
1.300000e+00,5.997866e+01,5.997507e+01,5.997028e+01,5.995977e+01
1.333333e+00,5.997581e+01,5.997164e+01,5.996592e+01,5.995687e+01
1.366667e+00,5.997327e+01,5.996859e+01,5.996200e+01,5.995408e+01
1.400000e+00,5.997100e+01,5.996592e+01,5.995866e+01,5.995150e+01
1.433333e+00,5.996887e+01,5.996353e+01,5.995589e+01,5.994916e+01
1.466667e+00,5.996678e+01,5.996129e+01,5.995358e+01,5.994704e+01
1.500000e+00,5.996462e+01,5.995909e+01,5.995162e+01,5.994518e+01
1.533333e+00,5.996235e+01,5.995679e+01,5.994971e+01,5.994330e+01
1.566667e+00,5.995999e+01,5.995444e+01,5.994789e+01,5.994162e+01
1.600000e+00,5.995761e+01,5.995209e+01,5.994607e+01,5.994004e+01
1.633333e+00,5.995529e+01,5.994979e+01,5.994425e+01,5.993858e+01
1.666667e+00,5.995313e+01,5.994764e+01,5.994248e+01,5.993725e+01
1.700000e+00,5.995114e+01,5.994567e+01,5.994081e+01,5.993607e+01
1.733333e+00,5.994933e+01,5.994389e+01,5.993930e+01,5.993506e+01
1.766667e+00,5.994764e+01,5.994229e+01,5.993797e+01,5.993424e+01
1.800000e+00,5.994601e+01,5.994080e+01,5.993683e+01,5.993359e+01
1.833333e+00,5.994439e+01,5.993938e+01,5.993586e+01,5.993312e+01
1.866667e+00,5.994274e+01,5.993798e+01,5.993502e+01,5.993279e+01
1.900000e+00,5.994106e+01,5.993659e+01,5.993428e+01,5.993259e+01
1.933333e+00,5.993938e+01,5.993522e+01,5.993360e+01,5.993249e+01
