re_reec,im_reec,re_gfma,im_gfma
2.502035e-04,0.000000e+00,2.502035e-04,0.000000e+00
-8.200429e-02,0.000000e+00,-8.200429e-02,0.000000e+00
-1.007187e-01,0.000000e+00,-1.007187e-01,0.000000e+00
-1.007441e-01,0.000000e+00,-1.007441e-01,0.000000e+00
-1.008167e-01,0.000000e+00,-1.008167e-01,0.000000e+00
-1.948263e-01,0.000000e+00,-1.948263e-01,0.000000e+00
-1.977585e-01,0.000000e+00,-1.977585e-01,0.000000e+00
-1.977997e-01,0.000000e+00,-1.977997e-01,0.000000e+00
-5.542691e-01,4.005693e-01,-5.542691e-01,4.005693e-01
-1.523616e+00,0.000000e+00,-1.523616e+00,0.000000e+00
-1.898054e+00,3.813333e-03,-1.898054e+00,3.813333e-03
-1.899957e+00,0.000000e+00,-1.899957e+00,0.000000e+00
-2.875616e+00,0.000000e+00,-2.875616e+00,0.000000e+00
-2.937600e+00,0.000000e+00,-2.937600e+00,0.000000e+00
-3.059977e+00,5.974106e-02,-3.059977e+00,5.974106e-02
-3.912177e-01,3.308554e+00,-3.912177e-01,3.308554e+00
-2.266844e+00,6.174942e+00,-2.266844e+00,6.174942e+00
-2.363733e+00,6.277872e+00,-2.363733e+00,6.277872e+00
-1.005716e+01,0.000000e+00,-1.005716e+01,0.000000e+00
-1.005781e+01,0.000000e+00,-1.005781e+01,0.000000e+00
-1.008029e+01,0.000000e+00,-1.008029e+01,0.000000e+00
-1.008975e+01,0.000000e+00,-1.008975e+01,0.000000e+00
-4.715156e+00,1.250406e+01,-4.715156e+00,1.250406e+01
-4.723996e+00,1.266218e+01,-4.723996e+00,1.266218e+01
-3.459318e+00,1.619661e+01,-3.459318e+00,1.619661e+01
-1.966387e+00,1.821605e+01,-1.966387e+00,1.821605e+01
-2.000000e+01,0.000000e+00,-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00,-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00,-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00,-2.000000e+01,0.000000e+00
-2.953662e+01,0.000000e+00,-2.953662e+01,0.000000e+00
-3.020735e+01,0.000000e+00,-3.020735e+01,0.000000e+00
-3.455058e+01,0.000000e+00,-3.455058e+01,0.000000e+00
-3.463207e+01,0.000000e+00,-3.463207e+01,0.000000e+00
-4.747461e+01,6.387514e+00,-4.747461e+01,6.387514e+00
-4.750046e+01,6.452358e+00,-4.750046e+01,6.452358e+00
-4.822625e+01,7.942843e+00,-4.822625e+01,7.942843e+00
-4.851971e+01,8.653212e+00,-4.851971e+01,8.653212e+00
-9.501449e+01,0.000000e+00,-9.501449e+01,0.000000e+00
-9.504835e+01,0.000000e+00,-9.504835e+01,0.000000e+00
-9.630536e+01,2.859544e-01,-9.630536e+01,2.859544e-01
-1.037946e+02,3.038429e-01,-1.037946e+02,3.038429e-01
-1.051162e+02,0.000000e+00,-1.051162e+02,0.000000e+00
-1.051560e+02,0.000000e+00,-1.051560e+02,0.000000e+00
-5.592526e-01,4.134431e-01,-5.579491e-01,3.986192e-01
-3.071967e+00,7.915467e-02,-1.896997e+00,3.015596e-03
-3.932132e-01,3.317179e+00,-3.057464e+00,5.282413e-02
-2.273736e+00,6.178065e+00,-3.995828e-01,3.315319e+00
-2.371114e+00,6.289382e+00,-2.275916e+00,6.178094e+00
-4.719057e+00,1.249400e+01,-2.376099e+00,6.292243e+00
-4.725869e+00,1.265823e+01,-4.755605e+00,1.248489e+01
-3.472081e+00,1.623562e+01,-4.737921e+00,1.264962e+01
-1.970470e+00,1.823917e+01,-3.680758e+00,1.623724e+01
-4.747055e+01,6.377571e+00,-2.072362e+00,1.823347e+01
-4.749905e+01,6.448392e+00,-2.045623e+01,1.160401e+01
-4.822373e+01,7.928309e+00,-3.461153e+01,1.958543e-02
-4.851697e+01,8.645508e+00,-4.746784e+01,6.370982e+00
-9.631485e+01,2.817484e-01,-4.749830e+01,6.446290e+00
-1.037852e+02,2.997442e-01,-4.819527e+01,7.882795e+00
-5.573692e-01,4.192106e-01,-4.849588e+01,8.619440e+00
-3.070816e+00,7.737961e-02,-1.368682e+01,6.142346e+01
-3.939546e-01,3.322242e+00,-9.630770e+01,2.786698e-01
-2.278606e+00,6.179693e+00,-1.037939e+02,2.969823e-01
-2.378296e+00,6.297928e+00,-2.040950e+02,2.721629e+01
-4.720674e+00,1.247991e+01,-5.589898e-01,3.976798e-01
-4.726023e+00,1.265324e+01,-1.896980e+00,3.105191e-03
-3.474060e+00,1.623198e+01,-3.056746e+00,5.197139e-02
-1.969047e+00,1.824044e+01,-4.003734e-01,3.319460e+00
-3.461662e+01,1.889372e-02,-2.280447e+00,6.179680e+00
-4.746851e+01,6.370637e+00,-2.383924e+00,6.300882e+00
-4.749849e+01,6.446357e+00,-4.760678e+00,1.246889e+01
-4.822641e+01,7.922510e+00,-4.736334e+00,1.264528e+01
-4.851886e+01,8.643197e+00,-3.685867e+00,1.623516e+01
-9.632347e+01,2.770287e-01,-2.072432e+00,1.823581e+01
-1.037765e+02,2.950732e-01,-2.038310e+01,1.201025e+01
-5.586900e-01,4.192637e-01,-3.462023e+01,2.699597e-02
-3.121152e+00,7.737522e-02,-4.746486e+01,6.364353e+00
-3.958656e-01,3.328215e+00,-4.749768e+01,6.444780e+00
-2.282773e+00,6.181624e+00,-4.819403e+01,7.880647e+00
-2.385574e+00,6.308142e+00,-4.849567e+01,8.619431e+00
