f,m1,p1,m2,p2,m3,p3
1.000000e-02,2.602172e+01,8.807495e-01,2.616219e+01,6.461264e+00,2.665894e+01,1.687465e+01
1.046183e-02,2.602182e+01,9.214182e-01,2.617519e+01,6.745366e+00,2.671410e+01,1.754745e+01
1.094500e-02,2.602194e+01,9.639641e-01,2.618936e+01,7.040602e+00,2.677356e+01,1.823798e+01
1.145048e-02,2.602206e+01,1.008474e+00,2.620477e+01,7.347221e+00,2.683759e+01,1.894557e+01
1.197930e-02,2.602220e+01,1.055037e+00,2.622154e+01,7.665448e+00,2.690644e+01,1.966940e+01
1.253254e-02,2.602235e+01,1.103750e+00,2.623978e+01,7.995480e+00,2.698039e+01,2.040847e+01
1.311134e-02,2.602252e+01,1.154711e+00,2.625959e+01,8.337485e+00,2.705969e+01,2.116163e+01
1.371687e-02,2.602270e+01,1.208023e+00,2.628111e+01,8.691589e+00,2.714461e+01,2.192752e+01
1.435036e-02,2.602290e+01,1.263794e+00,2.630447e+01,9.057877e+00,2.723540e+01,2.270459e+01
1.501311e-02,2.602312e+01,1.322139e+00,2.632980e+01,9.436382e+00,2.733229e+01,2.349110e+01
1.570646e-02,2.602335e+01,1.383175e+00,2.635725e+01,9.827076e+00,2.743552e+01,2.428513e+01
1.643184e-02,2.602361e+01,1.447027e+00,2.638697e+01,1.022987e+01,2.754530e+01,2.508453e+01
1.719072e-02,2.602390e+01,1.513823e+00,2.641911e+01,1.064459e+01,2.766182e+01,2.588698e+01
1.798465e-02,2.602421e+01,1.583699e+00,2.645385e+01,1.107099e+01,2.778525e+01,2.668998e+01
1.881524e-02,2.602455e+01,1.656797e+00,2.649134e+01,1.150873e+01,2.791573e+01,2.749085e+01
1.968419e-02,2.602493e+01,1.733265e+00,2.653176e+01,1.195736e+01,2.805336e+01,2.828674e+01
2.059328e-02,2.602533e+01,1.813258e+00,2.657528e+01,1.241632e+01,2.819822e+01,2.907468e+01
2.154435e-02,2.602578e+01,1.896936e+00,2.662209e+01,1.288495e+01,2.835034e+01,2.985158e+01
2.253934e-02,2.602627e+01,1.984470e+00,2.667235e+01,1.336243e+01,2.850971e+01,3.061422e+01
2.358028e-02,2.602681e+01,2.076036e+00,2.672624e+01,1.384785e+01,2.867629e+01,3.135937e+01
2.466930e-02,2.602739e+01,2.171819e+00,2.678393e+01,1.434011e+01,2.884997e+01,3.208371e+01
2.580862e-02,2.602803e+01,2.272011e+00,2.684557e+01,1.483800e+01,2.903063e+01,3.278394e+01
2.700055e-02,2.602873e+01,2.376814e+00,2.691133e+01,1.534015e+01,2.921808e+01,3.345679e+01
2.824752e-02,2.602950e+01,2.486440e+00,2.698133e+01,1.584503e+01,2.941208e+01,3.409902e+01
2.955209e-02,2.603034e+01,2.601107e+00,2.705569e+01,1.635099e+01,2.961235e+01,3.470750e+01
3.091691e-02,2.603126e+01,2.721047e+00,2.713453e+01,1.685621e+01,2.981857e+01,3.527922e+01
3.234476e-02,2.603227e+01,2.846498e+00,2.721792e+01,1.735874e+01,3.003038e+01,3.581130e+01
3.383855e-02,2.603337e+01,2.977712e+00,2.730591e+01,1.785653e+01,3.024737e+01,3.630106e+01
3.540133e-02,2.603458e+01,3.114950e+00,2.739853e+01,1.834739e+01,3.046910e+01,3.674602e+01
3.703629e-02,2.603589e+01,3.258486e+00,2.749576e+01,1.882907e+01,3.069510e+01,3.714390e+01
3.874675e-02,2.603734e+01,3.408603e+00,2.759757e+01,1.929924e+01,3.092485e+01,3.749272e+01
4.053621e-02,2.603891e+01,3.565600e+00,2.770386e+01,1.975553e+01,3.115782e+01,3.779071e+01
4.240831e-02,2.604064e+01,3.729786e+00,2.781452e+01,2.019557e+01,3.139345e+01,3.803643e+01
4.436687e-02,2.604253e+01,3.901484e+00,2.792939e+01,2.061701e+01,3.163117e+01,3.822870e+01
4.641589e-02,2.604460e+01,4.081032e+00,2.804825e+01,2.101756e+01,3.187038e+01,3.836666e+01
4.855953e-02,2.604686e+01,4.268780e+00,2.817086e+01,2.139503e+01,3.211049e+01,3.844975e+01
5.080218e-02,2.604933e+01,4.465094e+00,2.829692e+01,2.174734e+01,3.235089e+01,3.847775e+01
5.314840e-02,2.605204e+01,4.670355e+00,2.842612e+01,2.207261e+01,3.259096e+01,3.845074e+01
5.560298e-02,2.605500e+01,4.884957e+00,2.855809e+01,2.236916e+01,3.283010e+01,3.836912e+01
5.817091e-02,2.605824e+01,5.109313e+00,2.869243e+01,2.263553e+01,3.306771e+01,3.823361e+01
6.085745e-02,2.606178e+01,5.343852e+00,2.882872e+01,2.287054e+01,3.330320e+01,3.804524e+01
6.366805e-02,2.606565e+01,5.589016e+00,2.896650e+01,2.307331e+01,3.353600e+01,3.780535e+01
6.660846e-02,2.606989e+01,5.845268e+00,2.910533e+01,2.324327e+01,3.376556e+01,3.751556e+01
6.968467e-02,2.607452e+01,6.113087e+00,2.924470e+01,2.338018e+01,3.399134e+01,3.717779e+01
7.290295e-02,2.607958e+01,6.392967e+00,2.938415e+01,2.348413e+01,3.421285e+01,3.679422e+01
7.626986e-02,2.608512e+01,6.685423e+00,2.952320e+01,2.355558e+01,3.442962e+01,3.636726e+01
7.979226e-02,2.609117e+01,6.990986e+00,2.966137e+01,2.359531e+01,3.464120e+01,3.589957e+01
8.347734e-02,2.609779e+01,7.310203e+00,2.979820e+01,2.360443e+01,3.484721e+01,3.539401e+01
8.733262e-02,2.610502e+01,7.643641e+00,2.993325e+01,2.358437e+01,3.504729e+01,3.485359e+01
9.136594e-02,2.611292e+01,7.991882e+00,3.006612e+01,2.353686e+01,3.524113e+01,3.428151e+01
9.558553e-02,2.612155e+01,8.355527e+00,3.019642e+01,2.346389e+01,3.542846e+01,3.368105e+01
1.000000e-01,2.613098e+01,8.735191e+00,3.032380e+01,2.336769e+01,3.560905e+01,3.305561e+01
1.046183e-01,2.614127e+01,9.131505e+00,3.044797e+01,2.325069e+01,3.578274e+01,3.240863e+01
1.094500e-01,2.615252e+01,9.545114e+00,3.056865e+01,2.311550e+01,3.594941e+01,3.174357e+01
1.145048e-01,2.616480e+01,9.976677e+00,3.068563e+01,2.296486e+01,3.610896e+01,3.106390e+01
1.197930e-01,2.617820e+01,1.042686e+01,3.079873e+01,2.280159e+01,3.626136e+01,3.037304e+01
1.253254e-01,2.619283e+01,1.089635e+01,3.090781e+01,2.262859e+01,3.640663e+01,2.967433e+01
1.311134e-01,2.620878e+01,1.138583e+01,3.101279e+01,2.244879e+01,3.654481e+01,2.897105e+01
1.371687e-01,2.622618e+01,1.189599e+01,3.111362e+01,2.226511e+01,3.667600e+01,2.826634e+01
1.435036e-01,2.624516e+01,1.242752e+01,3.121029e+01,2.208043e+01,3.680031e+01,2.756321e+01
1.501311e-01,2.626584e+01,1.298112e+01,3.130285e+01,2.189757e+01,3.691790e+01,2.686452e+01
1.570646e-01,2.628837e+01,1.355746e+01,3.139137e+01,2.171927e+01,3.702897e+01,2.617294e+01
1.643184e-01,2.631291e+01,1.415723e+01,3.147593e+01,2.154820e+01,3.713372e+01,2.549099e+01
1.719072e-01,2.633962e+01,1.478108e+01,3.155669e+01,2.138686e+01,3.723238e+01,2.482099e+01
1.798465e-01,2.636869e+01,1.542964e+01,3.163380e+01,2.123767e+01,3.732520e+01,2.416507e+01
1.881524e-01,2.640030e+01,1.610352e+01,3.170745e+01,2.110290e+01,3.741247e+01,2.352517e+01
1.968419e-01,2.643466e+01,1.680330e+01,3.177784e+01,2.098468e+01,3.749444e+01,2.290304e+01
2.059328e-01,2.647198e+01,1.752950e+01,3.184521e+01,2.088500e+01,3.757141e+01,2.230025e+01
2.154435e-01,2.651250e+01,1.828259e+01,3.190978e+01,2.080572e+01,3.764367e+01,2.171820e+01
2.253934e-01,2.655645e+01,1.906299e+01,3.197182e+01,2.074856e+01,3.771151e+01,2.115811e+01
2.358028e-01,2.660410e+01,1.987104e+01,3.203160e+01,2.071509e+01,3.777525e+01,2.062104e+01
2.466930e-01,2.665572e+01,2.070700e+01,3.208939e+01,2.070677e+01,3.783516e+01,2.010792e+01
2.580862e-01,2.671158e+01,2.157103e+01,3.214548e+01,2.072494e+01,3.789155e+01,1.961953e+01
2.700055e-01,2.677198e+01,2.246319e+01,3.220016e+01,2.077081e+01,3.794472e+01,1.915650e+01
2.824752e-01,2.683723e+01,2.338344e+01,3.225374e+01,2.084548e+01,3.799494e+01,1.871939e+01
2.955209e-01,2.690764e+01,2.433158e+01,3.230652e+01,2.094995e+01,3.804252e+01,1.830863e+01
3.091691e-01,2.698354e+01,2.530729e+01,3.235882e+01,2.108512e+01,3.808772e+01,1.792456e+01
3.234476e-01,2.706526e+01,2.631011e+01,3.241096e+01,2.125179e+01,3.813084e+01,1.756743e+01
3.383855e-01,2.715315e+01,2.733939e+01,3.246328e+01,2.145069e+01,3.817213e+01,1.723744e+01
3.540133e-01,2.724755e+01,2.839434e+01,3.251609e+01,2.168243e+01,3.821186e+01,1.693469e+01
3.703629e-01,2.734881e+01,2.947399e+01,3.256976e+01,2.194755e+01,3.825032e+01,1.665927e+01
3.874675e-01,2.745727e+01,3.057716e+01,3.262462e+01,2.224649e+01,3.828775e+01,1.641117e+01
4.053621e-01,2.757327e+01,3.170253e+01,3.268104e+01,2.257964e+01,3.832442e+01,1.619038e+01
4.240831e-01,2.769716e+01,3.284855e+01,3.273938e+01,2.294725e+01,3.836058e+01,1.599682e+01
4.436687e-01,2.782925e+01,3.401352e+01,3.280003e+01,2.334951e+01,3.839651e+01,1.583039e+01
4.641589e-01,2.796988e+01,3.519554e+01,3.286337e+01,2.378651e+01,3.843246e+01,1.569096e+01
4.855953e-01,2.811935e+01,3.639255e+01,3.292981e+01,2.425821e+01,3.846870e+01,1.557835e+01
5.080218e-01,2.827793e+01,3.760232e+01,3.299976e+01,2.476450e+01,3.850550e+01,1.549237e+01
5.314840e-01,2.844591e+01,3.882248e+01,3.307363e+01,2.530511e+01,3.854313e+01,1.543280e+01
5.560298e-01,2.862353e+01,4.005052e+01,3.315188e+01,2.587968e+01,3.858188e+01,1.539937e+01
5.817091e-01,2.881101e+01,4.128383e+01,3.323496e+01,2.648767e+01,3.862203e+01,1.539178e+01
6.085745e-01,2.900856e+01,4.251972e+01,3.332333e+01,2.712841e+01,3.866390e+01,1.540970e+01
