t,p_gfm,p_gfl,f_gfm,f_gfl
0.000000e+00,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
3.333333e-02,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
6.666667e-02,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
1.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
1.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
1.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
2.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
2.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
2.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
3.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
3.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
3.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
4.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
4.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
4.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
5.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
5.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
5.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
6.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
6.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
6.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
7.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
7.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
7.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
8.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
8.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
8.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
9.000000e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
9.333333e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
9.666667e-01,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
1.000000e+00,7.000000e+01,7.000000e+01,6.000000e+01,6.000000e+01
1.033333e+00,6.999780e+01,7.000014e+01,6.000006e+01,6.000009e+01
1.066667e+00,6.997745e+01,7.000124e+01,6.000046e+01,6.000057e+01
