t,q_gfm,q_gfl,v_gfm,v_gfl
0.000000e+00,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
3.333333e-02,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
6.666667e-02,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
1.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
1.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
1.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
2.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
2.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
2.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
3.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
3.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
3.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
4.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
4.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
4.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
5.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
5.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
5.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
6.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
6.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
6.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
7.000000e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
7.333333e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
7.666667e-01,-3.619174e-01,-3.619174e-01,1.000000e+00,1.000000e+00
