t,c1,c2,c3,c4
0.000000e+00,1.907408e+00,1.904726e+00,1.922368e+00,1.904408e+00
3.333333e-02,2.762555e+00,1.902573e+00,1.922030e+00,1.903931e+00
6.666667e-02,3.211678e+00,1.871201e+00,1.916890e+00,1.896755e+00
1.000000e-01,3.232306e+00,1.789175e+00,1.903285e+00,1.877850e+00
1.333333e-01,2.974425e+00,1.670902e+00,1.884665e+00,1.851659e+00
1.666667e-01,2.601306e+00,1.555610e+00,1.869802e+00,1.829548e+00
2.000000e-01,2.228405e+00,1.479572e+00,1.866738e+00,1.821915e+00
2.333333e-01,1.935768e+00,1.465501e+00,1.879278e+00,1.833976e+00
2.666667e-01,1.752643e+00,1.511083e+00,1.904011e+00,1.862047e+00
3.000000e-01,1.673575e+00,1.598343e+00,1.933263e+00,1.897151e+00
3.333333e-01,1.672819e+00,1.700187e+00,1.957440e+00,1.927796e+00
3.666667e-01,1.712785e+00,1.789446e+00,1.969331e+00,1.944923e+00
4.000000e-01,1.763718e+00,1.848168e+00,1.966223e+00,1.944611e+00
4.333333e-01,1.806115e+00,1.868541e+00,1.950089e+00,1.928334e+00
4.666667e-01,1.833449e+00,1.856084e+00,1.927530e+00,1.903150e+00
5.000000e-01,1.848476e+00,1.822279e+00,1.905979e+00,1.877375e+00
5.333333e-01,1.858713e+00,1.781250e+00,1.892095e+00,1.858773e+00
5.666667e-01,1.872166e+00,1.745772e+00,1.889030e+00,1.851532e+00
6.000000e-01,1.893583e+00,1.723693e+00,1.896501e+00,1.856071e+00
6.333333e-01,1.923874e+00,1.718273e+00,1.911385e+00,1.869648e+00
6.666667e-01,1.959726e+00,1.727355e+00,1.928513e+00,1.887028e+00
7.000000e-01,1.996132e+00,1.746761e+00,1.943148e+00,1.903217e+00
7.333333e-01,2.027607e+00,1.771715e+00,1.951715e+00,1.914286e+00
7.666667e-01,2.050252e+00,1.797974e+00,1.953168e+00,1.918776e+00
8.000000e-01,2.062124e+00,1.823122e+00,1.948360e+00,1.917240e+00
8.333333e-01,2.062946e+00,1.846198e+00,1.939485e+00,1.911665e+00
8.666667e-01,2.054607e+00,1.867430e+00,1.929482e+00,1.904875e+00
9.000000e-01,2.039357e+00,1.887345e+00,1.920722e+00,1.899196e+00
9.333333e-01,2.019434e+00,1.906232e+00,1.914766e+00,1.896161e+00
9.666667e-01,1.996994e+00,1.923939e+00,1.911872e+00,1.896019e+00
1.000000e+00,1.973539e+00,1.939819e+00,1.911465e+00,1.898172e+00
1.033333e+00,1.950250e+00,1.952904e+00,1.912497e+00,1.901529e+00
1.066667e+00,1.928137e+00,1.962497e+00,1.913803e+00,1.904892e+00
1.100000e+00,1.908194e+00,1.968208e+00,1.914614e+00,1.907462e+00
1.133333e+00,1.891608e+00,1.970018e+00,1.914621e+00,1.908894e+00
1.166667e+00,1.879352e+00,1.968587e+00,1.914037e+00,1.909403e+00
1.200000e+00,1.872293e+00,1.964714e+00,1.913335e+00,1.909459e+00
1.233333e+00,1.871116e+00,1.959219e+00,1.913080e+00,1.909618e+00
1.266667e+00,1.875647e+00,1.952884e+00,1.913670e+00,1.910291e+00
1.300000e+00,1.885347e+00,1.946182e+00,1.915258e+00,1.911630e+00
1.333333e+00,1.899302e+00,1.939344e+00,1.917756e+00,1.913544e+00
1.366667e+00,1.916020e+00,1.932435e+00,1.920825e+00,1.915712e+00
1.400000e+00,1.934038e+00,1.925449e+00,1.924083e+00,1.917772e+00
1.433333e+00,1.951902e+00,1.918420e+00,1.927163e+00,1.919385e+00
1.466667e+00,1.968350e+00,1.911481e+00,1.929820e+00,1.920364e+00
1.500000e+00,1.982401e+00,1.904856e+00,1.931946e+00,1.920660e+00
1.533333e+00,1.993214e+00,1.898835e+00,1.933523e+00,1.920322e+00
1.566667e+00,2.000369e+00,1.893634e+00,1.934634e+00,1.919502e+00
1.600000e+00,2.003543e+00,1.889363e+00,1.935351e+00,1.918328e+00
1.633333e+00,2.002424e+00,1.885986e+00,1.935706e+00,1.916880e+00
1.666667e+00,1.997091e+00,1.883232e+00,1.935708e+00,1.915195e+00
1.700000e+00,1.987647e+00,1.880720e+00,1.935318e+00,1.913249e+00
1.733333e+00,1.974271e+00,1.877980e+00,1.934481e+00,1.910992e+00
1.766667e+00,1.957594e+00,1.874570e+00,1.933193e+00,1.908412e+00
1.800000e+00,1.938351e+00,1.870153e+00,1.931486e+00,1.905533e+00
1.833333e+00,1.917473e+00,1.864506e+00,1.929444e+00,1.902436e+00
1.866667e+00,1.896162e+00,1.857669e+00,1.927218e+00,1.899264e+00
1.900000e+00,1.875629e+00,1.849823e+00,1.924972e+00,1.896181e+00
1.933333e+00,1.857167e+00,1.841281e+00,1.922875e+00,1.893362e+00
1.966667e+00,1.841826e+00,1.832489e+00,1.921060e+00,1.890941e+00
2.000000e+00,1.830474e+00,1.823897e+00,1.919613e+00,1.889007e+00
2.033333e+00,1.823855e+00,1.815971e+00,1.918582e+00,1.887615e+00
2.066667e+00,1.822103e+00,1.809088e+00,1.917945e+00,1.886737e+00
2.100000e+00,1.825162e+00,1.803565e+00,1.917661e+00,1.886331e+00
2.133333e+00,1.832812e+00,1.799707e+00,1.917680e+00,1.886345e+00
2.166667e+00,1.844315e+00,1.797653e+00,1.917935e+00,1.886708e+00
2.200000e+00,1.858912e+00,1.797539e+00,1.918377e+00,1.887371e+00
2.233333e+00,1.875786e+00,1.799522e+00,1.918971e+00,1.888307e+00
2.266667e+00,1.893947e+00,1.803599e+00,1.919683e+00,1.889490e+00
2.300000e+00,1.912516e+00,1.809786e+00,1.920485e+00,1.890905e+00
2.333333e+00,1.930638e+00,1.818109e+00,1.921347e+00,1.892542e+00
2.366667e+00,1.947576e+00,1.828401e+00,1.922225e+00,1.894371e+00
2.400000e+00,1.962709e+00,1.840478e+00,1.923068e+00,1.896352e+00
2.433333e+00,1.975453e+00,1.854106e+00,1.923814e+00,1.898438e+00
2.466667e+00,1.985494e+00,1.868868e+00,1.924406e+00,1.900566e+00
2.500000e+00,1.992597e+00,1.884323e+00,1.924795e+00,1.902676e+00
2.533333e+00,1.996569e+00,1.899970e+00,1.924940e+00,1.904710e+00
2.566667e+00,1.997552e+00,1.915266e+00,1.924838e+00,1.906630e+00
2.600000e+00,1.995734e+00,1.929700e+00,1.924504e+00,1.908411e+00
2.633333e+00,1.991371e+00,1.942751e+00,1.923972e+00,1.910040e+00
2.666667e+00,1.984991e+00,1.954055e+00,1.923310e+00,1.911528e+00
2.700000e+00,1.977125e+00,1.963312e+00,1.922587e+00,1.912888e+00
2.733333e+00,1.968348e+00,1.970253e+00,1.921880e+00,1.914134e+00
2.766667e+00,1.959307e+00,1.974855e+00,1.921259e+00,1.915278e+00
2.800000e+00,1.950574e+00,1.977122e+00,1.920783e+00,1.916321e+00
2.833333e+00,1.942689e+00,1.977070e+00,1.920500e+00,1.917250e+00
2.866667e+00,1.936036e+00,1.974917e+00,1.920429e+00,1.918043e+00
2.900000e+00,1.930880e+00,1.970850e+00,1.920579e+00,1.918668e+00
2.933333e+00,1.927398e+00,1.965034e+00,1.920948e+00,1.919084e+00
2.966667e+00,1.925523e+00,1.957759e+00,1.921514e+00,1.919262e+00
3.000000e+00,1.925111e+00,1.949260e+00,1.922253e+00,1.919174e+00
3.033333e+00,1.925940e+00,1.939758e+00,1.923140e+00,1.918796e+00
3.066667e+00,1.927638e+00,1.929534e+00,1.924137e+00,1.918130e+00
3.100000e+00,1.929834e+00,1.918831e+00,1.925210e+00,1.917188e+00
3.133333e+00,1.932131e+00,1.907887e+00,1.926324e+00,1.915980e+00
3.166667e+00,1.934142e+00,1.896941e+00,1.927436e+00,1.914543e+00
3.200000e+00,1.935527e+00,1.886201e+00,1.928503e+00,1.912909e+00
3.233333e+00,1.935962e+00,1.875862e+00,1.929477e+00,1.911109e+00
3.266667e+00,1.935253e+00,1.866060e+00,1.930311e+00,1.909180e+00
3.300000e+00,1.933258e+00,1.856899e+00,1.930962e+00,1.907156e+00
3.333333e+00,1.929881e+00,1.848467e+00,1.931383e+00,1.905065e+00
3.366667e+00,1.925197e+00,1.840773e+00,1.931550e+00,1.902939e+00
3.400000e+00,1.919333e+00,1.833819e+00,1.931444e+00,1.900810e+00
3.433333e+00,1.912476e+00,1.827614e+00,1.931054e+00,1.898712e+00
3.466667e+00,1.904956e+00,1.822120e+00,1.930399e+00,1.896682e+00
3.500000e+00,1.897129e+00,1.817330e+00,1.929504e+00,1.894759e+00
3.533333e+00,1.889414e+00,1.813277e+00,1.928404e+00,1.892988e+00
3.566667e+00,1.882247e+00,1.809973e+00,1.927153e+00,1.891407e+00
3.600000e+00,1.876051e+00,1.807475e+00,1.925805e+00,1.890053e+00
3.633333e+00,1.871267e+00,1.805886e+00,1.924417e+00,1.888968e+00
3.666667e+00,1.868193e+00,1.805270e+00,1.923044e+00,1.888168e+00
3.700000e+00,1.867076e+00,1.805714e+00,1.921736e+00,1.887672e+00
3.733333e+00,1.868130e+00,1.807340e+00,1.920541e+00,1.887495e+00
3.766667e+00,1.871327e+00,1.810179e+00,1.919492e+00,1.887630e+00
3.800000e+00,1.876593e+00,1.814276e+00,1.918616e+00,1.888069e+00
3.833333e+00,1.883802e+00,1.819686e+00,1.917941e+00,1.888808e+00
3.866667e+00,1.892621e+00,1.826354e+00,1.917474e+00,1.889822e+00
3.900000e+00,1.902713e+00,1.834234e+00,1.917220e+00,1.891093e+00
3.933333e+00,1.913707e+00,1.843278e+00,1.917184e+00,1.892608e+00
3.966667e+00,1.925152e+00,1.853337e+00,1.917349e+00,1.894335e+00
4.000000e+00,1.936631e+00,1.864267e+00,1.917701e+00,1.896251e+00
4.033333e+00,1.947721e+00,1.875909e+00,1.918219e+00,1.898332e+00
4.066667e+00,1.958053e+00,1.888030e+00,1.918870e+00,1.900541e+00
4.100000e+00,1.967303e+00,1.900397e+00,1.919618e+00,1.902843e+00
4.133333e+00,1.975155e+00,1.912743e+00,1.920428e+00,1.905198e+00
4.166667e+00,1.981439e+00,1.924785e+00,1.921259e+00,1.907562e+00
4.200000e+00,1.986016e+00,1.936236e+00,1.922075e+00,1.909890e+00
4.233333e+00,1.988764e+00,1.946775e+00,1.922841e+00,1.912132e+00
4.266667e+00,1.989737e+00,1.956146e+00,1.923534e+00,1.914246e+00
4.300000e+00,1.989004e+00,1.964097e+00,1.924134e+00,1.916187e+00
4.333333e+00,1.986649e+00,1.970355e+00,1.924628e+00,1.917910e+00
4.366667e+00,1.982906e+00,1.974790e+00,1.925019e+00,1.919383e+00
4.400000e+00,1.977996e+00,1.977281e+00,1.925312e+00,1.920577e+00
4.433333e+00,1.972148e+00,1.977699e+00,1.925517e+00,1.921456e+00
4.466667e+00,1.965661e+00,1.976093e+00,1.925652e+00,1.922009e+00
4.500000e+00,1.958794e+00,1.972510e+00,1.925736e+00,1.922221e+00
4.533333e+00,1.951796e+00,1.966993e+00,1.925789e+00,1.922075e+00
4.566667e+00,1.944894e+00,1.959743e+00,1.925831e+00,1.921580e+00
4.600000e+00,1.938268e+00,1.950943e+00,1.925878e+00,1.920744e+00
4.633333e+00,1.932070e+00,1.940770e+00,1.925947e+00,1.919573e+00
4.666667e+00,1.926381e+00,1.929507e+00,1.926049e+00,1.918100e+00
4.700000e+00,1.921245e+00,1.917408e+00,1.926190e+00,1.916358e+00
4.733333e+00,1.916685e+00,1.904727e+00,1.926376e+00,1.914378e+00
4.766667e+00,1.912653e+00,1.891752e+00,1.926603e+00,1.912215e+00
