t,c1,c2
0.000000e+00,9.862150e-01,9.866353e-01
3.333333e-02,9.862061e-01,9.866183e-01
6.666667e-02,9.861803e-01,9.865691e-01
1.000000e-01,9.861397e-01,9.864905e-01
1.333333e-01,9.860867e-01,9.863864e-01
1.666667e-01,9.860259e-01,9.862637e-01
2.000000e-01,9.859619e-01,9.861297e-01
2.333333e-01,9.859001e-01,9.859931e-01
2.666667e-01,9.858456e-01,9.858627e-01
3.000000e-01,9.858035e-01,9.857475e-01
3.333333e-01,9.857790e-01,9.856562e-01
3.666667e-01,9.857751e-01,9.855949e-01
4.000000e-01,9.857941e-01,9.855684e-01
4.333333e-01,9.858376e-01,9.855800e-01
4.666667e-01,9.859044e-01,9.856287e-01
5.000000e-01,9.859924e-01,9.857115e-01
5.333333e-01,9.860986e-01,9.858243e-01
5.666667e-01,9.862177e-01,9.859590e-01
6.000000e-01,9.863441e-01,9.861075e-01
6.333333e-01,9.864720e-01,9.862606e-01
6.666667e-01,9.865948e-01,9.864090e-01
7.000000e-01,9.867067e-01,9.865442e-01
7.333333e-01,9.868018e-01,9.866578e-01
7.666667e-01,9.868760e-01,9.867442e-01
8.000000e-01,9.869257e-01,9.867989e-01
8.333333e-01,9.869480e-01,9.868178e-01
8.666667e-01,9.869429e-01,9.868012e-01
9.000000e-01,9.869109e-01,9.867499e-01
9.333333e-01,9.868533e-01,9.866660e-01
9.666667e-01,9.867739e-01,9.865549e-01
1.000000e+00,9.866772e-01,9.864230e-01
1.033333e+00,9.865680e-01,9.862775e-01
1.066667e+00,9.864525e-01,9.861276e-01
1.100000e+00,9.863366e-01,9.859821e-01
1.133333e+00,9.862267e-01,9.858508e-01
1.166667e+00,9.861279e-01,9.857414e-01
1.200000e+00,9.860448e-01,9.856609e-01
1.233333e+00,9.859815e-01,9.856153e-01
1.266667e+00,9.859395e-01,9.856062e-01
1.300000e+00,9.859194e-01,9.856336e-01
1.333333e+00,9.859208e-01,9.856962e-01
1.366667e+00,9.859409e-01,9.857878e-01
1.400000e+00,9.859762e-01,9.859019e-01
1.433333e+00,9.860225e-01,9.860307e-01
1.466667e+00,9.860746e-01,9.861649e-01
1.500000e+00,9.861273e-01,9.862956e-01
1.533333e+00,9.861754e-01,9.864142e-01
1.566667e+00,9.862145e-01,9.865134e-01
1.600000e+00,9.862407e-01,9.865874e-01
1.633333e+00,9.862508e-01,9.866308e-01
1.666667e+00,9.862435e-01,9.866418e-01
1.700000e+00,9.862185e-01,9.866196e-01
1.733333e+00,9.861759e-01,9.865643e-01
1.766667e+00,9.861184e-01,9.864800e-01
1.800000e+00,9.860493e-01,9.863711e-01
1.833333e+00,9.859725e-01,9.862435e-01
1.866667e+00,9.858932e-01,9.861054e-01
1.900000e+00,9.858167e-01,9.859652e-01
1.933333e+00,9.857490e-01,9.858322e-01
1.966667e+00,9.856951e-01,9.857153e-01
2.000000e+00,9.856595e-01,9.856222e-01
2.033333e+00,9.856468e-01,9.855607e-01
2.066667e+00,9.856587e-01,9.855346e-01
2.100000e+00,9.856963e-01,9.855461e-01
2.133333e+00,9.857599e-01,9.855960e-01
2.166667e+00,9.858465e-01,9.856803e-01
2.200000e+00,9.859529e-01,9.857939e-01
2.233333e+00,9.860747e-01,9.859303e-01
2.266667e+00,9.862058e-01,9.860802e-01
2.300000e+00,9.863402e-01,9.862348e-01
2.333333e+00,9.864715e-01,9.863846e-01
2.366667e+00,9.865935e-01,9.865212e-01
2.400000e+00,9.867009e-01,9.866369e-01
2.433333e+00,9.867882e-01,9.867248e-01
2.466667e+00,9.868524e-01,9.867810e-01
2.500000e+00,9.868910e-01,9.868029e-01
2.533333e+00,9.869022e-01,9.867883e-01
2.566667e+00,9.868871e-01,9.867395e-01
2.600000e+00,9.868473e-01,9.866592e-01
2.633333e+00,9.867852e-01,9.865513e-01
2.666667e+00,9.867057e-01,9.864230e-01
2.700000e+00,9.866135e-01,9.862818e-01
2.733333e+00,9.865140e-01,9.861361e-01
2.766667e+00,9.864135e-01,9.859954e-01
2.800000e+00,9.863175e-01,9.858685e-01
2.833333e+00,9.862316e-01,9.857641e-01
2.866667e+00,9.861599e-01,9.856885e-01
2.900000e+00,9.861059e-01,9.856465e-01
2.933333e+00,9.860719e-01,9.856416e-01
2.966667e+00,9.860579e-01,9.856727e-01
3.000000e+00,9.860630e-01,9.857370e-01
3.033333e+00,9.860852e-01,9.858304e-01
3.066667e+00,9.861207e-01,9.859453e-01
3.100000e+00,9.861650e-01,9.860735e-01
3.133333e+00,9.862132e-01,9.862064e-01
3.166667e+00,9.862603e-01,9.863348e-01
3.200000e+00,9.863012e-01,9.864507e-01
3.233333e+00,9.863311e-01,9.865460e-01
3.266667e+00,9.863467e-01,9.866154e-01
3.300000e+00,9.863452e-01,9.866547e-01
3.333333e+00,9.863246e-01,9.866603e-01
3.366667e+00,9.862851e-01,9.866326e-01
3.400000e+00,9.862278e-01,9.865728e-01
3.433333e+00,9.861544e-01,9.864830e-01
3.466667e+00,9.860688e-01,9.863690e-01
3.500000e+00,9.859754e-01,9.862371e-01
3.533333e+00,9.858793e-01,9.860948e-01
3.566667e+00,9.857863e-01,9.859510e-01
3.600000e+00,9.857021e-01,9.858147e-01
3.633333e+00,9.856325e-01,9.856954e-01
3.666667e+00,9.855822e-01,9.856006e-01
3.700000e+00,9.855550e-01,9.855368e-01
3.733333e+00,9.855543e-01,9.855097e-01
3.766667e+00,9.855808e-01,9.855206e-01
3.800000e+00,9.856339e-01,9.855690e-01
3.833333e+00,9.857126e-01,9.856529e-01
3.866667e+00,9.858127e-01,9.857660e-01
3.900000e+00,9.859298e-01,9.859014e-01
3.933333e+00,9.860586e-01,9.860508e-01
3.966667e+00,9.861927e-01,9.862047e-01
4.000000e+00,9.863259e-01,9.863542e-01
4.033333e+00,9.864518e-01,9.864903e-01
4.066667e+00,9.865651e-01,9.866057e-01
4.100000e+00,9.866609e-01,9.866945e-01
4.133333e+00,9.867347e-01,9.867511e-01
4.166667e+00,9.867847e-01,9.867737e-01
4.200000e+00,9.868095e-01,9.867616e-01
4.233333e+00,9.868086e-01,9.867146e-01
4.266667e+00,9.867842e-01,9.866369e-01
4.300000e+00,9.867390e-01,9.865329e-01
4.333333e+00,9.866764e-01,9.864084e-01
