t,rz1,rz2,rz3,rz4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.214574e-03,2.199212e-03,2.184010e-03,2.154076e-03
6.666667e-02,8.760195e-03,8.639518e-03,8.521331e-03,8.292181e-03
1.000000e-01,1.935087e-02,1.895456e-02,1.857044e-02,1.783694e-02
1.333333e-01,3.352479e-02,3.261889e-02,3.174984e-02,3.011520e-02
1.666667e-01,5.066142e-02,4.897111e-02,4.736612e-02,4.439177e-02
2.000000e-01,7.001201e-02,6.724848e-02,6.465110e-02,5.990772e-02
2.333333e-01,9.073125e-02,8.662091e-02,8.279672e-02,7.591307e-02
2.666667e-01,1.119132e-01,1.062275e-01,1.009908e-01,9.169736e-02
3.000000e-01,1.326323e-01,1.252157e-01,1.184527e-01,1.066168e-01
3.333333e-01,1.519828e-01,1.427765e-01,1.344648e-01,1.201149e-01
3.666667e-01,1.691191e-01,1.581806e-01,1.484014e-01,1.317405e-01
4.000000e-01,1.832927e-01,1.708065e-01,1.597515e-01,1.411567e-01
4.333333e-01,1.938830e-01,1.801647e-01,1.681345e-01,1.481457e-01
4.666667e-01,2.004282e-01,1.859193e-01,1.733140e-01,1.526101e-01
5.000000e-01,2.026424e-01,1.878960e-01,1.751999e-01,1.545657e-01
5.333333e-01,2.004274e-01,1.860866e-01,1.738456e-01,1.541315e-01
5.666667e-01,1.938813e-01,1.806489e-01,1.694429e-01,1.515183e-01
6.000000e-01,1.832903e-01,1.718932e-01,1.623053e-01,1.470108e-01
6.333333e-01,1.691160e-01,1.602661e-01,1.528498e-01,1.409497e-01
6.666667e-01,1.519791e-01,1.463309e-01,1.415768e-01,1.337144e-01
7.000000e-01,1.326284e-01,1.307379e-01,1.290433e-01,1.257025e-01
7.333333e-01,1.119090e-01,1.141955e-01,1.158373e-01,1.173123e-01
7.666667e-01,9.072709e-02,9.743935e-02,1.025518e-01,1.089259e-01
8.000000e-01,7.000802e-02,8.119824e-02,8.975847e-02,1.008947e-01
8.333333e-01,5.065778e-02,6.616431e-02,7.798512e-02,9.352681e-02
8.666667e-01,3.352167e-02,5.296243e-02,6.769349e-02,8.707779e-02
9.000000e-01,1.934839e-02,4.212546e-02,5.926321e-02,8.174406e-02
9.333333e-01,8.758476e-03,3.407391e-02,5.297937e-02,7.765996e-02
9.666667e-01,2.213685e-03,2.909747e-02,4.902226e-02,7.489596e-02
1.000000e+00,-1.965263e-08,2.734759e-02,4.746578e-02,7.346182e-02
1.033333e+00,2.215426e-03,2.883402e-02,4.827877e-02,7.331117e-02
1.066667e+00,8.761881e-03,3.342446e-02,5.132853e-02,7.434682e-02
