t,lc1,lc2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-1.051299e-05,-3.180583e-06,-1.074027e-05,-3.246626e-06
6.666667e-02,-4.570125e-05,-1.409648e-05,-4.618716e-05,-1.424264e-05
1.000000e-01,-1.079741e-04,-3.384819e-05,-1.089433e-04,-3.414243e-05
1.333333e-01,-1.971883e-04,-6.271935e-05,-2.003353e-04,-6.372202e-05
1.666667e-01,-3.114788e-04,-1.004329e-04,-3.176680e-04,-1.024273e-04
2.000000e-01,-4.476681e-04,-1.462724e-04,-4.586497e-04,-1.498480e-04
2.333333e-01,-6.015686e-04,-1.991653e-04,-6.197087e-04,-2.051681e-04
2.666667e-01,-7.682709e-04,-2.577606e-04,-7.952387e-04,-2.667919e-04
3.000000e-01,-9.424341e-04,-3.205079e-04,-9.796713e-04,-3.331098e-04
3.333333e-01,-1.118577e-03,-3.857406e-04,-1.166999e-03,-4.023576e-04
3.666667e-01,-1.291356e-03,-4.517580e-04,-1.351043e-03,-4.725117e-04
4.000000e-01,-1.455827e-03,-5.169057e-04,-1.526227e-03,-5.417135e-04
4.333333e-01,-1.607663e-03,-5.796489e-04,-1.687111e-03,-6.081112e-04
4.666667e-01,-1.743338e-03,-6.386368e-04,-1.830075e-03,-6.702553e-04
5.000000e-01,-1.860256e-03,-6.927544e-04,-1.952333e-03,-7.269574e-04
5.333333e-01,-1.956828e-03,-7.411610e-04,-2.051617e-03,-7.771631e-04
5.666667e-01,-2.032492e-03,-7.833124e-04,-2.128266e-03,-8.205738e-04
6.000000e-01,-2.087680e-03,-8.189686e-04,-2.183092e-03,-8.570660e-04
6.333333e-01,-2.123736e-03,-8.481850e-04,-2.217343e-03,-8.866395e-04
6.666667e-01,-2.142791e-03,-8.712897e-04,-2.234243e-03,-9.099738e-04
7.000000e-01,-2.147598e-03,-8.888484e-04,-2.236890e-03,-9.277434e-04
7.333333e-01,-2.141353e-03,-9.016184e-04,-2.228479e-03,-9.406570e-04
7.666667e-01,-2.127486e-03,-9.104949e-04,-2.212917e-03,-9.497888e-04
8.000000e-01,-2.109467e-03,-9.164533e-04,-2.193609e-03,-9.560835e-04
8.333333e-01,-2.090602e-03,-9.204888e-04,-2.173807e-03,-9.604543e-04
8.666667e-01,-2.073861e-03,-9.235587e-04,-2.156364e-03,-9.638529e-04
9.000000e-01,-2.061722e-03,-9.265280e-04,-2.143589e-03,-9.670722e-04
9.333333e-01,-2.056052e-03,-9.301230e-04,-2.137514e-03,-9.708435e-04
9.666667e-01,-2.058028e-03,-9.348938e-04,-2.139118e-03,-9.756842e-04
1.000000e+00,-2.068094e-03,-9.411875e-04,-2.148930e-03,-9.819621e-04
1.033333e+00,-2.085968e-03,-9.491338e-04,-2.167089e-03,-9.899441e-04
1.066667e+00,-2.110677e-03,-9.586426e-04,-2.192538e-03,-9.995393e-04
1.100000e+00,-2.140642e-03,-9.694141e-04,-2.223892e-03,-1.010527e-03
1.133333e+00,-2.173785e-03,-9.809606e-04,-2.259312e-03,-1.022544e-03
1.166667e+00,-2.207666e-03,-9.926374e-04,-2.296215e-03,-1.034910e-03
1.200000e+00,-2.239630e-03,-1.003683e-03,-2.331908e-03,-1.046871e-03
1.233333e+00,-2.266972e-03,-1.013265e-03,-2.363379e-03,-1.057561e-03
1.266667e+00,-2.287097e-03,-1.020529e-03,-2.387828e-03,-1.066031e-03
1.300000e+00,-2.297664e-03,-1.024649e-03,-2.402647e-03,-1.071374e-03
1.333333e+00,-2.296729e-03,-1.024876e-03,-2.405240e-03,-1.072676e-03
1.366667e+00,-2.282856e-03,-1.020584e-03,-2.394193e-03,-1.069263e-03
1.400000e+00,-2.255196e-03,-1.011306e-03,-2.368470e-03,-1.060595e-03
1.433333e+00,-2.213545e-03,-9.967671e-04,-2.327366e-03,-1.046254e-03
1.466667e+00,-2.158362e-03,-9.769030e-04,-2.271723e-03,-1.026244e-03
1.500000e+00,-2.090753e-03,-9.518724e-04,-2.202697e-03,-1.000725e-03
1.533333e+00,-2.012425e-03,-9.220553e-04,-2.121891e-03,-9.700566e-04
