t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.538984e-05,-2.536108e-05,-5.982854e-09,-1.056295e-08,2.538431e-05,-2.535489e-05,-6.114746e-09,-1.079893e-08
6.666667e-02,4.928225e-05,-4.905351e-05,-4.758422e-08,-8.358282e-08,4.927694e-05,-4.904709e-05,-4.771052e-08,-8.386997e-08
1.000000e-01,7.026830e-05,-6.950851e-05,-1.580633e-07,-2.752642e-07,7.029680e-05,-6.953680e-05,-1.573790e-07,-2.744433e-07
1.333333e-01,8.711986e-05,-8.536124e-05,-3.658341e-07,-6.293940e-07,8.709476e-05,-8.531959e-05,-3.663309e-07,-6.311783e-07
1.666667e-01,9.886611e-05,-9.553699e-05,-6.922912e-07,-1.172340e-06,9.883102e-05,-9.545931e-05,-6.927816e-07,-1.175355e-06
2.000000e-01,1.048539e-04,-9.931913e-05,-1.149939e-06,-1.909427e-06,1.048785e-04,-9.925884e-05,-1.148553e-06,-1.911830e-06
2.333333e-01,1.047881e-04,-9.639463e-05,-1.740913e-06,-2.822987e-06,1.047707e-04,-9.620423e-05,-1.739316e-06,-2.827708e-06
2.666667e-01,9.874997e-05,-8.687424e-05,-2.455969e-06,-3.872255e-06,9.877894e-05,-8.661021e-05,-2.451348e-06,-3.876204e-06
3.000000e-01,8.719131e-05,-7.128592e-05,-3.274013e-06,-4.995153e-06,8.734883e-05,-7.099318e-05,-3.263640e-06,-4.996032e-06
3.333333e-01,7.090593e-05,-5.054215e-05,-4.162209e-06,-6.111846e-06,7.113421e-05,-5.011340e-05,-4.144933e-06,-6.106072e-06
3.666667e-01,5.097958e-05,-2.588303e-05,-5.076700e-06,-7.129849e-06,5.135743e-05,-2.536925e-05,-5.048906e-06,-7.113012e-06
4.000000e-01,2.872148e-05,1.201300e-06,-5.963943e-06,-7.950302e-06,2.928336e-05,1.786026e-06,-5.923074e-06,-7.919548e-06
4.333333e-01,5.582080e-06,2.906393e-05,-6.762635e-06,-8.474990e-06,6.322415e-06,2.972651e-05,-6.702981e-06,-8.417343e-06
4.666667e-01,-1.693814e-05,5.600440e-05,-7.406171e-06,-8.613580e-06,-1.601479e-05,5.672747e-05,-7.324367e-06,-8.524287e-06
5.000000e-01,-3.738282e-05,8.037540e-05,-7.825562e-06,-8.290543e-06,-3.632602e-05,8.118551e-05,-7.719605e-06,-8.166245e-06
