a66,rp1,ip1,rp2,ip2,rp3,ip3
-1.000000e+00,-5.053195e-03,-7.537720e+00,-2.079201e-01,-7.523635e+00,-2.006640e-01,-3.523182e+00
-9.900000e-01,-5.106667e-03,-7.537716e+00,-2.057673e-01,-7.524085e+00,-1.986387e-01,-3.523358e+00
-9.800000e-01,-5.161310e-03,-7.537712e+00,-2.036124e-01,-7.524530e+00,-1.966140e-01,-3.523532e+00
-9.700000e-01,-5.217163e-03,-7.537708e+00,-2.014553e-01,-7.524972e+00,-1.945898e-01,-3.523704e+00
-9.600000e-01,-5.274270e-03,-7.537703e+00,-1.992962e-01,-7.525409e+00,-1.925661e-01,-3.523874e+00
-9.500000e-01,-5.332674e-03,-7.537699e+00,-1.971348e-01,-7.525842e+00,-1.905431e-01,-3.524042e+00
-9.400000e-01,-5.392420e-03,-7.537694e+00,-1.949712e-01,-7.526270e+00,-1.885205e-01,-3.524208e+00
-9.300000e-01,-5.453557e-03,-7.537689e+00,-1.928053e-01,-7.526695e+00,-1.864985e-01,-3.524373e+00
-9.200000e-01,-5.516134e-03,-7.537684e+00,-1.906371e-01,-7.527115e+00,-1.844771e-01,-3.524535e+00
-9.100000e-01,-5.580205e-03,-7.537678e+00,-1.884666e-01,-7.527530e+00,-1.824561e-01,-3.524696e+00
-9.000000e-01,-5.645826e-03,-7.537673e+00,-1.862937e-01,-7.527942e+00,-1.804357e-01,-3.524855e+00
-8.900000e-01,-5.713055e-03,-7.537667e+00,-1.841183e-01,-7.528349e+00,-1.784157e-01,-3.525012e+00
-8.800000e-01,-5.781954e-03,-7.537661e+00,-1.819405e-01,-7.528752e+00,-1.763963e-01,-3.525167e+00
-8.700000e-01,-5.852587e-03,-7.537655e+00,-1.797601e-01,-7.529150e+00,-1.743774e-01,-3.525320e+00
-8.600000e-01,-5.925022e-03,-7.537648e+00,-1.775770e-01,-7.529545e+00,-1.723590e-01,-3.525472e+00
-8.500000e-01,-5.999333e-03,-7.537642e+00,-1.753913e-01,-7.529935e+00,-1.703411e-01,-3.525622e+00
-8.400000e-01,-6.075595e-03,-7.537635e+00,-1.732029e-01,-7.530321e+00,-1.683236e-01,-3.525769e+00
-8.300000e-01,-6.153888e-03,-7.537627e+00,-1.710117e-01,-7.530703e+00,-1.663067e-01,-3.525915e+00
-8.200000e-01,-6.234298e-03,-7.537620e+00,-1.688175e-01,-7.531081e+00,-1.642902e-01,-3.526060e+00
-8.100000e-01,-6.316914e-03,-7.537612e+00,-1.666204e-01,-7.531454e+00,-1.622741e-01,-3.526202e+00
-8.000000e-01,-6.401832e-03,-7.537604e+00,-1.644203e-01,-7.531824e+00,-1.602586e-01,-3.526343e+00
-7.900000e-01,-6.489153e-03,-7.537595e+00,-1.622170e-01,-7.532189e+00,-1.582434e-01,-3.526481e+00
-7.800000e-01,-6.578984e-03,-7.537586e+00,-1.600104e-01,-7.532550e+00,-1.562288e-01,-3.526618e+00
-7.700000e-01,-6.671439e-03,-7.537577e+00,-1.578006e-01,-7.532908e+00,-1.542146e-01,-3.526753e+00
-7.600000e-01,-6.766640e-03,-7.537567e+00,-1.555872e-01,-7.533261e+00,-1.522008e-01,-3.526887e+00
-7.500000e-01,-6.864715e-03,-7.537556e+00,-1.533703e-01,-7.533610e+00,-1.501874e-01,-3.527018e+00
-7.400000e-01,-6.965803e-03,-7.537546e+00,-1.511497e-01,-7.533955e+00,-1.481745e-01,-3.527148e+00
-7.300000e-01,-7.070050e-03,-7.537534e+00,-1.489252e-01,-7.534296e+00,-1.461620e-01,-3.527275e+00
-7.200000e-01,-7.177614e-03,-7.537522e+00,-1.466967e-01,-7.534634e+00,-1.441499e-01,-3.527402e+00
