f,Ts,Td
1.000000e-01,1.019444e+00,1.145619e-02
1.100000e-01,1.020600e+00,1.024665e-02
1.200000e-01,1.021789e+00,9.192586e-03
1.300000e-01,1.023016e+00,8.248491e-03
1.400000e-01,1.024280e+00,7.383350e-03
1.500000e-01,1.025583e+00,6.575722e-03
1.600000e-01,1.026922e+00,5.810608e-03
1.700000e-01,1.028294e+00,5.077413e-03
1.800000e-01,1.029696e+00,4.368601e-03
1.900000e-01,1.031125e+00,3.678784e-03
2.000000e-01,1.032579e+00,3.004095e-03
2.100000e-01,1.034053e+00,2.341763e-03
2.200000e-01,1.035544e+00,1.689796e-03
2.300000e-01,1.037048e+00,1.046772e-03
2.400000e-01,1.038564e+00,4.116813e-04
2.500000e-01,1.040088e+00,-2.161905e-04
2.600000e-01,1.041616e+00,-8.373405e-04
2.700000e-01,1.043147e+00,-1.452111e-03
2.800000e-01,1.044678e+00,-2.060731e-03
2.900000e-01,1.046207e+00,-2.663351e-03
3.000000e-01,1.047730e+00,-3.260065e-03
3.100000e-01,1.049247e+00,-3.850928e-03
3.200000e-01,1.050755e+00,-4.435967e-03
3.300000e-01,1.052251e+00,-5.015195e-03
3.400000e-01,1.053736e+00,-5.588610e-03
3.500000e-01,1.055205e+00,-6.156206e-03
3.600000e-01,1.056659e+00,-6.717973e-03
3.700000e-01,1.058096e+00,-7.273901e-03
3.800000e-01,1.059513e+00,-7.823981e-03
3.900000e-01,1.060910e+00,-8.368204e-03
4.000000e-01,1.062285e+00,-8.906566e-03
4.100000e-01,1.063638e+00,-9.439065e-03
4.200000e-01,1.064967e+00,-9.965702e-03
4.300000e-01,1.066270e+00,-1.048648e-02
4.400000e-01,1.067547e+00,-1.100141e-02
4.500000e-01,1.068797e+00,-1.151050e-02
4.600000e-01,1.070019e+00,-1.201377e-02
4.700000e-01,1.071211e+00,-1.251123e-02
4.800000e-01,1.072374e+00,-1.300290e-02
4.900000e-01,1.073506e+00,-1.348881e-02
5.000000e-01,1.074606e+00,-1.396898e-02
5.100000e-01,1.075674e+00,-1.444345e-02
5.200000e-01,1.076708e+00,-1.491223e-02
5.300000e-01,1.077709e+00,-1.537536e-02
5.400000e-01,1.078675e+00,-1.583289e-02
5.500000e-01,1.079606e+00,-1.628484e-02
5.600000e-01,1.080501e+00,-1.673125e-02
5.700000e-01,1.081360e+00,-1.717217e-02
5.800000e-01,1.082182e+00,-1.760763e-02
5.900000e-01,1.082967e+00,-1.803768e-02
6.000000e-01,1.083714e+00,-1.846237e-02
6.100000e-01,1.084422e+00,-1.888173e-02
6.200000e-01,1.085091e+00,-1.929582e-02
6.300000e-01,1.085720e+00,-1.970467e-02
6.400000e-01,1.086310e+00,-2.010835e-02
6.500000e-01,1.086859e+00,-2.050689e-02
6.600000e-01,1.087367e+00,-2.090034e-02
6.700000e-01,1.087834e+00,-2.128875e-02
6.800000e-01,1.088259e+00,-2.167218e-02
6.900000e-01,1.088642e+00,-2.205066e-02
7.000000e-01,1.088982e+00,-2.242425e-02
7.100000e-01,1.089280e+00,-2.279299e-02
7.200000e-01,1.089534e+00,-2.315692e-02
7.300000e-01,1.089744e+00,-2.351611e-02
7.400000e-01,1.089910e+00,-2.387058e-02
7.500000e-01,1.090031e+00,-2.422038e-02
7.600000e-01,1.090107e+00,-2.456556e-02
7.700000e-01,1.090138e+00,-2.490616e-02
7.800000e-01,1.090123e+00,-2.524222e-02
7.900000e-01,1.090061e+00,-2.557377e-02
8.000000e-01,1.089953e+00,-2.590086e-02
8.100000e-01,1.089798e+00,-2.622351e-02
8.200000e-01,1.089595e+00,-2.654177e-02
8.300000e-01,1.089344e+00,-2.685567e-02
8.400000e-01,1.089045e+00,-2.716523e-02
8.500000e-01,1.088697e+00,-2.747048e-02
8.600000e-01,1.088300e+00,-2.777145e-02
8.700000e-01,1.087852e+00,-2.806817e-02
8.800000e-01,1.087355e+00,-2.836064e-02
8.900000e-01,1.086807e+00,-2.864890e-02
9.000000e-01,1.086209e+00,-2.893296e-02
9.100000e-01,1.085558e+00,-2.921283e-02
9.200000e-01,1.084856e+00,-2.948853e-02
9.300000e-01,1.084101e+00,-2.976005e-02
9.400000e-01,1.083293e+00,-3.002742e-02
9.500000e-01,1.082432e+00,-3.029063e-02
9.600000e-01,1.081516e+00,-3.054969e-02
9.700000e-01,1.080547e+00,-3.080459e-02
9.800000e-01,1.079522e+00,-3.105532e-02
9.900000e-01,1.078442e+00,-3.130189e-02
1.000000e+00,1.077307e+00,-3.154428e-02
1.010000e+00,1.076115e+00,-3.178247e-02
1.020000e+00,1.074866e+00,-3.201646e-02
1.030000e+00,1.073560e+00,-3.224622e-02
1.040000e+00,1.072196e+00,-3.247173e-02
1.050000e+00,1.070774e+00,-3.269297e-02
1.060000e+00,1.069293e+00,-3.290991e-02
1.070000e+00,1.067753e+00,-3.312253e-02
1.080000e+00,1.066153e+00,-3.333078e-02
1.090000e+00,1.064494e+00,-3.353464e-02
1.100000e+00,1.062773e+00,-3.373406e-02
1.110000e+00,1.060992e+00,-3.392901e-02
1.120000e+00,1.059150e+00,-3.411944e-02
1.130000e+00,1.057246e+00,-3.430531e-02
1.140000e+00,1.055279e+00,-3.448657e-02
1.150000e+00,1.053251e+00,-3.466316e-02
1.160000e+00,1.051159e+00,-3.483504e-02
1.170000e+00,1.049005e+00,-3.500216e-02
1.180000e+00,1.046787e+00,-3.516445e-02
1.190000e+00,1.044505e+00,-3.532185e-02
1.200000e+00,1.042160e+00,-3.547430e-02
1.210000e+00,1.039750e+00,-3.562175e-02
1.220000e+00,1.037276e+00,-3.576412e-02
1.230000e+00,1.034737e+00,-3.590135e-02
1.240000e+00,1.032134e+00,-3.603338e-02
1.250000e+00,1.029466e+00,-3.616012e-02
1.260000e+00,1.026734e+00,-3.628152e-02
1.270000e+00,1.023937e+00,-3.639750e-02
1.280000e+00,1.021075e+00,-3.650799e-02
1.290000e+00,1.018148e+00,-3.661291e-02
1.300000e+00,1.015157e+00,-3.671219e-02
1.310000e+00,1.012102e+00,-3.680576e-02
1.320000e+00,1.008982e+00,-3.689355e-02
1.330000e+00,1.005799e+00,-3.697547e-02
1.340000e+00,1.002552e+00,-3.705146e-02
1.350000e+00,9.992421e-01,-3.712144e-02
1.360000e+00,9.958695e-01,-3.718534e-02
1.370000e+00,9.924347e-01,-3.724308e-02
1.380000e+00,9.889383e-01,-3.729461e-02
1.390000e+00,9.853809e-01,-3.733983e-02
1.400000e+00,9.817631e-01,-3.737870e-02
1.410000e+00,9.780857e-01,-3.741114e-02
1.420000e+00,9.743496e-01,-3.743708e-02
1.430000e+00,9.705555e-01,-3.745647e-02
1.440000e+00,9.667044e-01,-3.746924e-02
1.450000e+00,9.627974e-01,-3.747534e-02
1.460000e+00,9.588355e-01,-3.747471e-02
1.470000e+00,9.548198e-01,-3.746731e-02
1.480000e+00,9.507516e-01,-3.745308e-02
1.490000e+00,9.466321e-01,-3.743198e-02
1.500000e+00,9.424627e-01,-3.740397e-02
1.510000e+00,9.382449e-01,-3.736902e-02
1.520000e+00,9.339800e-01,-3.732709e-02
1.530000e+00,9.296697e-01,-3.727815e-02
1.540000e+00,9.253156e-01,-3.722219e-02
1.550000e+00,9.209193e-01,-3.715918e-02
1.560000e+00,9.164827e-01,-3.708911e-02
1.570000e+00,9.120076e-01,-3.701198e-02
1.580000e+00,9.074958e-01,-3.692779e-02
1.590000e+00,9.029492e-01,-3.683653e-02
1.600000e+00,8.983700e-01,-3.673822e-02
1.610000e+00,8.937601e-01,-3.663288e-02
1.620000e+00,8.891216e-01,-3.652052e-02
1.630000e+00,8.844568e-01,-3.640117e-02
1.640000e+00,8.797678e-01,-3.627488e-02
1.650000e+00,8.750569e-01,-3.614167e-02
1.660000e+00,8.703263e-01,-3.600159e-02
1.670000e+00,8.655785e-01,-3.585471e-02
1.680000e+00,8.608159e-01,-3.570107e-02
