w,mag,ang,re,im
-6.283185e+05,1.591549e-06,8.999995e+01,1.266515e-12,1.591549e-06
-6.171059e+05,1.620467e-06,8.999995e+01,1.312957e-12,1.620467e-06
-6.060935e+05,1.649911e-06,8.999995e+01,1.361102e-12,1.649911e-06
-5.952775e+05,1.679889e-06,8.999995e+01,1.411013e-12,1.679889e-06
-5.846545e+05,1.710412e-06,8.999995e+01,1.462754e-12,1.710412e-06
-5.742211e+05,1.741489e-06,8.999995e+01,1.516393e-12,1.741489e-06
-5.639740e+05,1.773132e-06,8.999995e+01,1.571998e-12,1.773132e-06
-5.539096e+05,1.805349e-06,8.999995e+01,1.629642e-12,1.805349e-06
-5.440249e+05,1.838151e-06,8.999995e+01,1.689400e-12,1.838151e-06
-5.343166e+05,1.871550e-06,8.999995e+01,1.751349e-12,1.871550e-06
-5.247815e+05,1.905555e-06,8.999995e+01,1.815570e-12,1.905555e-06
-5.154166e+05,1.940178e-06,8.999994e+01,1.882146e-12,1.940178e-06
-5.062187e+05,1.975431e-06,8.999994e+01,1.951163e-12,1.975431e-06
-4.971851e+05,2.011323e-06,8.999994e+01,2.022711e-12,2.011323e-06
-4.883126e+05,2.047868e-06,8.999994e+01,2.096883e-12,2.047868e-06
-4.795985e+05,2.085077e-06,8.999994e+01,2.173774e-12,2.085077e-06
-4.710399e+05,2.122962e-06,8.999994e+01,2.253485e-12,2.122962e-06
-4.626340e+05,2.161536e-06,8.999994e+01,2.336119e-12,2.161536e-06
-4.543781e+05,2.200810e-06,8.999994e+01,2.421783e-12,2.200810e-06
-4.462696e+05,2.240798e-06,8.999994e+01,2.510588e-12,2.240798e-06
-4.383057e+05,2.281513e-06,8.999993e+01,2.602650e-12,2.281513e-06
-4.304840e+05,2.322967e-06,8.999993e+01,2.698087e-12,2.322967e-06
-4.228018e+05,2.365174e-06,8.999993e+01,2.797025e-12,2.365174e-06
-4.152568e+05,2.408149e-06,8.999993e+01,2.899590e-12,2.408149e-06
-4.078464e+05,2.451904e-06,8.999993e+01,3.005916e-12,2.451904e-06
-4.005682e+05,2.496454e-06,8.999993e+01,3.116141e-12,2.496454e-06
-3.934199e+05,2.541814e-06,8.999993e+01,3.230408e-12,2.541814e-06
-3.863992e+05,2.587997e-06,8.999993e+01,3.348865e-12,2.587997e-06
-3.795037e+05,2.635020e-06,8.999992e+01,3.471666e-12,2.635020e-06
-3.727313e+05,2.682898e-06,8.999992e+01,3.598970e-12,2.682898e-06
-3.660798e+05,2.731645e-06,8.999992e+01,3.730942e-12,2.731645e-06
-3.595470e+05,2.781278e-06,8.999992e+01,3.867753e-12,2.781278e-06
-3.531307e+05,2.831813e-06,8.999992e+01,4.009581e-12,2.831813e-06
-3.468290e+05,2.883266e-06,8.999992e+01,4.156610e-12,2.883266e-06
-3.406397e+05,2.935653e-06,8.999992e+01,4.309031e-12,2.935653e-06
-3.345608e+05,2.988993e-06,8.999991e+01,4.467040e-12,2.988993e-06
-3.285905e+05,3.043302e-06,8.999991e+01,4.630844e-12,3.043302e-06
-3.227266e+05,3.098598e-06,8.999991e+01,4.800654e-12,3.098598e-06
-3.169675e+05,3.154898e-06,8.999991e+01,4.976691e-12,3.154898e-06
-3.113110e+05,3.212221e-06,8.999991e+01,5.159183e-12,3.212221e-06
-3.057556e+05,3.270586e-06,8.999991e+01,5.348367e-12,3.270586e-06
-3.002993e+05,3.330012e-06,8.999990e+01,5.544489e-12,3.330012e-06
-2.949403e+05,3.390517e-06,8.999990e+01,5.747802e-12,3.390517e-06
-2.896770e+05,3.452121e-06,8.999990e+01,5.958570e-12,3.452121e-06
-2.845076e+05,3.514845e-06,8.999990e+01,6.177067e-12,3.514845e-06
-2.794304e+05,3.578708e-06,8.999990e+01,6.403576e-12,3.578708e-06
-2.744439e+05,3.643732e-06,8.999990e+01,6.638391e-12,3.643732e-06
-2.695463e+05,3.709937e-06,8.999989e+01,6.881817e-12,3.709937e-06
-2.647362e+05,3.777345e-06,8.999989e+01,7.134169e-12,3.777345e-06
-2.600119e+05,3.845978e-06,8.999989e+01,7.395775e-12,3.845978e-06
-2.553719e+05,3.915858e-06,8.999989e+01,7.666973e-12,3.915858e-06
-2.508146e+05,3.987008e-06,8.999989e+01,7.948117e-12,3.987008e-06
-2.463388e+05,4.059450e-06,8.999988e+01,8.239569e-12,4.059450e-06
-2.419428e+05,4.133209e-06,8.999988e+01,8.541709e-12,4.133209e-06
-2.376252e+05,4.208308e-06,8.999988e+01,8.854928e-12,4.208308e-06
-2.333847e+05,4.284771e-06,8.999988e+01,9.179633e-12,4.284771e-06
-2.292198e+05,4.362624e-06,8.999988e+01,9.516245e-12,4.362624e-06
-2.251293e+05,4.441891e-06,8.999987e+01,9.865199e-12,4.441891e-06
-2.211118e+05,4.522599e-06,8.999987e+01,1.022695e-11,4.522599e-06
-2.171660e+05,4.604773e-06,8.999987e+01,1.060197e-11,4.604773e-06
-2.132906e+05,4.688440e-06,8.999987e+01,1.099073e-11,4.688440e-06
-2.094843e+05,4.773627e-06,8.999986e+01,1.139376e-11,4.773627e-06
-2.057460e+05,4.860362e-06,8.999986e+01,1.181156e-11,4.860362e-06
-2.020744e+05,4.948673e-06,8.999986e+01,1.224468e-11,4.948673e-06
-1.984683e+05,5.038588e-06,8.999986e+01,1.269369e-11,5.038588e-06
-1.949265e+05,5.130138e-06,8.999985e+01,1.315916e-11,5.130138e-06
-1.914480e+05,5.223350e-06,8.999985e+01,1.364169e-11,5.223350e-06
-1.880315e+05,5.318257e-06,8.999985e+01,1.414193e-11,5.318257e-06
-1.846760e+05,5.414887e-06,8.999984e+01,1.466050e-11,5.414887e-06
-1.813804e+05,5.513274e-06,8.999984e+01,1.519809e-11,5.513274e-06
-1.781436e+05,5.613448e-06,8.999984e+01,1.575540e-11,5.613448e-06
-1.749646e+05,5.715442e-06,8.999984e+01,1.633314e-11,5.715442e-06
-1.718423e+05,5.819290e-06,8.999983e+01,1.693207e-11,5.819290e-06
-1.687757e+05,5.925024e-06,8.999983e+01,1.755296e-11,5.925024e-06
-1.657638e+05,6.032680e-06,8.999983e+01,1.819661e-11,6.032680e-06
-1.628057e+05,6.142291e-06,8.999982e+01,1.886387e-11,6.142291e-06
-1.599004e+05,6.253894e-06,8.999982e+01,1.955560e-11,6.253894e-06
-1.570469e+05,6.367525e-06,8.999982e+01,2.027269e-11,6.367525e-06
-1.542443e+05,6.483221e-06,8.999981e+01,2.101608e-11,6.483221e-06
-1.514918e+05,6.601018e-06,8.999981e+01,2.178672e-11,6.601018e-06
-1.487883e+05,6.720956e-06,8.999981e+01,2.258563e-11,6.720956e-06
-1.461332e+05,6.843074e-06,8.999980e+01,2.341383e-11,6.843074e-06
-1.435254e+05,6.967410e-06,8.999980e+01,2.427240e-11,6.967410e-06
-1.409641e+05,7.094005e-06,8.999980e+01,2.516245e-11,7.094005e-06
-1.384485e+05,7.222900e-06,8.999979e+01,2.608515e-11,7.222900e-06
-1.359779e+05,7.354138e-06,8.999979e+01,2.704167e-11,7.354138e-06
-1.335513e+05,7.487760e-06,8.999979e+01,2.803327e-11,7.487760e-06
-1.311680e+05,7.623810e-06,8.999978e+01,2.906124e-11,7.623810e-06
-1.288273e+05,7.762331e-06,8.999978e+01,3.012689e-11,7.762331e-06
-1.265283e+05,7.903370e-06,8.999977e+01,3.123163e-11,7.903370e-06
-1.242704e+05,8.046971e-06,8.999977e+01,3.237687e-11,8.046971e-06
-1.220527e+05,8.193182e-06,8.999977e+01,3.356411e-11,8.193182e-06
-1.198746e+05,8.342049e-06,8.999976e+01,3.479489e-11,8.342049e-06
-1.177354e+05,8.493621e-06,8.999976e+01,3.607080e-11,8.493621e-06
-1.156344e+05,8.647947e-06,8.999975e+01,3.739349e-11,8.647947e-06
-1.135708e+05,8.805076e-06,8.999975e+01,3.876469e-11,8.805076e-06
-1.115441e+05,8.965061e-06,8.999974e+01,4.018616e-11,8.965061e-06
-1.095536e+05,9.127953e-06,8.999974e+01,4.165977e-11,9.127953e-06
-1.075986e+05,9.293805e-06,8.999973e+01,4.318740e-11,9.293805e-06
-1.056784e+05,9.462670e-06,8.999973e+01,4.477106e-11,9.462670e-06
-1.037926e+05,9.634603e-06,8.999972e+01,4.641279e-11,9.634603e-06
-1.019403e+05,9.809660e-06,8.999972e+01,4.811471e-11,9.809660e-06
-1.001212e+05,9.987898e-06,8.999971e+01,4.987905e-11,9.987898e-06
-9.833447e+04,1.016937e-05,8.999971e+01,5.170809e-11,1.016937e-05
-9.657965e+04,1.035415e-05,8.999970e+01,5.360419e-11,1.035415e-05
-9.485615e+04,1.054228e-05,8.999970e+01,5.556982e-11,1.054228e-05
-9.316341e+04,1.073383e-05,8.999969e+01,5.760753e-11,1.073383e-05
-9.150087e+04,1.092886e-05,8.999969e+01,5.971997e-11,1.092886e-05
-8.986800e+04,1.112743e-05,8.999968e+01,6.190986e-11,1.112743e-05
-8.826427e+04,1.132961e-05,8.999968e+01,6.418006e-11,1.132961e-05
-8.668916e+04,1.153547e-05,8.999967e+01,6.653350e-11,1.153547e-05
-8.514216e+04,1.174506e-05,8.999966e+01,6.897324e-11,1.174506e-05
-8.362277e+04,1.195847e-05,8.999966e+01,7.150245e-11,1.195847e-05
-8.213049e+04,1.217575e-05,8.999965e+01,7.412440e-11,1.217575e-05
-8.066484e+04,1.239698e-05,8.999964e+01,7.684250e-11,1.239698e-05
-7.922534e+04,1.262222e-05,8.999964e+01,7.966026e-11,1.262222e-05
-7.781154e+04,1.285156e-05,8.999963e+01,8.258136e-11,1.285156e-05
-7.642296e+04,1.308507e-05,8.999963e+01,8.560957e-11,1.308507e-05
-7.505916e+04,1.332282e-05,8.999962e+01,8.874882e-11,1.332282e-05
-7.371970e+04,1.356489e-05,8.999961e+01,9.200318e-11,1.356489e-05
-7.240415e+04,1.381136e-05,8.999960e+01,9.537688e-11,1.381136e-05
-7.111207e+04,1.406231e-05,8.999960e+01,9.887429e-11,1.406231e-05
-6.984305e+04,1.431782e-05,8.999959e+01,1.025000e-10,1.431782e-05
-6.859667e+04,1.457797e-05,8.999958e+01,1.062586e-10,1.457797e-05
-6.737254e+04,1.484284e-05,8.999957e+01,1.101550e-10,1.484284e-05
-6.617025e+04,1.511253e-05,8.999957e+01,1.141943e-10,1.511253e-05
-6.498941e+04,1.538712e-05,8.999956e+01,1.183817e-10,1.538712e-05
-6.382965e+04,1.566670e-05,8.999955e+01,1.227227e-10,1.566670e-05
-6.269059e+04,1.595136e-05,8.999954e+01,1.272229e-10,1.595136e-05
-6.157185e+04,1.624119e-05,8.999953e+01,1.318881e-10,1.624119e-05
-6.047308e+04,1.653628e-05,8.999953e+01,1.367243e-10,1.653628e-05
-5.939391e+04,1.683674e-05,8.999952e+01,1.417379e-10,1.683674e-05
-5.833401e+04,1.714266e-05,8.999951e+01,1.469354e-10,1.714266e-05
-5.729301e+04,1.745414e-05,8.999950e+01,1.523234e-10,1.745414e-05
-5.627060e+04,1.777127e-05,8.999949e+01,1.579090e-10,1.777127e-05
-5.526643e+04,1.809417e-05,8.999948e+01,1.636994e-10,1.809417e-05
-5.428018e+04,1.842293e-05,8.999947e+01,1.697022e-10,1.842293e-05
-5.331153e+04,1.875767e-05,8.999946e+01,1.759251e-10,1.875767e-05
-5.236016e+04,1.909849e-05,8.999945e+01,1.823761e-10,1.909849e-05
-5.142578e+04,1.944550e-05,8.999944e+01,1.890638e-10,1.944550e-05
-5.050806e+04,1.979882e-05,8.999943e+01,1.959966e-10,1.979882e-05
-4.960673e+04,2.015856e-05,8.999942e+01,2.031837e-10,2.015856e-05
-4.872148e+04,2.052483e-05,8.999941e+01,2.106343e-10,2.052483e-05
-4.785202e+04,2.089776e-05,8.999940e+01,2.183582e-10,2.089776e-05
-4.699808e+04,2.127746e-05,8.999939e+01,2.263652e-10,2.127746e-05
-4.615939e+04,2.166407e-05,8.999938e+01,2.346659e-10,2.166407e-05
-4.533565e+04,2.205769e-05,8.999937e+01,2.432709e-10,2.205769e-05
