w,mag,ang,re,im
-6.283185e+01,2.117675e-04,1.797048e+02,-2.117647e-04,1.090964e-06
-6.254978e+01,2.138695e-04,1.796487e+02,-2.138655e-04,1.311469e-06
-6.226897e+01,2.159922e-04,1.795919e+02,-2.159867e-04,1.538379e-06
-6.198943e+01,2.181357e-04,1.795346e+02,-2.181286e-04,1.771827e-06
-6.171114e+01,2.203004e-04,1.794767e+02,-2.202912e-04,2.011950e-06
-6.143410e+01,2.224862e-04,1.794183e+02,-2.224748e-04,2.258884e-06
-6.115830e+01,2.246936e-04,1.793592e+02,-2.246795e-04,2.512771e-06
-6.088374e+01,2.269225e-04,1.792996e+02,-2.269055e-04,2.773752e-06
-6.061041e+01,2.291733e-04,1.792395e+02,-2.291531e-04,3.041972e-06
-6.033831e+01,2.314461e-04,1.791787e+02,-2.314223e-04,3.317577e-06
-6.006743e+01,2.337411e-04,1.791173e+02,-2.337133e-04,3.600718e-06
-5.979777e+01,2.360585e-04,1.790554e+02,-2.360264e-04,3.891544e-06
-5.952932e+01,2.383985e-04,1.789929e+02,-2.383617e-04,4.190211e-06
-5.926207e+01,2.407614e-04,1.789298e+02,-2.407194e-04,4.496874e-06
-5.899603e+01,2.431473e-04,1.788661e+02,-2.430997e-04,4.811692e-06
-5.873117e+01,2.455564e-04,1.788018e+02,-2.455027e-04,5.134826e-06
-5.846751e+01,2.479889e-04,1.787369e+02,-2.479286e-04,5.466440e-06
-5.820503e+01,2.504450e-04,1.786714e+02,-2.503777e-04,5.806700e-06
-5.794373e+01,2.529250e-04,1.786054e+02,-2.528501e-04,6.155775e-06
-5.768360e+01,2.554290e-04,1.785387e+02,-2.553459e-04,6.513834e-06
-5.742464e+01,2.579573e-04,1.784714e+02,-2.578655e-04,6.881054e-06
-5.716684e+01,2.605100e-04,1.784036e+02,-2.604089e-04,7.257608e-06
-5.691020e+01,2.630874e-04,1.783351e+02,-2.629763e-04,7.643677e-06
-5.665471e+01,2.656897e-04,1.782660e+02,-2.655680e-04,8.039443e-06
-5.640037e+01,2.683170e-04,1.781964e+02,-2.681841e-04,8.445088e-06
-5.614717e+01,2.709697e-04,1.781261e+02,-2.708248e-04,8.860800e-06
-5.589511e+01,2.736479e-04,1.780552e+02,-2.734903e-04,9.286769e-06
-5.564418e+01,2.763519e-04,1.779837e+02,-2.761808e-04,9.723187e-06
-5.539437e+01,2.790818e-04,1.779116e+02,-2.788964e-04,1.017025e-05
-5.514569e+01,2.818379e-04,1.778389e+02,-2.816374e-04,1.062815e-05
-5.489812e+01,2.846204e-04,1.777655e+02,-2.844040e-04,1.109710e-05
-5.465167e+01,2.874295e-04,1.776916e+02,-2.871963e-04,1.157729e-05
-5.440632e+01,2.902655e-04,1.776170e+02,-2.900145e-04,1.206894e-05
-5.416207e+01,2.931286e-04,1.775418e+02,-2.928589e-04,1.257225e-05
-5.391892e+01,2.960190e-04,1.774660e+02,-2.957295e-04,1.308743e-05
-5.367686e+01,2.989368e-04,1.773896e+02,-2.986267e-04,1.361470e-05
-5.343589e+01,3.018825e-04,1.773126e+02,-3.015505e-04,1.415427e-05
-5.319600e+01,3.048561e-04,1.772350e+02,-3.045012e-04,1.470638e-05
-5.295718e+01,3.078580e-04,1.771567e+02,-3.074790e-04,1.527123e-05
-5.271944e+01,3.108883e-04,1.770778e+02,-3.104840e-04,1.584907e-05
-5.248276e+01,3.139473e-04,1.769983e+02,-3.135165e-04,1.644011e-05
-5.224715e+01,3.170352e-04,1.769182e+02,-3.165767e-04,1.704459e-05
-5.201260e+01,3.201522e-04,1.768374e+02,-3.196646e-04,1.766275e-05
-5.177910e+01,3.232987e-04,1.767560e+02,-3.227806e-04,1.829483e-05
-5.154664e+01,3.264747e-04,1.766740e+02,-3.259248e-04,1.894107e-05
-5.131523e+01,3.296806e-04,1.765914e+02,-3.290974e-04,1.960171e-05
-5.108486e+01,3.329167e-04,1.765081e+02,-3.322986e-04,2.027700e-05
-5.085553e+01,3.361830e-04,1.764242e+02,-3.355286e-04,2.096720e-05
-5.062722e+01,3.394800e-04,1.763397e+02,-3.387875e-04,2.167256e-05
-5.039994e+01,3.428078e-04,1.762546e+02,-3.420756e-04,2.239333e-05
-5.017367e+01,3.461667e-04,1.761688e+02,-3.453931e-04,2.312978e-05
-4.994843e+01,3.495568e-04,1.760824e+02,-3.487401e-04,2.388218e-05
-4.972419e+01,3.529786e-04,1.759954e+02,-3.521168e-04,2.465078e-05
-4.950097e+01,3.564321e-04,1.759078e+02,-3.555234e-04,2.543587e-05
-4.927874e+01,3.599178e-04,1.758195e+02,-3.589601e-04,2.623771e-05
-4.905751e+01,3.634357e-04,1.757306e+02,-3.624272e-04,2.705659e-05
-4.883728e+01,3.669862e-04,1.756410e+02,-3.659247e-04,2.789278e-05
-4.861803e+01,3.705695e-04,1.755509e+02,-3.694528e-04,2.874657e-05
-4.839977e+01,3.741859e-04,1.754601e+02,-3.730118e-04,2.961824e-05
-4.818249e+01,3.778355e-04,1.753686e+02,-3.766018e-04,3.050809e-05
-4.796618e+01,3.815188e-04,1.752766e+02,-3.802231e-04,3.141642e-05
-4.775084e+01,3.852359e-04,1.751839e+02,-3.838757e-04,3.234351e-05
-4.753647e+01,3.889870e-04,1.750906e+02,-3.875600e-04,3.328967e-05
-4.732307e+01,3.927725e-04,1.749967e+02,-3.912759e-04,3.425520e-05
-4.711062e+01,3.965927e-04,1.749021e+02,-3.950239e-04,3.524042e-05
-4.689912e+01,4.004476e-04,1.748069e+02,-3.988039e-04,3.624563e-05
-4.668858e+01,4.043377e-04,1.747111e+02,-4.026162e-04,3.727115e-05
-4.647898e+01,4.082632e-04,1.746146e+02,-4.064611e-04,3.831730e-05
-4.627032e+01,4.122243e-04,1.745175e+02,-4.103385e-04,3.938439e-05
-4.606260e+01,4.162213e-04,1.744198e+02,-4.142488e-04,4.047276e-05
-4.585581e+01,4.202544e-04,1.743215e+02,-4.181922e-04,4.158273e-05
-4.564994e+01,4.243241e-04,1.742225e+02,-4.221686e-04,4.271463e-05
-4.544501e+01,4.284304e-04,1.741229e+02,-4.261785e-04,4.386880e-05
-4.524099e+01,4.325736e-04,1.740227e+02,-4.302218e-04,4.504558e-05
-4.503789e+01,4.367541e-04,1.739219e+02,-4.342989e-04,4.624531e-05
-4.483570e+01,4.409721e-04,1.738204e+02,-4.384098e-04,4.746834e-05
-4.463442e+01,4.452279e-04,1.737184e+02,-4.425547e-04,4.871501e-05
-4.443404e+01,4.495217e-04,1.736156e+02,-4.467339e-04,4.998569e-05
-4.423456e+01,4.538537e-04,1.735123e+02,-4.509473e-04,5.128071e-05
-4.403597e+01,4.582244e-04,1.734084e+02,-4.551953e-04,5.260046e-05
-4.383828e+01,4.626339e-04,1.733038e+02,-4.594780e-04,5.394528e-05
-4.364148e+01,4.670826e-04,1.731986e+02,-4.637955e-04,5.531555e-05
-4.344556e+01,4.715706e-04,1.730928e+02,-4.681481e-04,5.671164e-05
-4.325052e+01,4.760983e-04,1.729864e+02,-4.725357e-04,5.813391e-05
-4.305635e+01,4.806659e-04,1.728794e+02,-4.769587e-04,5.958276e-05
-4.286306e+01,4.852737e-04,1.727717e+02,-4.814171e-04,6.105855e-05
-4.267063e+01,4.899221e-04,1.726635e+02,-4.859112e-04,6.256168e-05
-4.247907e+01,4.946111e-04,1.725546e+02,-4.904409e-04,6.409253e-05
-4.228837e+01,4.993413e-04,1.724451e+02,-4.950066e-04,6.565150e-05
-4.209852e+01,5.041127e-04,1.723350e+02,-4.996084e-04,6.723897e-05
-4.190953e+01,5.089257e-04,1.722243e+02,-5.042463e-04,6.885534e-05
-4.172138e+01,5.137806e-04,1.721130e+02,-5.089206e-04,7.050103e-05
-4.153408e+01,5.186777e-04,1.720011e+02,-5.136313e-04,7.217643e-05
-4.134762e+01,5.236172e-04,1.718885e+02,-5.183786e-04,7.388195e-05
-4.116200e+01,5.285994e-04,1.717754e+02,-5.231627e-04,7.561801e-05
-4.097721e+01,5.336245e-04,1.716617e+02,-5.279836e-04,7.738502e-05
-4.079325e+01,5.386930e-04,1.715474e+02,-5.328415e-04,7.918339e-05
-4.061011e+01,5.438050e-04,1.714324e+02,-5.377366e-04,8.101356e-05
-4.042780e+01,5.489608e-04,1.713169e+02,-5.426689e-04,8.287595e-05
-4.024631e+01,5.541607e-04,1.712008e+02,-5.476385e-04,8.477098e-05
-4.006563e+01,5.594050e-04,1.710841e+02,-5.526457e-04,8.669909e-05
-3.988576e+01,5.646940e-04,1.709668e+02,-5.576904e-04,8.866072e-05
-3.970670e+01,5.700280e-04,1.708489e+02,-5.627729e-04,9.065629e-05
-3.952844e+01,5.754072e-04,1.707304e+02,-5.678932e-04,9.268627e-05
-3.935099e+01,5.808319e-04,1.706114e+02,-5.730514e-04,9.475108e-05
-3.917433e+01,5.863024e-04,1.704917e+02,-5.782476e-04,9.685119e-05
-3.899846e+01,5.918190e-04,1.703715e+02,-5.834820e-04,9.898704e-05
-3.882339e+01,5.973820e-04,1.702507e+02,-5.887547e-04,1.011591e-04
-3.864909e+01,6.029916e-04,1.701293e+02,-5.940656e-04,1.033678e-04
-3.847559e+01,6.086482e-04,1.700074e+02,-5.994150e-04,1.056136e-04
-3.830286e+01,6.143519e-04,1.698848e+02,-6.048029e-04,1.078970e-04
-3.813090e+01,6.201032e-04,1.697617e+02,-6.102294e-04,1.102185e-04
-3.795972e+01,6.259023e-04,1.696381e+02,-6.156946e-04,1.125784e-04
-3.778931e+01,6.317495e-04,1.695138e+02,-6.211985e-04,1.149774e-04
-3.761966e+01,6.376450e-04,1.693890e+02,-6.267413e-04,1.174158e-04
-3.745077e+01,6.435892e-04,1.692637e+02,-6.323230e-04,1.198942e-04
-3.728264e+01,6.495823e-04,1.691377e+02,-6.379437e-04,1.224130e-04
-3.711527e+01,6.556246e-04,1.690112e+02,-6.436035e-04,1.249728e-04
-3.694865e+01,6.617164e-04,1.688842e+02,-6.493023e-04,1.275739e-04
-3.678277e+01,6.678580e-04,1.687566e+02,-6.550403e-04,1.302170e-04
-3.661764e+01,6.740497e-04,1.686285e+02,-6.608176e-04,1.329024e-04
-3.645325e+01,6.802917e-04,1.684998e+02,-6.666341e-04,1.356307e-04
-3.628960e+01,6.865843e-04,1.683706e+02,-6.724900e-04,1.384024e-04
-3.612669e+01,6.929279e-04,1.682408e+02,-6.783852e-04,1.412180e-04
-3.596450e+01,6.993226e-04,1.681105e+02,-6.843198e-04,1.440780e-04
-3.580305e+01,7.057689e-04,1.679796e+02,-6.902939e-04,1.469829e-04
-3.564231e+01,7.122669e-04,1.678483e+02,-6.963075e-04,1.499333e-04
-3.548230e+01,7.188169e-04,1.677163e+02,-7.023605e-04,1.529295e-04
-3.532301e+01,7.254193e-04,1.675839e+02,-7.084532e-04,1.559722e-04
-3.516444e+01,7.320743e-04,1.674509e+02,-7.145853e-04,1.590618e-04
-3.500657e+01,7.387822e-04,1.673175e+02,-7.207570e-04,1.621989e-04
-3.484942e+01,7.455433e-04,1.671834e+02,-7.269684e-04,1.653841e-04
-3.469297e+01,7.523579e-04,1.670489e+02,-7.332193e-04,1.686177e-04
-3.453722e+01,7.592262e-04,1.669139e+02,-7.395098e-04,1.719004e-04
-3.438217e+01,7.661485e-04,1.667783e+02,-7.458398e-04,1.752327e-04
-3.422782e+01,7.731251e-04,1.666423e+02,-7.522095e-04,1.786150e-04
-3.407416e+01,7.801564e-04,1.665057e+02,-7.586188e-04,1.820480e-04
-3.392119e+01,7.872424e-04,1.663687e+02,-7.650676e-04,1.855322e-04
-3.376890e+01,7.943837e-04,1.662311e+02,-7.715560e-04,1.890681e-04
-3.361730e+01,8.015803e-04,1.660931e+02,-7.780839e-04,1.926563e-04
-3.346638e+01,8.088326e-04,1.659545e+02,-7.846513e-04,1.962972e-04
-3.331614e+01,8.161409e-04,1.658155e+02,-7.912581e-04,1.999915e-04
-3.316658e+01,8.235055e-04,1.656760e+02,-7.979044e-04,2.037397e-04
-3.301768e+01,8.309266e-04,1.655360e+02,-8.045901e-04,2.075422e-04
-3.286945e+01,8.384045e-04,1.653955e+02,-8.113151e-04,2.113998e-04
-3.272189e+01,8.459395e-04,1.652546e+02,-8.180795e-04,2.153128e-04
-3.257499e+01,8.535318e-04,1.651131e+02,-8.248830e-04,2.192820e-04
-3.242875e+01,8.611818e-04,1.649712e+02,-8.317258e-04,2.233077e-04
-3.228317e+01,8.688897e-04,1.648289e+02,-8.386076e-04,2.273906e-04
-3.213824e+01,8.766557e-04,1.646861e+02,-8.455285e-04,2.315313e-04
-3.199396e+01,8.844802e-04,1.645428e+02,-8.524884e-04,2.357302e-04
-3.185033e+01,8.923634e-04,1.643991e+02,-8.594872e-04,2.399880e-04
-3.170734e+01,9.003056e-04,1.642549e+02,-8.665247e-04,2.443051e-04
-3.156500e+01,9.083070e-04,1.641103e+02,-8.736010e-04,2.486822e-04
-3.142329e+01,9.163679e-04,1.639652e+02,-8.807159e-04,2.531198e-04
-3.128222e+01,9.244887e-04,1.638197e+02,-8.878694e-04,2.576185e-04
-3.114179e+01,9.326695e-04,1.636738e+02,-8.950612e-04,2.621788e-04
-3.100198e+01,9.409106e-04,1.635274e+02,-9.022914e-04,2.668014e-04
-3.086280e+01,9.492123e-04,1.633806e+02,-9.095598e-04,2.714866e-04
-3.072425e+01,9.575749e-04,1.632334e+02,-9.168662e-04,2.762352e-04
-3.058632e+01,9.659985e-04,1.630858e+02,-9.242107e-04,2.810477e-04
-3.044901e+01,9.744835e-04,1.629377e+02,-9.315929e-04,2.859246e-04
-3.031231e+01,9.830302e-04,1.627892e+02,-9.390128e-04,2.908665e-04
-3.017623e+01,9.916388e-04,1.626403e+02,-9.464703e-04,2.958740e-04
-3.004076e+01,1.000309e-03,1.624911e+02,-9.539652e-04,3.009476e-04
-2.990590e+01,1.009043e-03,1.623414e+02,-9.614973e-04,3.060880e-04
-2.977164e+01,1.017838e-03,1.621913e+02,-9.690666e-04,3.112956e-04
-2.963798e+01,1.026697e-03,1.620408e+02,-9.766727e-04,3.165710e-04
-2.950493e+01,1.035619e-03,1.618900e+02,-9.843157e-04,3.219148e-04
-2.937247e+01,1.044604e-03,1.617387e+02,-9.919953e-04,3.273276e-04
-2.924061e+01,1.053653e-03,1.615871e+02,-9.997113e-04,3.328099e-04
-2.910934e+01,1.062766e-03,1.614351e+02,-1.007463e-03,3.383623e-04
-2.897866e+01,1.071943e-03,1.612827e+02,-1.015252e-03,3.439854e-04
-2.884856e+01,1.081185e-03,1.611300e+02,-1.023076e-03,3.496796e-04
-2.871905e+01,1.090491e-03,1.609768e+02,-1.030936e-03,3.554457e-04
-2.859012e+01,1.099862e-03,1.608234e+02,-1.038831e-03,3.612840e-04
-2.846177e+01,1.109298e-03,1.606696e+02,-1.046762e-03,3.671953e-04
-2.833400e+01,1.118800e-03,1.605154e+02,-1.054727e-03,3.731800e-04
-2.820680e+01,1.128367e-03,1.603609e+02,-1.062728e-03,3.792387e-04
-2.808017e+01,1.138000e-03,1.602060e+02,-1.070763e-03,3.853720e-04
-2.795411e+01,1.147700e-03,1.600508e+02,-1.078832e-03,3.915805e-04
-2.782861e+01,1.157465e-03,1.598952e+02,-1.086936e-03,3.978646e-04
-2.770368e+01,1.167297e-03,1.597394e+02,-1.095073e-03,4.042249e-04
-2.757931e+01,1.177197e-03,1.595832e+02,-1.103244e-03,4.106621e-04
-2.745550e+01,1.187163e-03,1.594266e+02,-1.111449e-03,4.171765e-04
-2.733224e+01,1.197196e-03,1.592698e+02,-1.119687e-03,4.237689e-04
-2.720954e+01,1.207297e-03,1.591127e+02,-1.127957e-03,4.304397e-04
-2.708738e+01,1.217466e-03,1.589552e+02,-1.136261e-03,4.371895e-04
-2.696578e+01,1.227702e-03,1.587974e+02,-1.144596e-03,4.440188e-04
-2.684472e+01,1.238007e-03,1.586394e+02,-1.152964e-03,4.509281e-04
