k,mag,ang,re,im
1.000000e+00,2.407600e-02,1.800000e+02,-2.407600e-02,0.000000e+00
2.000000e+00,2.602868e-02,0.000000e+00,2.602868e-02,0.000000e+00
3.000000e+00,2.894805e-02,0.000000e+00,2.894805e-02,0.000000e+00
4.000000e+00,1.578158e-01,1.800000e+02,-1.578158e-01,0.000000e+00
5.000000e+00,1.624068e-01,1.800000e+02,-1.624068e-01,0.000000e+00
6.000000e+00,1.848246e-01,1.800000e+02,-1.848246e-01,0.000000e+00
7.000000e+00,2.259049e+00,1.800000e+02,-2.259049e+00,0.000000e+00
8.000000e+00,3.219551e+00,1.800000e+02,-3.219551e+00,0.000000e+00
9.000000e+00,3.454722e+00,-9.195369e+01,-1.177775e-01,-3.452714e+00
1.000000e+01,3.454722e+00,9.195369e+01,-1.177775e-01,3.452714e+00
1.100000e+01,4.718270e+00,1.800000e+02,-4.718270e+00,0.000000e+00
1.200000e+01,4.747592e+00,1.800000e+02,-4.747592e+00,0.000000e+00
1.300000e+01,6.822199e+00,-9.461716e+01,-5.491692e-01,-6.800059e+00
1.400000e+01,6.822199e+00,9.461716e+01,-5.491692e-01,6.800059e+00
1.500000e+01,6.869751e+00,-9.467619e+01,-5.600521e-01,-6.846884e+00
1.600000e+01,6.869751e+00,9.467619e+01,-5.600521e-01,6.846884e+00
1.700000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.800000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.900000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.000000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.100000e+01,2.894015e+01,1.800000e+02,-2.894015e+01,0.000000e+00
2.200000e+01,3.026769e+01,1.800000e+02,-3.026769e+01,0.000000e+00
2.300000e+01,3.380495e+01,1.800000e+02,-3.380495e+01,0.000000e+00
2.400000e+01,3.494399e+01,1.800000e+02,-3.494399e+01,0.000000e+00
2.500000e+01,3.597570e+01,1.800000e+02,-3.597570e+01,0.000000e+00
2.600000e+01,3.616376e+01,1.800000e+02,-3.616376e+01,0.000000e+00
2.700000e+01,3.716613e+01,1.800000e+02,-3.716613e+01,0.000000e+00
2.800000e+01,3.723659e+01,1.800000e+02,-3.723659e+01,0.000000e+00
2.900000e+01,1.864035e-02,0.000000e+00,1.864035e-02,0.000000e+00
3.000000e+01,2.032875e-02,1.800000e+02,-2.032875e-02,0.000000e+00
3.100000e+01,4.566859e-02,1.800000e+02,-4.566859e-02,0.000000e+00
3.200000e+01,1.606254e-01,1.800000e+02,-1.606254e-01,0.000000e+00
3.300000e+01,1.864430e-01,1.800000e+02,-1.864430e-01,0.000000e+00
3.400000e+01,1.385879e+00,1.800000e+02,-1.385879e+00,0.000000e+00
3.500000e+01,1.792407e+00,1.800000e+02,-1.792407e+00,0.000000e+00
3.600000e+01,3.206184e+00,1.800000e+02,-3.206184e+00,0.000000e+00
3.700000e+01,3.435366e+00,-9.074928e+01,-4.492412e-02,-3.435073e+00
3.800000e+01,3.435366e+00,9.074928e+01,-4.492412e-02,3.435073e+00
3.900000e+01,4.741744e+00,1.800000e+02,-4.741744e+00,0.000000e+00
4.000000e+01,4.775482e+00,1.800000e+02,-4.775482e+00,0.000000e+00
4.100000e+01,6.822513e+00,-9.441159e+01,-5.247927e-01,-6.802299e+00
4.200000e+01,6.822513e+00,9.441159e+01,-5.247927e-01,6.802299e+00
4.300000e+01,6.871408e+00,-9.463288e+01,-5.550100e-01,-6.848957e+00
4.400000e+01,6.871408e+00,9.463288e+01,-5.550100e-01,6.848957e+00
4.500000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.600000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.700000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.800000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.900000e+01,2.889836e+01,1.800000e+02,-2.889836e+01,0.000000e+00
5.000000e+01,3.025416e+01,1.800000e+02,-3.025416e+01,0.000000e+00
5.100000e+01,3.372900e+01,1.800000e+02,-3.372900e+01,0.000000e+00
5.200000e+01,3.482831e+01,1.800000e+02,-3.482831e+01,0.000000e+00
5.300000e+01,3.597963e+01,1.800000e+02,-3.597963e+01,0.000000e+00
5.400000e+01,3.616400e+01,1.800000e+02,-3.616400e+01,0.000000e+00
5.500000e+01,3.710723e+01,1.800000e+02,-3.710723e+01,0.000000e+00
5.600000e+01,3.721086e+01,1.800000e+02,-3.721086e+01,0.000000e+00
5.700000e+01,1.874196e-02,0.000000e+00,1.874196e-02,0.000000e+00
5.800000e+01,2.082673e-02,1.800000e+02,-2.082673e-02,0.000000e+00
5.900000e+01,4.963280e-02,1.800000e+02,-4.963280e-02,0.000000e+00
6.000000e+01,1.606295e-01,1.800000e+02,-1.606295e-01,0.000000e+00
6.100000e+01,1.864075e-01,1.800000e+02,-1.864075e-01,0.000000e+00
6.200000e+01,2.173459e+00,-1.569153e+02,-1.999421e+00,-8.521965e-01
6.300000e+01,2.173459e+00,1.569153e+02,-1.999421e+00,8.521965e-01
6.400000e+01,3.189835e+00,1.800000e+02,-3.189835e+00,0.000000e+00
6.500000e+01,3.452509e+00,-8.963196e+01,2.217694e-02,-3.452437e+00
6.600000e+01,3.452509e+00,8.963196e+01,2.217694e-02,3.452437e+00
6.700000e+01,4.743572e+00,1.800000e+02,-4.743572e+00,0.000000e+00
6.800000e+01,4.842497e+00,1.800000e+02,-4.842497e+00,0.000000e+00
6.900000e+01,6.831869e+00,-9.420179e+01,-5.005671e-01,-6.813506e+00
7.000000e+01,6.831869e+00,9.420179e+01,-5.005671e-01,6.813506e+00
7.100000e+01,6.869899e+00,-9.460051e+01,-5.510190e-01,-6.847766e+00
7.200000e+01,6.869899e+00,9.460051e+01,-5.510190e-01,6.847766e+00
7.300000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
7.400000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
7.500000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
7.600000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
7.700000e+01,2.884924e+01,1.800000e+02,-2.884924e+01,0.000000e+00
7.800000e+01,3.023920e+01,1.800000e+02,-3.023920e+01,0.000000e+00
7.900000e+01,3.363045e+01,1.800000e+02,-3.363045e+01,0.000000e+00
8.000000e+01,3.472112e+01,1.800000e+02,-3.472112e+01,0.000000e+00
8.100000e+01,3.598314e+01,1.800000e+02,-3.598314e+01,0.000000e+00
8.200000e+01,3.616424e+01,1.800000e+02,-3.616424e+01,0.000000e+00
8.300000e+01,3.703807e+01,1.800000e+02,-3.703807e+01,0.000000e+00
8.400000e+01,3.720493e+01,1.800000e+02,-3.720493e+01,0.000000e+00
8.500000e+01,1.877473e-02,0.000000e+00,1.877473e-02,0.000000e+00
8.600000e+01,2.096830e-02,1.800000e+02,-2.096830e-02,0.000000e+00
8.700000e+01,5.100969e-02,1.800000e+02,-5.100969e-02,0.000000e+00
8.800000e+01,1.606309e-01,1.800000e+02,-1.606309e-01,0.000000e+00
8.900000e+01,1.863960e-01,1.800000e+02,-1.863960e-01,0.000000e+00
9.000000e+01,2.609624e+00,-1.559082e+02,-2.382307e+00,-1.065248e+00
9.100000e+01,2.609624e+00,1.559082e+02,-2.382307e+00,1.065248e+00
9.200000e+01,3.169678e+00,1.800000e+02,-3.169678e+00,0.000000e+00
9.300000e+01,3.488556e+00,-8.889295e+01,6.740037e-02,-3.487905e+00
9.400000e+01,3.488556e+00,8.889295e+01,6.740037e-02,3.487905e+00
9.500000e+01,4.743992e+00,1.800000e+02,-4.743992e+00,0.000000e+00
9.600000e+01,4.938158e+00,1.800000e+02,-4.938158e+00,0.000000e+00
9.700000e+01,6.847438e+00,-9.399350e+01,-4.768777e-01,-6.830812e+00
9.800000e+01,6.847438e+00,9.399350e+01,-4.768777e-01,6.830812e+00
9.900000e+01,6.867511e+00,-9.458770e+01,-5.492975e-01,-6.845508e+00
1.000000e+02,6.867511e+00,9.458770e+01,-5.492975e-01,6.845508e+00
1.010000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.020000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.030000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.040000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.050000e+02,2.879095e+01,1.800000e+02,-2.879095e+01,0.000000e+00
1.060000e+02,3.022264e+01,1.800000e+02,-3.022264e+01,0.000000e+00
1.070000e+02,3.350593e+01,1.800000e+02,-3.350593e+01,0.000000e+00
1.080000e+02,3.462710e+01,1.800000e+02,-3.462710e+01,0.000000e+00
1.090000e+02,3.598630e+01,1.800000e+02,-3.598630e+01,0.000000e+00
1.100000e+02,3.616447e+01,1.800000e+02,-3.616447e+01,0.000000e+00
1.110000e+02,3.697395e+01,1.800000e+02,-3.697395e+01,0.000000e+00
1.120000e+02,3.720269e+01,1.800000e+02,-3.720269e+01,0.000000e+00
1.130000e+02,1.879092e-02,0.000000e+00,1.879092e-02,0.000000e+00
1.140000e+02,2.103514e-02,1.800000e+02,-2.103514e-02,0.000000e+00
1.150000e+02,5.170687e-02,1.800000e+02,-5.170687e-02,0.000000e+00
1.160000e+02,1.606316e-01,1.800000e+02,-1.606316e-01,0.000000e+00
1.170000e+02,1.863903e-01,1.800000e+02,-1.863903e-01,0.000000e+00
1.180000e+02,2.950685e+00,-1.577144e+02,-2.730284e+00,-1.118971e+00
1.190000e+02,2.950685e+00,1.577144e+02,-2.730284e+00,1.118971e+00
1.200000e+02,3.144851e+00,1.800000e+02,-3.144851e+00,0.000000e+00
1.210000e+02,3.527152e+00,-8.849370e+01,9.271777e-02,-3.525933e+00
1.220000e+02,3.527152e+00,8.849370e+01,9.271777e-02,3.525933e+00
1.230000e+02,4.744176e+00,1.800000e+02,-4.744176e+00,0.000000e+00
1.240000e+02,5.078331e+00,1.800000e+02,-5.078331e+00,0.000000e+00
1.250000e+02,6.865810e+00,-9.458605e+01,-5.489645e-01,-6.843828e+00
1.260000e+02,6.865810e+00,9.458605e+01,-5.489645e-01,6.843828e+00
1.270000e+02,6.866520e+00,-9.380576e+01,-4.557603e-01,-6.851378e+00
1.280000e+02,6.866520e+00,9.380576e+01,-4.557603e-01,6.851378e+00
1.290000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.300000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.310000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.320000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.330000e+02,2.872114e+01,1.800000e+02,-2.872114e+01,0.000000e+00
1.340000e+02,3.020429e+01,1.800000e+02,-3.020429e+01,0.000000e+00
1.350000e+02,3.335475e+01,1.800000e+02,-3.335475e+01,0.000000e+00
1.360000e+02,3.454871e+01,1.800000e+02,-3.454871e+01,0.000000e+00
1.370000e+02,3.598917e+01,1.800000e+02,-3.598917e+01,0.000000e+00
1.380000e+02,3.616471e+01,1.800000e+02,-3.616471e+01,0.000000e+00
1.390000e+02,3.691659e+01,1.800000e+02,-3.691659e+01,0.000000e+00
1.400000e+02,3.720155e+01,1.800000e+02,-3.720155e+01,0.000000e+00
1.410000e+02,1.880057e-02,0.000000e+00,1.880057e-02,0.000000e+00
1.420000e+02,2.107404e-02,1.800000e+02,-2.107404e-02,0.000000e+00
1.430000e+02,5.212777e-02,1.800000e+02,-5.212777e-02,0.000000e+00
1.440000e+02,1.606320e-01,1.800000e+02,-1.606320e-01,0.000000e+00
1.450000e+02,1.863869e-01,1.800000e+02,-1.863869e-01,0.000000e+00
1.460000e+02,3.114875e+00,1.800000e+02,-3.114875e+00,0.000000e+00
1.470000e+02,3.219949e+00,-1.605377e+02,-3.035963e+00,-1.072846e+00
1.480000e+02,3.219949e+00,1.605377e+02,-3.035963e+00,1.072846e+00
1.490000e+02,3.561529e+00,-8.831320e+01,1.048369e-01,-3.559986e+00
1.500000e+02,3.561529e+00,8.831320e+01,1.048369e-01,3.559986e+00
1.510000e+02,4.744278e+00,1.800000e+02,-4.744278e+00,0.000000e+00
1.520000e+02,5.291893e+00,1.800000e+02,-5.291893e+00,0.000000e+00
1.530000e+02,6.864774e+00,-9.458734e+01,-5.490361e-01,-6.842783e+00
1.540000e+02,6.864774e+00,9.458734e+01,-5.490361e-01,6.842783e+00
1.550000e+02,6.887725e+00,-9.365237e+01,-4.387664e-01,-6.873736e+00
1.560000e+02,6.887725e+00,9.365237e+01,-4.387664e-01,6.873736e+00
1.570000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.580000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.590000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.600000e+02,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.610000e+02,2.863669e+01,1.800000e+02,-2.863669e+01,0.000000e+00
1.620000e+02,3.018397e+01,1.800000e+02,-3.018397e+01,0.000000e+00
1.630000e+02,3.317932e+01,1.800000e+02,-3.317932e+01,0.000000e+00
1.640000e+02,3.448577e+01,1.800000e+02,-3.448577e+01,0.000000e+00
1.650000e+02,3.599178e+01,1.800000e+02,-3.599178e+01,0.000000e+00
1.660000e+02,3.616494e+01,1.800000e+02,-3.616494e+01,0.000000e+00
1.670000e+02,3.686572e+01,1.800000e+02,-3.686572e+01,0.000000e+00
1.680000e+02,3.720085e+01,1.800000e+02,-3.720085e+01,0.000000e+00
1.690000e+02,1.880698e-02,0.000000e+00,1.880698e-02,0.000000e+00
1.700000e+02,2.109950e-02,1.800000e+02,-2.109950e-02,0.000000e+00
1.710000e+02,5.240939e-02,1.800000e+02,-5.240939e-02,0.000000e+00
