k,mag,ang,re,im
1.000000e+00,3.454722e+00,-9.195369e+01,-1.177775e-01,-3.452714e+00
2.000000e+00,3.454722e+00,9.195369e+01,-1.177775e-01,3.452714e+00
3.000000e+00,6.822199e+00,-9.461716e+01,-5.491692e-01,-6.800059e+00
4.000000e+00,6.822199e+00,9.461716e+01,-5.491692e-01,6.800059e+00
5.000000e+00,6.869751e+00,-9.467619e+01,-5.600521e-01,-6.846884e+00
6.000000e+00,6.869751e+00,9.467619e+01,-5.600521e-01,6.846884e+00
7.000000e+00,3.435366e+00,-9.074928e+01,-4.492412e-02,-3.435073e+00
8.000000e+00,3.435366e+00,9.074928e+01,-4.492412e-02,3.435073e+00
9.000000e+00,6.822513e+00,-9.441159e+01,-5.247927e-01,-6.802299e+00
1.000000e+01,6.822513e+00,9.441159e+01,-5.247927e-01,6.802299e+00
1.100000e+01,6.871408e+00,-9.463288e+01,-5.550100e-01,-6.848957e+00
1.200000e+01,6.871408e+00,9.463288e+01,-5.550100e-01,6.848957e+00
1.300000e+01,3.452509e+00,-8.963196e+01,2.217694e-02,-3.452437e+00
1.400000e+01,3.452509e+00,8.963196e+01,2.217694e-02,3.452437e+00
1.500000e+01,6.831869e+00,-9.420179e+01,-5.005671e-01,-6.813506e+00
1.600000e+01,6.831869e+00,9.420179e+01,-5.005671e-01,6.813506e+00
1.700000e+01,6.869899e+00,-9.460051e+01,-5.510190e-01,-6.847766e+00
1.800000e+01,6.869899e+00,9.460051e+01,-5.510190e-01,6.847766e+00
1.900000e+01,3.488556e+00,-8.889295e+01,6.740037e-02,-3.487905e+00
2.000000e+01,3.488556e+00,8.889295e+01,6.740037e-02,3.487905e+00
2.100000e+01,6.847438e+00,-9.399350e+01,-4.768777e-01,-6.830812e+00
2.200000e+01,6.847438e+00,9.399350e+01,-4.768777e-01,6.830812e+00
2.300000e+01,6.867511e+00,-9.458770e+01,-5.492975e-01,-6.845508e+00
2.400000e+01,6.867511e+00,9.458770e+01,-5.492975e-01,6.845508e+00
2.500000e+01,3.527152e+00,-8.849370e+01,9.271777e-02,-3.525933e+00
2.600000e+01,3.527152e+00,8.849370e+01,9.271777e-02,3.525933e+00
2.700000e+01,6.865810e+00,-9.458605e+01,-5.489645e-01,-6.843828e+00
2.800000e+01,6.865810e+00,9.458605e+01,-5.489645e-01,6.843828e+00
2.900000e+01,6.866520e+00,-9.380576e+01,-4.557603e-01,-6.851378e+00
