k,v1,v2,v3,v4,v5
1.000000e+00,9.999553e-01,7.626273e-01,3.957589e-01,-3.104261e-01,6.189788e-03
2.000000e+00,9.999486e-01,9.695027e-01,8.454477e-01,-7.756976e-01,4.861370e-02
3.000000e+00,9.999483e-01,9.704880e-01,8.513953e-01,-7.813416e-01,4.902549e-02
4.000000e+00,9.999422e-01,9.631528e-01,8.424130e-01,-7.702461e-01,4.869945e-02
5.000000e+00,9.999464e-01,1.000000e+00,9.050139e-01,-8.387603e-01,5.942444e-02
6.000000e+00,9.999463e-01,9.825626e-01,8.687455e-01,-8.012602e-01,5.394157e-02
7.000000e+00,9.999445e-01,9.708332e-01,8.589995e-01,-7.872814e-01,4.967157e-02
8.000000e+00,9.999349e-01,7.860411e-01,4.852147e-01,-3.954019e-01,5.023352e-03
9.000000e+00,9.999475e-01,9.239936e-01,8.153610e-01,-7.263981e-01,1.486479e-02
1.000000e+01,9.999765e-01,4.112878e-01,-3.440970e-01,3.917945e-01,-5.787126e-02
1.100000e+01,1.000000e+00,3.867140e-01,-4.863534e-01,4.858231e-01,-2.194228e-02
1.200000e+01,9.999814e-01,4.539769e-01,-8.223279e-01,8.708150e-01,4.911284e-02
1.300000e+01,9.999628e-01,4.817687e-01,-9.424322e-01,1.015097e+00,9.335616e-02
1.400000e+01,9.999354e-01,-2.969423e-01,1.035218e+00,2.919410e-01,-6.460193e-01
1.500000e+01,9.999324e-01,-3.825914e-01,4.016882e-01,-4.798095e-02,1.000000e+00
1.600000e+01,9.999416e-01,-2.907109e-01,-7.027888e-01,-3.999857e-01,-2.851443e-01
