xc,yc,zc

3.400000e+00,1.600000e+01,6.198173e-04
3.400000e+00,1.500000e+01,8.023954e-04
3.400000e+00,1.400000e+01,5.901076e-04
3.400000e+00,1.300000e+01,6.411050e-04
3.400000e+00,1.200000e+01,5.540290e-04
3.400000e+00,1.100000e+01,1.140108e-03
3.400000e+00,1.000000e+01,9.423792e-04
3.400000e+00,9.000000e+00,5.823851e-04
3.400000e+00,8.000000e+00,6.007484e-04
3.400000e+00,7.000000e+00,3.631082e-04
3.400000e+00,6.000000e+00,3.314990e-04
3.400000e+00,5.000000e+00,2.980699e-04
3.400000e+00,4.000000e+00,3.606522e-04
3.400000e+00,3.000000e+00,2.133948e-04
3.400000e+00,2.000000e+00,2.172631e-04
3.400000e+00,1.000000e+00,4.605743e-04

3.366667e+00,1.600000e+01,6.247870e-04
3.366667e+00,1.500000e+01,8.213655e-04
3.366667e+00,1.400000e+01,5.812188e-04
3.366667e+00,1.300000e+01,6.468623e-04
3.366667e+00,1.200000e+01,4.261105e-04
3.366667e+00,1.100000e+01,1.200319e-03
3.366667e+00,1.000000e+01,1.194530e-03
3.366667e+00,9.000000e+00,5.985412e-04
3.366667e+00,8.000000e+00,5.776237e-04
3.366667e+00,7.000000e+00,3.090994e-04
3.366667e+00,6.000000e+00,2.862683e-04
3.366667e+00,5.000000e+00,2.471666e-04
3.366667e+00,4.000000e+00,3.136251e-04
3.366667e+00,3.000000e+00,1.790702e-04
3.366667e+00,2.000000e+00,1.850674e-04
3.366667e+00,1.000000e+00,4.035349e-04

3.333333e+00,1.600000e+01,6.314768e-04
3.333333e+00,1.500000e+01,8.365336e-04
3.333333e+00,1.400000e+01,5.753573e-04
3.333333e+00,1.300000e+01,6.545068e-04
3.333333e+00,1.200000e+01,3.120187e-04
3.333333e+00,1.100000e+01,1.186548e-03
3.333333e+00,1.000000e+01,1.418637e-03
3.333333e+00,9.000000e+00,6.084896e-04
3.333333e+00,8.000000e+00,5.403217e-04
3.333333e+00,7.000000e+00,2.565946e-04
3.333333e+00,6.000000e+00,2.447188e-04
3.333333e+00,5.000000e+00,2.014119e-04
3.333333e+00,4.000000e+00,2.676715e-04
3.333333e+00,3.000000e+00,1.534385e-04
3.333333e+00,2.000000e+00,1.611797e-04
3.333333e+00,1.000000e+00,3.455136e-04

3.300000e+00,1.600000e+01,6.399598e-04
3.300000e+00,1.500000e+01,8.475839e-04
3.300000e+00,1.400000e+01,5.728728e-04
3.300000e+00,1.300000e+01,6.634541e-04
3.300000e+00,1.200000e+01,2.190226e-04
3.300000e+00,1.100000e+01,1.099948e-03
3.300000e+00,1.000000e+01,1.596936e-03
3.300000e+00,9.000000e+00,6.101903e-04
3.300000e+00,8.000000e+00,4.882213e-04
3.300000e+00,7.000000e+00,2.068750e-04
3.300000e+00,6.000000e+00,2.070229e-04
3.300000e+00,5.000000e+00,1.613878e-04
3.300000e+00,4.000000e+00,2.233976e-04
3.300000e+00,3.000000e+00,1.361288e-04
3.300000e+00,2.000000e+00,1.451363e-04
3.300000e+00,1.000000e+00,2.888316e-04

3.266667e+00,1.600000e+01,6.502122e-04
3.266667e+00,1.500000e+01,8.542708e-04
3.266667e+00,1.400000e+01,5.739846e-04
3.266667e+00,1.300000e+01,6.728349e-04
3.266667e+00,1.200000e+01,1.530463e-04
3.266667e+00,1.100000e+01,9.516458e-04
3.266667e+00,1.000000e+01,1.712780e-03
3.266667e+00,9.000000e+00,6.017049e-04
3.266667e+00,8.000000e+00,4.218720e-04
3.266667e+00,7.000000e+00,1.612051e-04
3.266667e+00,6.000000e+00,1.731861e-04
3.266667e+00,5.000000e+00,1.274249e-04
3.266667e+00,4.000000e+00,1.814802e-04
3.266667e+00,3.000000e+00,1.264354e-04
3.266667e+00,2.000000e+00,1.361697e-04
3.266667e+00,1.000000e+00,2.356073e-04

3.233333e+00,1.600000e+01,6.620775e-04
3.233333e+00,1.500000e+01,8.565275e-04
3.233333e+00,1.400000e+01,5.786925e-04
3.233333e+00,1.300000e+01,6.815601e-04
3.233333e+00,1.200000e+01,1.176557e-04
3.233333e+00,1.100000e+01,7.627130e-04
3.233333e+00,1.000000e+01,1.753635e-03
