t,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36
0.000000e+00,3.420884e-01,1.021642e+00,1.086940e+00,1.217151e+00,1.084711e+00,1.161176e+00,1.256052e+00,1.247612e+00,1.364702e+00,1.543155e-01,1.038621e-01,8.708861e-02,1.058730e-01,1.181121e-01,7.822556e-02,6.900353e-02,1.617810e-01,1.469606e-01,1.470181e-01,1.496056e-01,1.213075e-01,1.178022e-01,1.440447e-01,1.242864e-01,1.090244e-01,2.244126e-01,1.993382e-01,1.902106e-01,2.721501e-01,2.671117e-01,1.470735e-01,1.764882e-01,1.511498e-01,1.185876e-01,2.059121e-01,2.519780e-01,1.965928e-01,2.683175e-01,3.025218e-01,3.155401e-01,2.896469e-01,3.654416e-01,4.043631e-01,2.944836e-01,3.710121e-01
6.666667e-02,3.420884e-01,1.021642e+00,1.086940e+00,1.217151e+00,1.084711e+00,1.161176e+00,1.256052e+00,1.247612e+00,1.364702e+00,1.543155e-01,1.038621e-01,8.708861e-02,1.058730e-01,1.181121e-01,7.822556e-02,6.900353e-02,1.617810e-01,1.469606e-01,1.470181e-01,1.496056e-01,1.213075e-01,1.178022e-01,1.440447e-01,1.242864e-01,1.090244e-01,2.244126e-01,1.993382e-01,1.902106e-01,2.721501e-01,2.671117e-01,1.470735e-01,1.764882e-01,1.511498e-01,1.185876e-01,2.059121e-01,2.519780e-01,1.965928e-01,2.683175e-01,3.025218e-01,3.155401e-01,2.896469e-01,3.654416e-01,4.043631e-01,2.944836e-01,3.710121e-01
1.333333e-01,3.459387e-01,1.025063e+00,1.090318e+00,1.220508e+00,1.087065e+00,1.164420e+00,1.259499e+00,1.254102e+00,1.369649e+00,1.962459e-01,1.294360e-01,1.122110e-01,1.327578e-01,1.457165e-01,1.030406e-01,9.315463e-02,1.919563e-01,1.763679e-01,1.766121e-01,1.793907e-01,1.495681e-01,1.447518e-01,1.724692e-01,1.511908e-01,1.349297e-01,2.512438e-01,2.232399e-01,2.212730e-01,3.046965e-01,2.988107e-01,1.758785e-01,1.914908e-01,1.758018e-01,1.413920e-01,2.397751e-01,2.891771e-01,2.287669e-01,2.999049e-01,3.357116e-01,3.403949e-01,3.130415e-01,3.978474e-01,4.313750e-01,3.371594e-01,4.117994e-01
2.000000e-01,3.747285e-01,1.050429e+00,1.115197e+00,1.245521e+00,1.104429e+00,1.187086e+00,1.285241e+00,1.298334e+00,1.404801e+00,2.171782e-01,1.593109e-01,1.371373e-01,1.542004e-01,1.662002e-01,1.260310e-01,1.167786e-01,2.099068e-01,1.950923e-01,1.952984e-01,1.980342e-01,1.704395e-01,1.667098e-01,1.931618e-01,1.760425e-01,1.621069e-01,2.698472e-01,2.432288e-01,2.390211e-01,3.209000e-01,3.150578e-01,1.959136e-01,2.438402e-01,2.086926e-01,1.725215e-01,2.624025e-01,3.083512e-01,2.490606e-01,3.142999e-01,3.488730e-01,3.593159e-01,3.326025e-01,4.152955e-01,4.493930e-01,3.757539e-01,4.270401e-01
2.666667e-01,4.242176e-01,1.090701e+00,1.154523e+00,1.285729e+00,1.133598e+00,1.221435e+00,1.326600e+00,1.355836e+00,1.457571e+00,2.630051e-01,2.035192e-01,1.799853e-01,1.965880e-01,2.084526e-01,1.685547e-01,1.593721e-01,2.516367e-01,2.369919e-01,2.371600e-01,2.398579e-01,2.124920e-01,2.080271e-01,2.340085e-01,2.183014e-01,2.051466e-01,3.089755e-01,2.807942e-01,2.786680e-01,3.592084e-01,3.541051e-01,2.365509e-01,2.890948e-01,2.536897e-01,2.159337e-01,3.095165e-01,3.560383e-01,2.967793e-01,3.556487e-01,3.893755e-01,3.989017e-01,3.675869e-01,4.511712e-01,4.894171e-01,4.200243e-01,4.760083e-01
3.333333e-01,4.845569e-01,1.136226e+00,1.199206e+00,1.331433e+00,1.171426e+00,1.261298e+00,1.373383e+00,1.403582e+00,1.513120e+00,3.132831e-01,2.520628e-01,2.274734e-01,2.437804e-01,2.555660e-01,2.158076e-01,2.066622e-01,2.984422e-01,2.838984e-01,2.840325e-01,2.866966e-01,2.594100e-01,2.542142e-01,2.798001e-01,2.648830e-01,2.524957e-01,3.538372e-01,3.246818e-01,3.236133e-01,4.032025e-01,3.987068e-01,2.822027e-01,3.372805e-01,3.016841e-01,2.624551e-01,3.596423e-01,4.068173e-01,3.515435e-01,4.023024e-01,4.355470e-01,4.441335e-01,4.098973e-01,4.932785e-01,5.349544e-01,4.641966e-01,5.282506e-01
4.000000e-01,5.499179e-01,1.185707e+00,1.248231e+00,1.380289e+00,1.218987e+00,1.307990e+00,1.422857e+00,1.442352e+00,1.567405e+00,3.655838e-01,3.030401e-01,2.778934e-01,2.940681e-01,3.058127e-01,2.661446e-01,2.570220e-01,3.485109e-01,3.340249e-01,3.341291e-01,3.367634e-01,3.094713e-01,3.036990e-01,3.289817e-01,3.141468e-01,3.024262e-01,4.029019e-01,3.737150e-01,3.724126e-01,4.515513e-01,4.473097e-01,3.313243e-01,3.868247e-01,3.508412e-01,3.104956e-01,4.102508e-01,4.578698e-01,4.092491e-01,4.523169e-01,4.853596e-01,4.931889e-01,4.586745e-01,5.407883e-01,5.838654e-01,5.082756e-01,5.802929e-01
4.666667e-01,6.135528e-01,1.238208e+00,1.300720e+00,1.431090e+00,1.275671e+00,1.361705e+00,1.473463e+00,1.476994e+00,1.617651e+00,4.178031e-01,3.548139e-01,3.298821e-01,3.461750e-01,3.579297e-01,3.183115e-01,3.091978e-01,4.005776e-01,3.861060e-01,3.861786e-01,3.887813e-01,3.613712e-01,3.552230e-01,3.803048e-01,3.648032e-01,3.535186e-01,4.549405e-01,4.266337e-01,4.238582e-01,5.030840e-01,4.987083e-01,3.826758e-01,4.364125e-01,3.998883e-01,3.589647e-01,4.597663e-01,5.075040e-01,4.659209e-01,5.045550e-01,5.376193e-01,5.449062e-01,5.125829e-01,5.926231e-01,6.348809e-01,5.526303e-01,6.301809e-01
5.333333e-01,6.698635e-01,1.292767e+00,1.355633e+00,1.483480e+00,1.339019e+00,1.421030e+00,1.524743e+00,1.513224e+00,1.662347e+00,4.683774e-01,4.060700e-01,3.822363e-01,3.989347e-01,4.107569e-01,3.711490e-01,3.620298e-01,4.534804e-01,4.389802e-01,4.390169e-01,4.415839e-01,4.139330e-01,4.076346e-01,4.326250e-01,4.157819e-01,4.046103e-01,5.087431e-01,4.819248e-01,4.767502e-01,5.565385e-01,5.517573e-01,4.351137e-01,4.851555e-01,4.480037e-01,4.071315e-01,5.072539e-01,5.547425e-01,5.184593e-01,5.579288e-01,5.911881e-01,5.983523e-01,5.697026e-01,6.472766e-01,6.871956e-01,5.978957e-01,6.768424e-01
6.000000e-01,7.161968e-01,1.348294e+00,1.411717e+00,1.537420e+00,1.405369e+00,1.483295e+00,1.576918e+00,1.554908e+00,1.701231e+00,5.164724e-01,4.559253e-01,4.339702e-01,4.513267e-01,4.632671e-01,4.236348e-01,4.144974e-01,5.061698e-01,4.916055e-01,4.916029e-01,4.941306e-01,4.661376e-01,4.599072e-01,4.849104e-01,4.662217e-01,4.548319e-01,5.631139e-01,5.379675e-01,5.299265e-01,6.106155e-01,6.053590e-01,4.875967e-01,5.325345e-01,4.947074e-01,4.544847e-01,5.523116e-01,5.992095e-01,5.654383e-01,6.113768e-01,6.449352e-01,6.526543e-01,6.278505e-01,7.030001e-01,7.402521e-01,6.443111e-01,7.199639e-01
