t,r
0.000000e+00,0.000000e+00
3.333333e-02,1.490564e-04
6.666667e-02,8.688663e-04
1.000000e-01,2.026602e-03
1.333333e-01,3.219618e-03
1.666667e-01,4.228825e-03
2.000000e-01,5.097104e-03
2.333333e-01,5.959716e-03
2.666667e-01,6.890683e-03
3.000000e-01,7.874850e-03
3.333333e-01,8.865526e-03
3.666667e-01,9.836589e-03
4.000000e-01,1.079214e-02
4.333333e-01,1.174717e-02
4.666667e-01,1.270976e-02
5.000000e-01,1.367780e-02
5.333333e-01,1.464540e-02
5.666667e-01,1.560905e-02
6.000000e-01,1.656869e-02
6.333333e-01,1.752560e-02
6.666667e-01,1.848027e-02
7.000000e-01,1.943201e-02
7.333333e-01,2.037975e-02
7.666667e-01,2.132265e-02
8.000000e-01,2.226032e-02
8.333333e-01,2.319248e-02
8.666667e-01,2.411886e-02
9.000000e-01,2.503900e-02
9.333333e-01,2.595241e-02
9.666667e-01,2.685867e-02
1.000000e+00,2.775742e-02
1.033333e+00,2.864830e-02
1.066667e+00,2.953096e-02
1.100000e+00,3.040508e-02
1.133333e+00,3.127032e-02
1.166667e+00,3.212635e-02
1.200000e+00,3.297287e-02
1.233333e+00,3.380963e-02
1.266667e+00,3.463631e-02
1.300000e+00,3.545266e-02
1.333333e+00,3.625845e-02
1.366667e+00,3.705344e-02
1.400000e+00,3.783736e-02
1.433333e+00,3.861003e-02
1.466667e+00,3.937127e-02
1.500000e+00,4.012085e-02
1.533333e+00,4.085860e-02
1.566667e+00,4.158437e-02
1.600000e+00,4.229799e-02
1.633333e+00,4.299930e-02
1.666667e+00,4.368820e-02
1.700000e+00,4.436456e-02
1.733333e+00,4.502823e-02
1.766667e+00,4.567913e-02
1.800000e+00,4.631719e-02
1.833333e+00,4.694230e-02
1.866667e+00,4.755438e-02
1.900000e+00,4.815339e-02
1.933333e+00,4.873928e-02
1.966667e+00,4.931196e-02
2.000000e+00,4.987143e-02
2.033333e+00,5.041768e-02
2.066667e+00,5.095065e-02
