f,real,imag
1.000000e-02,2.411629e+01,-4.663400e+00
1.193738e-02,2.375883e+01,-5.486331e+00
1.387476e-02,2.335120e+01,-6.269973e+00
1.581213e-02,2.289886e+01,-7.010445e+00
1.774951e-02,2.240753e+01,-7.704759e+00
1.968689e-02,2.188306e+01,-8.350802e+00
2.162427e-02,2.133127e+01,-8.947303e+00
2.356164e-02,2.075780e+01,-9.493768e+00
2.549902e-02,2.016803e+01,-9.990401e+00
2.743640e-02,1.956702e+01,-1.043802e+01
2.937378e-02,1.895939e+01,-1.083794e+01
3.131115e-02,1.834935e+01,-1.119192e+01
3.324853e-02,1.774064e+01,-1.150202e+01
3.518591e-02,1.713653e+01,-1.177056e+01
3.712329e-02,1.653986e+01,-1.200002e+01
3.906067e-02,1.595302e+01,-1.219295e+01
4.099804e-02,1.537799e+01,-1.235197e+01
4.293542e-02,1.481640e+01,-1.247968e+01
4.487280e-02,1.426953e+01,-1.257861e+01
4.681018e-02,1.373836e+01,-1.265126e+01
4.874755e-02,1.322360e+01,-1.269997e+01
5.068493e-02,1.272573e+01,-1.272699e+01
5.262231e-02,1.224503e+01,-1.273446e+01
5.455969e-02,1.178160e+01,-1.272435e+01
5.649706e-02,1.133542e+01,-1.269851e+01
5.843444e-02,1.090632e+01,-1.265865e+01
6.037182e-02,1.049405e+01,-1.260635e+01
6.230920e-02,1.009829e+01,-1.254307e+01
6.424658e-02,9.718628e+00,-1.247011e+01
6.618395e-02,9.354635e+00,-1.238871e+01
6.812133e-02,9.005832e+00,-1.229994e+01
7.005871e-02,8.671715e+00,-1.220481e+01
7.199609e-02,8.351768e+00,-1.210422e+01
7.393346e-02,8.045462e+00,-1.199899e+01
7.587084e-02,7.752269e+00,-1.188984e+01
7.780822e-02,7.471659e+00,-1.177743e+01
7.974560e-02,7.203111e+00,-1.166236e+01
8.168297e-02,6.946111e+00,-1.154514e+01
8.362035e-02,6.700160e+00,-1.142626e+01
8.555773e-02,6.464768e+00,-1.130614e+01
8.749511e-02,6.239463e+00,-1.118514e+01
8.943249e-02,6.023789e+00,-1.106360e+01
9.136986e-02,5.817305e+00,-1.094182e+01
9.330724e-02,5.619589e+00,-1.082006e+01
9.524462e-02,5.430233e+00,-1.069854e+01
9.718200e-02,5.248850e+00,-1.057747e+01
9.911937e-02,5.075068e+00,-1.045703e+01
1.010568e-01,4.908531e+00,-1.033737e+01
1.029941e-01,4.748901e+00,-1.021862e+01
1.049315e-01,4.595854e+00,-1.010090e+01
1.068689e-01,4.449083e+00,-9.984323e+00
1.088063e-01,4.308294e+00,-9.868961e+00
1.107436e-01,4.173210e+00,-9.754892e+00
1.126810e-01,4.043564e+00,-9.642179e+00
1.146184e-01,3.919105e+00,-9.530872e+00
1.165558e-01,3.799593e+00,-9.421016e+00
1.184932e-01,3.684800e+00,-9.312643e+00
1.204305e-01,3.574511e+00,-9.205781e+00
1.223679e-01,3.468520e+00,-9.100452e+00
1.243053e-01,3.366632e+00,-8.996669e+00
1.262427e-01,3.268661e+00,-8.894443e+00
1.281800e-01,3.174431e+00,-8.793780e+00
1.301174e-01,3.083775e+00,-8.694681e+00
1.320548e-01,2.996534e+00,-8.597145e+00
1.339922e-01,2.912557e+00,-8.501165e+00
1.359295e-01,2.831701e+00,-8.406735e+00
1.378669e-01,2.753828e+00,-8.313844e+00
1.398043e-01,2.678809e+00,-8.222480e+00
1.417417e-01,2.606521e+00,-8.132630e+00
1.436791e-01,2.536847e+00,-8.044278e+00
1.456164e-01,2.469675e+00,-7.957407e+00
1.475538e-01,2.404898e+00,-7.872001e+00
1.494912e-01,2.342416e+00,-7.788039e+00
1.514286e-01,2.282132e+00,-7.705502e+00
1.533659e-01,2.223955e+00,-7.624371e+00
1.553033e-01,2.167797e+00,-7.544624e+00
1.572407e-01,2.113576e+00,-7.466241e+00
1.591781e-01,2.061212e+00,-7.389200e+00
1.611155e-01,2.010629e+00,-7.313480e+00
1.630528e-01,1.961756e+00,-7.239057e+00
1.649902e-01,1.914523e+00,-7.165912e+00
1.669276e-01,1.868865e+00,-7.094021e+00
1.688650e-01,1.824720e+00,-7.023363e+00
1.708023e-01,1.782028e+00,-6.953916e+00
1.727397e-01,1.740731e+00,-6.885659e+00
1.746771e-01,1.700776e+00,-6.818569e+00
1.766145e-01,1.662109e+00,-6.752625e+00
1.785519e-01,1.624682e+00,-6.687806e+00
1.804892e-01,1.588447e+00,-6.624091e+00
1.824266e-01,1.553357e+00,-6.561459e+00
1.843640e-01,1.519370e+00,-6.499891e+00
1.863014e-01,1.486444e+00,-6.439364e+00
1.882387e-01,1.454539e+00,-6.379861e+00
1.901761e-01,1.423617e+00,-6.321360e+00
1.921135e-01,1.393641e+00,-6.263843e+00
1.940509e-01,1.364577e+00,-6.207291e+00
1.959883e-01,1.336390e+00,-6.151684e+00
1.979256e-01,1.309048e+00,-6.097006e+00
1.998630e-01,1.282520e+00,-6.043237e+00
2.018004e-01,1.256778e+00,-5.990359e+00
2.037378e-01,1.231792e+00,-5.938357e+00
2.056751e-01,1.207536e+00,-5.887211e+00
2.076125e-01,1.183982e+00,-5.836906e+00
2.095499e-01,1.161107e+00,-5.787426e+00
2.114873e-01,1.138885e+00,-5.738753e+00
2.134247e-01,1.117295e+00,-5.690873e+00
2.153620e-01,1.096313e+00,-5.643769e+00
2.172994e-01,1.075918e+00,-5.597427e+00
2.192368e-01,1.056090e+00,-5.551831e+00
2.211742e-01,1.036808e+00,-5.506968e+00
2.231115e-01,1.018055e+00,-5.462822e+00
2.250489e-01,9.998112e-01,-5.419381e+00
2.269863e-01,9.820597e-01,-5.376629e+00
2.289237e-01,9.647834e-01,-5.334554e+00
2.308611e-01,9.479661e-01,-5.293143e+00
2.327984e-01,9.315921e-01,-5.252382e+00
2.347358e-01,9.156464e-01,-5.212259e+00
2.366732e-01,9.001145e-01,-5.172762e+00
2.386106e-01,8.849824e-01,-5.133879e+00
2.405479e-01,8.702367e-01,-5.095597e+00
2.424853e-01,8.558643e-01,-5.057905e+00
2.444227e-01,8.418529e-01,-5.020793e+00
2.463601e-01,8.281903e-01,-4.984248e+00
2.482975e-01,8.148650e-01,-4.948260e+00
2.502348e-01,8.018658e-01,-4.912818e+00
2.521722e-01,7.891819e-01,-4.877912e+00
2.541096e-01,7.768029e-01,-4.843531e+00
2.560470e-01,7.647188e-01,-4.809666e+00
2.579843e-01,7.529199e-01,-4.776307e+00
2.599217e-01,7.413968e-01,-4.743444e+00
2.618591e-01,7.301407e-01,-4.711068e+00
2.637965e-01,7.191427e-01,-4.679169e+00
2.657339e-01,7.083945e-01,-4.647740e+00
2.676712e-01,6.978880e-01,-4.616770e+00
2.696086e-01,6.876153e-01,-4.586251e+00
2.715460e-01,6.775690e-01,-4.556175e+00
2.734834e-01,6.677418e-01,-4.526533e+00
2.754207e-01,6.581265e-01,-4.497318e+00
2.773581e-01,6.487164e-01,-4.468521e+00
2.792955e-01,6.395050e-01,-4.440135e+00
2.812329e-01,6.304858e-01,-4.412152e+00
2.831703e-01,6.216528e-01,-4.384565e+00
2.851076e-01,6.130001e-01,-4.357366e+00
2.870450e-01,6.045218e-01,-4.330548e+00
2.889824e-01,5.962126e-01,-4.304104e+00
2.909198e-01,5.880669e-01,-4.278028e+00
2.928571e-01,5.800798e-01,-4.252312e+00
2.947945e-01,5.722461e-01,-4.226950e+00
2.967319e-01,5.645610e-01,-4.201936e+00
2.986693e-01,5.570199e-01,-4.177263e+00
3.006067e-01,5.496183e-01,-4.152925e+00
3.025440e-01,5.423517e-01,-4.128916e+00
3.044814e-01,5.352160e-01,-4.105230e+00
3.064188e-01,5.282071e-01,-4.081861e+00
3.083562e-01,5.213210e-01,-4.058804e+00
3.102935e-01,5.145539e-01,-4.036052e+00
3.122309e-01,5.079021e-01,-4.013601e+00
3.141683e-01,5.013620e-01,-3.991445e+00
3.161057e-01,4.949302e-01,-3.969578e+00
3.180431e-01,4.886034e-01,-3.947996e+00
3.199804e-01,4.823782e-01,-3.926694e+00
3.219178e-01,4.762516e-01,-3.905666e+00
3.238552e-01,4.702204e-01,-3.884908e+00
3.257926e-01,4.642819e-01,-3.864415e+00
3.277299e-01,4.584331e-01,-3.844182e+00
3.296673e-01,4.526714e-01,-3.824204e+00
3.316047e-01,4.469939e-01,-3.804478e+00
3.335421e-01,4.413982e-01,-3.784999e+00
3.354795e-01,4.358818e-01,-3.765761e+00
3.374168e-01,4.304423e-01,-3.746762e+00
3.393542e-01,4.250773e-01,-3.727997e+00
3.412916e-01,4.197846e-01,-3.709462e+00
3.432290e-01,4.145620e-01,-3.691153e+00
3.451663e-01,4.094073e-01,-3.673066e+00
3.471037e-01,4.043186e-01,-3.655197e+00
3.490411e-01,3.992938e-01,-3.637542e+00
3.509785e-01,3.943311e-01,-3.620098e+00
3.529159e-01,3.894285e-01,-3.602862e+00
3.548532e-01,3.845843e-01,-3.585828e+00
3.567906e-01,3.797967e-01,-3.568995e+00
3.587280e-01,3.750641e-01,-3.552358e+00
3.606654e-01,3.703848e-01,-3.535914e+00
3.626027e-01,3.657572e-01,-3.519661e+00
3.645401e-01,3.611799e-01,-3.503594e+00
3.664775e-01,3.566513e-01,-3.487710e+00
3.684149e-01,3.521700e-01,-3.472007e+00
3.703523e-01,3.477347e-01,-3.456481e+00
3.722896e-01,3.433439e-01,-3.441129e+00
3.742270e-01,3.389964e-01,-3.425949e+00
3.761644e-01,3.346910e-01,-3.410938e+00
3.781018e-01,3.304264e-01,-3.396092e+00
3.800391e-01,3.262014e-01,-3.381409e+00
3.819765e-01,3.220149e-01,-3.366886e+00
3.839139e-01,3.178659e-01,-3.352520e+00
3.858513e-01,3.137531e-01,-3.338310e+00
3.877886e-01,3.096757e-01,-3.324251e+00
3.897260e-01,3.056326e-01,-3.310343e+00
3.916634e-01,3.016229e-01,-3.296581e+00
3.936008e-01,2.976456e-01,-3.282965e+00
