f,ph
1.000000e-02,-8.056689e-01
1.780392e-02,-1.454904e+00
2.560784e-02,-2.138165e+00
3.341176e-02,-2.869320e+00
4.121569e-02,-3.661191e+00
4.901961e-02,-4.525359e+00
5.682353e-02,-5.472026e+00
6.462745e-02,-6.509963e+00
7.243137e-02,-7.646514e+00
8.023529e-02,-8.887648e+00
8.803922e-02,-1.023805e+01
9.584314e-02,-1.170121e+01
1.036471e-01,-1.327958e+01
1.114510e-01,-1.497463e+01
1.192549e-01,-1.678694e+01
1.270588e-01,-1.871631e+01
1.348627e-01,-2.076174e+01
1.426667e-01,-2.292145e+01
1.504706e-01,-2.519291e+01
1.582745e-01,-2.757272e+01
1.660784e-01,-3.005664e+01
1.738824e-01,-3.263948e+01
1.816863e-01,-3.531505e+01
1.894902e-01,-3.807614e+01
1.972941e-01,-4.091449e+01
2.050980e-01,-4.382079e+01
2.129020e-01,-4.678480e+01
2.207059e-01,-4.979541e+01
2.285098e-01,-5.284083e+01
2.363137e-01,-5.590878e+01
2.441176e-01,-5.898677e+01
2.519216e-01,-6.206233e+01
2.597255e-01,-6.512328e+01
2.675294e-01,-6.815802e+01
2.753333e-01,-7.115575e+01
2.831373e-01,-7.410666e+01
2.909412e-01,-7.700207e+01
2.987451e-01,-7.983455e+01
3.065490e-01,-8.259790e+01
3.143529e-01,-8.528722e+01
3.221569e-01,-8.789880e+01
3.299608e-01,-9.043007e+01
3.377647e-01,-9.287949e+01
3.455686e-01,-9.524640e+01
3.533725e-01,-9.753098e+01
3.611765e-01,-9.973401e+01
3.689804e-01,-1.018569e+02
3.767843e-01,-1.039014e+02
3.845882e-01,-1.058696e+02
3.923922e-01,-1.077641e+02
4.001961e-01,-1.095872e+02
4.080000e-01,-1.113418e+02
4.158039e-01,-1.130305e+02
4.236078e-01,-1.146562e+02
4.314118e-01,-1.162216e+02
4.392157e-01,-1.177294e+02
4.470196e-01,-1.191823e+02
4.548235e-01,-1.205829e+02
4.626275e-01,-1.219335e+02
4.704314e-01,-1.232367e+02
4.782353e-01,-1.244948e+02
4.860392e-01,-1.257098e+02
4.938431e-01,-1.268839e+02
5.016471e-01,-1.280192e+02
5.094510e-01,-1.291173e+02
5.172549e-01,-1.301803e+02
5.250588e-01,-1.312096e+02
5.328627e-01,-1.322070e+02
5.406667e-01,-1.331740e+02
5.484706e-01,-1.341119e+02
5.562745e-01,-1.350221e+02
5.640784e-01,-1.359059e+02
5.718824e-01,-1.367646e+02
5.796863e-01,-1.375992e+02
5.874902e-01,-1.384107e+02
5.952941e-01,-1.392004e+02
6.030980e-01,-1.399690e+02
6.109020e-01,-1.407175e+02
6.187059e-01,-1.414468e+02
6.265098e-01,-1.421576e+02
6.343137e-01,-1.428508e+02
6.421176e-01,-1.435271e+02
6.499216e-01,-1.441871e+02
6.577255e-01,-1.448315e+02
6.655294e-01,-1.454610e+02
6.733333e-01,-1.460761e+02
6.811373e-01,-1.466773e+02
6.889412e-01,-1.472653e+02
6.967451e-01,-1.478405e+02
7.045490e-01,-1.484034e+02
7.123529e-01,-1.489544e+02
7.201569e-01,-1.494940e+02
7.279608e-01,-1.500225e+02
7.357647e-01,-1.505405e+02
7.435686e-01,-1.510482e+02
7.513725e-01,-1.515460e+02
7.591765e-01,-1.520343e+02
7.669804e-01,-1.525134e+02
7.747843e-01,-1.529835e+02
7.825882e-01,-1.534450e+02
7.903922e-01,-1.538982e+02
7.981961e-01,-1.543433e+02
8.060000e-01,-1.547806e+02
8.138039e-01,-1.552104e+02
8.216078e-01,-1.556328e+02
8.294118e-01,-1.560482e+02
8.372157e-01,-1.564566e+02
8.450196e-01,-1.568584e+02
8.528235e-01,-1.572537e+02
8.606275e-01,-1.576428e+02
8.684314e-01,-1.580257e+02
8.762353e-01,-1.584027e+02
8.840392e-01,-1.587740e+02
8.918431e-01,-1.591397e+02
8.996471e-01,-1.595000e+02
9.074510e-01,-1.598550e+02
9.152549e-01,-1.602048e+02
9.230588e-01,-1.605497e+02
9.308627e-01,-1.608897e+02
9.386667e-01,-1.612250e+02
9.464706e-01,-1.615557e+02
9.542745e-01,-1.618819e+02
9.620784e-01,-1.622037e+02
9.698824e-01,-1.625213e+02
9.776863e-01,-1.628348e+02
9.854902e-01,-1.631442e+02
9.932941e-01,-1.634496e+02
1.001098e+00,-1.637512e+02
1.008902e+00,-1.640491e+02
1.016706e+00,-1.643433e+02
1.024510e+00,-1.646339e+02
1.032314e+00,-1.649211e+02
1.040118e+00,-1.652048e+02
1.047922e+00,-1.654852e+02
1.055725e+00,-1.657624e+02
1.063529e+00,-1.660364e+02
1.071333e+00,-1.663073e+02
1.079137e+00,-1.665751e+02
1.086941e+00,-1.668400e+02
1.094745e+00,-1.671020e+02
1.102549e+00,-1.673612e+02
1.110353e+00,-1.676175e+02
1.118157e+00,-1.678712e+02
1.125961e+00,-1.681222e+02
1.133765e+00,-1.683706e+02
1.141569e+00,-1.686165e+02
1.149373e+00,-1.688598e+02
1.157176e+00,-1.691007e+02
1.164980e+00,-1.693392e+02
1.172784e+00,-1.695754e+02
1.180588e+00,-1.698093e+02
1.188392e+00,-1.700409e+02
1.196196e+00,-1.702703e+02
1.204000e+00,-1.704976e+02
1.211804e+00,-1.707227e+02
1.219608e+00,-1.709458e+02
1.227412e+00,-1.711668e+02
1.235216e+00,-1.713858e+02
1.243020e+00,-1.716028e+02
1.250824e+00,-1.718179e+02
1.258627e+00,-1.720311e+02
1.266431e+00,-1.722425e+02
1.274235e+00,-1.724520e+02
1.282039e+00,-1.726597e+02
1.289843e+00,-1.728657e+02
1.297647e+00,-1.730699e+02
1.305451e+00,-1.732725e+02
1.313255e+00,-1.734733e+02
1.321059e+00,-1.736726e+02
1.328863e+00,-1.738702e+02
1.336667e+00,-1.740662e+02
1.344471e+00,-1.742607e+02
1.352275e+00,-1.744536e+02
1.360078e+00,-1.746451e+02
1.367882e+00,-1.748350e+02
1.375686e+00,-1.750235e+02
1.383490e+00,-1.752106e+02
1.391294e+00,-1.753962e+02
1.399098e+00,-1.755805e+02
1.406902e+00,-1.757634e+02
1.414706e+00,-1.759450e+02
1.422510e+00,-1.761252e+02
1.430314e+00,-1.763041e+02
1.438118e+00,-1.764818e+02
1.445922e+00,-1.766581e+02
1.453725e+00,-1.768333e+02
1.461529e+00,-1.770072e+02
1.469333e+00,-1.771799e+02
1.477137e+00,-1.773514e+02
1.484941e+00,-1.775218e+02
1.492745e+00,-1.776910e+02
1.500549e+00,-1.778590e+02
1.508353e+00,-1.780260e+02
1.516157e+00,-1.781918e+02
1.523961e+00,-1.783566e+02
1.531765e+00,-1.785203e+02
1.539569e+00,-1.786829e+02
1.547373e+00,-1.788444e+02
1.555176e+00,-1.790050e+02
1.562980e+00,-1.791645e+02
1.570784e+00,-1.793231e+02
1.578588e+00,-1.794806e+02
1.586392e+00,-1.796372e+02
1.594196e+00,-1.797928e+02
1.602000e+00,-1.799475e+02
1.609804e+00,1.798988e+02
1.617608e+00,1.797460e+02
1.625412e+00,1.795941e+02
1.633216e+00,1.794431e+02
1.641020e+00,1.792930e+02
1.648824e+00,1.791437e+02
1.656627e+00,1.789954e+02
1.664431e+00,1.788479e+02
1.672235e+00,1.787012e+02
1.680039e+00,1.785553e+02
1.687843e+00,1.784103e+02
1.695647e+00,1.782661e+02
1.703451e+00,1.781227e+02
1.711255e+00,1.779801e+02
1.719059e+00,1.778382e+02
1.726863e+00,1.776972e+02
1.734667e+00,1.775569e+02
1.742471e+00,1.774173e+02
1.750275e+00,1.772786e+02
1.758078e+00,1.771405e+02
1.765882e+00,1.770032e+02
1.773686e+00,1.768666e+02
1.781490e+00,1.767307e+02
1.789294e+00,1.765955e+02
1.797098e+00,1.764610e+02
1.804902e+00,1.763272e+02
1.812706e+00,1.761940e+02
1.820510e+00,1.760616e+02
1.828314e+00,1.759298e+02
1.836118e+00,1.757986e+02
1.843922e+00,1.756682e+02
1.851725e+00,1.755383e+02
1.859529e+00,1.754091e+02
1.867333e+00,1.752806e+02
1.875137e+00,1.751526e+02
1.882941e+00,1.750253e+02
1.890745e+00,1.748985e+02
1.898549e+00,1.747724e+02
1.906353e+00,1.746469e+02
1.914157e+00,1.745220e+02
1.921961e+00,1.743976e+02
1.929765e+00,1.742739e+02
1.937569e+00,1.741507e+02
1.945373e+00,1.740280e+02
1.953176e+00,1.739060e+02
1.960980e+00,1.737845e+02
1.968784e+00,1.736635e+02
1.976588e+00,1.735431e+02
1.984392e+00,1.734232e+02
1.992196e+00,1.733039e+02
2.000000e+00,1.731851e+02
