f,phi,phv,pha
1.000000e-01,4.143769e+00,4.728956e+00,1.371826e+01
1.113725e-01,4.628441e+00,5.258854e+00,1.333829e+01
1.227451e-01,5.115487e+00,5.786758e+00,1.312352e+01
1.341176e-01,5.604630e+00,6.312409e+00,1.303267e+01
1.454902e-01,6.095604e+00,6.835557e+00,1.303707e+01
1.568627e-01,6.588166e+00,7.356032e+00,1.311616e+01
1.682353e-01,7.082107e+00,7.873781e+00,1.325486e+01
1.796078e-01,7.577246e+00,8.388812e+00,1.344182e+01
1.909804e-01,8.073436e+00,8.901101e+00,1.366835e+01
2.023529e-01,8.570560e+00,9.410570e+00,1.392770e+01
2.137255e-01,9.068525e+00,9.917106e+00,1.421452e+01
2.250980e-01,9.567261e+00,1.042059e+01,1.452452e+01
2.364706e-01,1.006672e+01,1.092092e+01,1.485423e+01
2.478431e-01,1.056685e+01,1.141799e+01,1.520079e+01
2.592157e-01,1.106765e+01,1.191171e+01,1.556187e+01
2.705882e-01,1.156909e+01,1.240203e+01,1.593547e+01
2.819608e-01,1.207117e+01,1.288887e+01,1.631994e+01
2.933333e-01,1.257389e+01,1.337220e+01,1.671388e+01
3.047059e-01,1.307726e+01,1.385199e+01,1.711607e+01
3.160784e-01,1.358128e+01,1.432823e+01,1.752549e+01
3.274510e-01,1.408597e+01,1.480095e+01,1.794122e+01
3.388235e-01,1.459133e+01,1.527022e+01,1.836249e+01
3.501961e-01,1.509739e+01,1.573616e+01,1.878861e+01
3.615686e-01,1.560416e+01,1.619901e+01,1.921897e+01
3.729412e-01,1.611165e+01,1.665917e+01,1.965305e+01
3.843137e-01,1.661988e+01,1.711732e+01,2.009037e+01
3.956863e-01,1.712887e+01,1.757463e+01,2.053050e+01
4.070588e-01,1.763863e+01,1.803277e+01,2.097306e+01
4.184314e-01,1.814917e+01,1.849065e+01,2.141771e+01
4.298039e-01,1.866050e+01,1.889512e+01,2.186415e+01
4.411765e-01,1.917265e+01,1.900295e+01,2.231208e+01
4.525490e-01,1.968562e+01,1.942456e+01,2.276127e+01
4.639216e-01,2.019942e+01,1.991862e+01,2.321147e+01
4.752941e-01,2.071406e+01,2.037123e+01,2.366247e+01
4.866667e-01,2.122955e+01,2.079971e+01,2.411408e+01
4.980392e-01,2.174589e+01,2.121282e+01,2.456612e+01
5.094118e-01,2.226310e+01,2.161391e+01,2.501842e+01
5.207843e-01,2.278118e+01,2.200376e+01,2.547083e+01
5.321569e-01,2.330012e+01,2.238118e+01,2.592321e+01
5.435294e-01,2.381994e+01,2.274169e+01,2.637542e+01
5.549020e-01,2.434063e+01,2.307047e+01,2.682735e+01
5.662745e-01,2.486220e+01,2.333583e+01,2.727888e+01
5.776471e-01,2.538464e+01,2.407725e+01,2.772989e+01
5.890196e-01,2.590794e+01,2.433984e+01,2.818030e+01
6.003922e-01,2.643212e+01,2.462946e+01,2.863001e+01
6.117647e-01,2.695715e+01,2.491958e+01,2.907893e+01
6.231373e-01,2.748304e+01,2.519321e+01,2.952697e+01
6.345098e-01,2.800978e+01,2.543673e+01,2.997407e+01
6.458824e-01,2.853736e+01,2.563070e+01,3.042014e+01
6.572549e-01,2.906576e+01,2.573801e+01,3.086511e+01
6.686275e-01,2.959499e+01,2.567149e+01,3.130893e+01
6.800000e-01,3.012502e+01,2.515965e+01,3.175152e+01
6.913725e-01,3.065584e+01,2.270787e+01,3.219283e+01
7.027451e-01,3.118745e+01,5.264162e+01,3.263281e+01
7.141176e-01,3.171982e+01,3.267612e+01,3.307140e+01
7.254902e-01,3.225294e+01,3.110532e+01,3.350855e+01
7.368627e-01,3.278678e+01,3.073575e+01,3.394421e+01
7.482353e-01,3.332135e+01,3.069388e+01,3.437834e+01
