k,mag,ang,re,im
1.000000e+00,7.816910e+00,8.525021e+01,6.472755e-01,7.790065e+00
2.000000e+00,7.816910e+00,-8.525021e+01,6.472755e-01,-7.790065e+00
3.000000e+00,8.627694e+00,8.683428e+01,4.764563e-01,8.614528e+00
4.000000e+00,8.627694e+00,-8.683428e+01,4.764563e-01,-8.614528e+00
5.000000e+00,7.681839e+00,8.697764e+01,4.050304e-01,7.671154e+00
6.000000e+00,7.681839e+00,-8.697764e+01,4.050304e-01,-7.671154e+00
7.000000e+00,8.464664e+00,8.808957e+01,2.821871e-01,8.459959e+00
8.000000e+00,8.464664e+00,-8.808957e+01,2.821871e-01,-8.459959e+00
9.000000e+00,7.724963e+00,8.822057e+01,2.398751e-01,7.721238e+00
1.000000e+01,7.724963e+00,-8.822057e+01,2.398751e-01,-7.721238e+00
1.100000e+01,8.691417e+00,8.894150e+01,1.605592e-01,8.689934e+00
1.200000e+01,8.691417e+00,-8.894150e+01,1.605592e-01,-8.689934e+00
1.300000e+01,1.018853e+01,8.948398e+01,9.175852e-02,1.018812e+01
1.400000e+01,1.018853e+01,-8.948398e+01,9.175852e-02,-1.018812e+01
1.500000e+01,5.901479e-08,1.800000e+02,-5.901479e-08,0.000000e+00
1.600000e+01,4.407803e+00,9.003588e+01,-2.760255e-03,4.407802e+00
1.700000e+01,4.407803e+00,-9.003588e+01,-2.760255e-03,-4.407802e+00
1.800000e+01,3.589983e+00,9.050978e+01,-3.194064e-02,3.589841e+00
1.900000e+01,3.589983e+00,-9.050978e+01,-3.194064e-02,-3.589841e+00
2.000000e+01,2.756647e+00,9.136112e+01,-6.548092e-02,2.755870e+00
2.100000e+01,2.756647e+00,-9.136112e+01,-6.548092e-02,-2.755870e+00
2.200000e+01,1.000000e-01,1.800000e+02,-1.000000e-01,0.000000e+00
2.300000e+01,1.001459e-01,1.800000e+02,-1.001459e-01,0.000000e+00
2.400000e+01,1.009588e+01,9.065929e+01,-1.161683e-01,1.009521e+01
2.500000e+01,1.009588e+01,-9.065929e+01,-1.161683e-01,-1.009521e+01
2.600000e+01,5.171859e+00,9.145624e+01,-1.314348e-01,5.170189e+00
2.700000e+01,5.171859e+00,-9.145624e+01,-1.314348e-01,-5.170189e+00
2.800000e+01,8.358856e+00,9.107193e+01,-1.563744e-01,8.357393e+00
2.900000e+01,8.358856e+00,-9.107193e+01,-1.563744e-01,-8.357393e+00
3.000000e+01,1.799568e-01,1.800000e+02,-1.799568e-01,0.000000e+00
3.100000e+01,1.882785e-01,1.800000e+02,-1.882785e-01,0.000000e+00
3.200000e+01,1.916400e-01,1.800000e+02,-1.916400e-01,0.000000e+00
3.300000e+01,1.927988e-01,1.800000e+02,-1.927988e-01,0.000000e+00
3.400000e+01,1.965802e-01,1.800000e+02,-1.965802e-01,0.000000e+00
3.500000e+01,1.967847e-01,1.800000e+02,-1.967847e-01,0.000000e+00
3.600000e+01,1.976141e-01,1.800000e+02,-1.976141e-01,0.000000e+00
3.700000e+01,1.979002e-01,1.800000e+02,-1.979002e-01,0.000000e+00
3.800000e+01,1.979145e-01,1.800000e+02,-1.979145e-01,0.000000e+00
3.900000e+01,1.980608e-01,1.800000e+02,-1.980608e-01,0.000000e+00
4.000000e+01,1.981776e-01,1.800000e+02,-1.981776e-01,0.000000e+00
4.100000e+01,1.982909e-01,1.800000e+02,-1.982909e-01,0.000000e+00
4.200000e+01,1.983621e-01,1.800000e+02,-1.983621e-01,0.000000e+00
4.300000e+01,1.984299e-01,1.800000e+02,-1.984299e-01,0.000000e+00
4.400000e+01,1.985258e-01,1.800000e+02,-1.985258e-01,0.000000e+00
4.500000e+01,1.010547e+00,1.104022e+02,-3.522850e-01,9.471541e-01
4.600000e+01,1.010547e+00,-1.104022e+02,-3.522850e-01,-9.471541e-01
4.700000e+01,1.021461e+01,9.214836e+01,-3.829160e-01,1.020743e+01
4.800000e+01,1.021461e+01,-9.214836e+01,-3.829160e-01,-1.020743e+01
4.900000e+01,6.909804e-01,1.800000e+02,-6.909804e-01,0.000000e+00
5.000000e+01,7.088936e-01,1.800000e+02,-7.088936e-01,0.000000e+00
5.100000e+01,7.231846e-01,1.800000e+02,-7.231846e-01,0.000000e+00
5.200000e+01,7.760960e-01,1.800000e+02,-7.760960e-01,0.000000e+00
5.300000e+01,8.362992e-01,1.800000e+02,-8.362992e-01,0.000000e+00
5.400000e+01,9.097788e-01,1.800000e+02,-9.097788e-01,0.000000e+00
5.500000e+01,1.090793e+00,1.800000e+02,-1.090793e+00,0.000000e+00
5.600000e+01,1.121114e+00,1.800000e+02,-1.121114e+00,0.000000e+00
5.700000e+01,1.296026e+00,1.800000e+02,-1.296026e+00,0.000000e+00
5.800000e+01,1.332569e+00,1.800000e+02,-1.332569e+00,0.000000e+00
5.900000e+01,1.390541e+00,1.800000e+02,-1.390541e+00,0.000000e+00
6.000000e+01,1.421760e+00,1.800000e+02,-1.421760e+00,0.000000e+00
6.100000e+01,1.427241e+00,1.800000e+02,-1.427241e+00,0.000000e+00
6.200000e+01,1.529609e+00,1.800000e+02,-1.529609e+00,0.000000e+00
6.300000e+01,1.239428e+01,9.800465e+01,-1.725948e+00,1.227352e+01
6.400000e+01,1.239428e+01,-9.800465e+01,-1.725948e+00,-1.227352e+01
6.500000e+01,1.770638e+00,1.800000e+02,-1.770638e+00,0.000000e+00
6.600000e+01,1.858834e+00,1.800000e+02,-1.858834e+00,0.000000e+00
6.700000e+01,1.906627e+00,1.800000e+02,-1.906627e+00,0.000000e+00
6.800000e+01,1.926735e+00,1.800000e+02,-1.926735e+00,0.000000e+00
6.900000e+01,1.946652e+00,1.800000e+02,-1.946652e+00,0.000000e+00
7.000000e+01,1.954307e+00,1.800000e+02,-1.954307e+00,0.000000e+00
7.100000e+01,1.962367e+00,1.800000e+02,-1.962367e+00,0.000000e+00
