t,spd
0.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,5.000000e-02
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e+00,1.000000e+00
1.000000e-01,1.000044e+00
1.000027e+00,1.000026e+00
1.000028e+00,1.000020e+00
1.000028e+00,1.000028e+00
1.000059e+00,1.000040e+00
1.000152e+00,1.000181e+00
1.000029e+00,9.999986e-01
1.000022e+00,1.000002e+00
1.000012e+00,1.500000e-01
1.000982e+00,1.000566e+00
1.000543e+00,1.000589e+00
1.000415e+00,1.000555e+00
1.000619e+00,1.001087e+00
1.000795e+00,1.002953e+00
1.003347e+00,1.000545e+00
9.999930e-01,1.000433e+00
1.000052e+00,1.000245e+00
2.000000e-01,1.001907e+00
1.000927e+00,1.000850e+00
1.000844e+00,1.000631e+00
1.000834e+00,1.000958e+00
1.001477e+00,1.001039e+00
1.002018e+00,1.000836e+00
1.000355e+00,1.000010e+00
1.000394e+00,1.000077e+00
1.000213e+00,2.500000e-01
1.002460e+00,1.000906e+00
1.000779e+00,1.000707e+00
1.000633e+00,1.000765e+00
1.000931e+00,1.000998e+00
1.000728e+00,1.000890e+00
9.980850e-01,1.000165e+00
1.000043e+00,1.000359e+00
1.000110e+00,1.000172e+00
3.000000e-01,1.002538e+00
1.000920e+00,1.000815e+00
1.000710e+00,1.000741e+00
1.000752e+00,1.001001e+00
1.000714e+00,1.000637e+00
9.997485e-01,9.967497e-01
1.000016e+00,1.000084e+00
1.000335e+00,1.000142e+00
1.000146e+00,3.500000e-01
1.002138e+00,1.001026e+00
1.001007e+00,1.000937e+00
1.000977e+00,1.000854e+00
1.001214e+00,1.000839e+00
1.000885e+00,9.987205e-01
9.970886e-01,9.998766e-01
1.000101e+00,1.000298e+00
1.000170e+00,1.000132e+00
4.000000e-01,1.001501e+00
1.001188e+00,1.001255e+00
1.001261e+00,1.001260e+00
1.001043e+00,1.001477e+00
1.001268e+00,1.001274e+00
9.979466e-01,9.984133e-01
9.997285e-01,1.000073e+00
1.000238e+00,1.000196e+00
1.000117e+00,4.500000e-01
1.000895e+00,1.001349e+00
1.001455e+00,1.001534e+00
1.001507e+00,1.001267e+00
1.001687e+00,1.001766e+00
1.001573e+00,9.975593e-01
9.998729e-01,9.995952e-01
1.000006e+00,1.000166e+00
1.000218e+00,1.000092e+00
5.000000e-01,1.000494e+00
1.001477e+00,1.001571e+00
1.001700e+00,1.001687e+00
1.001484e+00,1.001804e+00
1.002124e+00,1.001686e+00
9.976295e-01,1.000907e+00
9.995192e-01,9.999250e-01
1.000094e+00,1.000234e+00
1.000061e+00,5.500000e-01
1.000362e+00,1.001569e+00
1.001625e+00,1.001780e+00
1.001811e+00,1.001665e+00
1.001848e+00,1.002232e+00
1.001653e+00,9.981218e-01
1.001334e+00,9.995234e-01
9.998539e-01,1.000025e+00
1.000242e+00,1.000030e+00
6.000000e-01,1.000480e+00
1.001633e+00,1.001651e+00
1.001818e+00,1.001897e+00
1.001793e+00,1.001854e+00
1.002093e+00,1.001566e+00
9.989006e-01,1.001224e+00
9.995960e-01,9.998026e-01
9.999602e-01,1.000239e+00
1.000004e+00,6.500000e-01
1.000784e+00,1.001674e+00
1.001667e+00,1.001834e+00
1.001950e+00,1.001858e+00
1.001841e+00,1.001785e+00
1.001487e+00,9.997783e-01
1.000756e+00,9.997037e-01
9.997701e-01,9.999017e-01
1.000225e+00,9.999855e-01
7.000000e-01,1.001186e+00
1.001691e+00,1.001672e+00
1.001827e+00,1.001960e+00
1.001858e+00,1.001809e+00
1.001431e+00,1.001436e+00
1.000571e+00,1.000145e+00
9.998126e-01,9.997524e-01
9.998514e-01,1.000198e+00
9.999720e-01,7.500000e-01
1.001595e+00,1.001685e+00
1.001662e+00,1.001787e+00
1.001922e+00,1.001801e+00
1.001754e+00,1.001156e+00
1.001405e+00,1.001127e+00
9.996120e-01,9.999000e-01
9.997467e-01,9.998112e-01
1.000160e+00,9.999619e-01
8.000000e-01,1.001927e+00
1.001662e+00,1.001638e+00
1.001718e+00,1.001837e+00
1.001709e+00,1.001672e+00
1.001053e+00,1.001388e+00
1.001364e+00,9.993324e-01
9.999564e-01,9.997524e-01
9.997815e-01,1.000112e+00
9.999539e-01,8.500000e-01
1.002125e+00,1.001630e+00
1.001609e+00,1.001630e+00
1.001720e+00,1.001605e+00
1.001573e+00,1.001153e+00
