f,phi,phw
1.000000e-01,-1.010222e-01,9.043061e+00
1.074510e-01,-2.366233e-02,8.425315e+00
1.149020e-01,6.375469e-02,7.886071e+00
1.223529e-01,1.603308e-01,7.411338e+00
1.298039e-01,2.651707e-01,6.990249e+00
1.372549e-01,3.774044e-01,6.614236e+00
1.447059e-01,4.962031e-01,6.276456e+00
1.521569e-01,6.207902e-01,5.971381e+00
1.596078e-01,7.504473e-01,5.694496e+00
1.670588e-01,8.845174e-01,5.442076e+00
1.745098e-01,1.022406e+00,5.211025e+00
1.819608e-01,1.163576e+00,4.998746e+00
1.894118e-01,1.307553e+00,4.803047e+00
1.968627e-01,1.453910e+00,4.622061e+00
2.043137e-01,1.602276e+00,4.454194e+00
2.117647e-01,1.752320e+00,4.298070e+00
2.192157e-01,1.903755e+00,4.152502e+00
2.266667e-01,2.056331e+00,4.016455e+00
2.341176e-01,2.209831e+00,3.889027e+00
2.415686e-01,2.364067e+00,3.769424e+00
2.490196e-01,2.518876e+00,3.656949e+00
2.564706e-01,2.674120e+00,3.550983e+00
2.639216e-01,2.829680e+00,3.450979e+00
2.713725e-01,2.985456e+00,3.356446e+00
2.788235e-01,3.141360e+00,3.266949e+00
2.862745e-01,3.297323e+00,3.182096e+00
2.937255e-01,3.453282e+00,3.101535e+00
3.011765e-01,3.609189e+00,3.024948e+00
3.086275e-01,3.765002e+00,2.952050e+00
3.160784e-01,3.920687e+00,2.882579e+00
3.235294e-01,4.076218e+00,2.816301e+00
3.309804e-01,4.231575e+00,2.752999e+00
3.384314e-01,4.386740e+00,2.692479e+00
3.458824e-01,4.541703e+00,2.634560e+00
3.533333e-01,4.696455e+00,2.579079e+00
3.607843e-01,4.850992e+00,2.525885e+00
3.682353e-01,5.005311e+00,2.474840e+00
3.756863e-01,5.159413e+00,2.425816e+00
3.831373e-01,5.313299e+00,2.378695e+00
3.905882e-01,5.466974e+00,2.333369e+00
3.980392e-01,5.620443e+00,2.289737e+00
4.054902e-01,5.773713e+00,2.247706e+00
4.129412e-01,5.926790e+00,2.207190e+00
4.203922e-01,6.079684e+00,2.168107e+00
4.278431e-01,6.232403e+00,2.130384e+00
4.352941e-01,6.384957e+00,2.093951e+00
4.427451e-01,6.537356e+00,2.058743e+00
4.501961e-01,6.689610e+00,2.024698e+00
4.576471e-01,6.841730e+00,1.991760e+00
4.650980e-01,6.993727e+00,1.959877e+00
4.725490e-01,7.145612e+00,1.928998e+00
4.800000e-01,7.297396e+00,1.899076e+00
4.874510e-01,7.449091e+00,1.870069e+00
4.949020e-01,7.600707e+00,1.841933e+00
5.023529e-01,7.752255e+00,1.814632e+00
5.098039e-01,7.903748e+00,1.788128e+00
5.172549e-01,8.055196e+00,1.762386e+00
5.247059e-01,8.206611e+00,1.737376e+00
5.321569e-01,8.358003e+00,1.713064e+00
5.396078e-01,8.509383e+00,1.689424e+00
5.470588e-01,8.660762e+00,1.666427e+00
5.545098e-01,8.812151e+00,1.644047e+00
5.619608e-01,8.963560e+00,1.622261e+00
5.694118e-01,9.115000e+00,1.601044e+00
5.768627e-01,9.266482e+00,1.580375e+00
5.843137e-01,9.418014e+00,1.560232e+00
5.917647e-01,9.569608e+00,1.540597e+00
5.992157e-01,9.721274e+00,1.521449e+00
6.066667e-01,9.873020e+00,1.502772e+00
6.141176e-01,1.002486e+01,1.484547e+00
6.215686e-01,1.017679e+01,1.466759e+00
6.290196e-01,1.032884e+01,1.449392e+00
6.364706e-01,1.048101e+01,1.432432e+00
6.439216e-01,1.063330e+01,1.415863e+00
6.513725e-01,1.078573e+01,1.399674e+00
