f1,g1,gdb1,ph1,f2,g2,gdb2,ph2
0.000000e+00,1.000000e+00,-2.796550e-14,0.000000e+00,0.000000e+00,0.000000e+00,  -Inf,0.000000e+00
1.956947e-02,1.000906e+00,7.866737e-03,-2.126965e-03,1.956947e-02,9.068627e-04,-6.084917e+01,-2.348193e+00
3.913894e-02,1.003612e+00,3.131807e-02,-1.693756e-02,3.913894e-02,3.624254e-03,-4.881563e+01,-4.695527e+00
5.870841e-02,1.008082e+00,6.991455e-02,-5.673059e-02,5.870841e-02,8.142607e-03,-4.178473e+01,-7.041143e+00
7.827789e-02,1.014255e+00,1.229470e-01,-1.330624e-01,7.827789e-02,1.444605e-02,-3.680502e+01,-9.384186e+00
9.784736e-02,1.022053e+00,1.894691e-01,-2.564398e-01,9.784736e-02,2.251250e-02,-3.295153e+01,-1.172381e+01
1.174168e-01,1.031376e+00,2.683384e-01,-4.360820e-01,1.174168e-01,3.231383e-02,-2.981223e+01,-1.405916e+01
1.369863e-01,1.042109e+00,3.582628e-01,-6.797587e-01,1.369863e-01,4.381606e-02,-2.716733e+01,-1.638941e+01
1.565558e-01,1.054126e+00,4.578486e-01,-9.937093e-01,1.565558e-01,5.697954e-02,-2.488562e+01,-1.871373e+01
1.761252e-01,1.067290e+00,5.656467e-01,-1.382634e+00,1.761252e-01,7.175927e-02,-2.288244e+01,-2.103130e+01
1.956947e-01,1.081458e+00,6.801951e-01,-1.849748e+00,1.956947e-01,8.810515e-02,-2.109997e+01,-2.334132e+01
2.152642e-01,1.096485e+00,8.000552e-01,-2.396885e+00,2.152642e-01,1.059623e-01,-1.949697e+01,-2.564299e+01
2.348337e-01,1.112224e+00,9.238420e-01,-3.024637e+00,2.348337e-01,1.252714e-01,-1.804296e+01,-2.793554e+01
2.544031e-01,1.128528e+00,1.050246e+00,-3.732508e+00,2.544031e-01,1.459691e-01,-1.671478e+01,-3.021820e+01
2.739726e-01,1.145256e+00,1.178050e+00,-4.519083e+00,2.739726e-01,1.679885e-01,-1.549441e+01,-3.249024e+01
2.935421e-01,1.162270e+00,1.306141e+00,-5.382191e+00,2.935421e-01,1.912591e-01,-1.436756e+01,-3.475091e+01
3.131115e-01,1.179439e+00,1.433509e+00,-6.319059e+00,3.131115e-01,2.157080e-01,-1.332268e+01,-3.699952e+01
3.326810e-01,1.196638e+00,1.559257e+00,-7.326457e+00,3.326810e-01,2.412594e-01,-1.235031e+01,-3.923538e+01
3.522505e-01,1.213751e+00,1.682593e+00,-8.400822e+00,3.522505e-01,2.678359e-01,-1.144263e+01,-4.145781e+01
3.718200e-01,1.230669e+00,1.802824e+00,-9.538364e+00,3.718200e-01,2.953581e-01,-1.059302e+01,-4.366617e+01
3.913894e-01,1.247291e+00,1.919356e+00,-1.073516e+01,3.913894e-01,3.237459e-01,-9.795916e+00,-4.585984e+01
4.109589e-01,1.263526e+00,2.031683e+00,-1.198724e+01,4.109589e-01,3.529179e-01,-9.046526e+00,-4.803821e+01
4.305284e-01,1.279290e+00,2.139378e+00,-1.329062e+01,4.305284e-01,3.827928e-01,-8.340724e+00,-5.020070e+01
4.500978e-01,1.294507e+00,2.242090e+00,-1.464138e+01,4.500978e-01,4.132891e-01,-7.674920e+00,-5.234675e+01
4.696673e-01,1.309111e+00,2.339532e+00,-1.603568e+01,4.696673e-01,4.443257e-01,-7.045971e+00,-5.447585e+01
4.892368e-01,1.323043e+00,2.431479e+00,-1.746982e+01,4.892368e-01,4.758223e-01,-6.451104e+00,-5.658747e+01
5.088063e-01,1.336250e+00,2.517754e+00,-1.894020e+01,5.088063e-01,5.076996e-01,-5.887864e+00,-5.868113e+01
5.283757e-01,1.348688e+00,2.598228e+00,-2.044340e+01,5.283757e-01,5.398798e-01,-5.354059e+00,-6.075638e+01
5.479452e-01,1.360319e+00,2.672813e+00,-2.197616e+01,5.479452e-01,5.722866e-01,-4.847728e+00,-6.281279e+01
5.675147e-01,1.371111e+00,2.741454e+00,-2.353536e+01,5.675147e-01,6.048459e-01,-4.367105e+00,-6.484993e+01
5.870841e-01,1.381041e+00,2.804129e+00,-2.511806e+01,5.870841e-01,6.374856e-01,-3.910592e+00,-6.686744e+01
6.066536e-01,1.390087e+00,2.860838e+00,-2.672149e+01,6.066536e-01,6.701361e-01,-3.476740e+00,-6.886494e+01
6.262231e-01,1.398236e+00,2.911609e+00,-2.834303e+01,6.262231e-01,7.027303e-01,-3.064227e+00,-7.084210e+01
6.457926e-01,1.405479e+00,2.956485e+00,-2.998022e+01,6.457926e-01,7.352038e-01,-2.671845e+00,-7.279861e+01
6.653620e-01,1.411810e+00,2.995527e+00,-3.163076e+01,6.653620e-01,7.674954e-01,-2.298485e+00,-7.473419e+01
6.849315e-01,1.417231e+00,3.028810e+00,-3.329247e+01,6.849315e-01,7.995465e-01,-1.943125e+00,-7.664856e+01
7.045010e-01,1.421743e+00,3.056421e+00,-3.496335e+01,7.045010e-01,8.313019e-01,-1.604824e+00,-7.854149e+01
7.240705e-01,1.425354e+00,3.078457e+00,-3.664150e+01,7.240705e-01,8.627095e-01,-1.282708e+00,-8.041276e+01
7.436399e-01,1.428075e+00,3.095020e+00,-3.832514e+01,7.436399e-01,8.937204e-01,-9.759665e-01,-8.226217e+01
7.632094e-01,1.429918e+00,3.106223e+00,-4.001265e+01,7.632094e-01,9.242889e-01,-6.838452e-01,-8.408954e+01
7.827789e-01,1.430899e+00,3.112182e+00,-4.170248e+01,7.827789e-01,9.543726e-01,-4.056406e-01,-8.589472e+01
8.023483e-01,1.431037e+00,3.113016e+00,-4.339321e+01,8.023483e-01,9.839324e-01,-1.406946e-01,-8.767758e+01
8.219178e-01,1.430350e+00,3.108849e+00,-4.508351e+01,8.219178e-01,1.012932e+00,1.116089e-01,-8.943801e+01
8.414873e-01,1.428862e+00,3.099808e+00,-4.677216e+01,8.414873e-01,1.041340e+00,3.518486e-01,-9.117591e+01
8.610568e-01,1.426596e+00,3.086019e+00,-4.845800e+01,8.610568e-01,1.069125e+00,5.805683e-01,-9.289120e+01
8.806262e-01,1.423576e+00,3.067611e+00,-5.013999e+01,8.806262e-01,1.096261e+00,7.982806e-01,-9.458383e+01
9.001957e-01,1.419828e+00,3.044712e+00,-5.181715e+01,9.001957e-01,1.122725e+00,1.005469e+00,-9.625376e+01
9.197652e-01,1.415378e+00,3.017451e+00,-5.348856e+01,9.197652e-01,1.148496e+00,1.202590e+00,-9.790096e+01
9.393346e-01,1.410255e+00,2.985956e+00,-5.515340e+01,9.393346e-01,1.173556e+00,1.390075e+00,-9.952544e+01
9.589041e-01,1.404487e+00,2.950354e+00,-5.681089e+01,9.589041e-01,1.197890e+00,1.568336e+00,-1.011272e+02
9.784736e-01,1.398101e+00,2.910771e+00,-5.846032e+01,9.784736e-01,1.221484e+00,1.737759e+00,-1.027063e+02
9.980431e-01,1.391126e+00,2.867332e+00,-6.010104e+01,9.980431e-01,1.244330e+00,1.898713e+00,-1.042627e+02
1.017613e+00,1.383592e+00,2.820160e+00,-6.173246e+01,1.017613e+00,1.266419e+00,2.051551e+00,-1.057965e+02
1.037182e+00,1.375526e+00,2.769376e+00,-6.335403e+01,1.037182e+00,1.287746e+00,2.196604e+00,-1.073077e+02
