t,v1,v2
0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-1.140958e-04,-1.128055e-04
6.666667e-02,-7.270338e-04,-7.189511e-04
1.000000e-01,-1.575247e-03,-1.558866e-03
1.333333e-01,-2.232114e-03,-2.212634e-03
1.666667e-01,-2.489830e-03,-2.475998e-03
2.000000e-01,-2.359180e-03,-2.358960e-03
2.333333e-01,-1.965162e-03,-1.982802e-03
2.666667e-01,-1.450573e-03,-1.485893e-03
3.000000e-01,-9.223476e-04,-9.717880e-04
3.333333e-01,-4.384937e-04,-4.969148e-04
3.666667e-01,-1.905774e-05,-8.138519e-05
4.000000e-01,3.357407e-04,2.735047e-04
4.333333e-01,6.308498e-04,5.713016e-04
4.666667e-01,8.689105e-04,8.134006e-04
5.000000e-01,1.048978e-03,9.979751e-04
5.333333e-01,1.168590e-03,1.122047e-03
5.666667e-01,1.226511e-03,1.184139e-03
6.000000e-01,1.224588e-03,1.186024e-03
6.333333e-01,1.168269e-03,1.133174e-03
6.666667e-01,1.066061e-03,1.034184e-03
7.000000e-01,9.284418e-04,8.996815e-04
7.333333e-01,7.667092e-04,7.411601e-04
7.666667e-01,5.920172e-04,5.700057e-04
8.000000e-01,4.146999e-04,3.967876e-04
8.333333e-01,2.438422e-04,2.307946e-04
8.666667e-01,8.703136e-05,7.975120e-05
9.000000e-01,-4.977794e-05,-5.034311e-05
9.333333e-01,-1.623198e-04,-1.552845e-04
9.666667e-01,-2.480097e-04,-2.326581e-04
1.000000e+00,-3.058747e-04,-2.817571e-04
1.033333e+00,-3.364218e-04,-3.034300e-04
1.066667e+00,-3.414485e-04,-2.998654e-04
1.100000e+00,-3.238085e-04,-2.743275e-04
1.133333e+00,-2.871488e-04,-2.308619e-04
1.166667e+00,-2.356339e-04,-1.739919e-04
1.200000e+00,-1.736767e-04,-1.084233e-04
1.233333e+00,-1.056880e-04,-3.877367e-05
1.266667e+00,-3.585652e-05,3.066121e-05
1.300000e+00,3.203353e-05,9.609716e-05
1.333333e+00,9.474248e-05,1.544015e-04
1.366667e+00,1.496718e-04,2.031827e-04
1.400000e+00,1.949175e-04,2.408301e-04
1.433333e+00,2.292824e-04,2.665089e-04
1.466667e+00,2.522523e-04,2.801142e-04
1.500000e+00,2.639415e-04,2.821923e-04
1.533333e+00,2.650123e-04,2.738369e-04
1.566667e+00,2.565783e-04,2.565682e-04
1.600000e+00,2.400954e-04,2.322037e-04
1.633333e+00,2.172492e-04,2.027280e-04
