f,phi,pha1,pha2,pha3,pha4
1.000000e-01,7.229570e+00,5.280030e+01,5.189438e+01,1.192189e+01,2.412734e+01
1.113725e-01,8.051770e+00,5.021198e+01,4.916548e+01,1.133860e+01,2.315418e+01
1.227451e-01,8.873895e+00,4.791686e+01,4.671884e+01,1.092081e+01,2.247448e+01
1.341176e-01,9.695903e+00,4.588583e+01,4.452477e+01,1.062729e+01,2.201943e+01
1.454902e-01,1.051775e+01,4.409085e+01,4.255481e+01,1.042939e+01,2.173973e+01
1.568627e-01,1.133937e+01,4.250589e+01,4.078261e+01,1.030660e+01,2.159923e+01
1.682353e-01,1.216070e+01,4.110729e+01,3.918428e+01,1.024384e+01,2.157088e+01
1.796078e-01,1.298168e+01,3.987384e+01,3.773852e+01,1.022981e+01,2.163405e+01
1.909804e-01,1.380224e+01,3.878670e+01,3.642653e+01,1.025585e+01,2.177275e+01
2.023529e-01,1.462229e+01,3.782926e+01,3.523179e+01,1.031523e+01,2.197441e+01
2.137255e-01,1.544175e+01,3.698692e+01,3.413991e+01,1.040264e+01,2.222901e+01
2.250980e-01,1.626055e+01,3.624687e+01,3.313834e+01,1.051382e+01,2.252847e+01
2.364706e-01,1.707859e+01,3.559785e+01,3.221620e+01,1.064532e+01,2.286619e+01
2.478431e-01,1.789578e+01,3.503002e+01,3.136403e+01,1.079432e+01,2.323674e+01
2.592157e-01,1.871203e+01,3.453471e+01,3.057363e+01,1.095850e+01,2.363561e+01
2.705882e-01,1.952725e+01,3.410429e+01,2.983789e+01,1.113592e+01,2.405901e+01
2.819608e-01,2.034135e+01,3.373206e+01,2.915063e+01,1.132493e+01,2.450373e+01
2.933333e-01,2.115423e+01,3.341207e+01,2.850647e+01,1.152417e+01,2.496706e+01
3.047059e-01,2.196580e+01,3.313909e+01,2.790077e+01,1.173245e+01,2.544666e+01
3.160784e-01,2.277596e+01,3.290845e+01,2.732944e+01,1.194876e+01,2.594051e+01
3.274510e-01,2.358463e+01,3.271601e+01,2.678896e+01,1.217223e+01,2.644688e+01
3.388235e-01,2.439171e+01,3.255807e+01,2.627623e+01,1.240210e+01,2.696423e+01
3.501961e-01,2.519710e+01,3.243135e+01,2.578856e+01,1.263771e+01,2.749124e+01
3.615686e-01,2.600073e+01,3.233288e+01,2.532357e+01,1.287848e+01,2.802672e+01
3.729412e-01,2.680249e+01,3.226001e+01,2.487921e+01,1.312392e+01,2.856964e+01
3.843137e-01,2.760230e+01,3.221035e+01,2.445364e+01,1.337355e+01,2.911907e+01
3.956863e-01,2.840008e+01,3.218175e+01,2.404527e+01,1.362699e+01,2.967418e+01
4.070588e-01,2.919573e+01,3.217228e+01,2.365270e+01,1.388388e+01,3.023424e+01
4.184314e-01,2.998918e+01,3.218016e+01,2.327466e+01,1.414390e+01,3.079859e+01
4.298039e-01,3.078033e+01,3.220380e+01,2.291006e+01,1.440676e+01,3.136661e+01
4.411765e-01,3.156911e+01,3.224175e+01,2.255792e+01,1.467221e+01,3.193777e+01
4.525490e-01,3.235543e+01,3.229269e+01,2.221738e+01,1.494001e+01,3.251158e+01
4.639216e-01,3.313921e+01,3.235542e+01,2.188764e+01,1.520996e+01,3.308759e+01
4.752941e-01,3.392039e+01,3.242884e+01,2.156803e+01,1.548186e+01,3.366539e+01
4.866667e-01,3.469887e+01,3.251194e+01,2.125791e+01,1.575554e+01,3.424460e+01
4.980392e-01,3.547459e+01,3.260380e+01,2.095674e+01,1.603084e+01,3.482489e+01
5.094118e-01,3.624747e+01,3.270357e+01,2.066400e+01,1.630761e+01,3.540593e+01
5.207843e-01,3.701743e+01,3.281049e+01,2.037924e+01,1.658573e+01,3.598743e+01
5.321569e-01,3.778441e+01,3.292384e+01,2.010205e+01,1.686506e+01,3.656913e+01
5.435294e-01,3.854833e+01,3.304297e+01,1.983206e+01,1.714549e+01,3.715078e+01
5.549020e-01,3.930913e+01,3.316726e+01,1.956891e+01,1.742693e+01,3.773215e+01
5.662745e-01,4.006674e+01,3.329617e+01,1.931230e+01,1.770927e+01,3.831302e+01
5.776471e-01,4.082109e+01,3.342918e+01,1.906195e+01,1.799242e+01,3.889320e+01
5.890196e-01,4.157212e+01,3.356581e+01,1.881757e+01,1.827630e+01,3.947250e+01
6.003922e-01,4.231976e+01,3.370564e+01,1.857894e+01,1.856083e+01,4.005075e+01
6.117647e-01,4.306395e+01,3.384825e+01,1.834582e+01,1.884594e+01,4.062779e+01
6.231373e-01,4.380464e+01,3.399326e+01,1.811801e+01,1.913156e+01,4.120347e+01
6.345098e-01,4.454175e+01,3.414035e+01,1.789530e+01,1.941762e+01,4.177765e+01
6.458824e-01,4.527524e+01,3.428917e+01,1.767751e+01,1.970408e+01,4.235020e+01
6.572549e-01,4.600504e+01,3.443944e+01,1.746448e+01,1.999086e+01,4.292100e+01
6.686275e-01,4.673111e+01,3.459088e+01,1.725603e+01,2.027793e+01,4.348993e+01
6.800000e-01,4.745338e+01,3.474324e+01,1.705203e+01,2.056522e+01,4.405688e+01
6.913725e-01,4.817181e+01,3.489628e+01,1.685232e+01,2.085270e+01,4.462176e+01
7.027451e-01,4.888634e+01,3.504977e+01,1.665676e+01,2.114032e+01,4.518447e+01
7.141176e-01,4.959693e+01,3.520353e+01,1.646524e+01,2.142803e+01,4.574492e+01
7.254902e-01,5.030352e+01,3.535736e+01,1.627763e+01,2.171581e+01,4.630302e+01
7.368627e-01,5.100607e+01,3.551109e+01,1.609381e+01,2.200360e+01,4.685871e+01
7.482353e-01,5.170453e+01,3.566455e+01,1.591367e+01,2.229137e+01,4.741190e+01
7.596078e-01,5.239887e+01,3.581760e+01,1.573710e+01,2.257910e+01,4.796253e+01
7.709804e-01,5.308903e+01,3.597011e+01,1.556401e+01,2.286675e+01,4.851054e+01
7.823529e-01,5.377498e+01,3.612194e+01,1.539430e+01,2.315428e+01,4.905586e+01
7.937255e-01,5.445668e+01,3.627297e+01,1.522787e+01,2.344167e+01,4.959843e+01
8.050980e-01,5.513409e+01,3.642310e+01,1.506463e+01,2.372889e+01,5.013821e+01
8.164706e-01,5.580717e+01,3.657223e+01,1.490451e+01,2.401592e+01,5.067514e+01
8.278431e-01,5.647589e+01,3.672027e+01,1.474741e+01,2.430272e+01,5.120918e+01
8.392157e-01,5.714022e+01,3.686712e+01,1.459326e+01,2.458928e+01,5.174029e+01
8.505882e-01,5.780013e+01,3.701272e+01,1.444198e+01,2.487557e+01,5.226842e+01
8.619608e-01,5.845558e+01,3.715700e+01,1.429349e+01,2.516157e+01,5.279353e+01
8.733333e-01,5.910655e+01,3.729988e+01,1.414773e+01,2.544726e+01,5.331560e+01
8.847059e-01,5.975301e+01,3.744131e+01,1.400463e+01,2.573261e+01,5.383459e+01
8.960784e-01,6.039494e+01,3.758123e+01,1.386412e+01,2.601760e+01,5.435047e+01
9.074510e-01,6.103231e+01,3.771959e+01,1.372614e+01,2.630223e+01,5.486321e+01
9.188235e-01,6.166510e+01,3.785635e+01,1.359062e+01,2.658646e+01,5.537279e+01
9.301961e-01,6.229330e+01,3.799147e+01,1.345750e+01,2.687029e+01,5.587918e+01
9.415686e-01,6.291688e+01,3.812491e+01,1.332673e+01,2.715368e+01,5.638237e+01
9.529412e-01,6.353583e+01,3.825664e+01,1.319824e+01,2.743664e+01,5.688232e+01
9.643137e-01,6.415013e+01,3.838663e+01,1.307199e+01,2.771914e+01,5.737903e+01
9.756863e-01,6.475978e+01,3.851486e+01,1.294793e+01,2.800116e+01,5.787248e+01
9.870588e-01,6.536475e+01,3.864129e+01,1.282599e+01,2.828270e+01,5.836265e+01
9.984314e-01,6.596504e+01,3.876591e+01,1.270613e+01,2.856373e+01,5.884954e+01
1.009804e+00,6.656065e+01,3.888871e+01,1.258830e+01,2.884425e+01,5.933312e+01
1.021176e+00,6.715156e+01,3.900967e+01,1.247245e+01,2.912424e+01,5.981339e+01
1.032549e+00,6.773778e+01,3.912877e+01,1.235854e+01,2.940368e+01,6.029035e+01
1.043922e+00,6.831929e+01,3.924601e+01,1.224653e+01,2.968257e+01,6.076398e+01
1.055294e+00,6.889611e+01,3.936138e+01,1.213636e+01,2.996089e+01,6.123429e+01
1.066667e+00,6.946823e+01,3.947487e+01,1.202801e+01,3.023864e+01,6.170125e+01
1.078039e+00,7.003566e+01,3.958648e+01,1.192142e+01,3.051579e+01,6.216488e+01
1.089412e+00,7.059839e+01,3.969621e+01,1.181656e+01,3.079234e+01,6.262517e+01
1.100784e+00,7.115645e+01,3.980405e+01,1.171339e+01,3.106828e+01,6.308211e+01
1.112157e+00,7.170983e+01,3.991001e+01,1.161187e+01,3.134360e+01,6.353571e+01
1.123529e+00,7.225856e+01,4.001408e+01,1.151197e+01,3.161828e+01,6.398598e+01
1.134902e+00,7.280263e+01,4.011628e+01,1.141364e+01,3.189232e+01,6.443290e+01
1.146275e+00,7.334207e+01,4.021660e+01,1.131686e+01,3.216572e+01,6.487648e+01
1.157647e+00,7.387690e+01,4.031505e+01,1.122160e+01,3.243845e+01,6.531674e+01
1.169020e+00,7.440713e+01,4.041164e+01,1.112781e+01,3.271051e+01,6.575366e+01
1.180392e+00,7.493279e+01,4.050638e+01,1.103547e+01,3.298189e+01,6.618726e+01
1.191765e+00,7.545390e+01,4.059927e+01,1.094455e+01,3.325259e+01,6.661755e+01
1.203137e+00,7.597049e+01,4.069032e+01,1.085501e+01,3.352259e+01,6.704452e+01
1.214510e+00,7.648257e+01,4.077954e+01,1.076684e+01,3.379189e+01,6.746819e+01
1.225882e+00,7.699020e+01,4.086695e+01,1.067999e+01,3.406048e+01,6.788857e+01
1.237255e+00,7.749339e+01,4.095255e+01,1.059444e+01,3.432835e+01,6.830566e+01
1.248627e+00,7.799218e+01,4.103636e+01,1.051016e+01,3.459550e+01,6.871948e+01
1.260000e+00,7.848660e+01,4.111839e+01,1.042713e+01,3.486191e+01,6.913002e+01
1.271373e+00,7.897671e+01,4.119865e+01,1.034532e+01,3.512759e+01,6.953732e+01
1.282745e+00,7.946254e+01,4.127716e+01,1.026471e+01,3.539252e+01,6.994136e+01
1.294118e+00,7.994413e+01,4.135392e+01,1.018527e+01,3.565671e+01,7.034218e+01
1.305490e+00,8.042154e+01,4.142896e+01,1.010698e+01,3.592013e+01,7.073977e+01
1.316863e+00,8.089481e+01,4.150229e+01,1.002982e+01,3.618279e+01,7.113415e+01
1.328235e+00,8.136399e+01,4.157393e+01,9.953754e+00,3.644468e+01,7.152534e+01
1.339608e+00,8.182913e+01,4.164388e+01,9.878771e+00,3.670579e+01,7.191334e+01
1.350980e+00,8.229031e+01,4.171217e+01,9.804846e+00,3.696613e+01,7.229818e+01
1.362353e+00,8.274756e+01,4.177881e+01,9.731959e+00,3.722567e+01,7.267986e+01
1.373725e+00,8.320097e+01,4.184381e+01,9.660089e+00,3.748443e+01,7.305840e+01
1.385098e+00,8.365059e+01,4.190720e+01,9.589217e+00,3.774239e+01,7.343382e+01
1.396471e+00,8.409649e+01,4.196899e+01,9.519322e+00,3.799955e+01,7.380613e+01
1.407843e+00,8.453875e+01,4.202919e+01,9.450387e+00,3.825590e+01,7.417534e+01
1.419216e+00,8.497742e+01,4.208782e+01,9.382391e+00,3.851145e+01,7.454147e+01
1.430588e+00,8.541261e+01,4.214490e+01,9.315318e+00,3.876617e+01,7.490454e+01
1.441961e+00,8.584437e+01,4.220045e+01,9.249149e+00,3.902008e+01,7.526457e+01
1.453333e+00,8.627279e+01,4.225448e+01,9.183867e+00,3.927317e+01,7.562156e+01
1.464706e+00,8.669797e+01,4.230701e+01,9.119456e+00,3.952543e+01,7.597554e+01
1.476078e+00,8.711998e+01,4.235805e+01,9.055899e+00,3.977685e+01,7.632652e+01
1.487451e+00,8.753891e+01,4.240763e+01,8.993180e+00,4.002744e+01,7.667453e+01
1.498824e+00,8.795487e+01,4.245576e+01,8.931283e+00,4.027720e+01,7.701957e+01
1.510196e+00,8.836794e+01,4.250245e+01,8.870194e+00,4.052611e+01,7.736167e+01
1.521569e+00,8.877822e+01,4.254772e+01,8.809896e+00,4.077418e+01,7.770084e+01
1.532941e+00,8.918582e+01,4.259160e+01,8.750376e+00,4.102139e+01,7.803710e+01
1.544314e+00,8.959083e+01,4.263409e+01,8.691619e+00,4.126776e+01,7.837047e+01
1.555686e+00,8.999337e+01,4.267522e+01,8.633612e+00,4.151327e+01,7.870097e+01
1.567059e+00,9.039354e+01,4.271499e+01,8.576340e+00,4.175792e+01,7.902861e+01
1.578431e+00,9.079145e+01,4.275344e+01,8.519791e+00,4.200172e+01,7.935342e+01
1.589804e+00,9.118722e+01,4.279056e+01,8.463952e+00,4.224465e+01,7.967540e+01
1.601176e+00,9.158095e+01,4.282638e+01,8.408809e+00,4.248671e+01,7.999459e+01
1.612549e+00,9.197277e+01,4.286093e+01,8.354351e+00,4.272790e+01,8.031100e+01
1.623922e+00,9.236279e+01,4.289420e+01,8.300564e+00,4.296823e+01,8.062464e+01
1.635294e+00,9.275113e+01,4.292622e+01,8.247439e+00,4.320768e+01,8.093554e+01
1.646667e+00,9.313792e+01,4.295700e+01,8.194962e+00,4.344626e+01,8.124372e+01
1.658039e+00,9.352327e+01,4.298657e+01,8.143123e+00,4.368396e+01,8.154918e+01
1.669412e+00,9.390731e+01,4.301493e+01,8.091910e+00,4.392078e+01,8.185196e+01
1.680784e+00,9.429016e+01,4.304210e+01,8.041312e+00,4.415672e+01,8.215207e+01
1.692157e+00,9.467194e+01,4.306810e+01,7.991320e+00,4.439177e+01,8.244953e+01
1.703529e+00,9.505277e+01,4.309294e+01,7.941922e+00,4.462595e+01,8.274436e+01
1.714902e+00,9.543279e+01,4.311664e+01,7.893109e+00,4.485923e+01,8.303657e+01
1.726275e+00,9.581210e+01,4.313921e+01,7.844871e+00,4.509163e+01,8.332619e+01
1.737647e+00,9.619084e+01,4.316068e+01,7.797197e+00,4.532314e+01,8.361324e+01
1.749020e+00,9.656911e+01,4.318104e+01,7.750079e+00,4.555376e+01,8.389772e+01
1.760392e+00,9.694705e+01,4.320032e+01,7.703507e+00,4.578349e+01,8.417967e+01
1.771765e+00,9.732476e+01,4.321854e+01,7.657471e+00,4.601232e+01,8.445910e+01
1.783137e+00,9.770236e+01,4.323570e+01,7.611964e+00,4.624026e+01,8.473603e+01
1.794510e+00,9.807996e+01,4.325182e+01,7.566977e+00,4.646730e+01,8.501048e+01
1.805882e+00,9.845767e+01,4.326692e+01,7.522500e+00,4.669345e+01,8.528247e+01
1.817255e+00,9.883559e+01,4.328100e+01,7.478525e+00,4.691871e+01,8.555201e+01
1.828627e+00,9.921382e+01,4.329410e+01,7.435045e+00,4.714306e+01,8.581912e+01
1.840000e+00,9.959247e+01,4.330620e+01,7.392051e+00,4.736652e+01,8.608383e+01
1.851373e+00,9.997161e+01,4.331734e+01,7.349536e+00,4.758907e+01,8.634615e+01
1.862745e+00,1.003513e+02,4.332753e+01,7.307491e+00,4.781073e+01,8.660610e+01
1.874118e+00,1.007317e+02,4.333677e+01,7.265910e+00,4.803149e+01,8.686369e+01
1.885490e+00,1.011129e+02,4.334508e+01,7.224785e+00,4.825134e+01,8.711895e+01
1.896863e+00,1.014948e+02,4.335248e+01,7.184108e+00,4.847030e+01,8.737190e+01
1.908235e+00,1.018776e+02,4.335897e+01,7.143873e+00,4.868835e+01,8.762255e+01
1.919608e+00,1.022614e+02,4.336457e+01,7.104073e+00,4.890551e+01,8.787091e+01
1.930980e+00,1.026461e+02,4.336930e+01,7.064700e+00,4.912176e+01,8.811702e+01
1.942353e+00,1.030318e+02,4.337316e+01,7.025749e+00,4.933711e+01,8.836088e+01
1.953725e+00,1.034186e+02,4.337616e+01,6.987212e+00,4.955156e+01,8.860251e+01
1.965098e+00,1.038065e+02,4.337833e+01,6.949084e+00,4.976510e+01,8.884194e+01
1.976471e+00,1.041955e+02,4.337967e+01,6.911358e+00,4.997775e+01,8.907918e+01
1.987843e+00,1.045856e+02,4.338019e+01,6.874027e+00,5.018949e+01,8.931424e+01
1.999216e+00,1.049768e+02,4.337991e+01,6.837087e+00,5.040033e+01,8.954714e+01
2.010588e+00,1.053691e+02,4.337883e+01,6.800531e+00,5.061027e+01,8.977791e+01
2.021961e+00,1.057625e+02,4.337697e+01,6.764352e+00,5.081931e+01,9.000656e+01
2.033333e+00,1.061570e+02,4.337434e+01,6.728547e+00,5.102745e+01,9.023310e+01
2.044706e+00,1.065525e+02,4.337095e+01,6.693108e+00,5.123469e+01,9.045755e+01
2.056078e+00,1.069491e+02,4.336681e+01,6.658031e+00,5.144103e+01,9.067994e+01
2.067451e+00,1.073466e+02,4.336194e+01,6.623310e+00,5.164647e+01,9.090027e+01
2.078824e+00,1.077451e+02,4.335634e+01,6.588940e+00,5.185101e+01,9.111856e+01
2.090196e+00,1.081444e+02,4.335002e+01,6.554915e+00,5.205466e+01,9.133484e+01
2.101569e+00,1.085446e+02,4.334300e+01,6.521232e+00,5.225740e+01,9.154911e+01
2.112941e+00,1.089454e+02,4.333529e+01,6.487884e+00,5.245925e+01,9.176139e+01
2.124314e+00,1.093469e+02,4.332689e+01,6.454867e+00,5.266021e+01,9.197170e+01
2.135686e+00,1.097490e+02,4.331781e+01,6.422176e+00,5.286027e+01,9.218006e+01
2.147059e+00,1.101516e+02,4.330807e+01,6.389806e+00,5.305943e+01,9.238648e+01
2.158431e+00,1.105546e+02,4.329768e+01,6.357753e+00,5.325771e+01,9.259098e+01
2.169804e+00,1.109579e+02,4.328664e+01,6.326013e+00,5.345509e+01,9.279357e+01
2.181176e+00,1.113614e+02,4.327497e+01,6.294580e+00,5.365158e+01,9.299427e+01
2.192549e+00,1.117650e+02,4.326267e+01,6.263451e+00,5.384717e+01,9.319310e+01
2.203922e+00,1.121686e+02,4.324975e+01,6.232622e+00,5.404189e+01,9.339006e+01
2.215294e+00,1.125721e+02,4.323623e+01,6.202087e+00,5.423571e+01,9.358518e+01
2.226667e+00,1.129754e+02,4.322211e+01,6.171843e+00,5.442864e+01,9.377848e+01
2.238039e+00,1.133783e+02,4.320740e+01,6.141886e+00,5.462069e+01,9.396996e+01
2.249412e+00,1.137808e+02,4.319212e+01,6.112212e+00,5.481186e+01,9.415964e+01
2.260784e+00,1.141827e+02,4.317626e+01,6.082817e+00,5.500214e+01,9.434754e+01
2.272157e+00,1.145839e+02,4.315984e+01,6.053697e+00,5.519155e+01,9.453367e+01
2.283529e+00,1.149844e+02,4.314287e+01,6.024849e+00,5.538007e+01,9.471804e+01
2.294902e+00,1.153839e+02,4.312535e+01,5.996269e+00,5.556771e+01,9.490068e+01
2.306275e+00,1.157824e+02,4.310729e+01,5.967952e+00,5.575447e+01,9.508159e+01
2.317647e+00,1.161798e+02,4.308871e+01,5.939896e+00,5.594036e+01,9.526079e+01
2.329020e+00,1.165760e+02,4.306960e+01,5.912097e+00,5.612538e+01,9.543830e+01
2.340392e+00,1.169709e+02,4.304999e+01,5.884552e+00,5.630952e+01,9.561413e+01
2.351765e+00,1.173642e+02,4.302987e+01,5.857257e+00,5.649279e+01,9.578828e+01
2.363137e+00,1.177561e+02,4.300925e+01,5.830209e+00,5.667519e+01,9.596079e+01
2.374510e+00,1.181463e+02,4.298814e+01,5.803405e+00,5.685672e+01,9.613165e+01
2.385882e+00,1.185347e+02,4.296656e+01,5.776841e+00,5.703739e+01,9.630089e+01
2.397255e+00,1.189214e+02,4.294450e+01,5.750514e+00,5.721719e+01,9.646852e+01
2.408627e+00,1.193061e+02,4.292197e+01,5.724421e+00,5.739613e+01,9.663455e+01
2.420000e+00,1.196888e+02,4.289899e+01,5.698560e+00,5.757420e+01,9.679899e+01
2.431373e+00,1.200694e+02,4.287555e+01,5.672926e+00,5.775142e+01,9.696186e+01
2.442745e+00,1.204478e+02,4.285167e+01,5.647518e+00,5.792778e+01,9.712318e+01
2.454118e+00,1.208240e+02,4.282735e+01,5.622332e+00,5.810328e+01,9.728294e+01
2.465490e+00,1.211980e+02,4.280260e+01,5.597366e+00,5.827793e+01,9.744118e+01
2.476863e+00,1.215695e+02,4.277743e+01,5.572616e+00,5.845173e+01,9.759789e+01
2.488235e+00,1.219386e+02,4.275184e+01,5.548080e+00,5.862468e+01,9.775310e+01
2.499608e+00,1.223053e+02,4.272584e+01,5.523756e+00,5.879677e+01,9.790682e+01
2.510980e+00,1.226694e+02,4.269944e+01,5.499639e+00,5.896803e+01,9.805905e+01
2.522353e+00,1.230309e+02,4.267264e+01,5.475729e+00,5.913843e+01,9.820981e+01
2.533725e+00,1.233897e+02,4.264545e+01,5.452022e+00,5.930800e+01,9.835912e+01
2.545098e+00,1.237460e+02,4.261788e+01,5.428516e+00,5.947672e+01,9.850698e+01
2.556471e+00,1.240995e+02,4.258993e+01,5.405208e+00,5.964461e+01,9.865341e+01
2.567843e+00,1.244502e+02,4.256160e+01,5.382096e+00,5.981166e+01,9.879842e+01
2.579216e+00,1.247983e+02,4.253292e+01,5.359177e+00,5.997788e+01,9.894202e+01
2.590588e+00,1.251435e+02,4.250387e+01,5.336449e+00,6.014326e+01,9.908423e+01
2.601961e+00,1.254859e+02,4.247446e+01,5.313911e+00,6.030782e+01,9.922504e+01
2.613333e+00,1.258255e+02,4.244471e+01,5.291558e+00,6.047154e+01,9.936449e+01
2.624706e+00,1.261622e+02,4.241462e+01,5.269390e+00,6.063444e+01,9.950257e+01
2.636078e+00,1.264961e+02,4.238419e+01,5.247403e+00,6.079652e+01,9.963931e+01
2.647451e+00,1.268271e+02,4.235344e+01,5.225596e+00,6.095778e+01,9.977470e+01
2.658824e+00,1.271552e+02,4.232235e+01,5.203967e+00,6.111821e+01,9.990877e+01
2.670196e+00,1.274805e+02,4.229095e+01,5.182513e+00,6.127783e+01,1.000415e+02
2.681569e+00,1.278029e+02,4.225923e+01,5.161233e+00,6.143664e+01,1.001730e+02
2.692941e+00,1.281224e+02,4.222720e+01,5.140124e+00,6.159463e+01,1.003031e+02
2.704314e+00,1.284391e+02,4.219487e+01,5.119184e+00,6.175182e+01,1.004320e+02
2.715686e+00,1.287529e+02,4.216224e+01,5.098411e+00,6.190819e+01,1.005596e+02
2.727059e+00,1.290639e+02,4.212932e+01,5.077804e+00,6.206376e+01,1.006859e+02
2.738431e+00,1.293720e+02,4.209610e+01,5.057360e+00,6.221853e+01,1.008110e+02
2.749804e+00,1.296772e+02,4.206261e+01,5.037077e+00,6.237250e+01,1.009348e+02
2.761176e+00,1.299797e+02,4.202884e+01,5.016954e+00,6.252567e+01,1.010574e+02
2.772549e+00,1.302794e+02,4.199479e+01,4.996989e+00,6.267804e+01,1.011788e+02
2.783922e+00,1.305763e+02,4.196047e+01,4.977180e+00,6.282962e+01,1.012990e+02
2.795294e+00,1.308704e+02,4.192589e+01,4.957525e+00,6.298041e+01,1.014179e+02
2.806667e+00,1.311618e+02,4.189105e+01,4.938022e+00,6.313040e+01,1.015357e+02
2.818039e+00,1.314504e+02,4.185596e+01,4.918670e+00,6.327962e+01,1.016523e+02
2.829412e+00,1.317364e+02,4.182061e+01,4.899467e+00,6.342805e+01,1.017678e+02
2.840784e+00,1.320197e+02,4.178502e+01,4.880411e+00,6.357569e+01,1.018820e+02
2.852157e+00,1.323003e+02,4.174919e+01,4.861500e+00,6.372256e+01,1.019951e+02
2.863529e+00,1.325783e+02,4.171312e+01,4.842734e+00,6.386865e+01,1.021071e+02
2.874902e+00,1.328537e+02,4.167682e+01,4.824110e+00,6.401397e+01,1.022179e+02
2.886275e+00,1.331266e+02,4.164029e+01,4.805626e+00,6.415851e+01,1.023277e+02
2.897647e+00,1.333968e+02,4.160353e+01,4.787282e+00,6.430229e+01,1.024363e+02
2.909020e+00,1.336646e+02,4.156656e+01,4.769075e+00,6.444530e+01,1.025438e+02
2.920392e+00,1.339299e+02,4.152936e+01,4.751004e+00,6.458755e+01,1.026502e+02
2.931765e+00,1.341927e+02,4.149196e+01,4.733068e+00,6.472903e+01,1.027555e+02
2.943137e+00,1.344530e+02,4.145435e+01,4.715265e+00,6.486975e+01,1.028597e+02
2.954510e+00,1.347110e+02,4.141653e+01,4.697594e+00,6.500972e+01,1.029629e+02
2.965882e+00,1.349665e+02,4.137852e+01,4.680053e+00,6.514894e+01,1.030650e+02
2.977255e+00,1.352197e+02,4.134030e+01,4.662641e+00,6.528740e+01,1.031660e+02
2.988627e+00,1.354706e+02,4.130190e+01,4.645356e+00,6.542511e+01,1.032661e+02
3.000000e+00,1.357192e+02,4.126330e+01,4.628197e+00,6.556208e+01,1.033650e+02
