f,g,ph
1.000000e+00,-4.533338e-03,-2.382312e+00
1.009053e+00,-4.616365e-03,-2.404008e+00
1.018188e+00,-4.700924e-03,-2.425904e+00
1.027405e+00,-4.787042e-03,-2.448002e+00
1.036706e+00,-4.874750e-03,-2.470304e+00
1.046091e+00,-4.964077e-03,-2.492811e+00
1.055561e+00,-5.055053e-03,-2.515527e+00
1.065117e+00,-5.147709e-03,-2.538451e+00
1.074759e+00,-5.242076e-03,-2.561588e+00
1.084489e+00,-5.338188e-03,-2.584939e+00
1.094306e+00,-5.436076e-03,-2.608505e+00
1.104213e+00,-5.535774e-03,-2.632289e+00
1.114209e+00,-5.637316e-03,-2.656293e+00
1.124296e+00,-5.740736e-03,-2.680519e+00
1.134474e+00,-5.846070e-03,-2.704970e+00
1.144744e+00,-5.953354e-03,-2.729647e+00
1.155107e+00,-6.062625e-03,-2.754552e+00
1.165564e+00,-6.173920e-03,-2.779688e+00
1.176116e+00,-6.287277e-03,-2.805058e+00
1.186763e+00,-6.402735e-03,-2.830662e+00
1.197507e+00,-6.520334e-03,-2.856505e+00
1.208347e+00,-6.640115e-03,-2.882587e+00
1.219286e+00,-6.762118e-03,-2.908911e+00
1.230324e+00,-6.886385e-03,-2.935481e+00
1.241462e+00,-7.012960e-03,-2.962297e+00
1.252701e+00,-7.141887e-03,-2.989362e+00
1.264041e+00,-7.273209e-03,-3.016680e+00
1.275484e+00,-7.406973e-03,-3.044251e+00
1.287031e+00,-7.543224e-03,-3.072080e+00
1.298682e+00,-7.682010e-03,-3.100168e+00
1.310439e+00,-7.823379e-03,-3.128518e+00
1.322302e+00,-7.967381e-03,-3.157132e+00
1.334273e+00,-8.114065e-03,-3.186014e+00
1.346352e+00,-8.263483e-03,-3.215165e+00
1.358540e+00,-8.415687e-03,-3.244589e+00
1.370839e+00,-8.570729e-03,-3.274288e+00
1.383248e+00,-8.728665e-03,-3.304264e+00
1.395771e+00,-8.889550e-03,-3.334521e+00
1.408406e+00,-9.053440e-03,-3.365062e+00
1.421156e+00,-9.220392e-03,-3.395889e+00
1.434022e+00,-9.390466e-03,-3.427005e+00
1.447004e+00,-9.563721e-03,-3.458413e+00
1.460103e+00,-9.740219e-03,-3.490116e+00
1.473321e+00,-9.920022e-03,-3.522117e+00
1.486659e+00,-1.010319e-02,-3.554419e+00
1.500117e+00,-1.028980e-02,-3.587025e+00
1.513698e+00,-1.047990e-02,-3.619938e+00
1.527401e+00,-1.067357e-02,-3.653161e+00
1.541228e+00,-1.087088e-02,-3.686697e+00
1.555181e+00,-1.107190e-02,-3.720550e+00
1.569259e+00,-1.127669e-02,-3.754722e+00
1.583466e+00,-1.148534e-02,-3.789218e+00
1.597800e+00,-1.169791e-02,-3.824039e+00
1.612265e+00,-1.191449e-02,-3.859190e+00
1.626860e+00,-1.213514e-02,-3.894674e+00
1.641588e+00,-1.235996e-02,-3.930495e+00
1.656449e+00,-1.258902e-02,-3.966655e+00
1.671445e+00,-1.282240e-02,-4.003159e+00
1.686576e+00,-1.306020e-02,-4.040010e+00
1.701844e+00,-1.330248e-02,-4.077211e+00
1.717251e+00,-1.354936e-02,-4.114766e+00
1.732796e+00,-1.380090e-02,-4.152680e+00
1.748483e+00,-1.405721e-02,-4.190955e+00
1.764312e+00,-1.431839e-02,-4.229595e+00
1.780284e+00,-1.458451e-02,-4.268604e+00
1.796400e+00,-1.485569e-02,-4.307987e+00
1.812663e+00,-1.513203e-02,-4.347747e+00
1.829072e+00,-1.541361e-02,-4.387887e+00
1.845631e+00,-1.570056e-02,-4.428413e+00
1.862339e+00,-1.599297e-02,-4.469328e+00
1.879198e+00,-1.629096e-02,-4.510636e+00
1.896210e+00,-1.659463e-02,-4.552342e+00
1.913376e+00,-1.690411e-02,-4.594450e+00
1.930698e+00,-1.721949e-02,-4.636964e+00
1.948176e+00,-1.754091e-02,-4.679888e+00
1.965812e+00,-1.786849e-02,-4.723227e+00
1.983609e+00,-1.820234e-02,-4.766986e+00
2.001566e+00,-1.854260e-02,-4.811168e+00
2.019686e+00,-1.888938e-02,-4.855779e+00
2.037969e+00,-1.924284e-02,-4.900824e+00
2.056419e+00,-1.960309e-02,-4.946306e+00
2.075035e+00,-1.997028e-02,-4.992232e+00
2.093820e+00,-2.034455e-02,-5.038605e+00
2.112775e+00,-2.072604e-02,-5.085430e+00
2.131901e+00,-2.111490e-02,-5.132714e+00
2.151201e+00,-2.151128e-02,-5.180460e+00
2.170676e+00,-2.191534e-02,-5.228674e+00
2.190326e+00,-2.232722e-02,-5.277362e+00
2.210155e+00,-2.274710e-02,-5.326528e+00
2.230163e+00,-2.317513e-02,-5.376178e+00
2.250352e+00,-2.361148e-02,-5.426317e+00
2.270724e+00,-2.405633e-02,-5.476952e+00
2.291281e+00,-2.450986e-02,-5.528087e+00
2.312023e+00,-2.497223e-02,-5.579728e+00
2.332953e+00,-2.544364e-02,-5.631882e+00
2.354073e+00,-2.592427e-02,-5.684553e+00
2.375384e+00,-2.641432e-02,-5.737749e+00
2.396888e+00,-2.691398e-02,-5.791475e+00
2.418587e+00,-2.742346e-02,-5.845738e+00
2.440482e+00,-2.794296e-02,-5.900543e+00
2.462575e+00,-2.847269e-02,-5.955897e+00
2.484868e+00,-2.901287e-02,-6.011806e+00
2.507363e+00,-2.956372e-02,-6.068278e+00
2.530062e+00,-3.012547e-02,-6.125318e+00
2.552966e+00,-3.069835e-02,-6.182934e+00
2.576077e+00,-3.128259e-02,-6.241132e+00
2.599398e+00,-3.187845e-02,-6.299920e+00
2.622930e+00,-3.248616e-02,-6.359304e+00
2.646675e+00,-3.310599e-02,-6.419292e+00
2.670635e+00,-3.373819e-02,-6.479892e+00
2.694811e+00,-3.438303e-02,-6.541110e+00
2.719207e+00,-3.504080e-02,-6.602954e+00
2.743823e+00,-3.571176e-02,-6.665433e+00
2.768663e+00,-3.639621e-02,-6.728553e+00
2.793727e+00,-3.709444e-02,-6.792323e+00
2.819018e+00,-3.780675e-02,-6.856752e+00
2.844538e+00,-3.853346e-02,-6.921846e+00
2.870289e+00,-3.927488e-02,-6.987616e+00
2.896273e+00,-4.003134e-02,-7.054069e+00
2.922493e+00,-4.080317e-02,-7.121214e+00
2.948949e+00,-4.159072e-02,-7.189060e+00
2.975646e+00,-4.239433e-02,-7.257616e+00
3.002584e+00,-4.321437e-02,-7.326891e+00
3.029765e+00,-4.405121e-02,-7.396895e+00
3.057193e+00,-4.490522e-02,-7.467637e+00
3.084869e+00,-4.577681e-02,-7.539127e+00
3.112796e+00,-4.666635e-02,-7.611374e+00
3.140976e+00,-4.757427e-02,-7.684390e+00
3.169410e+00,-4.850099e-02,-7.758183e+00
3.198102e+00,-4.944694e-02,-7.832765e+00
3.227054e+00,-5.041256e-02,-7.908147e+00
3.256268e+00,-5.139830e-02,-7.984339e+00
3.285746e+00,-5.240465e-02,-8.061351e+00
3.315492e+00,-5.343207e-02,-8.139197e+00
3.345506e+00,-5.448106e-02,-8.217886e+00
3.375792e+00,-5.555213e-02,-8.297431e+00
3.406353e+00,-5.664579e-02,-8.377844e+00
3.437190e+00,-5.776260e-02,-8.459137e+00
3.468306e+00,-5.890308e-02,-8.541322e+00
3.499704e+00,-6.006782e-02,-8.624412e+00
3.531386e+00,-6.125740e-02,-8.708421e+00
3.563355e+00,-6.247240e-02,-8.793361e+00
3.595613e+00,-6.371346e-02,-8.879245e+00
3.628164e+00,-6.498119e-02,-8.966088e+00
3.661009e+00,-6.627626e-02,-9.053904e+00
3.694151e+00,-6.759933e-02,-9.142707e+00
3.727594e+00,-6.895109e-02,-9.232512e+00
3.761339e+00,-7.033226e-02,-9.323333e+00
3.795390e+00,-7.174356e-02,-9.415186e+00
3.829748e+00,-7.318575e-02,-9.508087e+00
3.864418e+00,-7.465959e-02,-9.602052e+00
3.899402e+00,-7.616590e-02,-9.697097e+00
3.934703e+00,-7.770550e-02,-9.793238e+00
3.970323e+00,-7.927922e-02,-9.890493e+00
4.006265e+00,-8.088794e-02,-9.988879e+00
4.042533e+00,-8.253257e-02,-1.008841e+01
4.079130e+00,-8.421403e-02,-1.018912e+01
4.116057e+00,-8.593328e-02,-1.029101e+01
4.153319e+00,-8.769131e-02,-1.039410e+01
4.190918e+00,-8.948913e-02,-1.049842e+01
4.228858e+00,-9.132779e-02,-1.060398e+01
4.267141e+00,-9.320838e-02,-1.071081e+01
4.305771e+00,-9.513201e-02,-1.081892e+01
4.344750e+00,-9.709984e-02,-1.092834e+01
4.384082e+00,-9.911307e-02,-1.103910e+01
4.423770e+00,-1.011729e-01,-1.115120e+01
4.463818e+00,-1.032807e-01,-1.126468e+01
4.504228e+00,-1.054376e-01,-1.137955e+01
4.545004e+00,-1.076451e-01,-1.149585e+01
4.586149e+00,-1.099046e-01,-1.161360e+01
4.627666e+00,-1.122175e-01,-1.173282e+01
4.669560e+00,-1.145854e-01,-1.185354e+01
4.711832e+00,-1.170097e-01,-1.197579e+01
4.754488e+00,-1.194921e-01,-1.209959e+01
4.797529e+00,-1.220342e-01,-1.222497e+01
4.840960e+00,-1.246378e-01,-1.235196e+01
4.884784e+00,-1.273046e-01,-1.248059e+01
4.929005e+00,-1.300365e-01,-1.261090e+01
4.973627e+00,-1.328354e-01,-1.274290e+01
5.018652e+00,-1.357033e-01,-1.287664e+01
5.064085e+00,-1.386422e-01,-1.301215e+01
5.109929e+00,-1.416543e-01,-1.314946e+01
5.156188e+00,-1.447417e-01,-1.328860e+01
5.202866e+00,-1.479067e-01,-1.342961e+01
5.249967e+00,-1.511517e-01,-1.357254e+01
5.297494e+00,-1.544793e-01,-1.371740e+01
5.345451e+00,-1.578918e-01,-1.386426e+01
5.393842e+00,-1.613920e-01,-1.401314e+01
5.442672e+00,-1.649826e-01,-1.416408e+01
5.491943e+00,-1.686666e-01,-1.431713e+01
5.541661e+00,-1.724468e-01,-1.447234e+01
5.591828e+00,-1.763263e-01,-1.462974e+01
5.642450e+00,-1.803084e-01,-1.478938e+01
5.693530e+00,-1.843964e-01,-1.495132e+01
5.745072e+00,-1.885938e-01,-1.511559e+01
