k,mag,ang,re,im
1.000000e+00,7.565008e+00,8.818660e+01,2.393906e-01,7.561219e+00
2.000000e+00,7.565008e+00,-8.818660e+01,2.393906e-01,-7.561219e+00
3.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00
4.000000e+00,2.764385e+02,9.000000e+01,-1.155824e-06,2.764385e+02
5.000000e+00,2.764385e+02,-9.000000e+01,-1.155824e-06,-2.764385e+02
6.000000e+00,1.904671e+02,9.000069e+01,-2.292793e-03,1.904671e+02
7.000000e+00,1.904671e+02,-9.000069e+01,-2.292793e-03,-1.904671e+02
8.000000e+00,1.514296e+02,9.000178e+01,-4.714400e-03,1.514296e+02
9.000000e+00,1.514296e+02,-9.000178e+01,-4.714400e-03,-1.514296e+02
1.000000e+01,1.024050e+02,9.001179e+01,-2.108033e-02,1.024050e+02
1.100000e+01,1.024050e+02,-9.001179e+01,-2.108033e-02,-1.024050e+02
1.200000e+01,2.000000e-01,1.800000e+02,-2.000000e-01,0.000000e+00
1.300000e+01,7.092199e-01,1.800000e+02,-7.092199e-01,0.000000e+00
1.400000e+01,1.848988e+00,1.800000e+02,-1.848988e+00,0.000000e+00
1.500000e+01,2.000000e+00,1.800000e+02,-2.000000e+00,0.000000e+00
1.600000e+01,1.000000e+01,1.800000e+02,-1.000000e+01,0.000000e+00
1.700000e+01,2.293710e+01,1.504337e+02,-1.995036e+01,1.131785e+01
1.800000e+01,2.293710e+01,-1.504337e+02,-1.995036e+01,-1.131785e+01
1.900000e+01,2.530741e+01,1.800000e+02,-2.530741e+01,0.000000e+00
2.000000e+01,3.030303e+01,1.800000e+02,-3.030303e+01,0.000000e+00
2.100000e+01,7.440972e+01,1.800000e+02,-7.440972e+01,0.000000e+00
2.200000e+01,4.434152e-13,0.000000e+00,4.434152e-13,0.000000e+00
2.300000e+01,2.764385e+02,9.000000e+01,-1.154004e-06,2.764385e+02
2.400000e+01,2.764385e+02,-9.000000e+01,-1.154004e-06,-2.764385e+02
2.500000e+01,1.904671e+02,9.000069e+01,-2.284882e-03,1.904671e+02
