wem,wef,svemx,svemn,cnem,svefx,svefn,cnef
1.591549e-03,1.591549e-03,4.253153e+02,1.274103e+01,3.338154e+01,2.586055e+04,2.664129e-01,9.706943e+04
1.859464e-03,1.859464e-03,4.262168e+02,1.849870e+01,2.304036e+01,2.827532e+04,3.105319e-01,9.105448e+04
2.172477e-03,2.172477e-03,4.270659e+02,2.515290e+01,1.697880e+01,3.032109e+04,3.616545e-01,8.383993e+04
2.538182e-03,2.538182e-03,4.274622e+02,3.249287e+01,1.315557e+01,3.176258e+04,4.207191e-01,7.549592e+04
2.965449e-03,2.965449e-03,4.266868e+02,4.016708e+01,1.062280e+01,3.237720e+04,4.886914e-01,6.625286e+04
3.464639e-03,3.464639e-03,4.236917e+02,4.773454e+01,8.875999e+00,3.201084e+04,5.665044e-01,5.650589e+04
4.047860e-03,4.047860e-03,4.172486e+02,5.475467e+01,7.620329e+00,3.063107e+04,6.549640e-01,4.676756e+04
4.729259e-03,4.729259e-03,4.062706e+02,6.087574e+01,6.673769e+00,2.835238e+04,7.546115e-01,3.757216e+04
5.525361e-03,5.525361e-03,3.901881e+02,6.588185e+01,5.922543e+00,2.541583e+04,8.655400e-01,2.936413e+04
6.455476e-03,6.455476e-03,3.691877e+02,6.968736e+01,5.297771e+00,2.212859e+04,9.871783e-01,2.241601e+04
7.542161e-03,7.542161e-03,3.441886e+02,7.229729e+01,4.760740e+00,1.879016e+04,1.118078e+00,1.680577e+04
8.811775e-03,8.811775e-03,3.165855e+02,7.376083e+01,4.292055e+00,1.563546e+04,1.255769e+00,1.245090e+04
1.029511e-02,1.029511e-02,2.879014e+02,7.413622e+01,3.883411e+00,1.281065e+04,1.396783e+00,9.171536e+03
1.202814e-02,1.202814e-02,2.594938e+02,7.347386e+01,3.531784e+00,1.037851e+04,1.536904e+00,6.752870e+03
1.405290e-02,1.405290e-02,2.323850e+02,7.181703e+01,3.235792e+00,8.340381e+03,1.671668e+00,4.989257e+03
1.641851e-02,1.641851e-02,2.072132e+02,6.921622e+01,2.993708e+00,6.661541e+03,1.797006e+00,3.707022e+03
1.918232e-02,1.918232e-02,1.842666e+02,6.575058e+01,2.802508e+00,5.292109e+03,1.909827e+00,2.770989e+03
2.241139e-02,2.241139e-02,1.635629e+02,6.154652e+01,2.657549e+00,4.180751e+03,2.008371e+00,2.081663e+03
2.618402e-02,2.618402e-02,1.449470e+02,5.678291e+01,2.552652e+00,3.281741e+03,2.092248e+00,1.568524e+03
3.059172e-02,3.059172e-02,1.281873e+02,5.167672e+01,2.480563e+00,2.557198e+03,2.162222e+00,1.182671e+03
3.574139e-02,3.574139e-02,1.130536e+02,4.645384e+01,2.433677e+00,1.976565e+03,2.219872e+00,8.903959e+02
4.175794e-02,4.175794e-02,9.936211e+01,4.131740e+01,2.404849e+00,1.514980e+03,2.267263e+00,6.681975e+02
4.878728e-02,4.878728e-02,8.698576e+01,3.642601e+01,2.388012e+00,1.151649e+03,2.306692e+00,4.992645e+02
5.699991e-02,5.699991e-02,7.584014e+01,3.188616e+01,2.378466e+00,8.687428e+02,2.340545e+00,3.711712e+02
6.659502e-02,6.659502e-02,6.586133e+01,2.775623e+01,2.372848e+00,6.508229e+02,2.371252e+00,2.744638e+02
7.780532e-02,7.780532e-02,5.698776e+01,2.405652e+01,2.368911e+00,4.846328e+02,2.401343e+00,2.018174e+02
