wlm,svlmx,svlmn,cnlm
1.591549e-03,1.364291e-01,4.871430e-02,2.800596e+00
1.859464e-03,1.440046e-01,4.795454e-02,3.002939e+00
2.172477e-03,1.530166e-01,4.702927e-02,3.253646e+00
2.538182e-03,1.632642e-01,4.593568e-02,3.554191e+00
2.965449e-03,1.742882e-01,4.467711e-02,3.901063e+00
3.464639e-03,1.853857e-01,4.325861e-02,4.285522e+00
4.047860e-03,1.957185e-01,4.168369e-02,4.695326e+00
4.729259e-03,2.044963e-01,3.995510e-02,5.118152e+00
5.525361e-03,2.111627e-01,3.808029e-02,5.545198e+00
6.455476e-03,2.154976e-01,3.607894e-02,5.972947e+00
7.542161e-03,2.175929e-01,3.398835e-02,6.401984e+00
8.811775e-03,2.177331e-01,3.186309e-02,6.833395e+00
1.029511e-02,2.162505e-01,2.976820e-02,7.264480e+00
1.202814e-02,2.134171e-01,2.776819e-02,7.685668e+00
1.405290e-02,2.093984e-01,2.591613e-02,8.079849e+00
1.641851e-02,2.042633e-01,2.424633e-02,8.424502e+00
1.918232e-02,1.980289e-01,2.277211e-02,8.696116e+00
2.241139e-02,1.907227e-01,2.148802e-02,8.875769e+00
2.618402e-02,1.824405e-01,2.037466e-02,8.954283e+00
3.059172e-02,1.733833e-01,1.940415e-02,8.935372e+00
3.574139e-02,1.638601e-01,1.854527e-02,8.835682e+00
4.175794e-02,1.542521e-01,1.776771e-02,8.681596e+00
4.878728e-02,1.449520e-01,1.704556e-02,8.503799e+00
5.699991e-02,1.362999e-01,1.635978e-02,8.331399e+00
6.659502e-02,1.285361e-01,1.569931e-02,8.187371e+00
7.780532e-02,1.217831e-01,1.506026e-02,8.086392e+00
9.090272e-02,1.160530e-01,1.444293e-02,8.035280e+00
1.062049e-01,1.112725e-01,1.384736e-02,8.035652e+00
1.240829e-01,1.073163e-01,1.326826e-02,8.088200e+00
1.449705e-01,1.040395e-01,1.269038e-02,8.198300e+00
1.693742e-01,1.013081e-01,1.208380e-02,8.383794e+00
1.978858e-01,9.902836e-02,1.139746e-02,8.688637e+00
2.311971e-01,9.718427e-02,1.054650e-02,9.214840e+00
2.512006e-01,9.641374e-02,9.978494e-03,9.662154e+00
2.769751e-01,9.577143e-02,9.151322e-03,1.046531e+01
3.004016e-01,9.555124e-02,8.276009e-03,1.154557e+01
3.213759e-01,9.569322e-02,7.362992e-03,1.299651e+01
