wlf,svlfx,svlfn,cnlf
1.591549e-03,1.351912e+01,1.860796e-04,7.265231e+04
1.859464e-03,1.485647e+01,2.164178e-04,6.864715e+04
2.172477e-03,1.603939e+01,2.513206e-04,6.382041e+04
2.538182e-03,1.695313e+01,2.912808e-04,5.820202e+04
2.965449e-03,1.748566e+01,3.367563e-04,5.192379e+04
3.464639e-03,1.755349e+01,3.881365e-04,4.522503e+04
4.047860e-03,1.712695e+01,4.457135e-04,3.842593e+04
4.729259e-03,1.624350e+01,5.096781e-04,3.187012e+04
5.525361e-03,1.500048e+01,5.801651e-04,2.585554e+04
6.455476e-03,1.352954e+01,6.573661e-04,2.058144e+04
7.542161e-03,1.196433e+01,7.417097e-04,1.613074e+04
8.811775e-03,1.041500e+01,8.340695e-04,1.248697e+04
1.029511e-02,8.956621e+00,9.359271e-04,9.569785e+03
1.202814e-02,7.630219e+00,1.049414e-03,7.270931e+03
1.405290e-02,6.450988e+00,1.177195e-03,5.479968e+03
1.641851e-02,5.417965e+00,1.322198e-03,4.097694e+03
1.918232e-02,4.522039e+00,1.487271e-03,3.040494e+03
2.241139e-02,3.751220e+00,1.674793e-03,2.239812e+03
2.618402e-02,3.093401e+00,1.886331e-03,1.639903e+03
3.059172e-02,2.537292e+00,2.122379e-03,1.195494e+03
3.574139e-02,2.072313e+00,2.382278e-03,8.698870e+02
4.175794e-02,1.688117e+00,2.664436e-03,6.335737e+02
4.878728e-02,1.374276e+00,2.967010e-03,4.631855e+02
5.699991e-02,1.120327e+00,3.289083e-03,3.406198e+02
6.659502e-02,9.161296e-01,3.632252e-03,2.522208e+02
7.780532e-02,7.523330e-01,4.002332e-03,1.879737e+02
9.090272e-02,6.207497e-01,4.410851e-03,1.407324e+02
1.062049e-01,5.145420e-01,4.876105e-03,1.055232e+02
1.240829e-01,4.282222e-01,5.423794e-03,7.895253e+01
1.449705e-01,3.575236e-01,6.087386e-03,5.873187e+01
1.693742e-01,2.992155e-01,6.908253e-03,4.331276e+01
1.978858e-01,2.509201e-01,7.935165e-03,3.162128e+01
2.311971e-01,2.109756e-01,9.221578e-03,2.287847e+01
2.701157e-01,1.784011e-01,1.081599e-02,1.649420e+01
2.975578e-01,1.617615e-01,1.197198e-02,1.351168e+01
3.340586e-01,1.459047e-01,1.349518e-02,1.081161e+01
3.680868e-01,1.369608e-01,1.482010e-02,9.241559e+00
3.992705e-01,1.341134e-01,1.585471e-02,8.458895e+00
4.274397e-01,1.373119e-01,1.654648e-02,8.298556e+00
4.525806e-01,1.472794e-01,1.689591e-02,8.716867e+00
4.747931e-01,1.657890e-01,1.695233e-02,9.779720e+00
4.942524e-01,1.963196e-01,1.679304e-02,1.169053e+01
5.111792e-01,2.451049e-01,1.649892e-02,1.485582e+01
5.258154e-01,3.206877e-01,1.613784e-02,1.987178e+01
5.384079e-01,4.170273e-01,1.575874e-02,2.646323e+01
5.491967e-01,4.590511e-01,1.539262e-02,2.982280e+01
5.602017e-01,3.775402e-01,1.498915e-02,2.518756e+01
5.736177e-01,2.495784e-01,1.447107e-02,1.724672e+01
5.900416e-01,1.572298e-01,1.382617e-02,1.137190e+01
6.102489e-01,9.965944e-02,1.307466e-02,7.622333e+00
