wgm,wgf,svgmx,svgmn,cngm,svgfx,svgfn,cngf
1.591549e-03,1.591549e-03,2.038466e+00,2.477689e-01,8.227286e+00,1.062459e+02,6.651023e-04,1.597437e+05
1.859464e-03,1.859464e-03,2.037472e+00,2.317916e-01,8.790105e+00,1.159321e+02,7.768435e-04,1.492348e+05
2.172477e-03,2.172477e-03,2.034321e+00,2.130559e-01,9.548296e+00,1.239796e+02,9.072637e-04,1.366523e+05
2.538182e-03,2.538182e-03,2.026706e+00,1.920750e-01,1.055163e+01,1.293934e+02,1.059429e-03,1.221351e+05
2.965449e-03,2.965449e-03,2.010968e+00,1.698419e-01,1.184023e+01,1.312404e+02,1.236872e-03,1.061067e+05
3.464639e-03,3.464639e-03,1.982174e+00,1.477367e-01,1.341694e+01,1.288897e+02,1.443646e-03,8.928064e+04
4.047860e-03,4.047860e-03,1.934884e+00,1.272645e-01,1.520364e+01,1.222389e+02,1.684361e-03,7.257288e+04
4.729259e-03,4.729259e-03,1.864583e+00,1.096925e-01,1.699827e+01,1.118195e+02,1.964195e-03,5.692892e+04
5.525361e-03,5.525361e-03,1.769262e+00,9.571688e-02,1.848432e+01,9.870567e+01,2.288869e-03,4.312421e+04
6.455476e-03,6.455476e-03,1.650331e+00,8.529671e-02,1.934812e+01,8.425085e+01,2.664510e-03,3.161965e+04
7.542161e-03,7.542161e-03,1.512417e+00,7.774501e-02,1.945356e+01,6.976868e+01,3.097354e-03,2.252525e+04
8.811775e-03,8.811775e-03,1.362193e+00,7.203706e-02,1.890961e+01,5.628758e+01,3.593156e-03,1.566522e+04
1.029511e-02,1.029511e-02,1.206895e+00,6.715466e-02,1.797187e+01,4.444601e+01,4.156087e-03,1.069420e+04
1.202814e-02,1.202814e-02,1.053124e+00,6.230151e-02,1.690366e+01,3.451454e+01,4.786878e-03,7.210240e+03
1.405290e-02,1.405290e-02,9.062073e-01,5.697531e-02,1.590526e+01,2.648773e+01,5.479997e-03,4.833531e+03
1.641851e-02,1.641851e-02,7.700671e-01,5.097248e-02,1.510751e+01,2.018995e+01,6.220110e-03,3.245915e+03
1.918232e-02,1.918232e-02,6.473670e-01,4.438589e-02,1.458497e+01,1.536242e+01,6.979349e-03,2.201125e+03
2.241139e-02,2.241139e-02,5.397181e-01,3.760442e-02,1.435252e+01,1.172265e+01,7.718644e-03,1.518745e+03
2.618402e-02,2.618402e-02,4.478016e-01,3.127332e-02,1.431897e+01,9.000971e+00,8.396442e-03,1.071998e+03
3.059172e-02,3.059172e-02,3.713989e-01,2.612670e-02,1.421530e+01,6.962492e+00,8.983281e-03,7.750501e+02
3.574139e-02,3.574139e-02,3.094234e-01,2.261630e-02,1.368143e+01,5.419325e+00,9.473526e-03,5.720494e+02
