wg22m,svg22m
1.591549e-03,5.798006e-02
1.859464e-03,5.152266e-02
2.172477e-03,4.655795e-02
2.538182e-03,4.284842e-02
2.965449e-03,4.013375e-02
3.464639e-03,3.817299e-02
4.047860e-03,3.676608e-02
4.729259e-03,3.575843e-02
5.525361e-03,3.503596e-02
6.455476e-03,3.451666e-02
7.542161e-03,3.414231e-02
8.811775e-03,3.387175e-02
1.029511e-02,3.367585e-02
1.202814e-02,3.353393e-02
1.405290e-02,3.343125e-02
1.641851e-02,3.335732e-02
1.918232e-02,3.330464e-02
2.241139e-02,3.326793e-02
2.618402e-02,3.324353e-02
3.059172e-02,3.322902e-02
3.574139e-02,3.322296e-02
4.175794e-02,3.322476e-02
4.878728e-02,3.323463e-02
5.699991e-02,3.325356e-02
6.659502e-02,3.328350e-02
7.780532e-02,3.332753e-02
9.090272e-02,3.339028e-02
1.062049e-01,3.347850e-02
1.240829e-01,3.360203e-02
1.449705e-01,3.377536e-02
1.693742e-01,3.402033e-02
1.978858e-01,3.437103e-02
2.311971e-01,3.488369e-02
2.468982e-01,3.517061e-02
2.761534e-01,3.579895e-02
3.030683e-01,3.650891e-02
3.274051e-01,3.729044e-02
3.490963e-01,3.813062e-02
3.681997e-01,3.901394e-02
3.848577e-01,3.992297e-02
3.992639e-01,4.083930e-02
4.116376e-01,4.174475e-02
4.222053e-01,4.262257e-02
4.311879e-01,4.345839e-02
4.387932e-01,4.424099e-02
4.452115e-01,4.496250e-02
4.506133e-01,4.561844e-02
4.560806e-01,4.633280e-02
4.627518e-01,4.728142e-02
4.709138e-01,4.857390e-02
4.809327e-01,5.039651e-02
4.932793e-01,5.309157e-02
5.085667e-01,5.735798e-02
5.276037e-01,6.485321e-02
5.514734e-01,8.054974e-02
5.590258e-01,8.813006e-02
5.758350e-01,1.139537e-01
5.902170e-01,1.562300e-01
6.024666e-01,2.301339e-01
6.128606e-01,3.567198e-01
6.216523e-01,4.552413e-01
6.305703e-01,3.515473e-01
6.414491e-01,2.178879e-01
6.547620e-01,1.408650e-01
6.711153e-01,9.731010e-02
6.912948e-01,7.090876e-02
7.163321e-01,5.397518e-02
7.476010e-01,4.272032e-02
7.869613e-01,3.514484e-02
8.404246e-01,3.000197e-02
8.906802e-01,2.791259e-02
9.345152e-01,2.737887e-02
9.724015e-01,2.748478e-02
1.004899e+00,2.782807e-02
1.032601e+00,2.828014e-02
1.056092e+00,2.886574e-02
1.075927e+00,2.979187e-02
1.092616e+00,3.164341e-02
1.106616e+00,3.589622e-02
1.118333e+00,4.598303e-02
1.128119e+00,5.123865e-02
1.137991e+00,2.437248e-02
1.144369e+00,2.276184e-02
1.150040e+00,2.226238e-02
1.161043e+00,2.153642e-02
1.164776e+00,2.131634e-02
1.182843e+00,2.047420e-02
1.183864e+00,2.044076e-02
1.205059e+00,2.014439e-02
1.232473e+00,2.066332e-02
1.266448e+00,2.189365e-02
1.308773e+00,2.346474e-02
1.361832e+00,2.513510e-02
1.428855e+00,2.689989e-02
1.514297e+00,2.895425e-02
1.624438e+00,3.173520e-02
1.768335e+00,3.620905e-02
1.797414e+00,3.728864e-02
1.936152e+00,4.357068e-02
1.959413e+00,4.484205e-02
2.041401e+00,4.993433e-02
2.138886e+00,5.743010e-02
2.188763e+00,6.196245e-02
2.281303e+00,7.173719e-02
2.411407e+00,8.820172e-02
2.529275e+00,1.037213e-01
2.635292e+00,1.139901e-01
2.745752e+00,1.168800e-01
2.879962e+00,1.102284e-01
3.044209e+00,9.612095e-02
3.246906e+00,8.027148e-02
3.499503e+00,6.625579e-02
3.817871e+00,5.489328e-02
4.224454e+00,4.582474e-02
4.443918e+00,4.233942e-02
5.191988e+00,3.424398e-02
6.065983e+00,2.849717e-02
7.087104e+00,2.407038e-02
8.280115e+00,2.048877e-02
9.673952e+00,1.750758e-02
1.130242e+01,1.498693e-02
1.320502e+01,1.283816e-02
1.542789e+01,1.099929e-02
1.802495e+01,9.423160e-03
2.105919e+01,8.071667e-03
2.460420e+01,6.912904e-03
2.874596e+01,5.919656e-03
3.358493e+01,5.068534e-03
3.923847e+01,4.339397e-03
4.584369e+01,3.714897e-03
5.356081e+01,3.180108e-03
6.257700e+01,2.722203e-03
7.311093e+01,2.330166e-03
8.541809e+01,1.994547e-03
9.979699e+01,1.707241e-03
1.165964e+02,1.461305e-03
1.362237e+02,1.250786e-03
1.591549e+02,1.070589e-03
