wg4,svg4
1.591549e-03,1.048339e+00
1.859464e-03,1.048962e+00
2.172477e-03,1.049448e+00
2.538182e-03,1.049836e+00
2.965449e-03,1.050162e+00
3.464639e-03,1.050453e+00
4.047860e-03,1.050735e+00
4.729259e-03,1.051030e+00
5.525361e-03,1.051358e+00
6.455476e-03,1.051737e+00
7.542161e-03,1.052183e+00
8.811775e-03,1.052704e+00
1.029511e-02,1.053301e+00
1.202814e-02,1.053962e+00
1.405290e-02,1.054662e+00
1.641851e-02,1.055362e+00
1.918232e-02,1.056015e+00
2.241139e-02,1.056572e+00
2.618402e-02,1.056984e+00
3.059172e-02,1.057210e+00
3.574139e-02,1.057209e+00
4.175794e-02,1.056940e+00
4.878728e-02,1.056353e+00
5.699991e-02,1.055384e+00
6.659502e-02,1.053949e+00
7.780532e-02,1.051939e+00
9.090272e-02,1.049222e+00
1.062049e-01,1.045645e+00
1.240829e-01,1.041059e+00
1.449705e-01,1.035413e+00
1.693742e-01,1.029436e+00
1.978858e-01,1.028555e+00
2.311971e-01,1.034118e+00
2.701157e-01,1.043462e+00
3.155858e-01,1.057551e+00
3.503021e-01,1.070817e+00
3.900707e-01,1.088910e+00
4.266160e-01,1.108029e+00
4.596521e-01,1.126017e+00
4.891099e-01,1.139499e+00
5.150792e-01,1.144600e+00
5.377566e-01,1.139460e+00
5.574033e-01,1.126779e+00
5.743124e-01,1.112062e+00
5.801228e-01,1.106816e+00
5.887858e-01,1.099225e+00
6.011177e-01,1.089390e+00
6.115850e-01,1.082234e+00
6.204415e-01,1.077099e+00
6.294262e-01,1.072727e+00
6.403865e-01,1.068450e+00
6.537991e-01,1.064605e+00
6.702756e-01,1.061634e+00
6.906088e-01,1.060085e+00
7.158399e-01,1.060634e+00
7.473561e-01,1.064149e+00
7.870370e-01,1.071847e+00
8.374760e-01,1.085635e+00
9.023281e-01,1.108929e+00
9.380174e-01,1.124375e+00
9.928979e-01,1.152130e+00
1.042330e+00,1.181936e+00
1.086515e+00,1.213204e+00
1.112199e+00,1.233713e+00
1.125751e+00,1.245300e+00
1.166405e+00,1.283525e+00
1.215849e+00,1.337719e+00
1.276381e+00,1.416496e+00
1.351058e+00,1.531674e+00
1.444018e+00,1.693950e+00
1.527053e+00,1.842271e+00
1.560961e+00,1.900483e+00
1.614719e+00,1.987595e+00
1.719420e+00,2.134428e+00
1.830909e+00,2.259012e+00
1.902339e+00,2.327634e+00
2.003386e+00,2.421364e+00
2.167184e+00,2.604132e+00
2.317799e+00,2.884122e+00
2.345103e+00,2.954652e+00
2.454838e+00,3.310992e+00
2.578405e+00,3.828979e+00
2.688966e+00,4.269202e+00
2.787241e+00,4.414775e+00
2.889108e+00,4.157686e+00
3.012992e+00,3.482641e+00
3.164654e+00,2.655023e+00
3.351763e+00,1.931856e+00
3.584704e+00,1.382619e+00
3.877791e+00,9.832520e-01
4.251153e+00,6.945828e-01
4.733724e+00,4.849937e-01
5.191988e+00,3.661277e-01
6.065983e+00,2.367482e-01
7.087104e+00,1.578063e-01
8.280115e+00,1.072462e-01
9.673952e+00,7.387203e-02
1.130242e+01,5.140734e-02
1.320502e+01,3.607898e-02
1.542789e+01,2.550932e-02
1.802495e+01,1.815487e-02
2.105919e+01,1.299526e-02
2.460420e+01,9.347886e-03
2.874596e+01,6.751803e-03
3.358493e+01,4.892907e-03
3.923847e+01,3.555132e-03
4.584369e+01,2.588405e-03
5.356081e+01,1.887510e-03
6.257700e+01,1.378040e-03
7.311093e+01,1.006981e-03
8.541809e+01,7.363264e-04
9.979699e+01,5.386838e-04
1.165964e+02,3.942361e-04
1.362237e+02,2.885998e-04
1.591549e+02,2.113111e-04
