ws4,svs4
1.591549e-03,9.651972e-01
1.859464e-03,9.698167e-01
2.172477e-03,9.732260e-01
2.538182e-03,9.757302e-01
2.965449e-03,9.775589e-01
3.464639e-03,9.788820e-01
4.047860e-03,9.798241e-01
4.729259e-03,9.804741e-01
5.525361e-03,9.808932e-01
6.455476e-03,9.811199e-01
7.542161e-03,9.811732e-01
8.811775e-03,9.810540e-01
1.029511e-02,9.807444e-01
1.202814e-02,9.802060e-01
1.405290e-02,9.793761e-01
1.641851e-02,9.781629e-01
1.918232e-02,9.764386e-01
2.241139e-02,9.740307e-01
2.618402e-02,9.707101e-01
3.059172e-02,9.661771e-01
3.574139e-02,9.600447e-01
4.175794e-02,9.518231e-01
4.878728e-02,9.409084e-01
5.699991e-02,9.265844e-01
6.659502e-02,9.080481e-01
7.780532e-02,8.844726e-01
9.090272e-02,8.551175e-01
1.062049e-01,8.194875e-01
1.240829e-01,7.775174e-01
1.449705e-01,7.297378e-01
1.693742e-01,6.773736e-01
1.978858e-01,6.223723e-01
2.311971e-01,5.675143e-01
2.701157e-01,5.172106e-01
3.155858e-01,4.811065e-01
3.260932e-01,4.771512e-01
3.659790e-01,4.792065e-01
4.041216e-01,5.020249e-01
4.400515e-01,5.539192e-01
4.734617e-01,6.608115e-01
5.041849e-01,7.980107e-01
5.321682e-01,9.465779e-01
5.574473e-01,1.071618e+00
5.801228e-01,1.131022e+00
6.037207e-01,1.104202e+00
6.323988e-01,9.762090e-01
6.674982e-01,7.967297e-01
6.761470e-01,7.673361e-01
7.331762e-01,7.978717e-01
7.846692e-01,8.372051e-01
8.306082e-01,8.677140e-01
8.711813e-01,8.900824e-01
9.067139e-01,9.054770e-01
9.376126e-01,9.152731e-01
9.565646e-01,9.195066e-01
9.643226e-01,9.208368e-01
9.872970e-01,9.233800e-01
1.006976e+00,9.238913e-01
1.027047e+00,9.228496e-01
1.051516e+00,9.195357e-01
1.081471e+00,9.127183e-01
1.118325e+00,9.010642e-01
1.163938e+00,8.842699e-01
1.220793e+00,8.668779e-01
1.292265e+00,8.679011e-01
1.306273e+00,8.728189e-01
1.366832e+00,9.158258e-01
1.382874e+00,9.332989e-01
1.420624e+00,9.840727e-01
1.468109e+00,1.065264e+00
1.517181e+00,1.165427e+00
1.527053e+00,1.187123e+00
1.576890e+00,1.302070e+00
1.649996e+00,1.478363e+00
1.719420e+00,1.642410e+00
1.740161e+00,1.689361e+00
1.852324e+00,1.919650e+00
1.853540e+00,1.921913e+00
1.993268e+00,2.152944e+00
2.167184e+00,2.396205e+00
2.317799e+00,2.619201e+00
2.345103e+00,2.666988e+00
2.454838e+00,2.929948e+00
2.578405e+00,3.465173e+00
2.688966e+00,4.084797e+00
2.787241e+00,4.489373e+00
2.889108e+00,4.521016e+00
3.012992e+00,4.112929e+00
3.164654e+00,3.464185e+00
3.351763e+00,2.838764e+00
3.584704e+00,2.338657e+00
3.877791e+00,1.963293e+00
4.251153e+00,1.686052e+00
4.733724e+00,1.481607e+00
5.191988e+00,1.364465e+00
6.065983e+00,1.236025e+00
7.087104e+00,1.157269e+00
8.280115e+00,1.106760e+00
9.673952e+00,1.073448e+00
1.130242e+01,1.051068e+00
1.320502e+01,1.035827e+00
1.542789e+01,1.025334e+00
1.802495e+01,1.018038e+00
2.105919e+01,1.012920e+00
2.460420e+01,1.009301e+00
2.874596e+01,1.006722e+00
3.358493e+01,1.004875e+00
3.923847e+01,1.003544e+00
4.584369e+01,1.002581e+00
5.356081e+01,1.001883e+00
6.257700e+01,1.001375e+00
7.311093e+01,1.001005e+00
8.541809e+01,1.000735e+00
9.979699e+01,1.000538e+00
1.165964e+02,1.000394e+00
1.362237e+02,1.000288e+00
1.591549e+02,1.000211e+00
