wg22f,svg22f
1.591549e-03,1.571852e-01
1.859464e-03,1.570144e-01
2.172477e-03,1.567851e-01
2.538182e-03,1.564792e-01
2.965449e-03,1.560745e-01
3.464639e-03,1.555448e-01
4.047860e-03,1.548617e-01
4.729259e-03,1.539979e-01
5.525361e-03,1.529336e-01
6.455476e-03,1.516669e-01
7.542161e-03,1.502273e-01
8.811775e-03,1.486904e-01
1.029511e-02,1.471901e-01
1.202814e-02,1.459214e-01
1.405290e-02,1.451313e-01
1.641851e-02,1.450960e-01
1.918232e-02,1.460918e-01
2.241139e-02,1.483643e-01
2.618402e-02,1.520981e-01
3.059172e-02,1.573886e-01
3.574139e-02,1.642101e-01
4.175794e-02,1.723822e-01
4.878728e-02,1.815412e-01
5.699991e-02,1.911274e-01
6.659502e-02,2.003993e-01
7.780532e-02,2.084816e-01
9.090272e-02,2.144391e-01
1.062049e-01,2.173644e-01
1.240829e-01,2.164719e-01
1.449705e-01,2.112031e-01
1.693742e-01,2.013564e-01
1.978858e-01,1.872204e-01
2.311971e-01,1.696368e-01
2.701157e-01,1.499029e-01
3.155858e-01,1.295318e-01
3.397152e-01,1.201089e-01
3.808946e-01,1.063503e-01
4.202123e-01,9.629873e-02
4.571937e-01,9.115867e-02
4.915325e-01,9.383512e-02
5.230667e-01,1.046184e-01
5.517515e-01,1.189199e-01
5.776324e-01,1.308095e-01
6.008205e-01,1.347689e-01
6.249393e-01,1.281251e-01
6.542533e-01,1.092917e-01
6.901324e-01,8.393502e-02
7.344077e-01,5.966716e-02
7.618559e-01,4.857053e-02
8.151203e-01,3.287899e-02
8.626205e-01,2.309690e-02
9.045572e-01,1.678702e-02
9.412719e-01,1.310885e-02
9.731887e-01,1.080034e-02
1.000771e+00,9.168257e-03
1.024490e+00,8.045529e-03
1.044802e+00,7.366520e-03
1.065516e+00,7.067491e-03
1.090770e+00,7.423243e-03
1.095853e+00,7.591182e-03
1.121685e+00,8.793678e-03
1.159719e+00,1.108015e-02
1.164486e+00,1.138253e-02
1.206791e+00,1.409269e-02
1.265459e+00,1.778372e-02
1.339202e+00,2.219323e-02
1.432831e+00,2.740756e-02
1.553146e+00,3.361471e-02
1.709987e+00,4.140109e-02
1.917974e+00,5.253572e-02
2.041401e+00,6.021518e-02
2.088456e+00,6.343320e-02
2.103298e+00,6.448542e-02
2.281586e+00,7.872527e-02
2.350302e+00,8.514424e-02
2.448011e+00,9.542586e-02
2.601787e+00,1.150252e-01
2.742626e+00,1.362459e-01
2.870634e+00,1.551013e-01
3.004616e+00,1.695548e-01
3.167261e+00,1.766101e-01
3.366218e+00,1.742902e-01
3.611760e+00,1.665380e-01
3.917913e+00,1.582228e-01
4.304183e+00,1.517207e-01
4.798250e+00,1.473746e-01
5.191988e+00,1.454694e-01
6.065983e+00,1.430433e-01
7.087104e+00,1.409081e-01
8.280115e+00,1.381168e-01
9.673952e+00,1.342140e-01
1.130242e+01,1.290132e-01
1.320502e+01,1.225081e-01
1.542789e+01,1.148335e-01
1.802495e+01,1.062363e-01
2.105919e+01,9.703999e-02
2.460420e+01,8.759738e-02
2.874596e+01,7.824319e-02
3.358493e+01,6.925641e-02
3.923847e+01,6.084065e-02
4.584369e+01,5.312198e-02
5.356081e+01,4.615898e-02
6.257700e+01,3.995847e-02
7.311093e+01,3.449168e-02
8.541809e+01,2.970815e-02
9.979699e+01,2.554631e-02
1.165964e+02,2.194078e-02
1.362237e+02,1.882709e-02
1.591549e+02,1.614448e-02
