rl,im
-1.012685e+02,0.000000e+00
-1.010082e+02,0.000000e+00
-1.005505e+02,0.000000e+00
-1.006210e+02,0.000000e+00
-5.362087e+01,6.473785e+00
-5.362087e+01,-6.473785e+00
-5.338533e+01,6.264776e+00
-5.338533e+01,-6.264776e+00
-5.280492e+01,5.338822e+00
-5.280492e+01,-5.338822e+00
-5.236210e+01,5.695132e+00
-5.236210e+01,-5.695132e+00
-3.674669e+01,1.581632e+00
-3.674669e+01,-1.581632e+00
-3.673583e+01,0.000000e+00
-3.519990e+01,7.772757e-01
-3.519990e+01,-7.772757e-01
-3.288465e+01,0.000000e+00
-3.148540e+01,6.255650e-01
-3.148540e+01,-6.255650e-01
-3.361630e+00,1.834732e+01
-3.361630e+00,-1.834732e+01
-5.105739e+00,1.562512e+01
-5.105739e+00,-1.562512e+01
-5.275094e+00,1.104366e+01
-5.275094e+00,-1.104366e+01
-5.364146e+00,9.461216e+00
-5.364146e+00,-9.461216e+00
-3.240723e+00,8.002259e+00
-3.240723e+00,-8.002259e+00
-3.595989e+00,7.284871e+00
-3.595989e+00,-7.284871e+00
-1.011176e+01,0.000000e+00
-1.009574e+01,0.000000e+00
-1.006159e+01,0.000000e+00
-1.006075e+01,0.000000e+00
-5.158416e-01,3.810147e+00
-5.158416e-01,-3.810147e+00
-3.759573e+00,2.077976e-01
-3.759573e+00,-2.077976e-01
-3.566601e+00,0.000000e+00
-3.213388e+00,0.000000e+00
-1.268764e+00,5.523987e-01
-1.268764e+00,-5.523987e-01
-1.904202e+00,0.000000e+00
-1.918781e+00,0.000000e+00
-1.930697e+00,0.000000e+00
-4.929152e-01,0.000000e+00
1.227320e-05,0.000000e+00
-7.401872e-02,0.000000e+00
-1.954218e-01,0.000000e+00
-1.981358e-01,0.000000e+00
-1.979924e-01,0.000000e+00
-1.007452e-01,0.000000e+00
-1.009786e-01,1.627574e-05
-1.009786e-01,-1.627574e-05
-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00
-2.000000e+01,0.000000e+00
