wg42mf,svg42mf
1.591549e-03,1.584756e-01
1.859464e-03,1.583363e-01
2.172477e-03,1.581495e-01
2.538182e-03,1.579007e-01
2.965449e-03,1.575723e-01
3.464639e-03,1.571438e-01
4.047860e-03,1.565936e-01
4.729259e-03,1.559021e-01
5.525361e-03,1.550578e-01
6.455476e-03,1.540660e-01
7.542161e-03,1.529615e-01
8.811775e-03,1.518209e-01
1.029511e-02,1.507733e-01
1.202814e-02,1.500026e-01
1.405290e-02,1.497387e-01
1.641851e-02,1.502387e-01
1.918232e-02,1.517615e-01
2.241139e-02,1.545401e-01
2.618402e-02,1.587550e-01
3.059172e-02,1.645039e-01
3.574139e-02,1.717675e-01
4.175794e-02,1.803714e-01
4.878728e-02,1.899531e-01
5.699991e-02,1.999456e-01
6.659502e-02,2.095911e-01
7.780532e-02,2.179897e-01
9.090272e-02,2.241763e-01
1.062049e-01,2.272133e-01
1.240829e-01,2.262879e-01
1.449705e-01,2.208233e-01
1.693742e-01,2.106134e-01
1.978858e-01,1.959601e-01
2.311971e-01,1.777353e-01
2.701157e-01,1.572686e-01
3.155858e-01,1.360687e-01
3.397152e-01,1.261864e-01
3.808946e-01,1.114836e-01
4.202123e-01,1.000330e-01
4.571937e-01,9.302456e-02
4.915325e-01,9.780178e-02
5.230667e-01,1.130284e-01
5.517515e-01,1.306082e-01
5.776324e-01,1.448505e-01
6.008205e-01,1.500926e-01
6.249393e-01,1.435851e-01
6.542533e-01,1.236645e-01
6.901324e-01,9.661279e-02
7.344077e-01,7.101414e-02
7.895674e-01,5.067499e-02
8.590545e-01,3.695358e-02
9.477300e-01,3.201351e-02
1.062611e+00,2.988229e-02
1.090293e+00,2.971148e-02
1.164486e+00,2.972376e-02
1.243729e+00,3.043332e-02
1.339471e+00,3.235567e-02
1.456178e+00,3.604798e-02
1.599870e+00,4.160062e-02
1.717405e+00,4.671686e-02
1.914542e+00,5.693827e-02
2.103298e+00,6.960576e-02
2.281586e+00,8.530912e-02
2.350302e+00,9.265481e-02
2.448011e+00,1.046674e-01
2.601787e+00,1.277333e-01
2.742626e+00,1.520441e-01
2.870634e+00,1.727438e-01
3.004616e+00,1.876534e-01
3.167261e+00,1.934868e-01
3.366218e+00,1.885070e-01
3.611760e+00,1.776114e-01
3.917913e+00,1.664476e-01
4.304183e+00,1.576781e-01
4.798250e+00,1.516360e-01
5.191988e+00,1.488891e-01
6.065983e+00,1.453598e-01
7.087104e+00,1.425461e-01
8.280115e+00,1.393097e-01
9.673952e+00,1.351018e-01
1.130242e+01,1.296858e-01
1.320502e+01,1.230257e-01
1.542789e+01,1.152377e-01
1.802495e+01,1.065565e-01
2.105919e+01,9.729688e-02
2.460420e+01,8.780601e-02
2.874596e+01,7.841442e-02
3.358493e+01,6.939823e-02
3.923847e+01,6.095898e-02
4.584369e+01,5.322130e-02
5.356081e+01,4.624275e-02
6.257700e+01,4.002938e-02
7.311093e+01,3.455187e-02
8.541809e+01,2.975936e-02
9.979699e+01,2.558994e-02
1.165964e+02,2.197800e-02
1.362237e+02,1.885887e-02
1.591549e+02,1.617163e-02
