wg8,svg8
1.591549e-03,3.108266e+00
1.859464e-03,3.104630e+00
2.172477e-03,3.099745e+00
2.538182e-03,3.093219e+00
2.965449e-03,3.084570e+00
3.464639e-03,3.073222e+00
4.047860e-03,3.058538e+00
4.729259e-03,3.039879e+00
5.525361e-03,3.016729e+00
6.455476e-03,2.988889e+00
7.542161e-03,2.956742e+00
8.811775e-03,2.921535e+00
1.029511e-02,2.885612e+00
1.202814e-02,2.852462e+00
1.405290e-02,2.826531e+00
1.641851e-02,2.812788e+00
1.918232e-02,2.816175e+00
2.241139e-02,2.841058e+00
2.618402e-02,2.890750e+00
3.059172e-02,2.967073e+00
3.574139e-02,3.069879e+00
4.175794e-02,3.196517e+00
4.878728e-02,3.341328e+00
5.699991e-02,3.495393e+00
6.659502e-02,3.646724e+00
7.780532e-02,3.781041e+00
9.090272e-02,3.883025e+00
1.062049e-01,3.937819e+00
1.240829e-01,3.932638e+00
1.449705e-01,3.858558e+00
1.693742e-01,3.712698e+00
1.978858e-01,3.500468e+00
2.311971e-01,3.236630e+00
2.701157e-01,2.943668e+00
3.155858e-01,2.647792e+00
3.397152e-01,2.514595e+00
3.808946e-01,2.330311e+00
4.202123e-01,2.266970e+00
4.571937e-01,2.572088e+00
4.915325e-01,3.106816e+00
5.230667e-01,3.793704e+00
5.517515e-01,4.572414e+00
5.776324e-01,5.278074e+00
6.008205e-01,5.685149e+00
6.249393e-01,5.680361e+00
6.542533e-01,5.180262e+00
6.901324e-01,4.367450e+00
7.344077e-01,3.558057e+00
7.895674e-01,2.944017e+00
8.590545e-01,2.904111e+00
9.477300e-01,3.268073e+00
1.062611e+00,3.784177e+00
1.090293e+00,3.903055e+00
1.164486e+00,4.188717e+00
1.243729e+00,4.410036e+00
1.339471e+00,4.518440e+00
1.456178e+00,4.403205e+00
1.599870e+00,3.993604e+00
1.717405e+00,3.569572e+00
1.914542e+00,2.913949e+00
2.103298e+00,2.506531e+00
2.281586e+00,2.388163e+00
2.350302e+00,2.409221e+00
2.448011e+00,2.484708e+00
2.601787e+00,2.656170e+00
2.742626e+00,2.790230e+00
2.870634e+00,2.813543e+00
3.004616e+00,2.687475e+00
3.167261e+00,2.367339e+00
3.366218e+00,1.908293e+00
3.611760e+00,1.437723e+00
3.917913e+00,1.040377e+00
4.304183e+00,7.350883e-01
4.798250e+00,5.097345e-01
5.191988e+00,3.983091e-01
6.065983e+00,2.533225e-01
7.087104e+00,1.662922e-01
8.280115e+00,1.115376e-01
9.673952e+00,7.600413e-02
1.130242e+01,5.244541e-02
1.320502e+01,3.657414e-02
1.542789e+01,2.574105e-02
1.802495e+01,1.826156e-02
2.105919e+01,1.304376e-02
2.460420e+01,9.369757e-03
2.874596e+01,6.761635e-03
3.358493e+01,4.897337e-03
3.923847e+01,3.557143e-03
4.584369e+01,2.589330e-03
5.356081e+01,1.887941e-03
6.257700e+01,1.378245e-03
7.311093e+01,1.007081e-03
8.541809e+01,7.363754e-04
9.979699e+01,5.387084e-04
1.165964e+02,3.942486e-04
1.362237e+02,2.886063e-04
1.591549e+02,2.113144e-04
