wg8w,svg8w
1.591549e-03,3.108270e-01
1.859464e-03,3.104635e-01
2.172477e-03,3.099752e-01
2.538182e-03,3.093229e-01
2.965449e-03,3.084583e-01
3.464639e-03,3.073240e-01
4.047860e-03,3.058563e-01
4.729259e-03,3.039912e-01
5.525361e-03,3.016774e-01
6.455476e-03,2.988950e-01
7.542161e-03,2.956824e-01
8.811775e-03,2.921646e-01
1.029511e-02,2.885762e-01
1.202814e-02,2.852665e-01
1.405290e-02,2.826805e-01
1.641851e-02,2.813160e-01
1.918232e-02,2.816684e-01
2.241139e-02,2.841758e-01
2.618402e-02,2.891722e-01
3.059172e-02,2.968434e-01
3.574139e-02,3.071802e-01
4.175794e-02,3.199249e-01
4.878728e-02,3.345227e-01
5.699991e-02,3.500958e-01
6.659502e-02,3.654646e-01
7.780532e-02,3.792248e-01
9.090272e-02,3.898726e-01
1.062049e-01,3.959537e-01
1.240829e-01,3.962213e-01
1.449705e-01,3.898114e-01
1.693742e-01,3.764555e-01
1.978858e-01,3.567039e-01
2.311971e-01,3.320366e-01
2.701157e-01,3.047151e-01
3.155858e-01,2.774077e-01
3.397152e-01,2.653074e-01
3.808946e-01,2.490584e-01
4.202123e-01,2.455490e-01
4.571937e-01,2.823420e-01
4.915325e-01,3.455001e-01
5.230667e-01,4.271629e-01
5.517515e-01,5.208962e-01
5.776324e-01,6.078346e-01
6.008205e-01,6.612412e-01
6.249393e-01,6.676695e-01
6.542533e-01,6.168761e-01
6.901324e-01,5.286263e-01
7.344077e-01,4.395984e-01
7.895674e-01,3.733661e-01
8.590545e-01,3.807718e-01
9.477300e-01,4.473255e-01
1.062611e+00,5.477919e-01
1.090293e+00,5.726539e-01
1.164486e+00,6.370238e-01
1.243729e+00,6.966228e-01
1.339471e+00,7.467221e-01
1.456178e+00,7.679518e-01
1.599870e+00,7.428364e-01
1.717405e+00,6.987779e-01
1.914542e+00,6.198624e-01
2.103298e+00,5.762081e-01
2.281586e+00,5.892095e-01
2.350302e+00,6.099926e-01
2.448011e+00,6.517758e-01
2.601787e+00,7.346998e-01
2.742626e+00,8.083446e-01
2.870634e+00,8.487391e-01
3.004616e+00,8.444823e-01
3.167261e+00,7.801637e-01
3.366218e+00,6.648315e-01
3.611760e+00,5.344886e-01
3.917913e+00,4.172475e-01
4.304183e+00,3.221214e-01
4.798250e+00,2.477136e-01
5.191988e+00,2.087800e-01
6.065983e+00,1.543373e-01
7.087104e+00,1.178932e-01
8.280115e+00,9.208223e-02
9.673952e+00,7.309682e-02
1.130242e+01,5.876358e-02
1.320502e+01,4.773248e-02
1.542789e+01,3.910787e-02
1.802495e+01,3.226816e-02
2.105919e+01,2.677007e-02
2.460420e+01,2.229291e-02
2.874596e+01,1.860269e-02
3.358493e+01,1.552769e-02
3.923847e+01,1.294115e-02
4.584369e+01,1.074905e-02
5.356081e+01,8.881462e-03
6.257700e+01,7.286462e-03
7.311093e+01,5.925493e-03
8.541809e+01,4.769641e-03
9.979699e+01,3.796351e-03
1.165964e+02,2.986585e-03
1.362237e+02,2.322635e-03
1.591549e+02,1.786864e-03
