w,w1Tiw,rhs940w
1.591549e-03,3.108270e-01,7.564682e-01
1.686342e-03,3.107043e-01,7.566220e-01
1.786781e-03,3.105672e-01,7.567939e-01
1.893202e-03,3.104141e-01,7.569858e-01
2.005962e-03,3.102433e-01,7.571999e-01
2.125437e-03,3.100528e-01,7.574388e-01
2.252029e-03,3.098406e-01,7.577049e-01
2.386160e-03,3.096044e-01,7.580012e-01
2.528280e-03,3.093417e-01,7.583307e-01
2.678865e-03,3.090499e-01,7.586967e-01
2.838418e-03,3.087262e-01,7.591029e-01
3.007475e-03,3.083677e-01,7.595529e-01
3.186601e-03,3.079712e-01,7.600508e-01
3.376395e-03,3.075334e-01,7.606007e-01
3.577494e-03,3.070510e-01,7.612068e-01
3.790570e-03,3.065207e-01,7.618735e-01
4.016337e-03,3.059390e-01,7.626051e-01
4.255551e-03,3.053027e-01,7.634060e-01
4.509012e-03,3.046087e-01,7.642802e-01
4.777570e-03,3.038542e-01,7.652313e-01
5.062123e-03,3.030370e-01,7.662625e-01
5.363624e-03,3.021555e-01,7.673764e-01
5.683082e-03,3.012086e-01,7.685746e-01
6.021568e-03,3.001966e-01,7.698576e-01
6.380213e-03,2.991207e-01,7.712244e-01
6.760220e-03,2.979837e-01,7.726727e-01
7.162860e-03,2.967900e-01,7.741982e-01
7.589481e-03,2.955457e-01,7.757944e-01
8.041512e-03,2.942591e-01,7.774531e-01
8.520466e-03,2.929406e-01,7.791631e-01
9.027946e-03,2.916027e-01,7.809114e-01
9.565653e-03,2.902604e-01,7.826823e-01
1.013538e-02,2.889309e-01,7.844578e-01
1.073905e-02,2.876333e-01,7.862180e-01
1.137867e-02,2.863890e-01,7.879410e-01
1.205639e-02,2.852209e-01,7.896035e-01
1.277447e-02,2.841533e-01,7.911810e-01
1.353532e-02,2.832117e-01,7.926486e-01
1.434148e-02,2.824220e-01,7.939809e-01
1.519566e-02,2.818104e-01,7.951532e-01
1.610072e-02,2.814030e-01,7.961414e-01
1.705968e-02,2.812252e-01,7.969226e-01
1.807576e-02,2.813014e-01,7.974755e-01
1.915235e-02,2.816548e-01,7.977807e-01
2.029307e-02,2.823066e-01,7.978212e-01
2.150173e-02,2.832763e-01,7.975822e-01
2.278238e-02,2.845810e-01,7.970518e-01
2.413930e-02,2.862351e-01,7.962208e-01
2.557704e-02,2.882503e-01,7.950833e-01
2.710041e-02,2.906349e-01,7.936364e-01
2.871452e-02,2.933938e-01,7.918811e-01
3.042476e-02,2.965277e-01,7.898217e-01
3.223686e-02,3.000332e-01,7.874670e-01
3.415690e-02,3.039021e-01,7.848297e-01
3.619129e-02,3.081213e-01,7.819273e-01
3.834685e-02,3.126718e-01,7.787821e-01
4.063079e-02,3.175292e-01,7.754214e-01
4.305077e-02,3.226628e-01,7.718779e-01
4.561488e-02,3.280356e-01,7.681897e-01
4.833171e-02,3.336044e-01,7.644005e-01
5.121036e-02,3.393198e-01,7.605593e-01
5.426046e-02,3.451262e-01,7.567204e-01
5.749222e-02,3.509627e-01,7.529432e-01
6.091647e-02,3.567631e-01,7.492915e-01
6.454466e-02,3.624571e-01,7.458334e-01
6.838895e-02,3.679706e-01,7.426402e-01
7.246221e-02,3.732274e-01,7.397860e-01
7.677807e-02,3.781496e-01,7.373465e-01
8.135099e-02,3.826588e-01,7.353984e-01
8.619627e-02,3.866774e-01,7.340182e-01
