wg8w,svg8w,freq1,resp1
1.591549e-03,3.108270e-01,1.591549e-03,1.160978e-01
1.686342e-03,3.107043e-01,1.686342e-03,1.165181e-01
1.786781e-03,3.105672e-01,1.786781e-03,1.169449e-01
1.893202e-03,3.104141e-01,1.893202e-03,1.173769e-01
2.005962e-03,3.102433e-01,2.005962e-03,1.178129e-01
2.125437e-03,3.100528e-01,2.125437e-03,1.182465e-01
2.252029e-03,3.098406e-01,2.252029e-03,1.186860e-01
2.386160e-03,3.096044e-01,2.386160e-03,1.191257e-01
2.528280e-03,3.093417e-01,2.528280e-03,1.195652e-01
2.678865e-03,3.090499e-01,2.678865e-03,1.200025e-01
2.838418e-03,3.087262e-01,2.838418e-03,1.205386e-01
3.007475e-03,3.083677e-01,3.007475e-03,1.209715e-01
3.186601e-03,3.079712e-01,3.186601e-03,1.213964e-01
3.376395e-03,3.075334e-01,3.376395e-03,1.218106e-01
3.577494e-03,3.070510e-01,3.577494e-03,1.222114e-01
3.790570e-03,3.065207e-01,3.790570e-03,1.225938e-01
4.016337e-03,3.059390e-01,4.016337e-03,1.229582e-01
4.255551e-03,3.053027e-01,4.255551e-03,1.232971e-01
4.509012e-03,3.046087e-01,4.509012e-03,1.236111e-01
4.777570e-03,3.038542e-01,4.777570e-03,1.238920e-01
5.062123e-03,3.030370e-01,5.062123e-03,1.241396e-01
5.363624e-03,3.021555e-01,5.363624e-03,1.243443e-01
5.683082e-03,3.012086e-01,5.683082e-03,1.245089e-01
6.021568e-03,3.001966e-01,6.021568e-03,1.246242e-01
6.380213e-03,2.991207e-01,6.380213e-03,1.246932e-01
6.760220e-03,2.979837e-01,6.760220e-03,1.247068e-01
7.162860e-03,2.967900e-01,7.162860e-03,1.246658e-01
7.589481e-03,2.955457e-01,7.589481e-03,1.245718e-01
8.041512e-03,2.942591e-01,8.041512e-03,1.244206e-01
8.520466e-03,2.929406e-01,8.520466e-03,1.242148e-01
9.027946e-03,2.916027e-01,9.027946e-03,1.239517e-01
9.565653e-03,2.902604e-01,9.565653e-03,1.236332e-01
1.013538e-02,2.889309e-01,1.013538e-02,1.232604e-01
1.073905e-02,2.876333e-01,1.073905e-02,1.228369e-01
1.137867e-02,2.863890e-01,1.137867e-02,1.223667e-01
